,year,country,cluster,pop,life_expect,fertility
0,1955,Afghanistan,0,8891209,30.332,7.7
1,1960,Afghanistan,0,9829450,31.997,7.7
2,1965,Afghanistan,0,10997885,34.02,7.7
3,1970,Afghanistan,0,12430623,36.088,7.7
4,1975,Afghanistan,0,14132019,38.438,7.7
5,1980,Afghanistan,0,15112149,39.854,7.8
6,1985,Afghanistan,0,13796928,40.822,7.9
7,1990,Afghanistan,0,14669339,41.674,8.0
8,1995,Afghanistan,0,20881480,41.763,8.0
9,2000,Afghanistan,0,23898198,42.129,7.4792
10,2005,Afghanistan,0,29928987,43.828,7.0685
11,1955,Argentina,3,18927821,64.399,3.1265
12,1960,Argentina,3,20616009,65.142,3.0895
13,1965,Argentina,3,22283100,65.634,3.049
14,1970,Argentina,3,23962313,67.065,3.1455
15,1975,Argentina,3,26081880,68.481,3.44
16,1980,Argentina,3,28369799,69.942,3.15
17,1985,Argentina,3,30675059,70.774,3.053
18,1990,Argentina,3,33022202,71.868,2.9
19,1995,Argentina,3,35311049,73.275,2.63
20,2000,Argentina,3,37497728,74.34,2.35
21,2005,Argentina,3,39537943,75.32,2.254
22,1955,Aruba,3,53865,64.381,5.15
23,1960,Aruba,3,57203,66.606,4.399
24,1965,Aruba,3,59020,68.336,3.301
25,1970,Aruba,3,59039,70.941,2.651
26,1975,Aruba,3,59390,71.83,2.45
27,1980,Aruba,3,60266,74.116,2.358
28,1985,Aruba,3,64129,74.494,2.3
29,1990,Aruba,3,66653,74.108,2.2800000000000002
30,1995,Aruba,3,67836,73.011,2.208
31,2000,Aruba,3,69539,73.451,2.124
32,2005,Aruba,3,71566,74.239,2.04
33,1955,Australia,4,9277087,70.33,3.406
34,1960,Australia,4,10361273,70.93,3.274
35,1965,Australia,4,11439384,71.1,2.871
36,1970,Australia,4,12660160,71.93,2.535
37,1975,Australia,4,13771400,73.49,1.9889999999999999
38,1980,Australia,4,14615900,74.74,1.907
39,1985,Australia,4,15788300,76.32,1.859
40,1990,Australia,4,17022133,77.56,1.8599999999999999
41,1995,Australia,4,18116171,78.83,1.776
42,2000,Australia,4,19164620,80.37,1.756
43,2005,Australia,4,20090437,81.235,1.788
44,1955,Austria,1,6946885,67.48,2.52
45,1960,Austria,1,7047437,69.54,2.7800000000000002
46,1965,Austria,1,7270889,70.14,2.5300000000000002
47,1970,Austria,1,7467086,70.63,2.02
48,1975,Austria,1,7578903,72.17,1.6400000000000001
49,1980,Austria,1,7549433,73.18,1.62
50,1985,Austria,1,7559776,74.94,1.45
51,1990,Austria,1,7722953,76.04,1.47
52,1995,Austria,1,8047433,77.51,1.388
53,2000,Austria,1,8113413,78.98,1.3820000000000001
54,2005,Austria,1,8184691,79.829,1.42
55,1955,Bahamas,3,87138,62.405,4.305
56,1960,Bahamas,3,112234,64.209,4.503
57,1965,Bahamas,3,139205,65.795,3.794
58,1970,Bahamas,3,170323,66.515,3.444
59,1975,Bahamas,3,189139,67.199,3.221
60,1980,Bahamas,3,209944,67.874,3.16
61,1985,Bahamas,3,234988,69.524,2.62
62,1990,Bahamas,3,257253,69.171,2.6
