,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
199,1957,1,8.6,3.9,2.0,80.6,55.6,,1957-01-01,12.5
200,1957,2,8.5,3.2,2.0,85.1,105.2,,1957-02-01,11.7
201,1957,3,12.2,7.4,0.0,83.1,98.3,,1957-03-01,19.6
202,1957,4,11.3,6.2,0.0,7.4,181.1,,1957-04-01,17.5
203,1957,5,13.6,7.4,0.0,54.1,268.7,,1957-05-01,21.0
204,1957,6,18.2,10.6,0.0,48.5,327.0,,1957-06-01,28.799999999999997
205,1957,7,17.7,12.7,0.0,123.2,142.8,,1957-07-01,30.4
206,1957,8,17.7,12.5,0.0,52.3,153.4,,1957-08-01,30.2
207,1957,9,15.3,11.1,0.0,187.7,108.3,,1957-09-01,26.4
208,1957,10,13.8,9.3,0.0,101.2,77.4,,1957-10-01,23.1
209,1957,11,9.2,5.1,1.0,59.0,63.0,,1957-11-01,14.299999999999999
210,1957,12,8.4,3.3,3.0,76.5,66.7,,1957-12-01,11.7
211,1958,1,7.7,3.2,7.0,100.2,50.9,,1958-01-01,10.9
212,1958,2,8.4,3.7,2.0,100.7,57.3,,1958-02-01,12.100000000000001
213,1958,3,7.6,1.7,8.0,21.1,128.8,,1958-03-01,9.299999999999999
214,1958,4,10.6,4.6,4.0,17.8,169.0,,1958-04-01,15.2
215,1958,5,13.4,7.8,0.0,95.3,190.8,,1958-05-01,21.2
216,1958,6,16.0,10.0,0.0,86.9,203.3,,1958-06-01,26.0
217,1958,7,17.1,11.7,0.0,113.7,161.5,,1958-07-01,28.8
218,1958,8,17.2,12.7,0.0,108.0,122.2,,1958-08-01,29.9
219,1958,9,17.6,12.1,0.0,184.5,141.5,,1958-09-01,29.700000000000003
220,1958,10,13.1,9.0,0.0,94.5,80.5,,1958-10-01,22.1
221,1958,11,10.4,5.8,0.0,73.6,52.9,,1958-11-01,16.2
222,1958,12,8.3,3.8,1.0,82.8,47.1,,1958-12-01,12.100000000000001
223,1959,1,6.4,2.1,5.0,118.0,72.1,,1959-01-01,8.5
224,1959,2,8.8,2.9,6.0,10.8,94.5,,1959-02-01,11.700000000000001
225,1959,3,10.1,5.2,0.0,94.1,113.1,,1959-03-01,15.3
226,1959,4,11.5,6.4,0.0,84.0,155.6,,1959-04-01,17.9
227,1959,5,15.5,8.9,0.0,46.2,255.1,,1959-05-01,24.4
228,1959,6,17.3,10.9,0.0,34.9,284.4,,1959-06-01,28.200000000000003
229,1959,7,19.1,12.7,0.0,55.5,243.8,,1959-07-01,31.8
230,1959,8,19.1,13.0,0.0,17.2,214.7,,1959-08-01,32.1
231,1959,9,19.6,11.5,0.0,8.9,217.4,,1959-09-01,31.1
232,1959,10,16.2,10.8,0.0,157.4,114.1,,1959-10-01,27.0
233,1959,11,10.5,6.6,0.0,229.9,46.9,,1959-11-01,17.1
234,1959,12,9.1,4.9,0.0,148.9,35.4,,1959-12-01,14.0
235,1960,1,7.9,3.4,4.0,131.0,58.7,,1960-01-01,11.3
236,1960,2,7.1,2.3,5.0,112.5,75.5,,1960-02-01,9.399999999999999
237,1960,3,10.0,4.2,0.0,58.3,110.8,,1960-03-01,14.2
238,1960,4,10.9,5.6,0.0,92.1,187.7,,1960-04-01,16.5
239,1960,5,15.5,9.2,0.0,46.9,199.2,,1960-05-01,24.7
240,1960,6,18.0,11.6,0.0,43.4,245.7,,1960-06-01,29.6
241,1960,7,17.0,11.9,0.0,89.4,165.0,,1960-07-01,28.9
242,1960,8,17.0,12.0,0.0,98.5,169.9,,1960-08-01,29.0
243,1960,9,15.7,10.6,0.0,138.4,135.2,,1960-09-01,26.299999999999997
244,1960,10,13.0,8.4,0.0,150.8,73.9,,1960-10-01,21.4
245,1960,11,10.3,5.8,0.0,204.7,49.3,,1960-11-01,16.1
246,1960,12,7.3,2.8,6.0,126.1,66.7,,1960-12-01,10.1
247,1961,1,7.2,2.3,7.0,117.5,37.5,,1961-01-01,9.5
248,1961,2,9.5,5.6,0.0,72.2,51.9,,1961-02-01,15.1
249,1961,3,11.0,5.7,0.0,14.6,118.3,,1961-03-01,16.7
250,1961,4,12.4,6.7,0.0,120.1,123.1,,1961-04-01,19.1
251,1961,5,13.8,7.7,0.0,40.0,244.5,,1961-05-01,21.5
252,1961,6,16.7,10.2,0.0,33.2,230.3,,1961-06-01,26.9
253,1961,7,16.9,11.6,0.0,50.3,185.8,,1961-07-01,28.5
254,1961,8,17.6,12.1,0.0,100.1,170.2,,1961-08-01,29.700000000000003
255,1961,9,17.7,11.9,0.0,112.9,136.6,,1961-09-01,29.6
256,1961,10,13.4,8.5,0.0,173.8,83.3,,1961-10-01,21.9
257,1961,11,9.5,5.1,0.0,63.5,59.6,,1961-11-01,14.6
258,1961,12,6.5,1.7,15.0,73.2,87.8,,1961-12-01,8.2
259,1962,1,7.8,2.8,4.0,113.3,59.5,,1962-01-01,10.6
260,1962,2,7.4,3.2,5.0,28.9,58.3,,1962-02-01,10.600000000000001
261,1962,3,6.4,0.5,14.0,37.6,140.2,,1962-03-01,6.9
262,1962,4,10.3,4.4,1.0,73.4,182.6,,1962-04-01,14.700000000000001
263,1962,5,12.1,7.3,0.0,52.3,176.0,,1962-05-01,19.4
264,1962,6,16.0,9.3,0.0,39.0,242.2,,1962-06-01,25.3
265,1962,7,17.0,11.4,0.0,53.8,149.0,,1962-07-01,28.4
266,1962,8,16.2,11.5,0.0,96.5,153.7,,1962-08-01,27.7
267,1962,9,15.0,10.4,0.0,130.8,102.1,,1962-09-01,25.4
268,1962,10,13.9,8.2,0.0,44.0,126.5,,1962-10-01,22.1
269,1962,11,8.9,4.6,0.0,72.3,43.9,,1962-11-01,13.5
