,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1957,18.2,3.2,20.599999999999998,1647.5000000000002,958.7,8.0,Aberporth
1,1958,17.6,1.7,19.458333333333332,1405.8,1079.1000000000001,22.0,Aberporth
2,1959,19.6,2.1,21.59166666666667,1847.1000000000001,1005.8,11.0,Aberporth
3,1960,18.0,2.3,19.791666666666664,1537.6000000000001,1292.1,15.0,Aberporth
4,1961,17.7,1.7,20.10833333333333,1528.8999999999996,971.4000000000001,22.0,Aberporth
5,1962,17.0,0.5,17.73333333333333,1498.3,811.1,33.0,Aberporth
6,1963,17.3,-3.5,17.2,1441.3000000000002,796.2,62.0,Aberporth
7,1964,17.7,2.4,19.366666666666664,1434.1999999999998,680.9000000000001,22.0,Aberporth
8,1965,17.7,1.4,18.525000000000002,1605.8,901.7,32.0,Aberporth
9,1966,17.0,2.2,19.341666666666665,1461.8000000000002,966.5999999999998,16.0,Aberporth
10,1967,18.2,3.3,19.041666666666668,1505.3,965.6,12.0,Aberporth
11,1968,18.0,0.2,18.625,1547.8999999999999,809.4,32.0,Aberporth
12,1969,18.5,0.1,18.716666666666665,1477.9000000000003,800.3,30.0,Aberporth
13,1970,18.5,1.9,19.125000000000004,1337.2000000000003,877.1999999999998,30.0,Aberporth
14,1971,18.4,2.7,19.691666666666666,1509.8999999999999,880.5,17.0,Aberporth
15,1972,17.0,2.7,18.3,1513.8,911.0,7.0,Aberporth
16,1973,19.5,3.2,19.491666666666667,1522.3,755.8000000000001,16.0,Aberporth
17,1974,17.1,3.0,18.825,1472.6000000000001,996.5,4.0,Aberporth
18,1975,19.3,2.8,19.766666666666666,1708.7999999999997,655.2,7.0,Aberporth
19,1976,20.4,1.6,19.499999999999996,1569.4,729.0000000000001,18.0,Aberporth
20,1977,18.1,1.8,19.09166666666667,1593.3999999999999,892.6,15.0,Aberporth
21,1978,16.3,1.5,18.733333333333334,1408.2000000000003,734.6,28.0,Aberporth
22,1979,17.6,-0.4,17.508333333333333,1472.5000000000002,975.6000000000001,37.0,Aberporth
23,1980,17.7,1.0,18.833333333333332,1387.7,827.2999999999998,18.0,Aberporth
24,1981,18.4,0.6,18.716666666666665,1324.6,942.5000000000001,26.0,Aberporth
25,1982,17.9,2.5,19.500000000000004,1475.3000000000002,917.6,17.0,Aberporth
26,1983,20.7,0.5,19.716666666666665,1484.8,821.7,22.0,Aberporth
27,1984,19.9,2.2,19.291666666666668,1660.1,852.6999999999999,14.0,Aberporth
28,1985,17.4,-0.3,17.7,1550.2000000000003,870.9999999999999,39.0,Aberporth
29,1986,17.6,-2.7,17.233333333333338,1452.1000000000001,884.9,33.0,Aberporth
30,1987,17.5,0.0,18.174999999999997,1538.2,851.7,43.0,Aberporth
31,1988,16.9,2.8,19.36666666666667,1553.0999999999997,898.0999999999999,6.0,Aberporth
32,1989,19.7,2.9,20.408333333333335,1746.6000000000001,784.3000000000001,13.0,Aberporth
33,1990,20.1,2.8,21.000000000000004,1678.9999999999998,751.7,6.0,Aberporth
34,1991,19.5,-0.1,19.025,1500.2000000000003,769.5000000000001,29.0,Aberporth
