,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
919,1929,1,5.5,0.5,13.0,33.2,27.4,,1929-01-01,6.0
920,1929,2,5.7,1.7,10.0,57.8,37.1,,1929-02-01,7.4
921,1929,3,12.6,0.9,14.0,32.5,170.4,,1929-03-01,13.5
922,1929,4,10.9,2.4,3.0,23.6,144.4,,1929-04-01,13.3
923,1929,5,15.4,5.8,0.0,71.5,192.5,,1929-05-01,21.2
924,1929,6,17.2,7.9,0.0,47.9,183.8,,1929-06-01,25.1
925,1929,7,19.3,10.4,0.0,65.5,130.0,,1929-07-01,29.700000000000003
926,1929,8,17.5,10.6,0.0,141.8,84.8,,1929-08-01,28.1
927,1929,9,17.9,9.9,0.0,38.1,134.6,,1929-09-01,27.799999999999997
928,1929,10,12.2,5.5,2.0,140.9,115.9,,1929-10-01,17.7
929,1929,11,9.6,3.2,5.0,90.6,49.8,,1929-11-01,12.8
930,1929,12,7.8,2.1,4.0,153.9,56.0,,1929-12-01,9.9
931,1930,1,7.3,1.3,8.0,104.5,44.0,,1930-01-01,8.6
932,1930,2,4.8,-1.1,18.0,22.5,71.9,,1930-02-01,3.6999999999999997
933,1930,3,8.7,1.6,10.0,56.6,83.8,,1930-03-01,10.299999999999999
934,1930,4,11.8,4.0,2.0,40.2,153.1,,1930-04-01,15.8
935,1930,5,15.1,6.3,0.0,41.4,154.8,,1930-05-01,21.4
936,1930,6,19.1,8.9,0.0,39.7,237.6,,1930-06-01,28.0
937,1930,7,18.1,11.0,0.0,85.2,95.2,,1930-07-01,29.1
938,1930,8,17.5,10.6,0.0,150.7,106.6,,1930-08-01,28.1
939,1930,9,16.4,8.9,0.0,76.8,118.7,,1930-09-01,25.299999999999997
940,1930,10,12.6,6.7,0.0,138.1,70.9,,1930-10-01,19.3
941,1930,11,9.1,2.5,7.0,80.4,65.3,,1930-11-01,11.6
942,1930,12,7.5,2.6,4.0,66.9,30.2,,1930-12-01,10.1
943,1931,1,6.4,1.0,11.0,71.0,58.6,,1931-01-01,7.4
944,1931,2,7.6,1.1,7.0,69.0,53.3,,1931-02-01,8.7
945,1931,3,8.1,1.5,8.0,35.5,116.8,,1931-03-01,9.6
946,1931,4,11.6,3.8,1.0,87.8,116.0,,1931-04-01,15.399999999999999
