,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1929,19.3,0.5,17.708333333333336,1326.7,897.3000000000001,51.0,Armagh,18.179979227178976,19.518262734069374,-0.1125017653101672,1236.641380590836,823.4805662828267,41.57356199805153
1,1930,19.1,-1.1,17.608333333333334,1232.1000000000001,902.9999999999999,49.0,Armagh,18.195678545239016,19.52730058447,-0.10092129476629452,1236.5478238833382,823.1846734516706,41.530741846059215
2,1931,17.8,1.0,17.916666666666668,1147.3,980.4,36.0,Armagh,18.211377863299056,19.53633843487063,-0.08934082422242184,1236.4542671758406,822.8887806205145,41.48792169406691
3,1932,19.6,1.0,18.383333333333336,1283.5,817.4,36.0,Armagh,18.227077181359096,19.545376285271253,-0.07776035367854561,1236.360710468343,822.5928877893584,41.445101542074596
4,1933,20.8,0.4,19.291666666666668,1289.4,558.0,43.0,Armagh,18.242776499419136,19.55441413567188,-0.06617988313467293,1236.2671537608455,822.2969949582024,41.402281390082294
5,1934,22.2,1.2,19.2,1289.9,887.3,28.0,Armagh,18.258475817479173,19.563451986072508,-0.054599412590800256,1236.1735970533477,822.0011021270464,41.35946123808998
6,1935,20.2,0.4,18.425,1417.3999999999999,790.3000000000001,31.0,Armagh,18.274175135539213,19.572489836473135,-0.04301894204692758,1236.0800403458502,821.7052092958903,41.316641086097675
7,1936,19.9,0.5,18.150000000000002,1252.9999999999998,897.6999999999999,52.0,Armagh,18.289874453599253,19.581527686873763,-0.0314384715030549,1235.9864836383526,821.4093164647343,41.27382093410536
8,1937,20.3,-0.1,18.24166666666667,1075.0000000000002,776.6999999999999,45.0,Armagh,18.305573771659294,19.59056553727439,-0.01985800095918222,1235.892926930855,821.1134236335781,41.23100078211306
9,1938,19.2,1.2,19.425,1156.1000000000001,916.5999999999999,23.0,Armagh,18.321273089719334,19.599603387675014,-0.00827753041530599,1235.7993702233575,820.8175308024221,41.18818063012074
10,1939,19.8,0.4,18.816666666666666,1276.3,826.5,35.0,Armagh,18.33697240777937,19.60864123807564,0.0033029401285666893,1235.7058135158597,820.521637971266,41.14536047812844
11,1940,21.4,-1.2,18.433333333333334,1224.1,875.4,43.0,Armagh,18.35267172583941,19.61767908847627,0.014883410672439368,1235.6122568083622,820.22574514011,41.10254032613612
12,1941,19.2,-1.5,18.316666666666666,1207.0,751.4,43.0,Armagh,18.36837104389945,19.626716938876896,0.026463881216312046,1235.5187001008646,819.929852308954,41.05972017414382
13,1942,18.9,-0.2,18.55,1311.5,867.0999999999999,40.0,Armagh,18.38407036195949,19.635754789277524,0.038044351760184725,1235.425143393367,819.6339594777979,41.0169000221515
