,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
43,1911,1,5.8,1.8,6.0,33.0,23.5,,1911-01-01,7.6
44,1911,2,6.9,1.3,8.0,91.7,65.8,,1911-02-01,8.200000000000001
45,1911,3,6.4,1.9,2.0,25.1,83.6,,1911-03-01,8.3
46,1911,4,10.0,3.9,3.0,26.4,128.3,,1911-04-01,13.9
47,1911,5,16.3,7.9,0.0,24.6,192.3,,1911-05-01,24.200000000000003
48,1911,6,17.8,9.0,0.0,84.3,225.3,,1911-06-01,26.8
49,1911,7,22.2,11.7,0.0,4.9,280.6,,1911-07-01,33.9
50,1911,8,21.6,12.5,0.0,51.8,204.8,,1911-08-01,34.1
51,1911,9,17.3,8.6,0.0,74.5,171.2,,1911-09-01,25.9
52,1911,10,11.4,5.6,1.0,87.3,57.6,,1911-10-01,17.0
53,1911,11,7.9,3.2,4.0,90.1,59.3,,1911-11-01,11.100000000000001
54,1911,12,8.2,3.3,0.0,119.1,18.4,,1911-12-01,11.5
55,1912,1,4.8,0.1,11.0,140.0,15.4,,1912-01-01,4.8999999999999995
56,1912,2,6.6,1.3,7.0,57.3,48.1,,1912-02-01,7.8999999999999995
57,1912,3,9.0,3.5,3.0,121.7,71.7,,1912-03-01,12.5
58,1912,4,12.4,3.4,5.0,15.5,184.9,,1912-04-01,15.8
59,1912,5,14.9,6.6,0.0,75.4,135.4,,1912-05-01,21.5
60,1912,6,16.7,9.9,0.0,156.7,122.9,,1912-06-01,26.6
61,1912,7,18.3,11.7,0.0,92.1,107.4,,1912-07-01,30.0
62,1912,8,15.1,9.2,0.0,144.0,87.0,,1912-08-01,24.299999999999997
63,1912,9,13.7,7.7,0.0,41.2,102.0,,1912-09-01,21.4
64,1912,10,11.6,4.2,1.0,85.1,71.3,,1912-10-01,15.8
65,1912,11,8.3,3.8,4.0,63.9,39.5,,1912-11-01,12.100000000000001
66,1912,12,8.9,2.4,5.0,107.1,15.4,,1912-12-01,11.3
67,1913,1,5.4,1.1,12.0,108.7,7.2,,1913-01-01,6.5
68,1913,2,7.2,1.2,8.0,32.1,40.8,,1913-02-01,8.4
69,1913,3,8.3,2.1,3.0,112.6,93.8,,1913-03-01,10.4
70,1913,4,10.6,3.8,3.0,90.9,96.4,,1913-04-01,14.399999999999999
71,1913,5,14.7,6.8,0.0,65.8,148.5,,1913-05-01,21.5
72,1913,6,17.4,9.5,0.0,40.9,181.8,,1913-06-01,26.9
73,1913,7,17.5,10.4,0.0,18.3,131.2,,1913-07-01,27.9
74,1913,8,18.5,10.1,0.0,40.7,142.4,,1913-08-01,28.6
75,1913,9,16.9,10.3,0.0,42.7,109.9,,1913-09-01,27.2
76,1913,10,12.7,7.3,1.0,65.9,66.3,,1913-10-01,20.0
77,1913,11,10.1,5.1,0.0,82.4,35.8,,1913-11-01,15.2
78,1913,12,6.8,2.3,7.0,68.6,11.9,,1913-12-01,9.1
79,1914,1,6.0,0.7,10.0,59.5,17.4,,1914-01-01,6.7
80,1914,2,9.5,3.5,2.0,68.4,50.3,,1914-02-01,13.0
81,1914,3,8.5,2.6,3.0,91.0,87.7,,1914-03-01,11.1
82,1914,4,14.1,4.4,0.0,37.3,194.4,,1914-04-01,18.5
83,1914,5,13.7,5.9,2.0,25.3,136.4,,1914-05-01,19.6
84,1914,6,18.4,9.1,0.0,70.0,233.7,,1914-06-01,27.5
85,1914,7,19.2,11.5,0.0,103.9,129.3,,1914-07-01,30.7
86,1914,8,19.7,11.1,0.0,58.3,175.9,,1914-08-01,30.799999999999997
87,1914,9,17.0,8.4,0.0,39.9,167.2,,1914-09-01,25.4
88,1914,10,12.5,7.2,0.0,54.0,56.8,,1914-10-01,19.7
89,1914,11,9.1,3.5,7.0,136.6,37.6,,1914-11-01,12.6
90,1914,12,6.4,1.7,6.0,182.4,4.6,,1914-12-01,8.1
91,1915,1,5.4,1.3,8.0,119.5,20.8,,1915-01-01,6.7
92,1915,2,6.3,0.8,8.0,111.6,49.0,,1915-02-01,7.1
93,1915,3,7.9,1.5,10.0,27.3,111.5,,1915-03-01,9.4
94,1915,4,10.9,3.5,0.0,34.4,159.9,,1915-04-01,14.4
