,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1911,22.2,1.3,18.541666666666668,1510.7,712.8,24.0,Bradford
1,1912,18.3,0.1,17.008333333333336,1001.0,1100.0,36.0,Bradford
2,1913,18.5,1.1,18.00833333333333,1066.0000000000002,769.6,34.0,Bradford
3,1914,19.7,0.7,18.641666666666662,1291.3,926.6,30.0,Bradford
4,1915,18.6,-0.6,16.208333333333332,1251.3000000000002,933.3999999999999,47.0,Bradford
5,1916,20.1,-0.6,17.008333333333336,1101.6000000000001,968.4999999999999,49.0,Bradford
6,1917,19.9,-2.3,15.775,1226.8999999999999,750.6999999999999,93.0,Bradford
7,1918,19.0,0.2,17.53333333333333,1231.6,962.5,46.0,Bradford
8,1919,18.9,-1.4,15.424999999999997,1275.8000000000002,910.1999999999999,71.0,Bradford
9,1920,17.5,1.7,17.716666666666665,1012.4,1001.1999999999999,24.0,Bradford
10,1921,22.4,0.9,19.366666666666667,1355.4999999999998,676.8,26.0,Bradford
11,1922,17.0,0.1,15.950000000000001,1123.5,900.4,51.0,Bradford
12,1923,20.0,0.5,16.575,1221.1000000000001,965.7,48.0,Bradford
13,1924,18.0,-1.3,17.116666666666667,1069.1,844.0999999999999,51.0,Bradford
14,1925,20.8,-0.8,17.033333333333335,1204.4000000000003,936.1999999999998,58.0,Bradford
15,1926,20.2,1.5,17.825,1179.2,828.9,35.0,Bradford
16,1927,18.7,-0.5,16.75833333333333,1069.3999999999999,981.8000000000001,46.0,Bradford
17,1928,18.8,-0.1,17.35833333333333,1231.9999999999998,1100.2,43.0,Bradford
18,1929,12.0,2.4,12.733333333333334,156.29999999999998,436.7,19.0,Bradford
19,1930,18.7,-0.5,17.05833333333333,1190.1,1092.3000000000002,51.0,Bradford
20,1931,18.0,-0.7,16.599999999999998,1102.0,935.5999999999999,58.0,Bradford
21,1932,19.6,0.4,17.65,1056.7,751.9999999999999,43.0,Bradford
22,1933,21.4,-0.3,18.666666666666668,1343.1999999999998,632.0999999999999,44.0,Bradford
23,1934,22.4,1.1,19.108333333333334,1283.4000000000003,702.8999999999999,29.0,Bradford
24,1935,21.4,-0.2,18.225,1411.1000000000001,1016.4000000000001,32.0,Bradford
25,1936,19.4,-1.3,17.349999999999998,1161.6,876.9,49.0,Bradford
26,1937,20.3,-0.6,17.633333333333336,1020.5,772.0,57.0,Bradford
27,1938,19.3,1.2,19.183333333333337,1196.5,962.0000000000001,18.0,Bradford
28,1939,19.3,0.9,18.116666666666667,1186.7,869.4999999999999,27.0,Bradford
29,1940,21.8,-4.9,16.591666666666665,1241.2000000000003,729.4000000000001,65.0,Bradford
30,1941,22.2,-2.3,16.766666666666666,1084.5000000000002,794.8000000000001,60.0,Bradford
31,1942,19.1,-3.4,16.666666666666668,1192.2,727.3,68.0,Bradford
32,1943,19.9,0.9,18.558333333333334,1313.3999999999996,705.1999999999999,33.0,Bradford
33,1944,19.4,0.6,17.6,1085.3000000000002,994.1,42.0,Bradford
34,1945,20.0,-2.5,19.283333333333335,1204.8999999999999,811.0999999999999,41.0,Bradford
35,1946,19.7,-0.7,17.625,1259.9999999999998,939.0,49.0,Bradford
36,1947,22.9,-3.8,17.64166666666667,1278.8000000000002,886.4000000000001,79.0,Bradford
37,1948,18.9,1.8,18.45,1270.9,763.2,29.0,Bradford
38,1949,20.7,1.4,19.750000000000004,1527.4,790.9000000000001,32.0,Bradford
39,1950,20.1,-1.3,17.549999999999997,1314.8,870.6999999999999,47.0,Bradford
40,1951,19.1,0.0,16.825000000000003,1271.6,1057.5,44.0,Bradford
41,1952,19.0,-0.8,16.749999999999996,1318.4,726.9,61.0,Bradford
42,1953,19.5,1.1,18.858333333333334,1250.1,691.9,35.0,Bradford
43,1954,16.6,-0.7,16.85833333333333,1067.2,1047.6,46.0,Bradford
44,1955,22.4,-1.7,17.133333333333336,1471.3000000000002,621.6,72.0,Bradford
45,1956,17.6,-3.0,16.291666666666668,1240.4,890.6999999999999,55.0,Bradford
46,1957,19.5,1.0,18.48333333333333,1331.4000000000003,823.0,33.0,Bradford
47,1958,18.8,-0.2,17.058333333333334,1105.1000000000001,993.2,65.0,Bradford
48,1959,20.8,-2.2,19.491666666666667,1382.2,743.5,37.0,Bradford
49,1960,20.4,0.2,18.025,1271.2,1048.4,37.0,Bradford
50,1961,18.3,-1.6,18.183333333333334,1218.1,924.3,38.0,Bradford
51,1962,17.3,-1.9,15.85,1232.3999999999999,740.8000000000001,58.0,Bradford
52,1963,18.6,-3.7,15.758333333333333,1166.4,802.6,75.0,Bradford
53,1964,18.6,-0.2,17.5,1223.2000000000003,697.4000000000001,47.0,Bradford
54,1965,18.2,0.5,14.7,920.7,789.0,58.0,Bradford
55,1966,18.6,0.4,17.291666666666668,1123.1,1112.0,48.0,Bradford
56,1967,19.7,1.3,17.866666666666664,1286.6,975.7,43.0,Bradford
57,1968,18.5,-1.0,17.416666666666664,1071.1000000000001,1048.1999999999998,61.0,Bradford
58,1969,20.3,-2.6,16.84166666666667,1228.8000000000002,930.3,79.0,Bradford
59,1970,20.7,-0.6,17.724999999999998,1365.1000000000001,855.7,54.0,Bradford
60,1971,20.9,1.4,18.349999999999998,1248.1000000000001,694.3000000000001,38.0,Bradford
61,1972,18.6,1.0,17.000000000000004,1128.3000000000002,849.1999999999998,31.0,Bradford
62,1973,19.2,1.2,17.816666666666663,1280.6,735.0999999999999,49.0,Bradford
63,1974,17.8,1.6,16.133333333333333,873.1999999999999,654.5999999999999,17.0,Bradford
64,1975,23.1,1.2,18.658333333333335,1443.8,645.6999999999999,32.0,Bradford
65,1976,22.4,-0.5,18.172727272727272,1272.3999999999999,670.5999999999999,50.0,Bradford
66,1977,18.5,-0.6,17.041666666666668,1283.2999999999997,886.8000000000001,36.0,Bradford
67,1978,17.7,-0.1,19.06,977.9000000000001,712.0999999999999,39.0,Bradford
68,1979,18.9,-3.7,16.09166666666667,1205.3,978.8,78.0,Bradford
69,1980,18.6,-0.4,17.383333333333336,1174.2,996.5,50.0,Bradford
70,1981,19.3,-4.2,13.9875,650.5,714.9000000000001,61.0,Bradford
71,1982,19.6,-0.9,18.24166666666667,1211.1,870.8000000000001,48.0,Bradford
72,1983,22.8,-1.3,17.045454545454547,872.7,962.3,49.0,Bradford
73,1984,17.9,0.0,12.459999999999999,476.79999999999995,348.20000000000005,33.0,Bradford
74,1985,19.1,0.5,21.150000000000002,532.5999999999999,373.0,20.0,Bradford
75,1986,18.6,-2.8,16.391666666666666,1258.1000000000001,989.4000000000001,48.0,Bradford
76,1987,18.7,-1.5,16.33636363636364,928.0999999999999,734.8000000000002,55.0,Bradford
77,1988,12.5,1.8,12.614285714285714,528.9,557.2,29.0,Bradford
78,1989,21.4,2.4,19.841666666666665,1437.1,707.3,20.0,Bradford
79,1990,21.4,1.3,19.666666666666668,1284.3,866.5000000000001,15.0,Bradford
80,1991,21.2,-1.9,17.8,991.0999999999999,744.7,53.0,Bradford
81,1992,19.7,0.6,18.391666666666666,1149.8,830.9000000000001,43.0,Bradford
82,1993,18.5,1.2,17.21818181818182,903.3,857.7,46.0,Bradford
83,1994,22.1,-0.6,18.73333333333333,1247.3,966.6000000000001,34.0,Bradford
84,1995,23.3,0.1,20.41,1307.9,450.0,39.0,Bradford
85,1996,20.1,-0.3,14.3625,743.4000000000001,555.1,54.0,Bradford
86,1997,22.1,0.1,20.263636363636365,1196.6999999999998,743.4000000000001,30.0,Bradford
87,1998,18.0,2.1,16.866666666666664,733.6,876.6999999999999,28.0,Bradford
88,1999,21.5,2.4,22.3375,1001.4000000000001,512.6,15.0,Bradford
89,2000,18.1,3.0,17.05,564.3,617.5,13.0,Bradford
90,2001,16.8,0.1,12.725,470.79999999999995,286.0,31.0,Bradford
91,2002,20.2,4.7,25.0,537.6,393.2,5.0,Bradford
