,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
13,1979,3,8.8,3.6,2.0,143.8,105.0,,1979-03-01,12.4
14,1979,4,10.6,5.5,0.0,65.9,161.1,,1979-04-01,16.1
15,1979,5,12.4,5.8,0.0,82.3,227.0,,1979-05-01,18.2
16,1979,6,16.0,10.4,0.0,43.2,192.5,,1979-06-01,26.4
17,1979,7,18.2,12.1,0.0,27.9,198.9,,1979-07-01,30.299999999999997
18,1979,8,17.3,11.8,0.0,78.6,186.6,,1979-08-01,29.1
19,1979,9,16.3,10.9,0.0,40.0,145.3,,1979-09-01,27.200000000000003
20,1979,10,14.8,9.6,0.0,141.6,106.4,,1979-10-01,24.4
21,1979,11,11.3,7.1,0.0,83.1,65.4,,1979-11-01,18.4
22,1979,12,9.9,5.6,2.0,215.2,43.5,,1979-12-01,15.5
23,1980,1,7.3,2.0,9.0,120.3,69.4,,1980-01-01,9.3
24,1980,2,10.0,5.8,0.0,160.2,79.3,,1980-02-01,15.8
25,1980,3,8.8,4.2,2.0,114.5,106.4,,1980-03-01,13.0
26,1980,4,11.3,6.5,0.0,18.4,198.1,,1980-04-01,17.8
27,1980,5,14.0,7.4,0.0,40.2,246.7,,1980-05-01,21.4
28,1980,6,16.0,10.5,0.0,82.8,191.3,,1980-06-01,26.5
29,1980,7,16.7,11.5,0.0,41.7,185.0,,1980-07-01,28.2
30,1980,8,18.0,12.8,0.0,46.6,143.9,,1980-08-01,30.8
31,1980,9,17.1,11.7,0.0,81.7,147.2,,1980-09-01,28.8
32,1980,10,12.9,8.2,0.0,143.8,91.2,,1980-10-01,21.1
33,1980,11,9.5,5.7,3.0,131.4,65.9,,1980-11-01,15.2
34,1980,12,9.9,5.6,3.0,92.8,46.8,,1980-12-01,15.5
35,1981,1,9.2,5.1,0.0,64.6,68.0,,1981-01-01,14.299999999999999
36,1981,2,7.8,2.8,7.0,90.6,98.8,,1981-02-01,10.6
37,1981,3,10.7,7.0,0.0,161.7,81.7,,1981-03-01,17.7
38,1981,4,11.1,5.7,0.0,36.2,135.9,,1981-04-01,16.8
39,1981,5,12.9,8.1,0.0,114.2,121.8,,1981-05-01,21.0
40,1981,6,15.2,10.1,0.0,49.0,197.1,,1981-06-01,25.299999999999997
41,1981,7,17.3,12.4,0.0,49.8,120.8,,1981-07-01,29.700000000000003
42,1981,8,19.5,12.7,0.0,4.4,236.4,,1981-08-01,32.2
44,1981,10,12.0,7.8,0.0,150.3,64.6,,1981-10-01,19.8
45,1981,11,11.3,7.6,0.0,48.1,39.9,,1981-11-01,18.9
46,1981,12,8.3,3.2,3.0,202.8,54.1,,1981-12-01,11.5
47,1982,1,8.9,4.9,4.0,111.2,41.9,,1982-01-01,13.8
48,1982,2,9.2,5.0,2.0,88.6,68.6,,1982-02-01,14.2
49,1982,3,9.9,4.6,0.0,142.3,167.9,,1982-03-01,14.5
50,1982,4,12.0,5.9,0.0,31.6,227.1,,1982-04-01,17.9
51,1982,5,14.2,8.0,0.0,34.5,208.0,,1982-05-01,22.2
52,1982,6,17.0,11.1,0.0,114.2,169.9,,1982-06-01,28.1
53,1982,7,18.9,12.7,0.0,40.1,173.9,,1982-07-01,31.599999999999998
54,1982,8,18.2,12.8,0.0,67.4,141.9,,1982-08-01,31.0
55,1982,9,17.4,11.5,0.0,82.8,126.4,,1982-09-01,28.9
56,1982,10,13.3,8.9,0.0,167.5,72.6,,1982-10-01,22.200000000000003
57,1982,11,11.4,7.6,0.0,175.7,73.7,,1982-11-01,19.0
58,1982,12,9.1,4.1,2.0,148.7,38.4,,1982-12-01,13.2
59,1983,1,9.8,5.9,0.0,133.9,32.8,,1983-01-01,15.700000000000001
60,1983,2,6.3,1.9,9.0,32.2,79.6,,1983-02-01,8.2
61,1983,3,9.6,5.5,0.0,62.8,82.6,,1983-03-01,15.1
62,1983,4,10.1,4.6,0.0,156.5,178.4,,1983-04-01,14.7
63,1983,5,12.5,7.6,0.0,89.7,181.7,,1983-05-01,20.1
64,1983,6,16.3,10.8,0.0,29.0,173.0,,1983-06-01,27.1
65,1983,7,21.7,14.6,0.0,26.3,253.1,,1983-07-01,36.3
66,1983,8,20.8,13.9,0.0,15.0,234.5,,1983-08-01,34.7
