,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1979,18.2,3.6,21.8,1431.7000000000003,921.6000000000001,4.0,Camborne,20.807919309372792,19.13340380549683,2.572832980972521,1625.5855179704017,1041.6161733615227,11.317124735729408
1,1980,18.0,2.0,20.283333333333335,1571.2,1074.4,17.0,Camborne,20.860024665257214,19.142887345212927,2.6204167925098147,1624.5178797946242,1042.9519480519484,11.182422228933888
2,1981,19.5,2.8,19.8,1219.1,971.7,10.0,Camborne,20.91213002114165,19.152370884929027,2.6680006040471227,1623.4502416188466,1044.2877227423742,11.047719722138368
3,1982,18.9,4.1,21.38333333333333,1510.3000000000002,1204.6000000000001,8.0,Camborne,20.96423537702607,19.161854424645124,2.7155844155844164,1622.382603443069,1045.6234974328,10.913017215342848
4,1983,21.7,1.9,21.566666666666666,1544.6999999999996,952.9000000000001,12.0,Camborne,21.016340732910493,19.17133796436122,2.7631682271217244,1621.314965267291,1046.9592721232257,10.77831470854727
5,1984,20.3,3.0,21.133333333333333,1813.1,1046.6,8.0,Camborne,21.06844608879493,19.18082150407732,2.810752038659018,1620.2473270915134,1048.2950468136519,10.64361220175175
6,1985,18.3,0.8,19.975000000000005,1596.8,1072.0,28.0,Camborne,21.12055144467935,19.19030504379342,2.858335850196326,1619.1796889157358,1049.6308215040776,10.50890969495623
7,1986,17.6,-0.8,18.900000000000002,1507.1,1204.2,23.0,Camborne,21.17265680056377,19.199788583509516,2.90591966173362,1618.1120507399578,1050.9665961945034,10.37420718816071
8,1987,18.7,1.4,20.333333333333332,1589.3000000000002,1006.6999999999999,18.0,Camborne,21.224762156448193,19.209272123225613,2.9535034732709278,1617.0444125641802,1052.3023708849291,10.23950468136519
9,1988,17.7,3.9,21.491666666666664,1519.1999999999998,1193.3000000000002,2.0,Camborne,21.27686751233263,19.21875566294171,3.0010872848082215,1615.9767743884026,1053.6381455753553,10.10480217456967
10,1989,20.9,4.4,23.13333333333333,1924.0000000000002,955.3,1.0,Camborne,21.32897286821705,19.228239202657807,3.0486710963455153,1614.909136212625,1054.973920265781,9.970099667774093
11,1990,20.3,3.9,22.908333333333335,1875.9999999999998,1061.7,2.0,Camborne,21.381078224101472,19.237722742373908,3.096254907882823,1613.841498036847,1056.3096949562068,9.835397160978573
12,1991,19.2,1.6,20.725000000000005,1504.7000000000003,1035.3999999999999,7.0,Camborne,21.433183579985908,19.247206282090005,3.143838719420117,1612.7738598610695,1057.6454696466326,9.700694654183053
13,1992,19.0,3.2,21.191666666666666,1479.1999999999998,981.6000000000001,6.0,Camborne,21.48528893587033,19.256689821806102,3.191422530957425,1611.706221685292,1058.9812443370583,9.565992147387533
14,1993,18.0,5.3,21.141666666666662,1582.8999999999999,1376.8000000000002,7.0,Camborne,21.53739429175475,19.2661733615222,3.2390063424947186,1610.6385835095139,1060.3170190274845,9.431289640592013
15,1994,19.2,4.0,22.008333333333336,1541.8,1154.8,3.0,Camborne,21.589499647639173,19.2756569012383,3.2865901540320266,1609.5709453337363,1061.6527937179103,9.296587133796436
16,1995,22.5,4.1,22.816666666666666,1798.1000000000001,906.9000000000001,7.0,Camborne,21.64160500352361,19.285140440954397,3.3341739655693203,1608.5033071579587,1062.988568408336,9.161884627000916
17,1996,18.6,2.5,20.283333333333335,1814.8999999999999,987.7999999999998,18.0,Camborne,21.69371035940803,19.294623980670494,3.381757777106614,1607.4356689821807,1064.3243430987618,9.027182120205396
18,1997,20.5,2.1,22.63333333333333,1746.9,1067.4,11.0,Camborne,21.74581571529245,19.30410752038659,3.429341588643922,1606.368030806403,1065.660117789188,8.892479613409876
19,1998,18.8,4.5,22.28333333333333,1669.3,1289.3,6.0,Camborne,21.797921071176887,19.31359106010269,3.4769254001812158,1605.3003926306255,1066.9958924796138,8.757777106614355
20,1999,19.5,5.3,22.808333333333337,1726.9,1059.7,3.0,Camborne,21.85002642706131,19.32307459981879,3.5245092117185237,1604.232754454848,1068.3316671700395,8.623074599818835
21,2000,19.7,4.3,22.049999999999997,1566.4,1205.2000000000003,3.0,Camborne,21.90213178294573,19.332558139534886,3.5720930232558175,1603.16511627907,1069.6674418604653,8.488372093023258
22,2001,19.3,4.2,22.166666666666668,1784.4,848.1999999999999,9.0,Camborne,21.954237138830152,19.342041679250983,3.6196768347931254,1602.0974781032924,1071.003216550891,8.353669586227738
23,2002,18.1,6.1,22.21666666666667,1574.9,1238.2,3.0,Camborne,22.006342494714588,19.35152521896708,3.667260646330419,1601.0298399275148,1072.3389912413172,8.218967079432218
24,2003,21.0,4.0,22.691666666666663,1762.8,910.5000000000001,10.0,Camborne,22.05844785059901,19.36100875868318,3.714844457867713,1599.9622017517368,1073.674765931743,8.084264572636698
25,2004,19.5,4.0,22.383333333333336,1695.4999999999998,1046.1000000000001,8.0,Camborne,22.11055320648343,19.370492298399277,3.762428269405021,1598.8945635759592,1075.0105406221687,7.949562065841178
26,2005,19.4,3.2,22.049999999999997,1662.4,862.6999999999999,13.0,Camborne,22.162658562367866,19.379975838115374,3.8100120809423146,1597.8269254001816,1076.3463153125945,7.814859559045658
27,2006,21.3,3.1,22.808333333333334,1712.8,931.2,12.0,Camborne,22.214763918252288,19.38945937783147,3.8575958924796225,1596.7592872244036,1077.6820900030207,7.680157052250081
28,2007,18.1,5.8,23.175,1685.0,1007.8,2.0,Camborne,22.26686927413671,19.398942917547572,3.9051797040169163,1595.691649048626,1079.0178646934464,7.545454545454561
29,2008,18.0,4.7,21.875,1656.4,970.5999999999999,1.0,Camborne,22.31897463002113,19.40842645726367,3.9527635155542242,1594.6240108728484,1080.3536393838722,7.410752038659041
30,2009,18.2,3.7,21.833333333333332,1611.0000000000002,1191.8999999999999,8.0,Camborne,22.371079985905567,19.417909996979766,4.000347327091518,1593.5563726970709,1081.689414074298,7.276049531863521
31,2010,18.6,1.4,20.249999999999996,1807.0000000000002,906.7000000000002,37.0,Camborne,22.42318534178999,19.427393536695863,4.047931138628826,1592.4887345212928,1083.0251887647237,7.141347025068001
32,2011,17.6,3.5,22.950000000000003,1560.3,862.8000000000001,11.0,Camborne,22.47529069767441,19.436877076411964,4.09551495016612,1591.4210963455153,1084.3609634551499,7.006644518272424
33,2012,19.0,4.1,21.808333333333334,1380.2,1327.8,7.0,Camborne,22.527396053558846,19.44636061612806,4.143098761703413,1590.3534581697377,1085.6967381455756,6.871942011476904
34,2013,20.8,2.8,21.46666666666667,1544.7,1070.6,12.0,Camborne,22.579501409443267,19.455844155844158,4.190682573240721,1589.2858199939596,1087.0325128360014,6.7372395046813836
35,2014,20.3,4.7,23.29166666666666,1619.2,1161.8000000000002,1.0,Camborne,22.63160676532769,19.465327695560255,4.238266384778015,1588.218181818182,1088.3682875264271,6.6025369978858635
36,2015,18.2,3.5,22.53333333333333,1517.1000000000001,1084.8000000000002,3.0,Camborne,22.68371212121211,19.474811235276352,4.285850196315323,1587.1505436424045,1089.7040622168533,6.467834491090343
37,2016,19.4,4.6,22.691666666666666,1437.2,1147.3000000000002,0.0,Camborne,22.735817477096546,19.484294774992453,4.333434007852617,1586.082905466627,1091.039836907279,6.333131984294823
38,2017,18.7,5.3,23.09166666666667,1339.6000000000001,1005.0,2.0,Camborne,22.787922832980968,19.49377831470855,4.381017819389925,1585.015267290849,1092.3756115977048,6.198429477499246
39,2018,21.5,2.7,23.066666666666666,1522.6,1196.9999999999998,10.0,Camborne,22.84002818886539,19.503261854424647,4.4286016309272185,1583.9476291150713,1093.7113862881306,6.063726970703726
40,2019,20.1,5.5,23.100000000000005,1522.7999999999997,1258.0000000000002,1.0,Camborne,22.892133544749825,19.512745394140744,4.476185442464512,1582.8799909392937,1095.0471609785563,5.929024463908206
41,2020,19.1,5.1,23.108333333333334,1520.1,1184.8000000000002,0.0,Camborne,22.944238900634247,19.522228933856844,4.52376925400182,1581.8123527635157,1096.3829356689826,5.794321957112686
42,2021,20.0,3.7,22.58333333333334,1486.5,1052.0,11.0,Camborne,22.996344256518668,19.53171247357294,4.571353065539114,1580.7447145877381,1097.7187103594083,5.659619450317166
