,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
31,1961,1,6.2,1.0,5.0,55.9,50.5,,1961-01-01,7.2
32,1961,2,10.3,4.3,0.0,50.4,65.9,,1961-02-01,14.600000000000001
33,1961,3,13.7,3.3,1.0,5.2,170.4,,1961-03-01,17.0
34,1961,4,14.9,6.2,0.0,44.5,101.0,,1961-04-01,21.1
35,1961,5,16.4,6.4,0.0,23.6,218.4,,1961-05-01,22.799999999999997
36,1961,6,21.4,9.8,0.0,32.7,243.2,,1961-06-01,31.2
37,1961,7,20.9,11.3,0.0,32.8,185.6,,1961-07-01,32.2
38,1961,8,21.3,11.6,0.0,50.3,182.6,,1961-08-01,32.9
39,1961,9,20.4,11.5,0.0,63.8,131.1,,1961-09-01,31.9
40,1961,10,15.3,7.3,0.0,57.8,141.4,,1961-10-01,22.6
41,1961,11,9.4,2.9,6.0,41.5,72.7,,1961-11-01,12.3
42,1961,12,5.5,-0.6,18.0,79.7,58.3,,1961-12-01,4.9
43,1962,1,7.3,0.7,9.0,62.3,73.5,,1962-01-01,8.0
44,1962,2,7.6,1.2,9.0,11.4,79.3,,1962-02-01,8.799999999999999
45,1962,3,6.8,-1.4,17.0,26.5,102.4,,1962-03-01,5.4
46,1962,4,12.3,4.1,1.0,38.8,139.5,,1962-04-01,16.4
47,1962,5,14.5,6.6,1.0,45.9,160.1,,1962-05-01,21.1
48,1962,6,19.6,8.0,0.0,0.5,289.6,,1962-06-01,27.6
49,1962,7,19.4,11.0,0.0,56.0,126.4,,1962-07-01,30.4
50,1962,8,19.9,11.0,0.0,55.1,182.1,,1962-08-01,30.9
51,1962,9,17.5,8.9,0.0,73.6,129.6,,1962-09-01,26.4
52,1962,10,14.9,6.5,1.0,32.5,104.4,,1962-10-01,21.4
53,1962,11,8.2,2.6,8.0,35.5,34.2,,1962-11-01,10.799999999999999
54,1962,12,4.6,-2.5,18.0,33.7,68.6,,1962-12-01,2.0999999999999996
55,1963,1,-0.1,-5.7,29.0,24.7,58.0,,1963-01-01,-5.8
56,1963,2,1.2,-3.5,27.0,13.2,59.0,,1963-02-01,-2.3
57,1963,3,9.9,2.8,7.0,50.3,102.6,,1963-03-01,12.7
58,1963,4,13.4,4.7,3.0,41.0,124.9,,1963-04-01,18.1
59,1963,5,15.8,6.3,0.0,43.5,189.5,,1963-05-01,22.1
60,1963,6,20.6,10.0,0.0,43.0,201.8,,1963-06-01,30.6
61,1963,7,20.6,10.6,0.0,52.4,170.1,,1963-07-01,31.200000000000003
62,1963,8,19.0,10.6,0.0,100.4,119.6,,1963-08-01,29.6
63,1963,9,17.9,9.3,0.0,44.1,134.0,,1963-09-01,27.2
64,1963,10,14.3,8.0,0.0,48.6,78.4,,1963-10-01,22.3
65,1963,11,11.4,5.2,1.0,78.6,52.8,,1963-11-01,16.6
66,1963,12,5.0,-0.7,20.0,11.1,48.7,,1963-12-01,4.3
67,1964,1,5.0,-0.3,15.0,18.7,45.8,,1964-01-01,4.7
68,1964,2,7.4,1.8,8.0,16.6,70.8,,1964-02-01,9.200000000000001
69,1964,3,6.7,1.5,10.0,76.2,52.4,,1964-03-01,8.2
70,1964,4,12.9,5.1,2.0,59.1,113.9,,1964-04-01,18.0
71,1964,5,19.6,8.7,0.0,21.5,208.5,,1964-05-01,28.3
72,1964,6,18.7,10.4,0.0,94.7,150.7,,1964-06-01,29.1
73,1964,7,22.2,12.2,0.0,40.2,198.0,,1964-07-01,34.4
74,1964,8,21.6,11.5,0.0,21.8,200.2,,1964-08-01,33.1
75,1964,9,20.5,8.9,0.0,12.1,196.1,,1964-09-01,29.4
76,1964,10,13.3,4.6,0.0,27.1,114.2,,1964-10-01,17.9
77,1964,11,10.5,4.0,6.0,34.8,63.0,,1964-11-01,14.5
78,1964,12,6.5,0.1,17.0,37.3,48.7,,1964-12-01,6.6
79,1965,1,6.1,0.9,16.0,47.4,78.3,,1965-01-01,7.0
80,1965,2,5.6,0.6,10.0,15.1,29.1,,1965-02-01,6.199999999999999
81,1965,3,10.0,1.1,11.0,51.8,125.0,,1965-03-01,11.1
82,1965,4,12.9,4.2,2.0,42.4,122.2,,1965-04-01,17.1
83,1965,5,16.5,7.8,0.0,47.8,166.2,,1965-05-01,24.3
84,1965,6,19.2,9.7,0.0,43.2,174.8,,1965-06-01,28.9
85,1965,7,18.3,10.4,0.0,63.6,103.4,,1965-07-01,28.700000000000003
86,1965,8,20.3,10.2,0.0,65.4,174.0,,1965-08-01,30.5
87,1965,9,17.5,8.8,0.0,85.6,127.0,,1965-09-01,26.3
88,1965,10,15.4,6.1,2.0,14.8,115.1,,1965-10-01,21.5
89,1965,11,8.0,1.6,14.0,36.9,86.5,,1965-11-01,9.6
90,1965,12,7.3,1.4,8.0,81.7,52.0,,1965-12-01,8.7
91,1966,1,4.6,0.4,16.0,29.6,34.0,,1966-01-01,5.0
92,1966,2,8.8,3.3,8.0,56.7,43.6,,1966-02-01,12.100000000000001
93,1966,3,10.8,2.6,7.0,8.5,115.9,,1966-03-01,13.4
94,1966,4,11.6,4.5,2.0,65.4,82.2,,1966-04-01,16.1
95,1966,5,16.7,6.5,0.0,35.8,196.7,,1966-05-01,23.2
96,1966,6,21.5,10.8,0.0,56.9,181.6,,1966-06-01,32.3
97,1966,7,19.5,11.1,0.0,70.4,145.5,,1966-07-01,30.6
98,1966,8,20.4,10.6,0.0,75.0,186.6,,1966-08-01,31.0
99,1966,9,19.0,10.1,0.0,35.0,148.3,,1966-09-01,29.1
100,1966,10,14.4,7.6,0.0,64.7,74.9,,1966-10-01,22.0
101,1966,11,8.3,2.7,5.0,39.9,52.2,,1966-11-01,11.0
102,1966,12,8.4,2.0,7.0,69.6,39.9,,1966-12-01,10.4
103,1967,1,7.1,2.0,8.0,21.8,71.9,,1967-01-01,9.1
104,1967,2,8.9,2.0,7.0,34.7,88.3,,1967-02-01,10.9
105,1967,3,11.7,4.0,0.0,18.9,188.3,,1967-03-01,15.7
107,1967,5,15.5,6.9,1.0,118.0,178.6,,1967-05-01,22.4
108,1967,6,19.5,9.2,0.0,29.7,213.6,,1967-06-01,28.7
109,1967,7,23.3,12.9,0.0,61.4,211.0,,1967-07-01,36.2
110,1967,8,21.4,11.6,0.0,22.1,152.8,,1967-08-01,33.0
111,1967,9,18.1,10.0,0.0,39.1,110.3,,1967-09-01,28.1
112,1967,10,14.6,8.2,0.0,107.1,94.9,,1967-10-01,22.799999999999997
113,1967,11,8.6,2.2,8.0,44.9,59.4,,1967-11-01,10.8
114,1967,12,6.4,1.0,13.0,40.8,65.4,,1967-12-01,7.4
115,1968,1,6.8,0.9,13.0,37.2,38.2,,1968-01-01,7.7
116,1968,2,4.8,-0.5,19.0,17.2,40.5,,1968-02-01,4.3
117,1968,3,11.1,2.9,5.0,10.1,130.8,,1968-03-01,14.0
118,1968,4,13.6,3.7,8.0,36.8,172.0,,1968-04-01,17.3
119,1968,5,15.0,6.0,0.0,32.7,149.4,,1968-05-01,21.0
120,1968,6,20.1,10.3,0.0,75.9,172.4,,1968-06-01,30.400000000000002
121,1968,7,19.5,11.3,0.0,83.5,127.6,,1968-07-01,30.8
122,1968,8,19.6,11.7,0.0,93.8,120.8,,1968-08-01,31.3
123,1968,9,18.4,10.7,0.0,85.7,118.8,,1968-09-01,29.099999999999998
124,1968,10,16.1,10.1,0.0,42.1,64.0,,1968-10-01,26.200000000000003
125,1968,11,9.0,4.3,5.0,30.9,28.7,,1968-11-01,13.3
126,1968,12,4.8,0.8,10.0,39.8,18.8,,1968-12-01,5.6
127,1969,1,8.4,3.4,6.0,58.9,36.1,,1969-01-01,11.8
128,1969,2,3.5,-1.6,16.0,41.9,76.3,,1969-02-01,1.9
129,1969,3,6.6,0.8,6.0,53.9,66.4,,1969-03-01,7.3999999999999995
130,1969,4,13.1,2.8,6.0,32.0,190.0,,1969-04-01,15.899999999999999
