,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
31,1961,1,5.4,0.2,11.0,144.8,31.0,,1961-01-01,5.6000000000000005
32,1961,2,8.7,2.9,2.0,112.5,45.2,,1961-02-01,11.6
33,1961,3,10.2,2.1,10.0,77.2,102.6,,1961-03-01,12.299999999999999
34,1961,4,11.9,5.0,1.0,130.7,83.9,,1961-04-01,16.9
37,1961,7,16.7,8.2,0.0,141.1,149.2,,1961-07-01,24.9
38,1961,8,16.8,10.1,0.0,149.5,106.6,,1961-08-01,26.9
39,1961,9,17.4,9.3,0.0,134.8,79.7,,1961-09-01,26.7
50,1963,5,12.1,4.9,1.0,126.9,117.4,,1963-05-01,17.0
56,1963,11,9.8,4.3,1.0,234.4,55.6,,1963-11-01,14.100000000000001
57,1963,12,4.4,-0.9,18.0,19.7,59.9,,1963-12-01,3.5000000000000004
58,1964,1,5.6,0.6,15.0,83.1,30.6,,1964-01-01,6.199999999999999
59,1964,2,5.7,0.7,14.0,38.5,47.5,,1964-02-01,6.4
60,1964,3,6.5,0.7,15.0,67.3,88.7,,1964-03-01,7.2
61,1964,4,10.3,3.6,5.0,76.4,102.4,,1964-04-01,13.9
62,1964,5,15.2,7.5,1.0,90.4,142.8,,1964-05-01,22.7
63,1964,6,15.2,8.2,0.0,83.5,104.5,,1964-06-01,23.4
64,1964,7,16.6,10.1,0.0,177.0,95.4,,1964-07-01,26.700000000000003
65,1964,8,17.2,9.4,0.0,180.5,155.7,,1964-08-01,26.6
66,1964,9,16.4,8.2,0.0,66.0,140.3,,1964-09-01,24.599999999999998
67,1964,10,11.2,3.6,0.0,171.9,92.1,,1964-10-01,14.799999999999999
68,1964,11,9.5,4.3,6.0,174.5,43.6,,1964-11-01,13.8
69,1964,12,5.9,-0.2,14.0,334.8,44.0,,1964-12-01,5.7
70,1965,1,4.8,-0.2,17.0,214.8,38.8,,1965-01-01,4.6
71,1965,2,4.4,-1.2,17.0,25.1,33.3,,1965-02-01,3.2
72,1965,3,7.7,0.5,11.0,93.7,114.6,,1965-03-01,8.2
73,1965,4,9.9,2.4,9.0,146.9,134.3,,1965-04-01,12.3
74,1965,5,13.5,5.8,3.0,108.7,120.8,,1965-05-01,19.3
75,1965,6,15.9,8.3,0.0,115.0,140.4,,1965-06-01,24.200000000000003
76,1965,7,15.3,8.6,0.0,105.0,106.4,,1965-07-01,23.9
79,1965,10,13.5,7.0,0.0,92.5,134.3,,1965-10-01,20.5
80,1965,11,6.2,0.8,11.0,115.7,73.8,,1965-11-01,7.0
81,1965,12,7.0,1.6,8.0,417.3,31.4,,1965-12-01,8.6
82,1966,1,4.1,0.1,15.0,69.4,39.3,,1966-01-01,4.199999999999999
83,1966,2,6.4,2.6,10.0,152.1,28.4,,1966-02-01,9.0
84,1966,3,7.5,2.3,9.0,103.5,58.5,,1966-03-01,9.8
85,1966,4,9.0,2.6,7.0,81.0,84.0,,1966-04-01,11.6
86,1966,5,13.3,5.1,1.0,133.1,190.7,,1966-05-01,18.4
87,1966,6,16.4,8.6,1.0,168.2,96.4,,1966-06-01,25.0
88,1966,7,16.1,8.8,0.0,132.8,132.8,,1966-07-01,24.900000000000002
89,1966,8,16.8,9.0,0.0,58.9,154.9,,1966-08-01,25.8
90,1966,9,16.4,8.1,1.0,108.5,149.8,,1966-09-01,24.5
91,1966,10,12.1,5.7,5.0,156.3,84.7,,1966-10-01,17.8
92,1966,11,6.9,1.8,7.0,179.4,26.5,,1966-11-01,8.700000000000001
93,1966,12,7.5,2.7,3.0,419.8,17.9,,1966-12-01,10.2
94,1967,1,5.9,0.9,9.0,111.0,36.2,,1967-01-01,6.800000000000001
95,1967,2,6.6,1.8,7.0,145.6,52.4,,1967-02-01,8.4
101,1967,8,16.9,10.0,0.0,176.5,116.0,,1967-08-01,26.9
102,1967,9,14.8,8.7,0.0,206.5,101.9,,1967-09-01,23.5
103,1967,10,11.5,6.5,0.0,400.1,43.6,,1967-10-01,18.0
104,1967,11,8.3,1.8,9.0,182.3,75.6,,1967-11-01,10.100000000000001
105,1967,12,6.4,1.4,10.0,278.6,36.8,,1967-12-01,7.800000000000001
107,1968,2,3.7,-1.6,22.0,40.2,76.6,,1968-02-01,2.1
108,1968,3,7.7,1.0,11.0,143.6,87.0,,1968-03-01,8.7
109,1968,4,10.2,2.1,10.0,112.4,146.4,,1968-04-01,12.299999999999999
110,1968,5,11.8,3.9,6.0,116.2,121.2,,1968-05-01,15.700000000000001
111,1968,6,16.6,8.5,0.0,105.0,155.6,,1968-06-01,25.1
112,1968,7,17.4,8.9,0.0,108.1,152.5,,1968-07-01,26.299999999999997
113,1968,8,17.9,10.4,0.0,71.7,136.0,,1968-08-01,28.299999999999997
114,1968,9,14.7,7.6,0.0,188.3,71.6,,1968-09-01,22.299999999999997
115,1968,10,13.9,7.6,0.0,150.6,34.5,,1968-10-01,21.5
120,1969,3,5.4,-0.5,17.0,113.3,88.5,,1969-03-01,4.9
121,1969,4,10.4,1.9,8.0,120.2,152.7,,1969-04-01,12.3
122,1969,5,12.7,5.2,3.0,196.0,89.3,,1969-05-01,17.9
123,1969,6,16.5,6.6,1.0,91.6,188.9,,1969-06-01,23.1
124,1969,7,17.6,9.4,0.0,57.2,131.6,,1969-07-01,27.0
125,1969,8,17.7,10.0,0.0,205.9,107.6,,1969-08-01,27.7
126,1969,9,15.9,8.2,1.0,81.1,64.0,,1969-09-01,24.1
127,1969,10,15.0,8.9,0.0,89.2,88.3,,1969-10-01,23.9
128,1969,11,7.3,1.3,12.0,211.3,41.7,,1969-11-01,8.6
129,1969,12,5.3,-0.4,20.0,241.6,23.2,,1969-12-01,4.8999999999999995
130,1970,1,6.1,0.6,11.0,139.1,16.6,,1970-01-01,6.699999999999999
133,1970,4,7.8,1.4,12.0,222.7,90.7,,1970-04-01,9.2
136,1970,7,15.4,9.5,0.0,189.7,83.9,,1970-07-01,24.9
137,1970,8,17.6,9.7,0.0,136.8,112.1,,1970-08-01,27.3
138,1970,9,15.9,9.3,0.0,124.4,72.4,,1970-09-01,25.200000000000003
139,1970,10,12.1,6.5,1.0,216.0,56.9,,1970-10-01,18.6
141,1970,12,5.7,0.8,15.0,107.7,40.2,,1970-12-01,6.5
142,1971,1,6.3,1.5,9.0,178.5,20.7,,1971-01-01,7.8
143,1971,2,6.2,0.3,15.0,114.3,30.5,,1971-02-01,6.5
144,1971,3,6.5,0.9,8.0,107.6,50.8,,1971-03-01,7.4
145,1971,4,10.2,2.6,6.0,78.7,96.1,,1971-04-01,12.799999999999999
146,1971,5,14.6,4.8,5.0,72.3,188.7,,1971-05-01,19.4
147,1971,6,13.9,6.7,1.0,178.9,80.9,,1971-06-01,20.6
148,1971,7,19.9,9.4,0.0,40.1,185.9,,1971-07-01,29.299999999999997
149,1971,8,17.4,10.4,0.0,171.6,93.2,,1971-08-01,27.799999999999997
150,1971,9,17.7,8.4,0.0,70.2,152.0,,1971-09-01,26.1
151,1971,10,14.0,6.8,0.0,184.9,105.1,,1971-10-01,20.8
152,1971,11,8.5,2.4,13.0,216.4,51.3,,1971-11-01,10.9
153,1971,12,7.6,3.2,7.0,76.3,24.1,,1971-12-01,10.8
154,1972,1,5.2,0.8,10.0,162.9,32.0,,1972-01-01,6.0
155,1972,2,5.3,0.7,11.0,122.3,29.1,,1972-02-01,6.0
156,1972,3,9.0,1.6,11.0,168.0,109.7,,1972-03-01,10.6
157,1972,4,9.5,3.0,2.0,200.6,113.2,,1972-04-01,12.5
158,1972,5,11.4,4.4,3.0,103.5,84.9,,1972-05-01,15.8
159,1972,6,12.0,5.5,1.0,164.9,65.0,,1972-06-01,17.5
160,1972,7,17.5,9.9,0.0,97.1,126.5,,1972-07-01,27.4
162,1972,9,14.4,5.1,1.0,43.9,124.8,,1972-09-01,19.5
163,1972,10,12.5,6.2,2.0,51.4,78.8,,1972-10-01,18.7
164,1972,11,8.3,2.5,10.0,237.5,32.3,,1972-11-01,10.8
165,1972,12,7.9,2.5,6.0,184.9,24.3,,1972-12-01,10.4
166,1973,1,5.8,1.7,11.0,152.5,20.7,,1973-01-01,7.5
167,1973,2,5.5,1.0,9.0,167.4,37.4,,1973-02-01,6.5
179,1974,2,6.8,1.1,12.0,173.5,41.8,,1974-02-01,7.9
180,1974,3,7.7,0.4,15.0,79.5,94.1,,1974-03-01,8.1
181,1974,4,11.9,2.6,6.0,21.4,150.4,,1974-04-01,14.5
182,1974,5,12.5,4.7,3.0,97.4,137.5,,1974-05-01,17.2
183,1974,6,15.2,7.9,0.0,105.3,164.4,,1974-06-01,23.1
184,1974,7,15.2,9.4,0.0,227.5,109.5,,1974-07-01,24.6
185,1974,8,16.7,8.7,0.0,115.2,144.4,,1974-08-01,25.4
186,1974,9,12.9,6.6,4.0,258.7,82.9,,1974-09-01,19.5
187,1974,10,9.3,3.4,4.0,202.3,68.8,,1974-10-01,12.700000000000001
188,1974,11,8.1,2.9,4.0,224.9,32.1,,1974-11-01,11.0
189,1974,12,8.8,4.3,3.0,305.9,8.4,,1974-12-01,13.100000000000001
190,1975,1,7.7,3.2,4.0,292.9,15.1,,1975-01-01,10.9
191,1975,2,6.7,1.0,10.0,45.0,105.8,,1975-02-01,7.7
192,1975,3,6.3,0.5,13.0,90.2,90.6,,1975-03-01,6.8
193,1975,4,10.0,3.0,9.0,154.1,113.9,,1975-04-01,13.0
194,1975,5,13.2,3.7,2.0,49.3,213.5,,1975-05-01,16.9
195,1975,6,17.8,7.9,0.0,21.1,245.9,,1975-06-01,25.700000000000003
196,1975,7,18.8,10.9,0.0,117.3,152.9,,1975-07-01,29.700000000000003
197,1975,8,20.5,11.2,0.0,87.1,185.2,,1975-08-01,31.7
198,1975,9,14.8,6.9,1.0,191.9,125.1,,1975-09-01,21.700000000000003
199,1975,10,12.7,4.8,4.0,86.0,131.0,,1975-10-01,17.5
200,1975,11,8.2,2.4,5.0,188.9,48.9,,1975-11-01,10.6
201,1975,12,6.4,1.8,9.0,165.1,13.8,,1975-12-01,8.200000000000001
202,1976,1,6.2,2.3,9.0,177.6,28.9,,1976-01-01,8.5
203,1976,2,6.1,0.7,14.0,120.3,55.4,,1976-02-01,6.8
204,1976,3,6.7,0.4,13.0,90.5,102.8,,1976-03-01,7.1000000000000005
205,1976,4,10.3,2.2,6.0,44.2,139.2,,1976-04-01,12.5
206,1976,5,13.3,6.0,1.0,122.1,125.4,,1976-05-01,19.3
207,1976,6,18.8,8.9,0.0,34.3,197.6,,1976-06-01,27.700000000000003
208,1976,7,20.2,10.5,0.0,64.5,183.8,,1976-07-01,30.7
209,1976,8,21.5,9.7,0.0,9.3,260.2,,1976-08-01,31.2
210,1976,9,15.2,7.2,0.0,156.2,84.1,,1976-09-01,22.4
211,1976,10,11.6,5.5,1.0,218.5,58.8,,1976-10-01,17.1
212,1976,11,8.3,2.3,7.0,126.8,52.8,,1976-11-01,10.600000000000001
213,1976,12,3.7,-1.3,21.0,104.7,32.7,,1976-12-01,2.4000000000000004
214,1977,1,4.0,-0.5,15.0,150.3,26.7,,1977-01-01,3.5
215,1977,2,6.6,1.6,8.0,268.2,43.5,,1977-02-01,8.2
216,1977,3,8.4,2.8,5.0,140.4,64.6,,1977-03-01,11.2
