,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1961,17.4,0.2,17.84285714285714,598.2,890.5999999999999,24.0,Cwmystwyth,14.653487950728646,16.686783257355984,-0.7422395358474958,841.5761077496882,1336.7668777455438,57.79527559055117
1,1963,12.1,-0.9,11.533333333333333,232.9,381.0,20.0,Cwmystwyth,14.79401328379106,16.793397016162444,-0.6984981351015307,856.6955043514281,1358.4845623704932,57.391732283464535
2,1964,17.2,-0.2,16.000000000000004,1087.6000000000001,1543.8999999999999,70.0,Cwmystwyth,14.86427595032228,16.846703895565682,-0.6766274347285517,864.255202652299,1369.3434046829643,57.189960629921245
3,1965,15.9,-1.2,13.180000000000001,928.0999999999999,1434.7,76.0,Cwmystwyth,14.934538616853501,16.900010774968905,-0.6547567343555727,871.8149009531699,1380.202246995439,56.988188976377955
4,1966,16.8,0.1,15.824999999999998,1063.9,1763.0,59.0,Cwmystwyth,15.004801283384722,16.953317654372142,-0.6328860339825937,879.3745992540389,1391.0610893079138,56.78641732283461
5,1967,16.9,0.9,14.499999999999998,462.50000000000006,1500.6,35.0,Cwmystwyth,15.075063949915943,17.00662453377538,-0.6110153336096147,886.9342975549098,1401.9199316203885,56.58464566929132
6,1968,17.9,-1.6,18.033333333333335,981.4000000000001,1036.1,49.0,Cwmystwyth,15.145326616447164,17.059931413178603,-0.5891446332366357,894.4939958557807,1412.7787739328633,56.38287401574803
7,1969,17.7,-0.5,17.44,975.8000000000001,1407.3999999999999,62.0,Cwmystwyth,15.215589282978357,17.11323829258184,-0.5672739328636567,902.0536941566497,1423.637616245338,56.18110236220468
8,1970,17.6,0.6,16.914285714285715,472.8,1136.3999999999999,39.0,Cwmystwyth,15.285851949509578,17.166545171985078,-0.5454032324906777,909.6133924575206,1434.496458557809,55.979330708661394
9,1971,19.9,0.3,16.683333333333334,1079.3,1489.8000000000002,64.0,Cwmystwyth,15.356114616040799,17.2198520513883,-0.5235325321176987,917.1730907583915,1445.3553008702838,55.777559055118104
10,1972,17.5,0.7,14.109090909090908,820.5999999999999,1537.0,57.0,Cwmystwyth,15.42637728257202,17.27315893079154,-0.5016618317447197,924.7327890592605,1456.2141431827586,55.57578740157476
11,1973,5.8,1.0,7.0,58.099999999999994,319.9,20.0,Cwmystwyth,15.49663994910324,17.326465810194776,-0.47979113137173357,932.2924873601314,1467.0729854952333,55.37401574803147
12,1974,16.7,0.4,16.099999999999998,1034.3,1811.6,51.0,Cwmystwyth,15.566902615634461,17.379772689598,-0.45792043099875457,939.8521856610023,1477.931827807708,55.17224409448818
