,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1981,16.0,-0.8,14.85,237.6,744.6,17.0,Dunstaffnage
1,1982,18.8,1.3,18.224999999999998,1270.2,1846.1000000000001,32.0,Dunstaffnage
2,1983,19.6,0.2,18.383333333333336,1143.0999999999997,1600.3,22.0,Dunstaffnage
3,1984,19.5,0.6,19.200000000000003,1256.1,905.1,24.0,Dunstaffnage
4,1986,17.9,1.7,18.64,1040.1999999999998,1626.4999999999998,19.0,Dunstaffnage
5,1987,17.6,0.0,17.116666666666667,1287.1999999999998,1547.1000000000001,46.0,Dunstaffnage
6,1988,17.7,2.2,18.650000000000002,1075.4999999999998,1835.3999999999999,18.0,Dunstaffnage
7,1989,19.7,2.6,19.454545454545453,1309.3,1877.1000000000001,16.0,Dunstaffnage
8,1990,17.3,2.8,17.98181818181818,988.9,2190.7999999999997,15.0,Dunstaffnage
9,1991,19.7,0.4,18.341666666666665,1256.0,1657.8,27.0,Dunstaffnage
10,1992,17.8,2.3,18.25,1039.8,2106.6,20.0,Dunstaffnage
11,1993,16.5,1.6,17.145454545454545,874.5999999999999,1447.9,24.0,Dunstaffnage
12,1994,18.4,1.2,17.875,1067.3999999999999,1877.8,19.0,Dunstaffnage
13,1995,21.2,1.2,19.78181818181818,1374.1,1502.6000000000004,28.0,Dunstaffnage
14,1996,18.1,0.8,19.299999999999997,1168.0,1244.3999999999999,32.0,Dunstaffnage
15,1997,20.4,1.5,20.940000000000005,1207.1000000000001,1167.5,19.0,Dunstaffnage
16,1998,17.3,4.0,21.150000000000002,565.9,1036.0,10.0,Dunstaffnage
17,1999,19.1,2.0,19.118181818181817,1004.6,1952.2999999999997,17.0,Dunstaffnage
18,2000,19.3,3.0,19.658333333333335,1277.6,1744.6000000000001,25.0,Dunstaffnage
