,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
127,1890,1,8.0,1.9,8.0,52.5,55.9,,1890-01-01,9.9
128,1890,2,5.8,0.3,14.0,33.5,57.0,,1890-02-01,6.1
129,1890,3,9.8,2.5,8.0,51.4,98.2,,1890-03-01,12.3
130,1890,4,10.6,1.4,11.0,16.9,120.9,,1890-04-01,12.0
131,1890,5,15.2,6.0,0.0,59.1,152.8,,1890-05-01,21.2
132,1890,6,18.2,8.5,0.0,59.9,126.9,,1890-06-01,26.7
133,1890,7,18.7,9.6,0.0,45.3,159.1,,1890-07-01,28.299999999999997
134,1890,8,18.4,9.4,0.0,126.5,163.0,,1890-08-01,27.799999999999997
135,1890,9,19.8,10.3,0.0,46.3,143.6,,1890-09-01,30.1
136,1890,10,13.2,6.0,2.0,37.5,123.4,,1890-10-01,19.2
137,1890,11,8.5,1.1,9.0,85.6,56.4,,1890-11-01,9.6
138,1890,12,2.7,-1.4,19.0,44.1,10.8,,1890-12-01,1.3000000000000003
139,1891,1,4.6,-1.7,19.0,25.7,49.7,,1891-01-01,2.8999999999999995
140,1891,2,9.3,0.0,14.0,2.1,91.6,,1891-02-01,9.3
141,1891,3,6.7,-0.1,13.0,69.0,111.5,,1891-03-01,6.6000000000000005
142,1891,4,8.9,1.2,7.0,41.9,107.5,,1891-04-01,10.1
143,1891,5,13.2,3.6,4.0,36.9,161.5,,1891-05-01,16.8
144,1891,6,18.1,8.9,0.0,4.1,175.1,,1891-06-01,27.0
145,1891,7,19.5,10.6,0.0,106.6,151.1,,1891-07-01,30.1
146,1891,8,17.9,10.0,0.0,126.7,100.6,,1891-08-01,27.9
147,1891,9,17.6,9.1,0.0,47.4,128.4,,1891-09-01,26.700000000000003
148,1891,10,12.3,4.9,3.0,48.9,76.8,,1891-10-01,17.200000000000003
149,1891,11,7.5,2.2,8.0,56.9,42.2,,1891-11-01,9.7
150,1891,12,5.6,-0.5,12.0,57.5,56.2,,1891-12-01,5.1
151,1892,1,4.4,-1.4,19.0,48.6,47.6,,1892-01-01,3.0000000000000004
152,1892,2,5.6,-0.6,12.0,49.2,64.6,,1892-02-01,5.0
153,1892,3,6.6,-1.9,25.0,28.9,139.1,,1892-03-01,4.699999999999999
154,1892,4,11.4,1.0,12.0,33.3,172.8,,1892-04-01,12.4
155,1892,5,15.2,5.4,2.0,59.5,156.8,,1892-05-01,20.6
156,1892,6,17.2,7.4,0.0,80.2,176.0,,1892-06-01,24.6
