,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1890,19.8,-1.4,17.041666666666668,1268.0000000000002,658.6000000000001,71.0,Durham,16.291819571865442,19.82066722268557,-0.9451709758131779,1309.6284403669724,628.9383986655546,66.00900750625516
1,1891,19.5,-1.7,15.78333333333333,1252.2,623.6999999999999,80.0,Durham,16.304527692830444,19.82380131591141,-0.9429413400055608,1310.1028542303773,629.1957575757576,65.86765823371326
2,1892,18.5,-1.9,14.466666666666667,1285.1999999999996,714.1,103.0,Durham,16.317235813795445,19.826935409137246,-0.9407117041979429,1310.577268093782,629.4531164859604,65.7263089611713
3,1893,22.1,-0.4,18.25833333333333,1527.9,512.1,53.0,Durham,16.329943934760447,19.83006950236308,-0.9384820683903259,1311.0516819571867,629.7104753961635,65.5849596886294
4,1894,20.7,-0.6,16.566666666666666,1293.3,604.6,61.0,Durham,16.34265205572545,19.83320359558892,-0.936252432582708,1311.5260958205913,629.9678343063664,65.44361041608744
5,1895,20.5,-4.8,15.800000000000002,1456.9,700.2,96.0,Durham,16.35536017669045,19.836337688814755,-0.9340227967750909,1312.000509683996,630.2251932165693,65.30226114354554
6,1896,21.0,0.7,17.391666666666666,1291.0,623.3,64.0,Durham,16.368068297655455,19.83947178204059,-0.931793160967473,1312.4749235474005,630.4825521267724,65.16091187100358
7,1897,21.4,-1.2,16.925,1408.5000000000002,554.1999999999999,66.0,Durham,16.380776418620457,19.84260587526643,-0.929563525159856,1312.9493374108054,630.7399110369752,65.01956259846168
8,1898,20.5,0.1,18.458333333333332,1328.3,527.8000000000001,50.0,Durham,16.393484539585458,19.845739968492264,-0.927333889352238,1313.4237512742102,630.9972699471782,64.87821332591972
9,1899,21.5,-1.7,17.308333333333337,1447.4,610.7,76.0,Durham,16.40619266055046,19.8488740617181,-0.925104253544621,1313.8981651376148,631.2546288573811,64.73686405337776
10,1900,21.1,-2.3,16.85,1206.5,732.0999999999999,64.0,Durham,16.41890078151546,19.852008154943938,-0.9228746177370031,1314.3725790010194,631.5119877675841,64.59551478083586
11,1901,22.4,-0.5,16.625,1607.1000000000001,584.2,79.0,Durham,16.431608902480463,19.855142248169773,-0.920644981929386,1314.846992864424,631.7693466777871,64.4541655082939
12,1902,17.6,-2.1,15.491666666666667,1204.8999999999999,470.80000000000007,61.0,Durham,16.444317023445464,19.85827634139561,-0.9184153461217681,1315.3214067278288,632.0267055879899,64.312816235752
