,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1959,1,6.4,1.1,13.0,109.5,100.4,,1959-01-01,7.5
8,1959,2,6.6,2.0,4.0,0.0,73.4,,1959-02-01,8.6
9,1959,3,10.4,5.1,0.0,43.0,128.4,,1959-03-01,15.5
10,1959,4,12.7,7.3,0.0,62.5,163.5,,1959-04-01,20.0
11,1959,5,16.8,9.3,0.0,12.5,250.1,,1959-05-01,26.1
12,1959,6,18.9,11.9,0.0,23.2,296.0,,1959-06-01,30.799999999999997
13,1959,7,21.6,14.2,0.0,39.8,333.0,,1959-07-01,35.8
14,1959,8,21.8,14.8,0.0,25.7,246.4,,1959-08-01,36.6
15,1959,9,20.8,12.8,0.0,6.6,265.8,,1959-09-01,33.6
16,1959,10,16.8,10.7,0.0,106.8,171.7,,1959-10-01,27.5
17,1959,11,11.7,6.2,0.0,151.5,72.0,,1959-11-01,17.9
18,1959,12,10.0,5.1,1.0,196.7,32.2,,1959-12-01,15.1
19,1960,1,7.4,2.6,6.0,82.0,54.1,,1960-01-01,10.0
20,1960,2,7.8,2.7,6.0,52.6,103.0,,1960-02-01,10.5
21,1960,3,9.0,5.0,1.0,80.5,100.5,,1960-03-01,14.0
22,1960,4,12.7,5.9,0.0,35.7,185.9,,1960-04-01,18.6
23,1960,5,16.2,9.7,0.0,70.4,204.4,,1960-05-01,25.9
24,1960,6,18.9,12.4,0.0,59.1,257.3,,1960-06-01,31.299999999999997
25,1960,7,18.4,13.4,0.0,60.2,195.3,,1960-07-01,31.799999999999997
26,1960,8,19.4,13.4,0.0,148.8,225.7,,1960-08-01,32.8
27,1960,9,17.6,11.9,0.0,66.5,158.0,,1960-09-01,29.5
28,1960,10,14.3,9.9,0.0,179.5,122.1,,1960-10-01,24.200000000000003
29,1960,11,11.8,7.1,0.0,218.8,76.9,,1960-11-01,18.9
30,1960,12,7.6,3.5,1.0,125.3,46.9,,1960-12-01,11.1
31,1961,1,7.3,3.1,3.0,147.5,65.0,,1961-01-01,10.4
32,1961,2,9.4,5.6,0.0,66.7,85.9,,1961-02-01,15.0
33,1961,3,11.4,4.4,0.0,6.3,190.8,,1961-03-01,15.8
34,1961,4,13.1,8.6,0.0,60.8,134.3,,1961-04-01,21.7
35,1961,5,15.4,8.6,0.0,32.0,282.3,,1961-05-01,24.0
36,1961,6,18.4,11.6,0.0,32.7,299.1,,1961-06-01,30.0
37,1961,7,19.5,12.9,0.0,69.1,248.1,,1961-07-01,32.4
38,1961,8,19.8,14.0,0.0,17.2,211.9,,1961-08-01,33.8
39,1961,9,19.3,13.5,0.0,64.5,159.4,,1961-09-01,32.8
40,1961,10,15.5,10.1,0.0,111.8,153.4,,1961-10-01,25.6
41,1961,11,10.1,6.0,1.0,100.6,69.3,,1961-11-01,16.1
42,1961,12,7.6,2.7,12.0,104.1,78.8,,1961-12-01,10.3
43,1962,1,7.8,3.5,6.0,89.7,73.9,,1962-01-01,11.3
44,1962,2,7.3,2.4,4.0,18.6,87.2,,1962-02-01,9.7
45,1962,3,6.4,1.0,11.0,50.0,149.2,,1962-03-01,7.4
46,1962,4,10.7,5.3,0.0,48.6,153.3,,1962-04-01,16.0
47,1962,5,12.7,7.5,0.0,41.8,182.3,,1962-05-01,20.2
48,1962,6,16.7,9.7,0.0,12.8,290.1,,1962-06-01,26.4
49,1962,7,18.1,12.9,0.0,53.1,197.6,,1962-07-01,31.0
50,1962,8,18.4,13.1,0.0,105.5,223.9,,1962-08-01,31.5
51,1962,9,17.1,11.4,0.0,64.7,182.3,,1962-09-01,28.5
52,1962,10,15.3,9.4,0.0,51.8,151.8,,1962-10-01,24.700000000000003
53,1962,11,9.4,5.2,2.0,69.8,37.1,,1962-11-01,14.600000000000001
54,1962,12,6.3,1.0,14.0,97.9,116.5,,1962-12-01,7.3
55,1963,1,1.0,-2.8,26.0,12.5,72.8,,1963-01-01,-1.7999999999999998
56,1963,2,2.0,-1.3,18.0,19.5,94.2,,1963-02-01,0.7
57,1963,3,7.9,3.4,3.0,74.0,135.0,,1963-03-01,11.3
58,1963,4,10.8,5.4,0.0,89.9,152.7,,1963-04-01,16.200000000000003
59,1963,5,13.8,7.8,0.0,42.0,239.5,,1963-05-01,21.6
60,1963,6,17.4,12.0,0.0,87.2,221.3,,1963-06-01,29.4
61,1963,7,18.6,12.9,0.0,43.4,287.4,,1963-07-01,31.5
62,1963,8,18.1,13.0,0.0,103.7,185.7,,1963-08-01,31.1
63,1963,9,17.1,11.9,0.0,88.3,124.2,,1963-09-01,29.0
64,1963,10,14.4,9.9,0.0,67.1,80.7,,1963-10-01,24.3
65,1963,11,12.3,8.3,0.0,209.6,69.6,,1963-11-01,20.6
66,1963,12,5.7,1.4,11.0,20.4,58.7,,1963-12-01,7.1
67,1964,1,6.0,2.2,6.0,33.7,37.0,,1964-01-01,8.2
68,1964,2,6.8,3.3,3.0,37.6,73.9,,1964-02-01,10.1
69,1964,3,6.7,2.9,3.0,124.3,74.3,,1964-03-01,9.6
70,1964,4,10.7,5.8,1.0,76.1,169.5,,1964-04-01,16.5
71,1964,5,15.9,10.1,0.0,83.7,232.4,,1964-05-01,26.0
72,1964,6,17.3,11.9,0.0,85.3,223.9,,1964-06-01,29.200000000000003
73,1964,7,19.8,14.2,0.0,34.9,244.0,,1964-07-01,34.0
74,1964,8,20.2,14.1,0.0,43.7,224.1,,1964-08-01,34.3
75,1964,9,19.0,12.6,0.0,34.4,233.9,,1964-09-01,31.6
76,1964,10,13.5,6.9,0.0,100.6,152.6,,1964-10-01,20.4
77,1964,11,11.2,6.8,2.0,104.0,65.9,,1964-11-01,18.0
78,1964,12,7.5,2.5,7.0,76.0,42.7,,1964-12-01,10.0
79,1965,1,6.7,2.9,3.0,91.0,77.5,,1965-01-01,9.6
80,1965,2,5.8,1.6,4.0,9.7,59.7,,1965-02-01,7.4
81,1965,3,8.6,3.2,6.0,74.7,145.5,,1965-03-01,11.8
82,1965,4,11.6,5.4,0.0,37.0,160.0,,1965-04-01,17.0
83,1965,5,14.5,8.7,0.0,46.2,213.5,,1965-05-01,23.2
84,1965,6,16.9,11.0,0.0,66.9,213.7,,1965-06-01,27.9
85,1965,7,17.7,12.6,0.0,101.5,156.9,,1965-07-01,30.299999999999997
86,1965,8,19.0,13.5,0.0,75.7,220.8,,1965-08-01,32.5
87,1965,9,16.8,10.6,0.0,137.5,168.7,,1965-09-01,27.4
88,1965,10,15.3,9.9,0.0,14.4,165.0,,1965-10-01,25.200000000000003
89,1965,11,9.6,4.0,4.0,72.5,90.8,,1965-11-01,13.6
90,1965,12,9.3,4.0,4.0,140.1,63.5,,1965-12-01,13.3
91,1966,1,5.7,2.5,9.0,59.6,35.3,,1966-01-01,8.2
92,1966,2,8.9,5.5,0.0,105.7,35.8,,1966-02-01,14.4
93,1966,3,10.2,4.4,0.0,20.5,149.0,,1966-03-01,14.6
94,1966,4,11.3,6.5,0.0,98.8,121.4,,1966-04-01,17.8
