,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1959,21.8,1.1,22.916666666666668,2132.8999999999996,777.8,18.0,Eastbourne,20.776933550556066,20.19069961294158,1.4227640752922355,1917.3759661921595,856.5193819988745,23.474175643104957
1,1960,19.4,2.6,21.549999999999997,1730.1000000000001,1179.3999999999999,14.0,Eastbourne,20.820923113824378,20.20880126354774,1.45423451881706,1912.9570175916342,853.5475791078907,23.248624802570646
2,1961,19.8,2.7,22.325,1978.3000000000002,813.3,16.0,Eastbourne,20.864912677092676,20.226902914153897,1.4857049623418845,1908.538068991109,850.5757762169069,23.023073962036335
3,1962,18.4,1.0,19.05,1845.1999999999998,704.3,37.0,Eastbourne,20.908902240360973,20.245004564760052,1.517175405866709,1904.1191203905837,847.6039733259231,22.797523121501968
4,1963,18.6,-2.8,18.416666666666668,1721.8,857.5999999999999,58.0,Eastbourne,20.952891803629285,20.263106215366214,1.5486458493915407,1899.7001717900584,844.6321704349393,22.571972280967657
5,1964,20.2,2.2,20.658333333333335,1774.2000000000003,834.3,22.0,Eastbourne,20.996881366897583,20.28120786597237,1.5801162929163652,1895.281223189535,841.6603675439555,22.346421440433346
6,1965,19.0,1.6,19.933333333333334,1735.6000000000001,867.2,21.0,Eastbourne,21.040870930165894,20.299309516578525,1.6115867364411898,1890.8622745890098,838.6885646529709,22.12087059989898
7,1966,19.3,2.5,21.541666666666668,1685.8,925.5,11.0,Eastbourne,21.084860493434192,20.317411167184687,1.6430571799660143,1886.4433259884845,835.7167617619871,21.895319759364668
8,1967,20.6,2.8,21.55,2010.3,887.2,14.0,Eastbourne,21.12885005670249,20.335512817790843,1.6745276234908388,1882.0243773879592,832.7449588710033,21.669768918830357
9,1968,19.5,1.6,20.53333333333333,1663.5,731.3,28.0,Eastbourne,21.1728396199708,20.353614468396998,1.7059980670156634,1877.6054287874358,829.7731559800195,21.44421807829599
10,1969,21.3,0.3,21.175,1873.4,765.9,35.0,Eastbourne,21.2168291832391,20.37171611900316,1.737468510540495,1873.1864801869106,826.8013530890357,21.21866723776168
11,1970,19.9,1.9,21.900000000000002,1859.6999999999998,847.4999999999999,29.0,Eastbourne,21.26081874650741,20.389817769609316,1.7689389540653195,1868.7675315863853,823.829550198052,20.993116397227368
12,1971,20.8,3.0,21.46666666666667,1925.2,690.1999999999999,14.0,Eastbourne,21.30480830977571,20.40791942021547,1.800409397590144,1864.34858298586,820.8577473070682,20.767565556693
13,1972,19.4,3.0,20.966666666666665,1726.3,593.0,4.0,Eastbourne,21.34879787304402,20.426021070821633,1.8318798411149686,1859.9296343853348,817.8859444160835,20.54201471615869
14,1973,21.4,2.7,21.433333333333334,1918.8,557.7,18.0,Eastbourne,21.392787436312318,20.44412272142779,1.8633502846397931,1855.5106857848114,814.9141415250997,20.31646387562438
15,1974,19.6,4.0,21.674999999999997,1886.6999999999998,1023.0,4.0,Eastbourne,21.436776999580616,20.462224372033944,1.8948207281646177,1851.091737184286,811.9423386341159,20.09091303509001
16,1975,22.3,3.2,21.816666666666663,1829.3,817.9,14.0,Eastbourne,21.480766562848927,20.480326022640106,1.9262911716894422,1846.6727885837608,808.9705357431321,19.8653621945557
17,1976,22.8,2.0,22.40833333333333,2101.6999999999994,711.1,20.0,Eastbourne,21.524756126117225,20.498427673246262,1.9577616152142738,1842.2538399832356,805.9987328521484,19.639811354021333
18,1977,19.9,2.9,21.78333333333333,1732.3000000000002,692.4000000000001,10.0,Eastbourne,21.568745689385537,20.516529323852417,1.9892320587390984,1837.8348913827103,803.0269299611646,19.414260513487022
19,1978,18.8,1.9,21.275000000000002,1703.3999999999999,667.8,27.0,Eastbourne,21.612735252653835,20.53463097445858,2.020702502263923,1833.415942782187,800.0551270701799,19.18870967295271
20,1979,20.0,-0.2,20.316666666666666,1779.5,823.7999999999998,23.0,Eastbourne,21.656724815922132,20.552732625064735,2.0521729457887474,1828.9969941816616,797.0833241791961,18.963158832418344
21,1980,19.7,1.9,21.166666666666668,1761.6,952.4,17.0,Eastbourne,21.700714379190444,20.57083427567089,2.083643389313572,1824.5780455811364,794.1115212882123,18.737607991884033
22,1981,20.9,1.4,20.766666666666662,1541.4000000000003,865.7,27.0,Eastbourne,21.74470394245874,20.588935926277053,2.1151138328383965,1820.1590969806111,791.1397183972285,18.512057151349723
23,1982,21.4,2.7,22.533333333333335,1877.6,853.9,15.0,Eastbourne,21.788693505727053,20.607037576883208,2.146584276363221,1815.7401483800859,788.1679155062448,18.286506310815355
24,1983,22.9,1.3,20.542857142857144,1156.7,417.09999999999997,8.0,Eastbourne,21.83268306899535,20.625139227489363,2.1780547198880527,1811.3211997795624,785.196112615261,18.060955470281044
25,1984,20.8,3.1,21.91666666666666,1732.3000000000002,907.9000000000001,0.0,Eastbourne,21.876672632263663,20.643240878095526,2.209525163412877,1806.9022511790372,782.2243097242763,17.835404629746733
26,1985,19.9,-0.9,20.28333333333333,1865.4,649.5999999999999,47.0,Eastbourne,21.92066219553196,20.66134252870168,2.2409956069377017,1802.483302578512,779.2525068332925,17.609853789212366
27,1986,19.8,-1.7,19.86666666666667,1803.8999999999999,812.6,37.0,Eastbourne,21.964651758800258,20.679444179307836,2.2724660504625263,1798.0643539779867,776.2807039423087,17.384302948678055
28,1987,20.0,-0.4,20.458333333333332,1745.8,909.0,35.0,Eastbourne,22.00864132206857,20.697545829914,2.303936493987351,1793.6454053774614,773.3089010513249,17.158752108143744
29,1988,19.2,3.2,22.2,1781.0000000000002,762.3,8.0,Eastbourne,22.052630885336868,20.715647480520154,2.3354069375121753,1789.226456776938,770.3370981603412,16.933201267609377
30,1989,22.2,4.9,24.183333333333334,2094.1000000000004,665.1999999999999,7.0,Eastbourne,22.09662044860518,20.73374913112631,2.366877381037,1784.8075081764127,767.3652952693574,16.707650427075066
31,1990,22.3,4.4,24.083333333333332,2135.3999999999996,699.9,1.0,Eastbourne,22.140610011873477,20.75185078173247,2.3983478245618315,1780.3885595758875,764.3934923783727,16.482099586540755
32,1991,21.1,0.3,21.3,1741.5000000000002,782.3000000000001,18.0,Eastbourne,22.184599575141775,20.769952432338627,2.429818268086656,1775.9696109753622,761.4216894873889,16.256548746006388
33,1992,20.2,3.2,22.65833333333333,1738.2,811.8000000000001,14.0,Eastbourne,22.228589138410086,20.788054082944782,2.4612887116114806,1771.550662374837,758.4498865964051,16.030997905472077
34,1993,19.4,3.4,21.900000000000002,1763.2000000000003,883.8,9.0,Eastbourne,22.272578701678384,20.806155733550945,2.492759155136305,1767.1317137743135,755.4780837054213,15.80544706493771
35,1994,22.0,2.9,23.349999999999998,1848.8,975.3000000000001,6.0,Eastbourne,22.316568264946696,20.8242573841571,2.5242295986611296,1762.7127651737883,752.5062808144376,15.579896224403399
