,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
523,1954,1,4.0,-1.0,15.0,140.9,54.6,,1954-01-01,3.0
524,1954,2,2.9,-3.5,21.0,110.1,32.6,,1954-02-01,-0.6000000000000001
525,1954,3,6.9,0.0,11.0,112.8,82.8,,1954-03-01,6.9
526,1954,4,10.6,0.7,14.0,35.6,156.8,,1954-04-01,11.299999999999999
527,1954,5,13.9,5.1,1.0,178.7,134.3,,1954-05-01,19.0
528,1954,6,14.8,7.4,0.0,157.7,108.4,,1954-06-01,22.200000000000003
529,1954,7,15.2,7.8,1.0,134.7,90.7,,1954-07-01,23.0
530,1954,8,15.2,8.4,0.0,148.3,76.7,,1954-08-01,23.6
531,1954,9,13.3,4.9,3.0,222.8,101.6,,1954-09-01,18.200000000000003
532,1954,10,12.0,5.0,4.0,316.9,50.4,,1954-10-01,17.0
533,1954,11,7.4,0.8,8.0,273.1,49.2,,1954-11-01,8.200000000000001
534,1954,12,6.5,1.1,10.0,218.7,15.5,,1954-12-01,7.6
535,1955,1,2.6,-2.2,19.0,147.5,39.5,,1955-01-01,0.3999999999999999
536,1955,2,1.8,-4.0,23.0,86.5,95.6,,1955-02-01,-2.2
537,1955,3,5.1,-3.0,26.0,86.8,137.9,,1955-03-01,2.0999999999999996
538,1955,4,12.6,2.4,9.0,63.8,151.8,,1955-04-01,15.0
539,1955,5,12.3,2.5,6.0,104.2,204.5,,1955-05-01,14.8
540,1955,6,15.7,6.2,1.0,77.9,163.1,,1955-06-01,21.9
541,1955,7,21.9,9.0,0.0,65.1,257.4,,1955-07-01,30.9
542,1955,8,20.2,9.8,0.0,39.1,185.5,,1955-08-01,30.0
543,1955,9,15.6,7.4,0.0,118.2,115.2,,1955-09-01,23.0
544,1955,10,10.3,2.4,9.0,78.9,83.0,,1955-10-01,12.700000000000001
545,1955,11,8.7,2.0,8.0,48.2,56.0,,1955-11-01,10.7
546,1955,12,5.7,-0.2,14.0,205.1,44.0,,1955-12-01,5.5
547,1956,1,3.5,-2.5,23.0,112.4,49.6,,1956-01-01,1.0
548,1956,2,3.1,-4.2,23.0,53.7,70.6,,1956-02-01,-1.1
549,1956,3,8.4,0.5,11.0,65.6,128.5,,1956-03-01,8.9
550,1956,4,10.1,-1.2,18.0,26.7,159.8,,1956-04-01,8.9
551,1956,5,14.0,4.2,4.0,98.4,167.4,,1956-05-01,18.2
552,1956,6,15.4,6.3,0.0,91.9,148.4,,1956-06-01,21.7
553,1956,7,16.9,9.3,0.0,173.6,119.4,,1956-07-01,26.2
554,1956,8,14.6,6.3,0.0,225.6,101.9,,1956-08-01,20.9
555,1956,9,15.6,8.1,1.0,121.7,80.5,,1956-09-01,23.7
556,1956,10,11.3,4.1,3.0,130.5,96.3,,1956-10-01,15.4
557,1956,11,8.1,0.5,13.0,71.5,63.0,,1956-11-01,8.6
558,1956,12,6.7,2.1,7.0,218.7,10.4,,1956-12-01,8.8
559,1957,1,6.4,-0.4,16.0,259.2,43.6,,1957-01-01,6.0
560,1957,2,5.7,-1.9,15.0,135.2,80.3,,1957-02-01,3.8000000000000003
561,1957,3,10.1,3.1,4.0,134.6,63.1,,1957-03-01,13.2
562,1957,4,11.6,1.9,8.0,73.9,161.0,,1957-04-01,13.5
563,1957,5,13.8,2.9,6.0,55.5,207.8,,1957-05-01,16.7
564,1957,6,18.3,6.2,3.0,42.4,275.9,,1957-06-01,24.5
565,1957,7,18.1,10.2,0.0,125.3,113.5,,1957-07-01,28.3
566,1957,8,16.8,9.2,1.0,168.5,111.2,,1957-08-01,26.0
567,1957,9,13.2,6.1,0.0,108.5,115.8,,1957-09-01,19.299999999999997
568,1957,10,11.5,4.5,2.0,196.5,65.0,,1957-10-01,16.0
569,1957,11,7.7,2.2,7.0,59.7,45.3,,1957-11-01,9.9
570,1957,12,5.9,-0.9,15.0,158.1,44.8,,1957-12-01,5.0
571,1958,1,4.0,-2.7,18.0,163.9,52.9,,1958-01-01,1.2999999999999998
572,1958,2,4.7,-1.7,17.0,127.8,57.9,,1958-02-01,3.0
573,1958,3,5.0,-2.2,20.0,49.3,101.4,,1958-03-01,2.8
574,1958,4,10.2,0.9,10.0,63.3,126.5,,1958-04-01,11.1
575,1958,5,12.7,3.0,5.0,110.2,148.5,,1958-05-01,15.7
576,1958,6,15.7,7.1,0.0,94.7,119.0,,1958-06-01,22.799999999999997
577,1958,7,18.3,9.3,0.0,170.0,161.1,,1958-07-01,27.6
578,1958,8,17.6,9.3,0.0,153.7,108.2,,1958-08-01,26.900000000000002
579,1958,9,17.1,8.5,0.0,155.3,103.0,,1958-09-01,25.6
580,1958,10,11.9,4.9,3.0,119.2,74.9,,1958-10-01,16.8
581,1958,11,8.0,0.6,11.0,54.2,34.9,,1958-11-01,8.6
582,1958,12,4.9,-1.1,16.0,136.9,34.9,,1958-12-01,3.8000000000000003
583,1959,1,2.8,-4.7,23.0,101.9,96.0,,1959-01-01,-1.9000000000000004
584,1959,2,6.0,0.0,14.0,52.1,45.4,,1959-02-01,6.0
585,1959,3,8.8,2.0,4.0,105.1,74.5,,1959-03-01,10.8
586,1959,4,10.7,1.7,11.0,116.8,122.4,,1959-04-01,12.399999999999999
587,1959,5,16.6,5.0,3.0,76.8,207.5,,1959-05-01,21.6
588,1959,6,17.1,7.9,0.0,99.7,174.0,,1959-06-01,25.0
589,1959,7,18.3,8.5,0.0,135.3,165.4,,1959-07-01,26.8
590,1959,8,19.4,9.8,0.0,24.6,188.8,,1959-08-01,29.2
591,1959,9,17.5,6.2,1.0,46.1,152.8,,1959-09-01,23.7
592,1959,10,14.6,6.4,0.0,161.1,130.2,,1959-10-01,21.0
593,1959,11,8.2,2.3,6.0,258.2,42.0,,1959-11-01,10.5
594,1959,12,6.3,0.7,10.0,234.0,19.5,,1959-12-01,7.0
595,1960,1,4.7,-1.6,23.0,180.8,42.1,,1960-01-01,3.1
596,1960,2,4.5,-3.3,22.0,201.5,90.0,,1960-02-01,1.2000000000000002
597,1960,3,7.7,1.5,6.0,56.6,84.5,,1960-03-01,9.2
598,1960,4,11.8,2.7,5.0,146.8,125.4,,1960-04-01,14.5
599,1960,5,15.7,5.3,2.0,80.8,171.9,,1960-05-01,21.0
600,1960,6,19.0,7.9,0.0,97.8,245.6,,1960-06-01,26.9
601,1960,7,16.9,8.4,0.0,112.0,116.9,,1960-07-01,25.299999999999997
602,1960,8,17.0,8.4,0.0,148.6,139.0,,1960-08-01,25.4
603,1960,9,14.7,6.2,1.0,93.2,122.7,,1960-09-01,20.9
604,1960,10,11.5,5.8,3.0,75.4,70.3,,1960-10-01,17.3
605,1960,11,7.5,1.6,8.0,202.1,55.2,,1960-11-01,9.1
606,1960,12,4.4,-1.7,20.0,166.4,52.8,,1960-12-01,2.7
607,1961,1,4.0,-2.2,21.0,138.5,45.5,,1961-01-01,1.7999999999999998
608,1961,2,7.2,1.6,6.0,153.8,50.3,,1961-02-01,8.8
609,1961,3,9.4,3.1,6.0,72.4,77.5,,1961-03-01,12.5
610,1961,4,11.2,3.6,5.0,93.6,88.0,,1961-04-01,14.799999999999999
611,1961,5,13.6,4.5,0.0,61.7,161.1,,1961-05-01,18.1
612,1961,6,15.5,7.2,0.0,58.5,146.6,,1961-06-01,22.7
613,1961,7,16.2,8.4,0.0,96.7,104.5,,1961-07-01,24.6
614,1961,8,16.5,7.7,0.0,148.2,139.5,,1961-08-01,24.2
615,1961,9,16.4,8.4,0.0,170.2,95.1,,1961-09-01,24.799999999999997
616,1961,10,11.5,5.0,2.0,213.2,81.4,,1961-10-01,16.5
617,1961,11,6.8,1.7,7.0,104.4,58.0,,1961-11-01,8.5
618,1961,12,3.2,-3.6,23.0,120.4,63.4,,1961-12-01,-0.3999999999999999
619,1962,1,5.1,-1.4,14.0,276.2,47.6,,1962-01-01,3.6999999999999997
620,1962,2,5.7,0.1,13.0,101.8,75.1,,1962-02-01,5.8
621,1962,3,4.8,-3.4,23.0,64.1,115.7,,1962-03-01,1.4
622,1962,4,10.2,0.9,9.0,117.8,182.0,,1962-04-01,11.1
623,1962,5,12.7,3.9,1.0,85.2,173.5,,1962-05-01,16.599999999999998
624,1962,6,15.9,5.6,2.0,84.1,177.4,,1962-06-01,21.5
625,1962,7,16.2,7.8,0.0,106.6,123.7,,1962-07-01,24.0
626,1962,8,15.5,8.4,0.0,248.9,128.6,,1962-08-01,23.9
627,1962,9,13.7,6.9,0.0,215.1,73.2,,1962-09-01,20.6
628,1962,10,12.2,4.4,5.0,76.6,95.7,,1962-10-01,16.6
629,1962,11,6.3,0.0,13.0,99.3,47.8,,1962-11-01,6.3
630,1962,12,3.9,-2.7,24.0,108.4,55.0,,1962-12-01,1.1999999999999997
631,1963,1,0.8,-5.2,28.0,52.8,66.4,,1963-01-01,-4.4
632,1963,2,1.4,-6.8,28.0,41.0,107.4,,1963-02-01,-5.4
633,1963,3,7.5,0.3,12.0,226.4,80.9,,1963-03-01,7.8
