,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1954,15.2,-3.5,13.283333333333333,953.6000000000001,2050.2999999999997,88.0,Eskdalemuir
1,1955,21.9,-4.0,13.733333333333329,1533.5000000000002,1121.3000000000002,115.0,Eskdalemuir
2,1956,16.9,-4.2,13.433333333333335,1195.8,1390.3000000000002,103.0,Eskdalemuir
3,1957,18.3,-1.9,15.183333333333335,1327.3,1517.3999999999999,77.0,Eskdalemuir
4,1958,18.3,-2.7,13.833333333333336,1123.2000000000003,1398.5000000000002,100.0,Eskdalemuir
5,1959,19.4,-4.7,16.00833333333333,1418.5,1411.7,72.0,Eskdalemuir
6,1960,19.0,-3.3,14.716666666666667,1316.3999999999999,1562.0000000000002,90.0,Eskdalemuir
7,1961,16.5,-3.6,14.741666666666667,1110.9,1431.6000000000001,70.0,Eskdalemuir
8,1962,16.2,-3.4,12.725,1295.3,1584.0999999999997,104.0,Eskdalemuir
9,1963,17.2,-6.8,12.583333333333334,1249.1,1574.9,101.0,Eskdalemuir
10,1964,17.0,-2.3,14.266666666666667,1118.7,1383.4,86.0,Eskdalemuir
11,1965,16.6,-2.2,13.050000000000002,1144.6,1524.4999999999998,111.0,Eskdalemuir
12,1966,17.3,-1.0,13.95833333333333,1106.9,1546.1999999999998,87.0,Eskdalemuir
13,1967,17.2,-0.4,14.566666666666668,1152.1000000000001,1677.1000000000001,74.0,Eskdalemuir
14,1968,17.6,-4.7,13.874999999999998,1136.1999999999998,1376.3999999999999,99.0,Eskdalemuir
15,1969,18.5,-4.0,13.516666666666666,1187.4,1137.5,116.0,Eskdalemuir
16,1970,19.0,-3.9,14.049999999999999,1302.9,1440.2000000000003,93.0,Eskdalemuir
17,1971,18.9,-0.4,15.158333333333333,1136.5,1196.0,84.0,Eskdalemuir
18,1972,18.3,-0.7,14.06666666666667,1193.8,1417.8,77.0,Eskdalemuir
19,1973,17.8,-1.5,14.258333333333333,1243.2,1028.1000000000001,99.0,Eskdalemuir
20,1974,16.8,0.0,14.516666666666666,1150.9,1550.2,71.0,Eskdalemuir
21,1975,21.3,-0.8,15.325000000000001,1396.4,1337.3000000000002,102.0,Eskdalemuir
22,1976,20.8,-2.9,15.049999999999999,1063.7,1298.0,87.0,Eskdalemuir
23,1977,18.5,-2.9,14.166666666666664,1352.7999999999997,1692.5,74.0,Eskdalemuir
24,1978,17.0,-3.1,14.15,1116.9,1437.5,88.0,Eskdalemuir
25,1979,16.6,-5.7,12.4,1156.8,1647.8000000000002,126.0,Eskdalemuir
26,1980,16.7,-2.3,13.975000000000001,1048.5,1626.8999999999999,95.0,Eskdalemuir
27,1981,18.0,-6.4,13.441666666666668,1260.8000000000004,1637.8,109.0,Eskdalemuir
28,1982,19.1,-3.0,14.699999999999998,1181.8999999999999,1906.7999999999997,91.0,Eskdalemuir
29,1983,21.7,-2.9,15.241666666666665,1147.2999999999997,1560.5,82.0,Eskdalemuir
30,1984,20.4,-2.2,15.016666666666666,1304.1,1410.6,88.0,Eskdalemuir
31,1985,16.4,-3.1,12.783333333333333,1097.2,1873.2000000000003,97.0,Eskdalemuir
32,1986,17.0,-4.7,12.475,1145.3,1961.9999999999998,104.0,Eskdalemuir
33,1987,17.6,-3.9,13.200000000000001,1166.6000000000001,1524.7,107.0,Eskdalemuir
