,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
115,1957,1,8.7,2.7,5.0,39.5,53.0,,1957-01-01,11.399999999999999
116,1957,2,9.0,2.9,5.0,69.8,64.9,,1957-02-01,11.9
117,1957,3,13.9,5.7,2.0,25.4,96.7,,1957-03-01,19.6
118,1957,4,14.2,5.2,1.0,5.7,169.6,,1957-04-01,19.4
119,1957,5,16.2,6.5,0.0,21.3,195.0,,1957-05-01,22.7
120,1957,6,23.6,10.7,0.0,22.4,284.5,,1957-06-01,34.3
121,1957,7,22.5,13.8,0.0,87.0,152.3,,1957-07-01,36.3
122,1957,8,21.1,12.5,0.0,86.2,154.4,,1957-08-01,33.6
123,1957,9,17.6,10.1,0.0,51.7,88.5,,1957-09-01,27.700000000000003
124,1957,10,15.5,7.7,0.0,47.0,85.9,,1957-10-01,23.2
125,1957,11,9.4,4.3,2.0,59.5,67.5,,1957-11-01,13.7
126,1957,12,7.6,1.0,11.0,42.1,40.8,,1957-12-01,8.6
127,1958,1,6.8,0.9,10.0,64.3,40.1,,1958-01-01,7.7
128,1958,2,8.9,1.9,10.0,58.7,45.7,,1958-02-01,10.8
129,1958,3,8.1,1.1,10.0,26.0,105.2,,1958-03-01,9.2
130,1958,4,12.3,3.8,3.0,29.5,153.2,,1958-04-01,16.1
131,1958,5,17.3,7.8,0.0,59.5,189.2,,1958-05-01,25.1
132,1958,6,19.4,10.7,0.0,104.3,152.2,,1958-06-01,30.099999999999998
133,1958,7,21.7,12.9,0.0,51.9,190.5,,1958-07-01,34.6
134,1958,8,20.8,13.1,0.0,75.2,103.1,,1958-08-01,33.9
135,1958,9,20.0,12.1,0.0,83.8,134.8,,1958-09-01,32.1
136,1958,10,14.9,8.3,0.0,50.7,94.2,,1958-10-01,23.200000000000003
137,1958,11,9.7,4.4,1.0,50.7,40.8,,1958-11-01,14.1
138,1958,12,8.0,2.7,2.0,85.1,29.6,,1958-12-01,10.7
139,1959,1,5.7,-1.1,23.0,54.8,76.2,,1959-01-01,4.6
140,1959,2,7.4,1.2,7.0,2.4,54.8,,1959-02-01,8.6
141,1959,3,11.9,4.4,0.0,43.8,103.9,,1959-03-01,16.3
142,1959,4,14.2,6.3,0.0,52.9,139.1,,1959-04-01,20.5
143,1959,5,18.7,8.0,0.0,21.9,221.4,,1959-05-01,26.7
144,1959,6,22.1,11.1,0.0,16.2,231.6,,1959-06-01,33.2
145,1959,7,24.7,13.3,0.0,86.5,276.9,,1959-07-01,38.0
146,1959,8,24.2,13.7,0.0,27.6,240.0,,1959-08-01,37.9
147,1959,9,22.7,10.6,0.0,5.1,209.2,,1959-09-01,33.3
148,1959,10,17.8,8.5,0.0,46.9,150.1,,1959-10-01,26.3
149,1959,11,10.8,3.5,6.0,53.5,53.0,,1959-11-01,14.3
150,1959,12,9.3,3.0,1.0,75.7,30.2,,1959-12-01,12.3
151,1960,1,6.9,1.8,12.0,47.9,34.4,,1960-01-01,8.700000000000001
152,1960,2,7.9,1.6,7.0,48.0,80.1,,1960-02-01,9.5
153,1960,3,10.2,4.5,0.0,33.9,65.0,,1960-03-01,14.7
154,1960,4,14.3,4.6,1.0,12.4,156.1,,1960-04-01,18.9
155,1960,5,18.4,9.3,0.0,45.6,181.7,,1960-05-01,27.7
156,1960,6,22.1,12.1,0.0,42.8,248.6,,1960-06-01,34.2
157,1960,7,20.1,12.4,0.0,67.2,139.7,,1960-07-01,32.5
158,1960,8,20.3,11.8,0.0,60.8,150.9,,1960-08-01,32.1
159,1960,9,18.5,10.5,0.0,75.3,128.4,,1960-09-01,29.0
160,1960,10,14.2,8.2,0.0,155.5,75.2,,1960-10-01,22.4
161,1960,11,11.2,4.5,4.0,89.5,69.4,,1960-11-01,15.7
162,1960,12,6.9,2.1,5.0,56.5,44.5,,1960-12-01,9.0
163,1961,1,6.9,1.2,11.0,64.4,45.8,,1961-01-01,8.1
164,1961,2,10.3,4.9,0.0,55.1,56.0,,1961-02-01,15.200000000000001
165,1961,3,13.9,2.9,4.0,5.7,166.7,,1961-03-01,16.8
166,1961,4,15.0,7.1,0.0,50.8,73.5,,1961-04-01,22.1
167,1961,5,16.8,7.4,0.0,17.2,217.2,,1961-05-01,24.200000000000003
168,1961,6,21.7,10.5,0.0,29.2,229.3,,1961-06-01,32.2
169,1961,7,22.1,12.1,0.0,26.2,180.0,,1961-07-01,34.2
170,1961,8,21.7,12.6,0.0,47.6,158.8,,1961-08-01,34.3
171,1961,9,20.9,12.0,0.0,64.7,125.4,,1961-09-01,32.9
172,1961,10,15.6,7.6,1.0,56.8,117.2,,1961-10-01,23.2
173,1961,11,9.9,3.5,7.0,52.5,55.6,,1961-11-01,13.4
174,1961,12,6.8,0.2,17.0,88.6,46.2,,1961-12-01,7.0
175,1962,1,7.9,1.2,7.0,76.1,67.1,,1962-01-01,9.1
176,1962,2,7.6,1.4,7.0,12.6,67.1,,1962-02-01,9.0
177,1962,3,7.4,-0.6,16.0,35.8,111.4,,1962-03-01,6.800000000000001
178,1962,4,12.7,4.7,0.0,41.8,142.7,,1962-04-01,17.4
179,1962,5,15.0,7.1,0.0,29.6,157.9,,1962-05-01,22.1
180,1962,6,20.4,9.4,0.0,6.1,260.5,,1962-06-01,29.799999999999997
181,1962,7,20.6,12.1,0.0,82.8,135.0,,1962-07-01,32.7
182,1962,8,20.0,11.6,0.0,52.9,173.6,,1962-08-01,31.6
183,1962,9,17.8,9.6,0.0,88.4,152.0,,1962-09-01,27.4
184,1962,10,15.7,7.1,1.0,37.6,114.4,,1962-10-01,22.799999999999997
185,1962,11,9.1,3.2,8.0,41.7,33.6,,1962-11-01,12.3
186,1962,12,5.0,-1.1,22.0,52.8,64.1,,1962-12-01,3.9
187,1963,1,0.8,-4.6,28.0,12.9,38.4,,1963-01-01,-3.8
188,1963,2,2.8,-2.2,24.0,6.6,72.2,,1963-02-01,0.5999999999999996
189,1963,3,10.7,3.0,7.0,68.2,95.9,,1963-03-01,13.7
190,1963,4,13.6,5.7,1.0,52.1,123.2,,1963-04-01,19.3
191,1963,5,16.0,6.9,0.0,33.7,195.6,,1963-05-01,22.9
192,1963,6,20.8,11.3,0.0,48.3,193.4,,1963-06-01,32.1
193,1963,7,21.1,11.9,0.0,28.1,196.2,,1963-07-01,33.0
194,1963,8,19.8,11.7,0.0,53.4,138.6,,1963-08-01,31.5
195,1963,9,18.0,10.1,0.0,49.0,120.9,,1963-09-01,28.1
196,1963,10,14.8,8.2,0.0,34.7,85.4,,1963-10-01,23.0
197,1963,11,11.8,6.0,1.0,118.8,59.3,,1963-11-01,17.8
198,1963,12,5.4,0.0,16.0,16.1,44.1,,1963-12-01,5.4
199,1964,1,5.8,0.4,9.0,17.8,37.4,,1964-01-01,6.2
200,1964,2,7.6,2.0,7.0,16.8,59.2,,1964-02-01,9.6
201,1964,3,7.6,2.6,5.0,95.1,66.8,,1964-03-01,10.2
202,1964,4,12.8,5.4,2.0,73.5,126.1,,1964-04-01,18.200000000000003
203,1964,5,19.6,9.8,0.0,46.1,197.8,,1964-05-01,29.400000000000002
204,1964,6,19.3,11.2,0.0,110.1,164.1,,1964-06-01,30.5
205,1964,7,22.8,13.5,0.0,20.2,219.7,,1964-07-01,36.3
206,1964,8,22.3,12.7,0.0,21.2,215.7,,1964-08-01,35.0
207,1964,9,21.1,10.6,0.0,11.1,213.7,,1964-09-01,31.700000000000003
208,1964,10,13.7,5.3,1.0,29.2,126.2,,1964-10-01,19.0
209,1964,11,11.2,5.3,2.0,29.6,55.0,,1964-11-01,16.5
210,1964,12,7.1,0.9,12.0,29.9,48.6,,1964-12-01,8.0
211,1965,1,6.6,1.0,14.0,43.0,72.8,,1965-01-01,7.6
212,1965,2,5.9,0.9,11.0,8.3,32.5,,1965-02-01,6.800000000000001
213,1965,3,10.5,2.2,9.0,58.0,129.7,,1965-03-01,12.7
214,1965,4,13.4,4.8,0.0,44.8,138.6,,1965-04-01,18.2
215,1965,5,16.8,8.6,0.0,39.5,194.6,,1965-05-01,25.4
216,1965,6,19.7,11.0,0.0,54.6,184.7,,1965-06-01,30.7
217,1965,7,19.3,11.7,0.0,85.9,129.9,,1965-07-01,31.0
218,1965,8,20.8,11.9,0.0,55.9,184.7,,1965-08-01,32.7
219,1965,9,17.4,9.2,0.0,109.4,130.0,,1965-09-01,26.599999999999998
220,1965,10,16.2,7.5,1.0,18.8,129.1,,1965-10-01,23.7
221,1965,11,8.4,2.2,9.0,65.4,96.5,,1965-11-01,10.600000000000001
222,1965,12,8.4,1.7,9.0,87.3,54.0,,1965-12-01,10.1
223,1966,1,5.3,1.0,13.0,32.6,40.8,,1966-01-01,6.3
224,1966,2,9.3,4.4,1.0,73.4,27.0,,1966-02-01,13.700000000000001
