,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1957,23.6,1.0,21.866666666666664,1453.1000000000001,557.6,26.0,Heathrow,20.22003496503497,22.260699300699315,-0.19370629370628478,1492.5994405594408,597.841958041958,44.544055944056026
1,1958,21.7,0.9,20.633333333333333,1278.6,739.7,36.0,Heathrow,20.2838960518648,22.30678321678323,-0.15866258741257866,1494.283111888112,598.1754064685315,44.20301573426582
2,1959,24.7,-1.1,22.66666666666667,1786.4,487.29999999999995,37.0,Heathrow,20.347757138694647,22.352867132867146,-0.12361888111887254,1495.9667832167836,598.508854895105,43.86197552447561
3,1960,22.1,1.6,21.2,1374.0000000000002,735.4000000000001,29.0,Heathrow,20.411618225524478,22.398951048951062,-0.08857517482516641,1497.6504545454547,598.8423033216784,43.5209353146854
4,1961,22.1,0.2,21.96666666666667,1471.7,558.8,40.0,Heathrow,20.47547931235431,22.445034965034978,-0.05353146853146029,1499.334125874126,599.1757517482517,43.17989510489508
5,1962,20.6,-1.1,18.741666666666667,1479.3999999999999,558.1999999999999,61.0,Heathrow,20.539340399184155,22.491118881118894,-0.01848776223775417,1501.0177972027975,599.5092001748252,42.83885489510487
6,1963,21.1,-4.6,18.633333333333336,1363.2,521.9,77.0,Heathrow,20.603201486013987,22.53720279720281,0.016555944055951954,1502.7014685314687,599.8426486013987,42.497814685314665
7,1964,22.8,0.4,20.88333333333333,1530.3,500.59999999999997,38.0,Heathrow,20.667062572843832,22.583286713286725,0.05159965034965808,1504.3851398601398,600.1760970279721,42.15677447552446
8,1965,20.8,0.9,19.674999999999997,1477.1,670.8999999999999,53.0,Heathrow,20.730923659673664,22.62937062937064,0.0866433566433642,1506.0688111888114,600.5095454545454,41.81573426573425
9,1966,21.8,1.0,20.916666666666668,1406.9999999999998,761.2,28.0,Heathrow,20.794784746503495,22.675454545454556,0.12168706293707032,1507.7524825174826,600.8429938811189,41.47469405594404
10,1967,23.5,1.3,21.083333333333336,1640.3999999999999,698.4,38.0,Heathrow,20.85864583333334,22.721538461538472,0.15673076923077645,1509.4361538461542,601.1764423076924,41.133653846153834
11,1968,20.7,0.2,20.5,1327.5,755.3,48.0,Heathrow,20.922506920163173,22.767622377622388,0.19177447552448257,1511.1198251748253,601.5098907342658,40.792613636363626
12,1969,23.9,-0.9,21.05,1485.0999999999997,563.8000000000001,47.0,Heathrow,20.986368006993004,22.813706293706304,0.2268181818181887,1512.8034965034965,601.8433391608392,40.45157342657342
13,1970,23.6,0.7,21.358333333333334,1580.9,656.4,48.0,Heathrow,21.05022909382285,22.85979020979022,0.2618618881118948,1514.487167832168,602.1767875874126,40.11053321678321
14,1971,24.1,1.9,21.650000000000002,1539.8000000000002,618.5,27.0,Heathrow,21.11409018065268,22.905874125874135,0.29690559440560094,1516.1708391608393,602.5102360139861,39.769493006993
15,1972,22.3,2.1,20.76666666666667,1385.3,444.2,21.0,Heathrow,21.177951267482527,22.95195804195805,0.33194930069930706,1517.8545104895109,602.8436844405595,39.428452797202794
16,1973,23.7,0.7,21.21666666666667,1583.0,485.30000000000007,53.0,Heathrow,21.24181235431236,22.998041958041966,0.3669930069930132,1519.538181818182,603.1771328671329,39.08741258741259
17,1974,21.5,2.8,21.216666666666665,1490.3,729.4999999999999,9.0,Heathrow,21.30567344114219,23.044125874125882,0.4020367132867193,1521.2218531468532,603.5105812937063,38.74637237762238
18,1975,25.9,1.5,21.89166666666667,1578.9999999999995,585.8000000000001,36.0,Heathrow,21.369534527972036,23.090209790209798,0.4370804195804254,1522.9055244755248,603.8440297202798,38.40533216783217
19,1976,26.6,-0.2,22.60833333333333,1712.8000000000002,457.2,40.0,Heathrow,21.433395614801867,23.136293706293714,0.47212412587413155,1524.589195804196,604.1774781468532,38.06429195804196
20,1977,22.4,0.8,21.099999999999998,1426.0,638.9,30.0,Heathrow,21.4972567016317,23.18237762237763,0.5071678321678377,1526.2728671328675,604.5109265734266,37.723251748251755
21,1978,20.7,0.7,20.900000000000002,1399.3000000000002,585.2,47.0,Heathrow,21.561117788461544,23.228461538461545,0.5422115384615438,1527.9565384615387,604.844375,37.38221153846155
22,1979,22.5,-2.6,19.900000000000002,1422.1999999999998,684.5000000000001,55.0,Heathrow,21.624978875291376,23.27454545454546,0.5772552447552499,1529.6402097902098,605.1778234265735,37.04117132867134
23,1980,21.9,-0.1,20.750000000000004,1516.0,588.0999999999999,34.0,Heathrow,21.68883996212122,23.320629370629376,0.612298951048956,1531.3238811188814,605.5112718531469,36.70013111888113
24,1981,22.8,-1.5,20.583333333333332,1314.5,679.6,45.0,Heathrow,21.752701048951053,23.366713286713292,0.6473426573426622,1533.0075524475526,605.8447202797203,36.359090909090924
25,1982,22.7,0.4,21.96666666666667,1512.1,649.8,34.0,Heathrow,21.816562135780885,23.412797202797208,0.6823863636363683,1534.6912237762238,606.1781687062937,36.018050699300716
26,1983,27.6,-0.5,22.35833333333333,1497.1000000000001,535.0,46.0,Heathrow,21.88042322261073,23.458881118881123,0.7174300699300744,1536.3748951048954,606.5116171328672,35.67701048951051
27,1984,24.4,1.3,21.833333333333332,1570.8999999999999,641.6999999999999,34.0,Heathrow,21.94428430944056,23.50496503496504,0.7524737762237805,1538.0585664335665,606.8450655594406,35.3359702797203
28,1985,22.9,-1.8,20.116666666666667,1537.3,526.3,63.0,Heathrow,22.008145396270393,23.551048951048955,0.7875174825174867,1539.7422377622381,607.1785139860141,34.99493006993009
29,1986,22.6,-2.7,19.883333333333336,1523.1999999999998,637.0000000000001,50.0,Heathrow,22.07200648310024,23.59713286713287,0.8225611888111928,1541.4259090909093,607.5119624125874,34.653889860139884
30,1987,21.8,-1.0,20.524999999999995,1392.1,653.9999999999999,52.0,Heathrow,22.13586756993007,23.643216783216786,0.8576048951048989,1543.1095804195804,607.8454108391609,34.312849650349676
31,1988,21.8,1.8,21.7,1507.6,552.1,29.0,Heathrow,22.199728656759916,23.689300699300702,0.892648601398605,1544.793251748252,608.1788592657343,33.97180944055947
32,1989,25.8,2.6,24.108333333333338,1893.6000000000001,533.7,21.0,Heathrow,22.263589743589748,23.735384615384618,0.9276923076923111,1546.4769230769232,608.5123076923078,33.63076923076926
33,1990,26.0,2.5,24.108333333333334,1907.2,425.3999999999999,12.0,Heathrow,22.32745083041958,23.781468531468533,0.9627360139860173,1548.1605944055948,608.8457561188811,33.28972902097905
34,1991,24.1,-1.3,21.316666666666666,1502.1,533.1999999999999,40.0,Heathrow,22.391311917249425,23.82755244755245,0.9977797202797234,1549.844265734266,609.1792045454546,32.948688811188845
35,1992,22.5,1.6,22.458333333333332,1441.9999999999995,649.4,37.0,Heathrow,22.455173004079256,23.873636363636365,1.0328234265734295,1551.527937062937,609.512652972028,32.60764860139864
36,1993,21.8,2.4,21.633333333333336,1484.1000000000001,613.9,25.0,Heathrow,22.519034090909088,23.919720279720295,1.0678671328671356,1553.2116083916087,609.8461013986015,32.26660839160843
37,1994,26.2,1.2,23.35833333333333,1672.3,630.8,22.0,Heathrow,22.582895177738934,23.96580419580421,1.1029108391608418,1554.8952797202799,610.1795498251748,31.92556818181822
38,1995,27.0,1.0,23.800000000000008,1882.2000000000003,539.2,34.0,Heathrow,22.646756264568765,24.011888111888126,1.1379545454545479,1556.578951048951,610.5129982517483,31.584527972028013
39,1996,24.2,0.1,21.075,1714.9999999999998,420.7,54.0,Heathrow,22.71061735139861,24.057972027972042,1.172998251748254,1558.2626223776226,610.8464466783217,31.243487762237805
40,1997,25.8,0.2,24.04166666666666,1804.6,444.7,28.0,Heathrow,22.774478438228442,24.104055944055958,1.2080419580419601,1559.9462937062938,611.1798951048952,30.902447552447597
41,1998,23.5,3.4,23.266666666666666,1578.8,685.1,20.0,Heathrow,22.838339525058274,24.150139860139873,1.2430856643356663,1561.6299650349654,611.5133435314685,30.56140734265739
42,1999,24.9,2.4,23.84166666666667,1813.6000000000001,662.1,20.0,Heathrow,22.90220061188812,24.19622377622379,1.2781293706293724,1563.3136363636365,611.846791958042,30.22036713286718
43,2000,23.2,2.4,23.150000000000002,1550.8000000000002,820.4,19.0,Heathrow,22.96606169871795,24.242307692307705,1.3131730769230785,1564.9973076923077,612.1802403846154,29.879326923076974
44,2001,24.3,1.4,22.61666666666667,1746.8,705.3,31.0,Heathrow,23.029922785547782,24.28839160839162,1.3482167832167846,1566.6809790209793,612.5136888111889,29.538286713286766
45,2002,23.3,3.5,24.141666666666666,1632.1999999999998,786.7,10.0,Heathrow,23.093783872377628,24.334475524475536,1.3832604895104907,1568.3646503496504,612.8471372377622,29.197246503496558
46,2003,26.4,1.8,24.183333333333334,2003.5000000000002,475.49999999999994,27.0,Heathrow,23.15764495920746,24.380559440559452,1.4183041958041969,1570.048321678322,613.1805856643357,28.85620629370635
47,2004,23.8,2.9,23.700000000000003,1638.9,618.6,25.0,Heathrow,23.221506046037305,24.426643356643368,1.453347902097903,1571.7319930069932,613.5140340909091,28.515166083916142
48,2005,23.3,1.9,23.575000000000003,1677.5000000000002,449.99999999999994,32.0,Heathrow,23.285367132867137,24.472727272727283,1.4883916083916091,1573.4156643356644,613.8474825174826,28.174125874125934
49,2006,28.2,1.7,24.599999999999998,1496.3,636.0,28.0,Heathrow,23.34922821969697,24.5188111888112,1.5234353146853294,1575.099335664336,614.180930944056,27.833085664335727
50,2007,21.5,3.1,23.866666666666664,1529.2,680.9,21.0,Heathrow,23.4130893065268,24.564895104895115,1.5584790209790356,1576.7830069930071,614.5143793706294,27.49204545454552
51,2008,22.8,1.7,22.741666666666664,1409.9,656.6,25.0,Heathrow,23.47695039335666,24.61097902097903,1.5935227272727417,1578.4666783216787,614.8478277972029,27.15100524475531
52,2009,23.9,0.3,23.425,1508.5000000000002,682.8000000000001,37.0,Heathrow,23.54081148018649,24.657062937062946,1.6285664335664478,1580.1503496503499,615.1812762237763,26.809965034965103
53,2010,25.0,-1.5,21.175,1370.5000000000002,521.4,56.0,Heathrow,23.604672567016323,24.703146853146862,1.663610139860154,1581.834020979021,615.5147246503496,26.468924825174895
54,2011,21.8,2.8,24.674999999999997,1540.1000000000001,509.19999999999993,17.0,Heathrow,23.668533653846154,24.749230769230778,1.69865384615386,1583.5176923076926,615.8481730769231,26.127884615384687
55,2012,23.5,1.3,22.583333333333332,1502.6,707.3999999999999,31.0,Heathrow,23.732394740675986,24.795314685314693,1.7336975524475662,1585.2013636363638,616.1816215034966,25.78684440559448
56,2013,27.0,1.2,22.191666666666663,1452.4,560.1,35.0,Heathrow,23.796255827505817,24.84139860139861,1.7687412587412723,1586.885034965035,616.51506993007,25.44580419580427
57,2014,25.8,3.0,25.25,1668.3999999999996,863.9999999999999,10.0,Heathrow,23.860116914335677,24.887482517482525,1.8037849650349784,1588.5687062937066,616.8485183566434,25.104763986014063
58,2015,23.7,1.6,24.158333333333335,1507.7,562.0,21.0,Heathrow,23.92397800116551,24.93356643356644,1.8388286713286845,1590.2523776223777,617.1819667832168,24.763723776223856
59,2016,24.7,2.9,23.8,1473.6999999999998,590.6,23.0,Heathrow,23.98783908799534,24.979650349650356,1.8738723776223907,1591.9360489510493,617.5154152097903,24.422683566433648
60,2017,24.0,0.7,24.350000000000005,1451.9999999999998,572.1999999999999,25.0,Heathrow,24.05170017482517,25.025734265734272,1.9089160839160968,1593.6197202797205,617.8488636363637,24.08164335664344
61,2018,28.3,0.6,24.95,1704.8000000000002,580.0,23.0,Heathrow,24.115561261655003,25.071818181818188,1.943959790209803,1595.3033916083916,618.1823120629371,23.740603146853232
62,2019,25.5,2.0,24.333333333333332,1546.1,652.2,19.0,Heathrow,24.179422348484863,25.117902097902103,1.979003496503509,1596.9870629370632,618.5157604895105,23.39956293706291
63,2020,25.6,3.5,25.174999999999997,1613.8,662.6,16.0,Heathrow,24.243283435314694,25.16398601398602,2.014047202797215,1598.6707342657344,618.849208916084,23.058522727272702
64,2021,24.2,1.3,23.341666666666665,1236.6,662.4000000000001,31.0,Heathrow,24.307144522144526,25.210069930069935,2.0490909090909213,1600.354405594406,619.1826573426574,22.717482517482495
