,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
150,1968,12,6.9,1.2,12.0,111.0,40.4,,1968-12-01,8.1
151,1969,1,9.5,3.4,8.0,127.4,33.4,,1969-01-01,12.9
152,1969,2,5.7,-1.5,18.0,43.1,84.6,,1969-02-01,4.2
153,1969,3,8.9,1.1,11.0,79.0,73.8,,1969-03-01,10.0
154,1969,4,13.3,2.9,9.0,25.2,201.3,,1969-04-01,16.2
155,1969,5,15.5,7.3,0.0,95.7,170.3,,1969-05-01,22.8
156,1969,6,19.8,9.0,0.0,32.9,257.8,,1969-06-01,28.8
157,1969,7,22.2,11.5,0.0,51.7,248.1,,1969-07-01,33.7
158,1969,8,21.0,12.4,0.0,62.8,170.1,,1969-08-01,33.4
159,1969,9,18.7,10.0,0.0,46.2,99.3,,1969-09-01,28.7
160,1969,10,17.4,7.9,2.0,2.7,133.5,,1969-10-01,25.299999999999997
161,1969,11,10.3,2.3,10.0,146.6,94.2,,1969-11-01,12.600000000000001
162,1969,12,7.1,0.4,15.0,102.9,54.5,,1969-12-01,7.5
163,1970,1,7.9,1.6,10.0,154.9,37.2,,1970-01-01,9.5
164,1970,2,7.9,0.3,14.0,64.8,109.7,,1970-02-01,8.200000000000001
165,1970,3,8.6,0.1,16.0,50.9,125.6,,1970-03-01,8.7
166,1970,4,11.1,3.0,8.0,48.3,149.5,,1970-04-01,14.1
167,1970,5,17.8,6.7,0.0,34.9,235.0,,1970-05-01,24.5
168,1970,6,21.6,10.9,0.0,24.7,262.9,,1970-06-01,32.5
169,1970,7,20.3,11.1,0.0,46.2,189.8,,1970-07-01,31.4
170,1970,8,20.9,10.8,0.0,48.6,175.9,,1970-08-01,31.7
171,1970,9,19.4,10.2,0.0,77.9,188.6,,1970-09-01,29.599999999999998
172,1970,10,15.3,7.0,2.0,21.2,116.1,,1970-10-01,22.3
173,1970,11,12.4,5.1,5.0,217.3,63.7,,1970-11-01,17.5
174,1970,12,7.2,0.9,16.0,32.0,65.2,,1970-12-01,8.1
175,1971,1,8.2,2.8,5.0,128.4,53.1,,1971-01-01,11.0
176,1971,2,8.7,0.0,14.0,22.5,85.9,,1971-02-01,8.7
177,1971,3,9.1,1.0,12.0,65.7,121.1,,1971-03-01,10.1
178,1971,4,12.6,3.4,4.0,55.3,168.0,,1971-04-01,16.0
179,1971,5,16.8,6.0,2.0,27.5,240.0,,1971-05-01,22.8
180,1971,6,17.4,8.8,0.0,131.2,180.3,,1971-06-01,26.2
181,1971,7,22.9,11.7,0.0,11.7,279.7,,1971-07-01,34.599999999999994
182,1971,8,20.2,12.6,0.0,53.0,160.2,,1971-08-01,32.8
183,1971,9,20.2,7.8,0.0,8.6,204.4,,1971-09-01,28.0
184,1971,10,16.7,7.0,3.0,44.4,139.1,,1971-10-01,23.7
185,1971,11,10.8,0.1,15.0,57.6,107.0,,1971-11-01,10.9
186,1971,12,9.4,3.9,8.0,32.1,37.2,,1971-12-01,13.3
187,1972,1,7.5,1.7,10.0,107.0,43.6,,1972-01-01,9.2
188,1972,2,8.3,2.6,3.0,108.4,40.1,,1972-02-01,10.9
189,1972,3,12.1,2.4,4.0,100.6,166.6,,1972-03-01,14.5
190,1972,4,13.2,5.0,2.0,61.1,175.5,,1972-04-01,18.2
191,1972,5,14.4,6.8,0.0,79.4,168.2,,1972-05-01,21.2
192,1972,6,15.5,7.8,0.0,56.7,156.7,,1972-06-01,23.3
193,1972,7,20.6,11.1,0.0,32.6,198.4,,1972-07-01,31.700000000000003
194,1972,8,21.0,10.4,0.0,25.4,207.8,,1972-08-01,31.4
195,1972,9,17.3,7.1,0.0,29.6,150.6,,1972-09-01,24.4
196,1972,10,15.0,6.5,1.0,26.4,105.6,,1972-10-01,21.5
197,1972,11,10.4,2.0,12.0,95.6,78.2,,1972-11-01,12.4
198,1972,12,10.1,2.9,10.0,125.8,58.6,,1972-12-01,13.0
199,1973,1,7.8,1.3,13.0,46.7,27.0,,1973-01-01,9.1
200,1973,2,8.4,0.1,14.0,15.9,88.1,,1973-02-01,8.5
201,1973,3,11.0,0.0,18.0,14.9,143.8,,1973-03-01,11.0
202,1973,4,12.3,2.6,6.0,40.2,180.9,,1973-04-01,14.9
203,1973,5,15.9,7.3,1.0,77.3,176.6,,1973-05-01,23.2
204,1973,6,20.1,9.5,0.0,51.6,237.5,,1973-06-01,29.6
205,1973,7,20.9,11.0,0.0,27.9,193.4,,1973-07-01,31.9
206,1973,8,22.9,12.0,0.0,37.0,218.7,,1973-08-01,34.9
207,1973,9,19.8,10.3,0.0,52.4,161.9,,1973-09-01,30.1
208,1973,10,14.3,4.7,7.0,63.9,125.8,,1973-10-01,19.0
209,1973,11,11.1,2.5,12.0,31.4,81.8,,1973-11-01,13.6
210,1973,12,9.4,1.8,13.0,49.9,53.1,,1973-12-01,11.200000000000001
211,1974,1,10.0,3.9,3.0,121.1,43.5,,1974-01-01,13.9
212,1974,2,9.5,2.0,10.0,120.9,80.4,,1974-02-01,11.5
213,1974,3,10.3,2.2,10.0,35.9,104.5,,1974-03-01,12.5
214,1974,4,14.2,2.9,7.0,10.4,191.8,,1974-04-01,17.099999999999998
215,1974,5,15.9,5.9,1.0,41.8,237.6,,1974-05-01,21.8
216,1974,6,19.2,9.5,0.0,59.7,217.7,,1974-06-01,28.7
217,1974,7,19.7,11.7,0.0,39.0,190.8,,1974-07-01,31.4
218,1974,8,20.1,10.2,0.0,83.9,209.6,,1974-08-01,30.3
219,1974,9,16.6,8.7,1.0,176.0,159.5,,1974-09-01,25.3
220,1974,10,11.9,4.1,2.0,49.1,127.1,,1974-10-01,16.0
221,1974,11,11.2,4.8,0.0,150.6,64.2,,1974-11-01,16.0
222,1974,12,11.1,5.8,1.0,45.4,48.5,,1974-12-01,16.9
223,1975,1,10.5,3.8,6.0,115.4,49.5,,1975-01-01,14.3
224,1975,2,9.5,0.8,13.0,24.3,90.8,,1975-02-01,10.3
225,1975,3,8.9,1.8,10.0,80.8,91.2,,1975-03-01,10.700000000000001
226,1975,4,12.6,3.7,9.0,37.9,159.2,,1975-04-01,16.3
227,1975,5,15.2,6.0,0.0,32.2,199.5,,1975-05-01,21.2
228,1975,6,21.7,8.7,0.0,9.4,320.1,,1975-06-01,30.4
229,1975,7,22.6,12.3,0.0,15.6,258.0,,1975-07-01,34.900000000000006
230,1975,8,23.6,12.5,0.0,46.0,248.2,,1975-08-01,36.1
231,1975,9,18.4,8.6,0.0,143.8,156.0,,1975-09-01,27.0
232,1975,10,14.7,5.8,2.0,14.8,137.7,,1975-10-01,20.5
233,1975,11,11.1,2.2,7.0,67.3,93.7,,1975-11-01,13.3
234,1975,12,7.8,0.6,15.0,25.1,57.1,,1975-12-01,8.4
235,1976,1,9.1,2.8,11.0,9.6,60.0,,1976-01-01,11.899999999999999
236,1976,2,7.5,2.1,11.0,34.4,35.2,,1976-02-01,9.6
237,1976,3,9.6,0.7,13.0,37.4,136.0,,1976-03-01,10.299999999999999
238,1976,4,13.8,2.3,8.0,7.0,206.2,,1976-04-01,16.1
239,1976,5,17.4,7.1,2.0,17.0,235.3,,1976-05-01,24.5
240,1976,6,23.4,11.0,0.0,6.0,256.5,,1976-06-01,34.4
241,1976,7,24.9,13.0,0.0,10.0,302.7,,1976-07-01,37.9
242,1976,8,24.6,10.2,0.0,13.6,308.4,,1976-08-01,34.8
243,1976,9,18.1,9.1,0.0,118.2,139.2,,1976-09-01,27.200000000000003
244,1976,10,14.6,7.8,1.0,175.4,66.1,,1976-10-01,22.4
245,1976,11,10.5,2.5,9.0,128.4,69.1,,1976-11-01,13.0
246,1976,12,6.1,-1.0,20.0,125.8,53.6,,1976-12-01,5.1
247,1977,1,6.8,0.3,14.0,96.6,43.0,,1977-01-01,7.1
248,1977,2,9.6,3.5,7.0,131.1,85.3,,1977-02-01,13.1
249,1977,3,10.9,4.3,5.0,85.3,114.7,,1977-03-01,15.2
250,1977,4,11.8,3.0,9.0,17.2,181.2,,1977-04-01,14.8
251,1977,5,16.4,5.9,3.0,52.4,238.2,,1977-05-01,22.299999999999997
252,1977,6,16.5,8.5,0.0,93.2,156.2,,1977-06-01,25.0
253,1977,7,21.2,11.6,0.0,25.7,222.2,,1977-07-01,32.8
254,1977,8,20.1,10.9,0.0,114.5,174.5,,1977-08-01,31.0
255,1977,9,17.1,9.2,0.0,31.4,141.6,,1977-09-01,26.3
256,1977,10,16.0,8.6,0.0,55.2,122.1,,1977-10-01,24.6
257,1977,11,10.4,3.9,9.0,84.7,108.1,,1977-11-01,14.3
258,1977,12,9.9,4.0,2.0,119.0,44.9,,1977-12-01,13.9
259,1978,1,7.6,0.5,14.0,100.2,85.8,,1978-01-01,8.1
260,1978,2,6.1,0.1,15.0,124.1,72.5,,1978-02-01,6.199999999999999
261,1978,3,10.6,2.9,8.0,67.1,133.0,,1978-03-01,13.5
262,1978,4,10.7,3.0,7.0,58.1,129.1,,1978-04-01,13.7
263,1978,5,16.6,6.0,0.0,38.6,213.8,,1978-05-01,22.6
264,1978,6,18.7,9.0,0.0,28.8,199.1,,1978-06-01,27.7
265,1978,7,19.1,11.4,0.0,86.5,142.2,,1978-07-01,30.5
266,1978,8,19.8,10.7,0.0,44.7,205.2,,1978-08-01,30.5
267,1978,9,18.9,8.7,0.0,19.7,179.5,,1978-09-01,27.599999999999998
268,1978,10,16.4,7.3,0.0,2.3,108.7,,1978-10-01,23.7
269,1978,11,12.5,5.0,6.0,18.7,71.5,,1978-11-01,17.5
270,1978,12,8.6,3.1,10.0,208.2,28.3,,1978-12-01,11.7
271,1979,1,4.8,-3.9,24.0,97.7,78.9,,1979-01-01,0.8999999999999999
272,1979,2,5.3,-1.5,17.0,67.3,60.4,,1979-02-01,3.8
273,1979,3,8.7,1.8,7.0,93.9,110.7,,1979-03-01,10.5
274,1979,4,12.2,4.3,4.0,56.1,142.7,,1979-04-01,16.5
275,1979,5,14.2,5.2,6.0,113.7,227.8,,1979-05-01,19.4
276,1979,6,18.1,9.6,0.0,35.4,171.4,,1979-06-01,27.700000000000003
277,1979,7,22.1,11.5,0.0,32.4,220.6,,1979-07-01,33.6
278,1979,8,19.2,10.7,0.0,48.3,203.1,,1979-08-01,29.9
279,1979,9,18.0,7.9,0.0,11.2,172.8,,1979-09-01,25.9
280,1979,10,15.8,7.8,1.0,62.8,111.9,,1979-10-01,23.6
281,1979,11,11.3,2.2,14.0,37.8,77.8,,1979-11-01,13.5
282,1979,12,9.6,3.1,8.0,147.8,64.5,,1979-12-01,12.7
283,1980,1,6.2,-2.3,24.0,54.2,88.9,,1980-01-01,3.9000000000000004
284,1980,2,9.9,3.1,5.0,76.9,65.4,,1980-02-01,13.0
285,1980,3,8.8,1.7,7.0,94.6,85.2,,1980-03-01,10.5
286,1980,4,14.1,4.0,5.0,30.7,196.2,,1980-04-01,18.1
287,1980,5,17.0,5.4,2.0,32.4,225.9,,1980-05-01,22.4
288,1980,6,18.7,9.4,0.0,109.0,196.7,,1980-06-01,28.1
289,1980,7,19.1,10.3,0.0,38.6,161.7,,1980-07-01,29.400000000000002
290,1980,8,20.8,11.9,0.0,72.4,190.5,,1980-08-01,32.7
291,1980,9,18.9,11.3,0.0,60.6,140.6,,1980-09-01,30.2
292,1980,10,13.7,4.8,5.0,114.5,132.2,,1980-10-01,18.5
293,1980,11,9.4,3.6,9.0,47.5,78.8,,1980-11-01,13.0
294,1980,12,9.4,2.2,11.0,56.4,86.3,,1980-12-01,11.600000000000001
295,1981,1,8.6,1.7,11.0,29.3,62.5,,1981-01-01,10.299999999999999
296,1981,2,7.3,-0.8,18.0,54.5,80.8,,1981-02-01,6.5
297,1981,3,11.4,5.9,3.0,120.8,84.5,,1981-03-01,17.3
298,1981,4,13.2,3.9,3.0,47.0,149.8,,1981-04-01,17.099999999999998
299,1981,5,14.8,8.0,1.0,103.0,141.6,,1981-05-01,22.8
300,1981,6,17.7,9.4,0.0,67.9,175.1,,1981-06-01,27.1
301,1981,7,21.4,11.1,0.0,41.6,178.4,,1981-07-01,32.5
302,1981,8,22.5,10.8,0.0,7.0,224.5,,1981-08-01,33.3
303,1981,9,19.8,9.3,0.0,149.8,166.7,,1981-09-01,29.1
305,1981,11,11.5,3.8,9.0,36.3,52.9,,1981-11-01,15.3
306,1981,12,6.0,-1.6,18.0,119.7,52.7,,1981-12-01,4.4
307,1982,1,7.2,0.9,13.0,47.7,58.8,,1982-01-01,8.1
308,1982,2,8.5,2.2,10.0,48.2,49.7,,1982-02-01,10.7
309,1982,3,10.5,1.4,8.0,101.1,161.8,,1982-03-01,11.9
310,1982,4,14.2,2.5,6.0,17.9,200.2,,1982-04-01,16.7
311,1982,5,17.2,6.0,6.0,34.6,220.3,,1982-05-01,23.2
312,1982,6,20.5,10.9,0.0,90.4,232.1,,1982-06-01,31.4
313,1982,7,22.0,11.7,0.0,88.5,193.4,,1982-07-01,33.7
314,1982,8,20.3,11.8,0.0,79.6,181.9,,1982-08-01,32.1
315,1982,9,19.7,9.3,0.0,66.7,150.6,,1982-09-01,29.0
316,1982,10,14.3,6.6,2.0,183.8,78.6,,1982-10-01,20.9
317,1982,11,11.8,5.8,4.0,121.1,67.2,,1982-11-01,17.6
318,1982,12,8.9,1.3,13.0,99.0,61.5,,1982-12-01,10.200000000000001
319,1983,1,10.1,4.0,6.0,77.1,52.8,,1983-01-01,14.1
320,1983,2,5.9,-0.9,18.0,18.9,97.5,,1983-02-01,5.0
321,1983,3,10.4,2.3,8.0,44.6,94.7,,1983-03-01,12.7
322,1983,4,11.4,2.7,5.0,85.8,161.3,,1983-04-01,14.100000000000001
323,1983,5,14.4,6.9,0.0,97.3,163.0,,1983-05-01,21.3
324,1983,6,19.5,10.6,0.0,93.9,192.9,,1983-06-01,30.1
325,1983,7,25.8,13.5,0.0,9.0,273.8,,1983-07-01,39.3
326,1983,8,23.9,11.5,0.0,14.0,254.1,,1983-08-01,35.4
327,1983,9,18.4,10.0,0.0,65.7,111.7,,1983-09-01,28.4
328,1983,10,14.6,6.7,4.0,79.9,112.9,,1983-10-01,21.3
329,1983,11,11.2,4.1,6.0,46.4,52.4,,1983-11-01,15.299999999999999
330,1983,12,9.9,2.2,11.0,116.7,71.0,,1983-12-01,12.100000000000001
331,1984,1,8.6,1.0,10.0,153.8,83.3,,1984-01-01,9.6
332,1984,2,7.9,0.8,10.0,36.7,80.2,,1984-02-01,8.700000000000001
333,1984,3,9.0,1.2,10.0,73.4,87.8,,1984-03-01,10.2
334,1984,4,14.4,1.6,11.0,0.9,247.1,,1984-04-01,16.0
335,1984,5,15.1,5.7,1.0,79.6,157.9,,1984-05-01,20.8
336,1984,6,20.6,9.2,0.0,27.0,295.0,,1984-06-01,29.8
337,1984,7,22.7,10.1,0.0,13.7,276.1,,1984-07-01,32.8
338,1984,8,23.2,11.6,0.0,14.9,200.8,,1984-08-01,34.8
339,1984,9,18.7,10.0,0.0,55.5,118.8,,1984-09-01,28.7
340,1984,10,15.3,7.2,1.0,91.3,86.5,,1984-10-01,22.5
341,1984,11,12.1,4.4,7.0,146.9,61.2,,1984-11-01,16.5
