,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1968,6.9,1.2,8.1,40.4,111.0,12.0,Hurn,18.409682175288225,21.013063973063964,-0.44794612794613187,1604.4759595959601,710.871447811448,62.70101010101007
1,1969,22.2,-1.5,19.675,1620.9,816.2,73.0,Hurn,18.49058176581903,21.064213201194335,-0.4318111936979925,1606.2206822946448,714.6774169366618,62.51522774918999
2,1970,21.6,0.1,19.841666666666665,1719.1999999999998,821.7,71.0,Hurn,18.571481356349835,21.11536242932469,-0.41567625944984954,1607.96540499333,718.4833860618764,62.32944539736991
3,1971,22.9,0.0,19.841666666666665,1776.0000000000002,638.0,63.0,Hurn,18.65238094688064,21.166511657455047,-0.3995413252017066,1609.710127692015,722.2893551870911,62.14366304554983
4,1972,21.0,1.7,19.308333333333334,1549.8999999999999,848.6,42.0,Hurn,18.733280537411474,21.217660885585417,-0.3834063909535672,1611.4548503906997,726.0953243123049,61.95788069372975
5,1973,22.9,0.0,19.749999999999996,1688.6,509.0999999999999,84.0,Hurn,18.81418012794228,21.268810113715773,-0.36727145670542427,1613.1995730893848,729.9012934375196,61.77209834190967
6,1974,20.1,2.0,20.116666666666667,1675.2,933.8000000000001,35.0,Hurn,18.895079718473085,21.31995934184613,-0.35113652245728133,1614.94429578807,733.7072625627343,61.58631599008959
7,1975,23.6,0.6,20.283333333333335,1861.0,612.5999999999999,62.0,Hurn,18.97597930900389,21.3711085699765,-0.3350015882091384,1616.6890184867545,737.5132316879481,61.40053363826951
8,1976,24.9,-1.0,20.599999999999998,1868.2999999999995,682.8,75.0,Hurn,19.056878899534695,21.422257798106855,-0.318866653960999,1618.4337411854397,741.3192008131628,61.21475128644937
9,1977,21.2,0.3,20.033333333333335,1631.9999999999998,906.3000000000001,49.0,Hurn,19.1377784900655,21.47340702623721,-0.30273171971285606,1620.1784638841248,745.1251699383774,61.02896893462929
10,1978,19.8,0.1,19.441666666666666,1568.7,797.0,60.0,Hurn,19.218678080596305,21.524556254367567,-0.2865967854647131,1621.9231865828094,748.9311390635921,60.84318658280921
11,1979,22.1,-3.9,18.166666666666664,1642.6000000000001,804.3999999999999,81.0,Hurn,19.29957767112711,21.575705482497938,-0.27046185121657373,1623.6679092814945,752.7371081888059,60.65740423098913
12,1980,20.8,-2.3,19.283333333333335,1648.3999999999999,787.8000000000001,68.0,Hurn,19.380477261657916,21.626854710628294,-0.2543269169684308,1625.4126319801796,756.5430773140206,60.47162187916905
13,1981,22.5,-1.6,19.60909090909091,1369.5,776.9000000000001,63.0,Hurn,19.46137685218875,21.67800393875865,-0.23819198272028785,1627.1573546788647,760.3490464392353,60.28583952734897
14,1982,22.0,0.9,20.458333333333332,1656.1,978.6,62.0,Hurn,19.542276442719555,21.72915316688902,-0.22205704847214847,1628.9020773775494,764.1550155644491,60.10005717552889
15,1983,25.8,-0.9,20.758333333333336,1638.1000000000001,749.3000000000001,58.0,Hurn,19.62317603325036,21.780302395019376,-0.20592211422400553,1630.6468000762345,767.9609846896637,59.91427482370875
16,1984,23.2,0.8,20.083333333333332,1756.6999999999998,793.4999999999999,64.0,Hurn,19.704075623781165,21.831451623149732,-0.18978717997586614,1632.3915227749196,771.7669538148784,59.72849247188867
17,1985,22.0,-3.4,18.333333333333332,1638.5,722.4,85.0,Hurn,19.78497521431197,21.88260085128009,-0.1736522457277232,1634.1362454736043,775.5729229400922,59.54271012006859
18,1986,21.4,-3.3,18.016666666666666,1598.7999999999997,887.9,78.0,Hurn,19.865874804842775,21.93375007941046,-0.15751731147958026,1635.8809681722894,779.3788920653069,59.35692776824851
19,1987,21.8,-1.7,19.041666666666668,1650.3000000000002,728.5,66.0,Hurn,19.94677439537358,21.984899307540815,-0.14138237723143732,1637.6256908709745,783.1848611905216,59.17114541642843
20,1988,20.4,0.5,20.408333333333335,1707.7,728.4,63.0,Hurn,20.027673985904386,22.03604853567117,-0.12524744298329438,1639.3704135696591,786.9908303157354,58.98536306460835
21,1989,24.9,2.0,21.84166666666667,1995.0,780.0,53.0,Hurn,20.10857357643519,22.08719776380154,-0.10911250873515144,1641.1151362683443,790.79679944095,58.79958071278827
22,1990,24.4,1.1,21.708333333333332,1991.6000000000001,704.1999999999999,37.0,Hurn,20.189473166966025,22.138346991931897,-0.0929775744870156,1642.8598589670294,794.6027685661647,58.61379836096819
23,1991,22.8,-2.5,19.525000000000002,1648.0,735.0,68.0,Hurn,20.27037275749683,22.189496220062253,-0.07684264023887266,1644.604581665714,798.4087376913794,58.42801600914805
24,1992,21.4,0.2,20.291666666666668,1604.3999999999999,782.0,64.0,Hurn,20.351272348027635,22.240645448192623,-0.06070770599072972,1646.3493043643991,802.2147068165932,58.24223365732797
25,1993,20.8,0.3,19.816666666666666,1605.6999999999998,1037.8,57.0,Hurn,20.43217193855844,22.29179467632298,-0.04457277174258678,1648.0940270630842,806.0206759418079,58.05645130550789
26,1994,23.9,0.2,21.53333333333333,1743.9,954.3,43.0,Hurn,20.513071529089245,22.342943904453335,-0.02843783749444384,1649.838749761769,809.8266450670226,57.87066895368781
27,1995,26.9,0.6,22.133333333333336,1914.8,837.6999999999998,58.0,Hurn,20.59397111962005,22.39409313258369,-0.0123029032463009,1651.583472460454,813.6326141922364,57.68488660186773
28,1996,22.6,-1.1,19.13333333333333,1838.0,731.0999999999999,67.0,Hurn,20.674870710150856,22.44524236071406,0.0038320310018349346,1653.328195159139,817.438583317451,57.49910425004765
29,1997,23.3,-1.0,21.524999999999995,1871.3,815.4000000000001,69.0,Hurn,20.75577030068166,22.496391588844418,0.019966965249977875,1655.0729178578238,821.2445524426657,57.31332189822757
30,1998,22.7,1.6,21.600000000000005,1756.1000000000001,909.9,52.0,Hurn,20.836669891212466,22.547540816974774,0.036101899498120815,1656.8176405565089,825.0505215678795,57.12753954640749
31,1999,24.0,1.6,21.733333333333334,1865.8,919.0999999999999,45.0,Hurn,20.9175694817433,22.598690045105144,0.052236833746263756,1658.562363255194,828.8564906930942,56.94175719458735
32,2000,22.5,0.0,21.30833333333333,1726.5999999999997,1192.1,52.0,Hurn,20.998469072274105,22.6498392732355,0.0683717679944067,1660.3070859538786,832.6624598183089,56.75597484276727
33,2001,22.3,-0.4,20.766666666666666,1833.7,851.8,69.0,Hurn,21.07936866280491,22.700988501365856,0.08450670224254964,1662.0518086525638,836.4684289435227,56.57019249094719
34,2002,21.8,3.0,22.291666666666668,1648.6,1056.2,32.0,Hurn,21.160268253335715,22.752137729496212,0.10064163649068547,1663.7965313512489,840.2743980687374,56.38441013912711
35,2003,24.9,0.8,21.558333333333337,1907.3,720.4000000000001,67.0,Hurn,21.24116784386652,22.803286957626582,0.11677657073882841,1665.5412540499335,844.080367193952,56.19862778730703
36,2004,22.1,1.0,21.541666666666668,1623.7,755.3999999999999,53.0,Hurn,21.322067434397326,22.85443618575694,0.13291150498697135,1667.2859767486186,847.8863363191667,56.01284543548695
37,2005,22.0,-1.0,21.308333333333334,1763.7,655.2,67.0,Hurn,21.40296702492813,22.905585413887295,0.1490464392351143,1669.0306994473037,851.6923054443805,55.82706308366687
38,2006,25.5,0.3,22.53333333333333,1714.1000000000001,771.9,55.0,Hurn,21.483866615458936,22.956734642017665,0.16518137348325723,1670.7754221459884,855.4982745695952,55.641280731846734
39,2007,20.9,1.9,22.166666666666668,1740.3999999999996,887.6999999999998,43.0,Hurn,21.56476620598974,23.00788387014802,0.18131630773140017,1672.5201448446735,859.3042436948099,55.455498380026654
40,2008,21.1,-0.5,20.791666666666664,1621.8,898.0,66.0,Hurn,21.645665796520575,23.059033098278377,0.197451241979536,1674.2648675433586,863.1102128200237,55.269716028206574
41,2009,21.2,-0.4,22.372727272727275,1619.8999999999999,753.2,48.0,Hurn,21.72656538705138,23.110182326408747,0.21358617622767895,1676.0095902420437,866.9161819452383,55.08393367638649
42,2010,22.8,-3.4,18.833333333333332,1562.4000000000003,707.1999999999999,93.0,Hurn,21.807464977582185,23.161331554539103,0.2297211104758219,1677.7543129407284,870.722151070453,54.89815132456641
43,2011,20.6,1.8,21.63636363636364,1315.8000000000002,596.8,36.0,Hurn,21.88836456811299,23.21248078266946,0.24585604472396483,1679.4990356394135,874.5281201956668,54.71236897274633
44,2012,21.2,0.4,20.716666666666665,1398.6999999999998,1128.6,65.0,Hurn,21.969264158643796,23.263630010799815,0.26199097897210777,1681.2437583380986,878.3340893208815,54.52658662092625
45,2013,25.4,0.2,20.441666666666666,1553.5,913.8,65.0,Hurn,22.0501637491746,23.314779238930186,0.2781259132202507,1682.9884810367832,882.1400584460962,54.34080426910617
46,2014,24.5,1.3,22.95,1682.8,1217.1999999999998,36.0,Hurn,22.131063339705406,23.36592846706054,0.29426084746838654,1684.7332037354684,885.94602757131,54.155021917286035
47,2015,21.5,-0.2,22.108333333333334,1483.4,813.6,45.0,Hurn,22.21196293023621,23.417077695190898,0.3103957817165295,1686.4779264341535,889.7519966965247,53.969239565465955
48,2016,23.1,1.4,22.472727272727273,1508.8,829.2,48.0,Hurn,22.292862520767017,23.468226923321268,0.3265307159646724,1688.2226491328381,893.5579658217393,53.783457213645875
49,2017,22.1,-0.1,22.016666666666666,1558.6,797.3000000000001,54.0,Hurn,22.37376211129785,23.519376151451624,0.34266565021281536,1689.9673718315232,897.363934946954,53.597674861825794
50,2018,25.9,-1.3,22.483333333333334,1817.7999999999997,824.6999999999999,50.0,Hurn,22.454661701828655,23.57052537958198,0.3588005844609583,1691.7120945302083,901.1699040721678,53.411892510005714
51,2019,23.7,0.1,21.925,1658.5999999999997,938.1999999999999,56.0,Hurn,22.53556129235946,23.621674607712336,0.37493551870910125,1693.456817228893,904.9758731973825,53.226110158185634
52,2020,23.4,2.3,23.28333333333333,1830.1,950.2,34.0,Hurn,22.616460882890266,23.672823835842706,0.3910704529572442,1695.201539927578,908.7818423225972,53.04032780636555
53,2021,22.6,0.1,22.39090909090909,1426.6,733.4000000000001,59.0,Hurn,22.69736047342107,23.723973063973062,0.40720538720538,1696.9462626262632,912.587811447811,52.85454545454547
