,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1930,12,7.0,3.6,0.0,122.4,13.1,,1930-12-01,10.6
8,1931,1,4.9,0.2,13.0,108.0,29.7,,1931-01-01,5.1000000000000005
9,1931,2,4.4,-0.3,12.0,138.3,52.6,,1931-02-01,4.1000000000000005
10,1931,3,4.2,-1.0,17.0,18.2,135.7,,1931-03-01,3.2
11,1931,4,8.1,2.5,1.0,70.9,134.7,,1931-04-01,10.6
12,1931,5,10.7,5.3,0.0,67.6,122.7,,1931-05-01,16.0
13,1931,6,11.4,5.7,1.0,54.5,175.2,,1931-06-01,17.1
14,1931,7,13.7,9.1,0.0,93.0,67.1,,1931-07-01,22.799999999999997
15,1931,8,13.9,8.0,0.0,9.3,163.8,,1931-08-01,21.9
16,1931,9,11.8,6.6,0.0,30.7,119.7,,1931-09-01,18.4
17,1931,10,9.8,4.5,5.0,87.4,77.8,,1931-10-01,14.3
18,1931,11,9.2,6.1,0.0,137.1,31.3,,1931-11-01,15.299999999999999
19,1931,12,7.2,2.7,4.0,138.6,4.8,,1931-12-01,9.9
20,1932,1,7.7,2.6,4.0,110.8,26.8,,1932-01-01,10.3
21,1932,2,7.4,2.7,2.0,20.5,59.5,,1932-02-01,10.100000000000001
22,1932,3,6.0,1.3,9.0,81.4,72.1,,1932-03-01,7.3
23,1932,4,7.4,1.1,7.0,96.6,131.5,,1932-04-01,8.5
24,1932,5,10.6,4.7,0.0,43.2,184.7,,1932-05-01,15.3
25,1932,6,12.3,6.7,0.0,38.0,201.8,,1932-06-01,19.0
26,1932,7,14.6,9.7,0.0,75.5,122.8,,1932-07-01,24.299999999999997
27,1932,8,14.3,9.4,0.0,86.3,89.6,,1932-08-01,23.700000000000003
28,1932,9,11.8,6.5,0.0,136.1,96.0,,1932-09-01,18.3
29,1932,10,8.7,3.9,2.0,100.5,73.0,,1932-10-01,12.6
30,1932,11,8.1,3.5,2.0,92.2,40.4,,1932-11-01,11.6
31,1932,12,7.3,3.0,5.0,72.9,19.2,,1932-12-01,10.3
32,1933,1,6.2,2.5,2.0,136.0,19.9,,1933-01-01,8.7
33,1933,2,4.4,-0.6,17.0,76.9,34.0,,1933-02-01,3.8000000000000003
34,1933,3,7.6,2.9,2.0,84.6,96.5,,1933-03-01,10.5
35,1933,4,7.9,2.5,3.0,64.3,86.7,,1933-04-01,10.4
36,1933,5,10.3,5.2,0.0,20.5,74.5,,1933-05-01,15.5
37,1933,6,15.1,9.0,0.0,29.5,229.8,,1933-06-01,24.1
38,1933,7,16.1,11.2,0.0,42.9,141.2,,1933-07-01,27.3
39,1933,8,15.6,10.6,0.0,86.1,123.1,,1933-08-01,26.2
40,1933,9,14.2,8.9,0.0,60.5,122.4,,1933-09-01,23.1
41,1933,10,10.6,5.9,0.0,123.6,67.9,,1933-10-01,16.5
42,1933,11,7.8,4.0,0.0,89.9,35.6,,1933-11-01,11.8
43,1933,12,7.2,3.9,0.0,63.4,7.3,,1933-12-01,11.1
44,1934,1,7.1,2.8,2.0,129.9,15.5,,1934-01-01,9.899999999999999
45,1934,2,7.6,3.2,3.0,86.1,33.0,,1934-02-01,10.8
46,1934,3,6.3,1.5,5.0,84.1,102.4,,1934-03-01,7.8
47,1934,4,7.8,2.6,1.0,83.3,120.8,,1934-04-01,10.4
48,1934,5,10.1,4.6,1.0,85.7,185.0,,1934-05-01,14.7
49,1934,6,13.3,7.2,0.0,34.8,181.0,,1934-06-01,20.5
50,1934,7,15.2,10.8,0.0,54.4,78.8,,1934-07-01,26.0
51,1934,8,15.1,11.0,0.0,89.1,130.2,,1934-08-01,26.1
52,1934,9,13.5,9.2,0.0,105.4,131.3,,1934-09-01,22.7
