,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1930,7.0,3.6,10.6,13.1,122.4,0.0,Lerwick,13.67444706532364,14.204558204768583,-0.3346423562412255,1038.9612903225807,983.1889200561009,45.124123422159926
1,1931,13.9,-1.0,13.225000000000001,1115.1,953.6,53.0,Lerwick,13.694030902088407,14.21119476596335,-0.31756469337113913,1039.0629294268144,986.3951836382412,44.93625448884916
2,1932,14.6,1.1,14.275,1117.4,954.0,31.0,Lerwick,13.713614738853167,14.217831327158116,-0.30048703050105274,1039.1645685310482,989.6014472203815,44.74838555553845
3,1933,16.1,-0.6,15.75,1038.8999999999999,878.1999999999999,24.0,Lerwick,13.733198575617926,14.224467888352882,-0.28340936763095925,1039.2662076352822,992.8077108025218,44.56051662222774
4,1934,15.2,1.5,15.666666666666664,1098.7,1113.8999999999999,15.0,Lerwick,13.752782412382693,14.231104449547647,-0.26633170476087287,1039.367846739516,996.0139743846612,44.37264768891697
5,1935,14.6,0.4,14.374999999999998,1007.0,1220.9,37.0,Lerwick,13.772366249147453,14.237741010742413,-0.24925404189077938,1039.4694858437497,999.2202379668015,44.18477875560626
6,1936,16.0,0.1,14.649999999999999,1177.3,874.6999999999999,41.0,Lerwick,13.79195008591222,14.244377571937179,-0.232176379020693,1039.5711249479834,1002.4265015489418,43.99690982229555
7,1937,14.6,-0.9,13.999999999999998,973.6,952.6,47.0,Lerwick,13.811533922676979,14.251014133131946,-0.2150987161505995,1039.6727640522172,1005.6327651310821,43.80904088898478
8,1938,15.6,1.9,15.225000000000001,1004.9999999999999,1198.2,25.0,Lerwick,13.831117759441739,14.257650694326712,-0.19802105328051312,1039.774403156451,1008.8390287132224,43.62117195567407
9,1939,15.3,0.2,14.75,1122.3000000000002,887.3999999999999,34.0,Lerwick,13.850701596206505,14.264287255521477,-0.18094339041042673,1039.8760422606847,1012.0452922953627,43.43330302236336
10,1940,14.5,-0.4,13.299999999999999,1067.9,964.5999999999999,58.0,Lerwick,13.870285432971265,14.270923816716243,-0.16386572754033324,1039.9776813649185,1015.2515558775021,43.245434089052594
11,1941,15.2,-0.9,13.625,1026.5,790.6,53.0,Lerwick,13.889869269736032,14.277560377911009,-0.14678806467024685,1040.0793204691522,1018.4578194596425,43.057565155741884
12,1942,13.9,-0.4,13.533333333333333,924.8,1038.0,55.0,Lerwick,13.909453106500791,14.284196939105776,-0.12971040180015336,1040.180959573386,1021.6640830417828,42.86969622243117
13,1943,14.5,1.6,15.516666666666667,1083.8000000000002,1097.8,26.0,Lerwick,13.929036943265551,14.290833500300542,-0.11263273893006698,1040.2825986776197,1024.870346623923,42.681827289120406
14,1944,14.8,0.9,14.141666666666667,871.1,958.5,40.0,Lerwick,13.948620780030318,14.297470061495307,-0.09555507605998059,1040.3842377818537,1028.0766102060634,42.493958355809696
15,1945,15.0,-1.5,15.741666666666667,1017.0000000000001,1004.5,40.0,Lerwick,13.968204616795077,14.304106622690073,-0.0784774131898871,1040.4858768860875,1031.2828737882037,42.306089422498985
16,1946,14.7,0.5,15.258333333333333,1102.1999999999998,1155.4,23.0,Lerwick,13.987788453559844,14.310743183884838,-0.06139975031980072,1040.5875159903212,1034.489137370343,42.118220489188275
17,1947,17.2,-2.4,14.075000000000001,1324.1000000000001,857.0,66.0,Lerwick,14.007372290324604,14.317379745079606,-0.044322087449707226,1040.689155094555,1037.6954009524834,41.93035155587751
18,1948,13.4,0.4,14.441666666666668,1152.9,1135.7,27.0,Lerwick,14.026956127089363,14.324016306274372,-0.02724442457962084,1040.7907941987887,1040.9016645346237,41.7424826225668
19,1949,14.7,0.7,15.091666666666667,1103.7,1100.6,38.0,Lerwick,14.04653996385413,14.330652867469137,-0.010166761709534455,1040.8924333030225,1044.107928116764,41.55461368925609
20,1950,15.4,-0.9,14.383333333333333,1317.6000000000001,1232.1000000000004,40.0,Lerwick,14.06612380061889,14.337289428663903,0.006910901160559035,1040.9940724072562,1047.3141916989043,41.36674475594532
21,1951,13.9,-0.2,13.424999999999999,1042.7,1185.7,49.0,Lerwick,14.085707637383656,14.343925989858668,0.02398856403064542,1041.09571151149,1050.5204552810446,41.17887582263461
22,1952,13.7,-1.2,12.791666666666664,965.0000000000001,1161.3,51.0,Lerwick,14.105291474148416,14.350562551053434,0.04106622690073891,1041.1973506157237,1053.726718863184,40.9910068893239
23,1953,14.7,0.4,15.791666666666666,1078.7,1113.2,31.0,Lerwick,14.124875310913175,14.357199112248201,0.0581438897708253,1041.2989897199575,1056.9329824453243,40.80313795601313
24,1954,13.7,0.6,13.75,1001.1,1261.8,32.0,Lerwick,14.144459147677942,14.363835673442967,0.07522155264091168,1041.4006288241912,1060.1392460274647,40.61526902270242
25,1955,15.8,-1.8,13.458333333333334,1346.9999999999998,815.8000000000001,63.0,Lerwick,14.164042984442702,14.370472234637733,0.09229921551100517,1041.5022679284252,1063.345509609605,40.42740008939171
26,1956,13.3,-0.7,13.350000000000001,1003.5,965.8000000000001,48.0,Lerwick,14.183626821207469,14.377108795832498,0.10937687838109156,1041.6039070326588,1066.5517731917453,40.23953115608094
27,1957,13.4,0.7,14.4,1027.9,1185.5,25.0,Lerwick,14.203210657972228,14.383745357027264,0.12645454125118505,1041.7055461368927,1069.7580367738856,40.05166222277023
28,1958,14.4,-1.0,13.783333333333337,1088.8,985.5,60.0,Lerwick,14.222794494736988,14.390381918222031,0.14353220412127143,1041.8071852411265,1072.964300356026,39.86379328945952
29,1959,14.9,-1.9,15.625,1170.2,918.4,26.0,Lerwick,14.242378331501754,14.397018479416797,0.16060986699135782,1041.9088243453602,1076.1705639381653,39.675924356148755
30,1960,14.7,0.5,15.100000000000001,1088.8000000000002,849.0,38.0,Lerwick,14.261962168266514,14.403655040611563,0.1776875298614513,1042.010463449594,1079.3768275203056,39.488055422838045
31,1961,14.3,0.3,14.791666666666666,922.0999999999999,1091.3,43.0,Lerwick,14.28154600503128,14.410291601806328,0.1947651927315377,1042.1121025538278,1082.583091102446,39.300186489527334
32,1962,13.3,-0.8,13.124999999999998,1019.8,1132.1000000000001,54.0,Lerwick,14.30112984179604,14.416928163001094,0.21184285560163119,1042.2137416580615,1085.7893546845862,39.11231755621657
33,1963,14.4,-1.4,13.399999999999999,1091.5,956.6,49.0,Lerwick,14.3207136785608,14.42356472419586,0.22892051847171757,1042.3153807622953,1088.9956182667265,38.92444862290586
34,1964,13.3,0.4,14.174999999999999,953.3,1233.8999999999999,35.0,Lerwick,14.340297515325567,14.430201285390627,0.24599818134180396,1042.417019866529,1092.2018818488668,38.736579689595146
35,1965,13.3,-0.6,12.841666666666669,992.4000000000001,1136.5,62.0,Lerwick,14.359881352090326,14.436837846585393,0.26307584421189745,1042.5186589707628,1095.4081454310062,38.54871075628438
36,1966,14.1,-0.2,13.333333333333334,1150.7,1201.1999999999998,60.0,Lerwick,14.379465188855086,14.443474407780158,0.28015350708198383,1042.6202980749965,1098.6144090131465,38.36084182297367
37,1967,13.8,1.5,14.258333333333335,952.1999999999999,1488.6000000000001,41.0,Lerwick,14.399049025619853,14.450110968974924,0.2972311699520773,1042.7219371792303,1101.8206725952869,38.17297288966296
38,1968,14.2,-0.9,13.358333333333333,1061.1,995.4000000000001,64.0,Lerwick,14.418632862384612,14.45674753016969,0.3143088328221637,1042.8235762834643,1105.0269361774272,37.98510395635225
39,1969,15.6,-2.6,13.158333333333331,1039.0,1237.1,69.0,Lerwick,14.438216699149379,14.463384091364457,0.3313864956922501,1042.925215387698,1108.2331997595675,37.79723502304148
40,1970,14.1,-1.5,13.200000000000001,1099.1,1300.6,59.0,Lerwick,14.457800535914139,14.470020652559223,0.3484641585623436,1043.0268544919318,1111.4394633417078,37.60936608973077
41,1971,14.1,1.8,14.733333333333333,1183.1000000000001,1243.2,31.0,Lerwick,14.477384372678898,14.476657213753988,0.36554182143242997,1043.1284935961655,1114.6457269238472,37.42149715642006
42,1972,14.1,2.3,14.97272727272727,963.8,946.3,11.0,Lerwick,14.496968209443665,14.483293774948754,0.38261948430252346,1043.2301327003993,1117.8519905059875,37.23362822310929
43,1973,13.6,0.5,13.549999999999999,975.0000000000001,1425.2,56.0,Lerwick,14.516552046208425,14.48993033614352,0.39969714717260985,1043.331771804633,1121.0582540881278,37.04575928979858
44,1974,14.6,2.0,14.999999999999998,1215.1,1005.1999999999999,15.0,Lerwick,14.536135882973191,14.496566897338285,0.41677481004269623,1043.4334109088668,1124.264517670268,36.85789035648787
45,1975,15.3,1.4,14.275,1152.5000000000002,1089.3,33.0,Lerwick,14.55571971973795,14.503203458533052,0.4338524729127897,1043.5350500131005,1127.4707812524084,36.670021423177104
46,1976,15.3,0.2,14.316666666666665,1083.1,1021.4,53.0,Lerwick,14.57530355650271,14.509840019727818,0.4509301357828761,1043.6366891173343,1130.6770448345487,36.482152489866394
47,1977,14.3,0.5,13.658333333333331,1115.9,1147.9,43.0,Lerwick,14.594887393267477,14.516476580922584,0.4680077986529696,1043.738328221568,1133.8833084166881,36.29428355655568
48,1978,13.4,-0.6,13.316666666666668,1011.4000000000001,1041.8,49.0,Lerwick,14.614471230032237,14.52311314211735,0.485085461523056,1043.8399673258018,1137.0895719988284,36.106414623244916
49,1979,13.3,-1.4,12.183333333333335,917.9000000000001,1550.8,62.0,Lerwick,14.634055066797004,14.529749703312115,0.5021631243931424,1043.9416064300358,1140.2958355809687,35.918545689934206
50,1980,14.2,0.9,13.916666666666664,953.7,1072.7,46.0,Lerwick,14.653638903561763,14.536386264506882,0.5192407872632359,1044.0432455342695,1143.502099163109,35.730676756623495
51,1981,14.1,-1.5,12.950000000000001,858.8,1404.1,60.0,Lerwick,14.673222740326523,14.543022825701648,0.5363184501333222,1044.1448846385033,1146.7083627452494,35.54280782331273
