,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1957,1,8.0,1.6,7.0,70.2,59.0,,1957-01-01,9.6
8,1957,2,6.9,0.1,15.0,85.7,92.0,,1957-02-01,7.0
9,1957,3,10.4,4.6,0.0,38.5,78.2,,1957-03-01,15.0
10,1957,4,11.9,4.5,1.0,11.6,164.3,,1957-04-01,16.4
11,1957,5,13.2,5.6,0.0,32.1,200.7,,1957-05-01,18.799999999999997
12,1957,6,17.7,9.1,0.0,18.5,246.9,,1957-06-01,26.799999999999997
13,1957,7,18.0,11.8,0.0,126.2,119.8,,1957-07-01,29.8
14,1957,8,17.5,11.0,0.0,78.1,129.3,,1957-08-01,28.5
15,1957,9,14.6,8.0,0.0,36.9,131.5,,1957-09-01,22.6
16,1957,10,13.5,6.4,0.0,36.0,93.9,,1957-10-01,19.9
17,1957,11,9.2,4.0,4.0,31.8,53.4,,1957-11-01,13.2
18,1957,12,7.2,1.2,9.0,78.8,62.9,,1957-12-01,8.4
19,1958,1,5.5,-1.0,16.0,42.7,64.9,,1958-01-01,4.5
20,1958,2,6.3,-0.3,14.0,59.4,71.0,,1958-02-01,6.0
21,1958,3,5.5,0.1,15.0,103.5,110.8,,1958-03-01,5.6
22,1958,4,10.8,3.4,4.0,43.9,155.4,,1958-04-01,14.200000000000001
23,1958,5,13.4,5.9,0.0,50.1,214.5,,1958-05-01,19.3
24,1958,6,14.7,8.9,0.0,60.1,123.8,,1958-06-01,23.6
25,1958,7,18.3,11.0,0.0,131.3,175.9,,1958-07-01,29.3
26,1958,8,17.8,10.9,0.0,65.7,122.4,,1958-08-01,28.700000000000003
27,1958,9,17.1,10.5,0.0,47.6,127.3,,1958-09-01,27.6
28,1958,10,14.0,7.2,0.0,38.7,143.2,,1958-10-01,21.2
29,1958,11,9.6,2.7,4.0,16.0,47.4,,1958-11-01,12.3
30,1958,12,6.3,1.1,8.0,97.2,56.8,,1958-12-01,7.4
31,1959,1,4.0,-2.4,24.0,22.3,101.4,,1959-01-01,1.6
32,1959,2,7.3,0.8,11.0,5.5,59.6,,1959-02-01,8.1
33,1959,3,9.4,3.5,2.0,26.7,93.4,,1959-03-01,12.9
34,1959,4,12.6,4.9,0.0,52.7,170.4,,1959-04-01,17.5
35,1959,5,14.1,6.8,0.0,14.3,193.1,,1959-05-01,20.9
36,1959,6,16.9,9.8,0.0,49.4,208.7,,1959-06-01,26.7
37,1959,7,19.9,11.4,0.0,83.9,207.0,,1959-07-01,31.299999999999997
38,1959,8,19.7,12.4,0.0,19.6,171.4,,1959-08-01,32.1
39,1959,9,18.0,9.0,0.0,11.2,171.8,,1959-09-01,27.0
40,1959,10,14.6,7.9,0.0,32.7,109.6,,1959-10-01,22.5
41,1959,11,9.8,3.9,5.0,126.3,57.9,,1959-11-01,13.700000000000001
42,1959,12,7.5,1.8,6.0,127.2,27.9,,1959-12-01,9.3
43,1960,1,5.9,0.3,12.0,107.3,54.2,,1960-01-01,6.2
44,1960,2,5.9,-1.0,18.0,57.1,120.3,,1960-02-01,4.9
45,1960,3,7.2,3.0,3.0,42.3,78.4,,1960-03-01,10.2
46,1960,4,12.7,4.9,1.0,50.9,131.4,,1960-04-01,17.6
47,1960,5,15.7,6.6,1.0,44.6,209.4,,1960-05-01,22.299999999999997
48,1960,6,18.4,10.0,0.0,37.0,221.4,,1960-06-01,28.4
49,1960,7,17.8,9.8,0.0,79.3,156.3,,1960-07-01,27.6
50,1960,8,17.8,10.1,0.0,109.7,161.8,,1960-08-01,27.9
51,1960,9,16.0,8.7,0.0,39.4,126.7,,1960-09-01,24.7
52,1960,10,12.1,7.3,0.0,126.1,48.1,,1960-10-01,19.4
53,1960,11,8.8,1.6,10.0,84.9,69.0,,1960-11-01,10.4
54,1960,12,5.4,-0.5,20.0,54.7,57.4,,1960-12-01,4.9
55,1961,1,5.5,-0.3,15.0,67.4,46.3,,1961-01-01,5.2
56,1961,2,9.0,2.5,6.0,41.6,81.5,,1961-02-01,11.5
57,1961,3,12.4,4.1,3.0,19.7,131.8,,1961-03-01,16.5
58,1961,4,11.4,4.4,4.0,63.1,108.4,,1961-04-01,15.8
59,1961,5,14.3,5.5,1.0,19.2,203.7,,1961-05-01,19.8
60,1961,6,17.8,8.6,0.0,25.0,202.0,,1961-06-01,26.4
61,1961,7,17.6,9.8,0.0,83.8,156.6,,1961-07-01,27.400000000000002
62,1961,8,18.3,9.4,0.0,96.4,171.3,,1961-08-01,27.700000000000003
63,1961,9,16.8,8.9,0.0,63.5,108.8,,1961-09-01,25.700000000000003
64,1961,10,12.8,6.1,0.0,74.9,117.9,,1961-10-01,18.9
65,1961,11,8.1,1.4,13.0,33.3,78.1,,1961-11-01,9.5
66,1961,12,3.9,-2.3,22.0,72.4,49.9,,1961-12-01,1.6
67,1962,1,6.3,-0.5,14.0,77.9,79.0,,1962-01-01,5.8
68,1962,2,7.6,0.9,10.0,19.1,94.3,,1962-02-01,8.5
69,1962,3,6.2,-1.4,16.0,20.7,136.2,,1962-03-01,4.800000000000001
70,1962,4,10.6,1.7,9.0,31.5,203.2,,1962-04-01,12.299999999999999
71,1962,5,13.5,4.9,0.0,28.7,187.9,,1962-05-01,18.4
72,1962,6,18.4,7.2,0.0,16.2,222.0,,1962-06-01,25.599999999999998
73,1962,7,16.4,9.1,0.0,95.1,172.4,,1962-07-01,25.5
74,1962,8,17.0,8.8,0.0,113.2,190.3,,1962-08-01,25.8
75,1962,9,14.7,8.3,0.0,95.2,78.4,,1962-09-01,23.0
76,1962,10,13.1,6.3,2.0,12.2,100.2,,1962-10-01,19.4
77,1962,11,7.8,1.4,13.0,68.9,68.3,,1962-11-01,9.2
78,1962,12,5.4,-1.1,20.0,46.0,49.2,,1962-12-01,4.300000000000001
79,1963,1,2.8,-2.7,22.0,48.4,50.8,,1963-01-01,0.09999999999999964
80,1963,2,3.3,-3.6,23.0,47.9,86.8,,1963-02-01,-0.30000000000000027
81,1963,3,8.7,1.1,9.0,64.2,107.0,,1963-03-01,9.799999999999999
82,1963,4,10.6,3.3,4.0,44.3,147.1,,1963-04-01,13.899999999999999
83,1963,5,13.4,4.5,0.0,31.8,214.9,,1963-05-01,17.9
84,1963,6,15.8,8.8,0.0,60.6,156.3,,1963-06-01,24.6
85,1963,7,17.0,9.1,0.0,45.3,165.1,,1963-07-01,26.1
86,1963,8,16.4,9.0,0.0,143.9,97.4,,1963-08-01,25.4
87,1963,9,15.8,7.5,0.0,54.8,158.3,,1963-09-01,23.3
88,1963,10,13.5,5.5,0.0,29.7,109.6,,1963-10-01,19.0
89,1963,11,8.5,3.3,8.0,193.8,51.2,,1963-11-01,11.8
90,1963,12,5.9,0.4,15.0,13.3,47.7,,1963-12-01,6.300000000000001
91,1964,1,7.1,0.7,9.0,19.9,53.7,,1964-01-01,7.8
92,1964,2,7.0,0.7,10.0,26.8,81.1,,1964-02-01,7.7
93,1964,3,6.3,1.9,5.0,82.0,49.0,,1964-03-01,8.2
94,1964,4,11.7,4.8,2.0,44.8,133.4,,1964-04-01,16.5
95,1964,5,14.4,6.9,0.0,21.7,162.4,,1964-05-01,21.3
96,1964,6,17.0,8.2,0.0,79.6,215.3,,1964-06-01,25.2
97,1964,7,19.0,10.0,0.0,22.7,199.4,,1964-07-01,29.0
98,1964,8,17.6,9.6,0.0,68.5,146.5,,1964-08-01,27.200000000000003
99,1964,9,16.2,7.7,0.0,57.8,150.6,,1964-09-01,23.9
100,1964,10,11.8,4.2,2.0,32.7,82.5,,1964-10-01,16.0
101,1964,11,9.3,1.9,10.0,19.2,76.0,,1964-11-01,11.200000000000001
102,1964,12,5.9,-0.6,17.0,56.4,50.8,,1964-12-01,5.300000000000001
103,1965,1,5.0,-0.8,17.0,56.7,73.6,,1965-01-01,4.2
104,1965,2,6.7,0.1,11.0,5.6,61.7,,1965-02-01,6.8
105,1965,3,7.3,0.3,13.0,54.6,91.4,,1965-03-01,7.6
106,1965,4,11.7,2.1,3.0,27.6,186.8,,1965-04-01,13.799999999999999
107,1965,5,13.2,5.8,1.0,53.4,155.0,,1965-05-01,19.0
108,1965,6,17.1,8.9,0.0,77.5,178.1,,1965-06-01,26.0
109,1965,7,14.9,8.3,0.0,87.9,125.2,,1965-07-01,23.200000000000003
110,1965,8,17.0,8.8,0.0,48.0,156.9,,1965-08-01,25.8
111,1965,9,15.0,8.5,0.0,93.1,87.2,,1965-09-01,23.5
112,1965,10,12.6,6.5,2.0,57.2,76.7,,1965-10-01,19.1
113,1965,11,6.6,0.6,16.0,70.8,78.6,,1965-11-01,7.199999999999999
114,1965,12,4.9,-1.3,21.0,59.6,52.8,,1965-12-01,3.6000000000000005
115,1966,1,5.0,-0.1,12.0,57.4,36.7,,1966-01-01,4.9
116,1966,2,5.5,-0.2,14.0,102.0,37.4,,1966-02-01,5.3
117,1966,3,10.5,2.4,6.0,11.2,146.2,,1966-03-01,12.9
118,1966,4,8.3,2.3,8.0,100.0,121.2,,1966-04-01,10.600000000000001
119,1966,5,14.6,4.9,0.0,50.6,227.5,,1966-05-01,19.5
120,1966,6,16.3,9.6,0.0,89.8,109.3,,1966-06-01,25.9
121,1966,7,18.6,9.0,0.0,44.2,203.3,,1966-07-01,27.6
122,1966,8,16.0,9.4,0.0,139.8,119.0,,1966-08-01,25.4
123,1966,9,16.7,9.4,0.0,52.8,122.1,,1966-09-01,26.1
124,1966,10,12.3,4.7,2.0,80.4,89.7,,1966-10-01,17.0
125,1966,11,7.6,1.2,11.0,41.9,67.5,,1966-11-01,8.799999999999999
126,1966,12,6.3,0.1,12.0,68.6,61.9,,1966-12-01,6.3999999999999995
127,1967,1,6.7,0.9,12.0,53.2,76.0,,1967-01-01,7.6000000000000005
128,1967,2,7.9,1.7,8.0,44.4,79.3,,1967-02-01,9.6
129,1967,3,9.8,2.5,4.0,30.4,161.4,,1967-03-01,12.3
130,1967,4,12.2,3.1,5.0,12.5,181.3,,1967-04-01,15.299999999999999
