,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1957,18.0,0.1,17.999999999999996,1431.9000000000003,644.3999999999999,36.0,Leuchars,16.132185844458576,18.521118881118877,-1.3193006993007046,1476.3499300699302,636.1381818181817,66.36923076923074
1,1958,18.3,-1.0,16.64166666666667,1413.4,756.2000000000002,61.0,Leuchars,16.169602968054676,18.54521853146853,-1.2984571678321757,1476.622792832168,637.6909309440557,66.13798076923075
2,1959,19.9,-2.4,18.633333333333333,1572.2,571.8,48.0,Leuchars,16.207020091650776,18.56931818181818,-1.2776136363636397,1476.8956555944058,639.2436800699297,65.90673076923076
3,1960,18.4,-1.0,17.041666666666668,1434.4,833.3000000000001,65.0,Leuchars,16.244437215246876,18.593417832167827,-1.2567701048951108,1477.1685183566435,640.7964291958042,65.67548076923072
4,1961,18.3,-2.3,17.166666666666668,1456.3,660.3,64.0,Leuchars,16.281854338842976,18.61751748251748,-1.2359265734265747,1477.4413811188813,642.3491783216782,65.44423076923073
5,1962,18.4,-1.4,15.216666666666667,1581.4000000000003,624.6999999999999,84.0,Leuchars,16.319271462439076,18.64161713286713,-1.2150830419580458,1477.714243881119,643.9019274475522,65.21298076923074
6,1963,17.0,-3.6,14.825000000000003,1392.2,778.0,81.0,Leuchars,16.356688586035176,18.665716783216784,-1.194239510489517,1477.9871066433566,645.4546765734262,64.98173076923075
7,1964,19.0,-0.6,16.608333333333334,1400.7,532.1,55.0,Leuchars,16.394105709631276,18.68981643356643,-1.173395979020981,1478.2599694055943,647.0074256993007,64.75048076923076
8,1965,17.1,-1.3,14.983333333333333,1324.0,692.0,84.0,Leuchars,16.431522833227376,18.71391608391608,-1.152552447552452,1478.532832167832,648.5601748251747,64.51923076923072
9,1966,18.6,-0.2,15.866666666666669,1341.8000000000002,838.6999999999999,65.0,Leuchars,16.468939956823476,18.738015734265733,-1.131708916083923,1478.8056949300699,650.1129239510487,64.28798076923073
10,1967,19.1,0.9,17.216666666666665,1580.7,580.5999999999999,48.0,Leuchars,16.506357080419576,18.76211538461538,-1.110865384615387,1479.0785576923076,651.6656730769228,64.05673076923074
11,1968,17.6,-1.9,15.966666666666667,1278.5,692.5,80.0,Leuchars,16.543774204015676,18.78621503496503,-1.0900218531468582,1479.3514204545454,653.2184222027972,63.82548076923075
12,1969,20.3,-2.0,16.05833333333333,1498.3000000000002,660.7,84.0,Leuchars,16.581191327611776,18.810314685314683,-1.0691783216783293,1479.6242832167832,654.7711713286712,63.59423076923076
13,1970,17.8,-1.2,16.066666666666666,1441.8000000000002,651.4,77.0,Leuchars,16.618608451207876,18.83441433566433,-1.0483347902097933,1479.897145979021,656.3239204545453,63.362980769230774
14,1971,19.5,1.1,17.691666666666666,1493.2999999999997,497.09999999999997,58.0,Leuchars,16.65602557480399,18.858513986013985,-1.0274912587412643,1480.1700087412587,657.8766695804193,63.13173076923073
15,1972,18.1,0.5,16.491666666666667,1395.6,544.4,46.0,Leuchars,16.69344269840009,18.882613636363633,-1.0066477272727283,1480.4428715034965,659.4294187062937,62.90048076923074
16,1973,19.4,0.0,17.241666666666664,1516.8999999999999,415.5,66.0,Leuchars,16.73085982199619,18.90671328671328,-0.9858041958041994,1480.7157342657342,660.9821678321678,62.66923076923075
17,1974,18.5,1.4,16.675,1486.9,630.8000000000001,41.0,Leuchars,16.76827694559229,18.930812937062935,-0.9649606643356705,1480.988597027972,662.5349169580418,62.43798076923076
18,1975,20.4,0.6,17.433333333333334,1536.2,522.0,55.0,Leuchars,16.80569406918839,18.954912587412583,-0.9441171328671345,1481.2614597902098,664.0876660839158,62.206730769230774
19,1976,20.2,-0.7,17.40833333333333,1441.6999999999998,662.9,54.0,Leuchars,16.84311119278449,18.979012237762237,-0.9232736013986056,1481.5343225524475,665.6404152097903,61.97548076923073
20,1977,18.4,-1.4,16.23333333333333,1544.4000000000003,734.7,55.0,Leuchars,16.88052831638059,19.003111888111885,-0.9024300699300767,1481.8071853146853,667.1931643356643,61.74423076923074
21,1978,17.9,-3.4,16.333333333333336,1366.0,798.4999999999999,74.0,Leuchars,16.91794543997669,19.027211538461533,-0.8815865384615407,1482.080048076923,668.7459134615383,61.51298076923075
22,1979,19.9,-3.5,15.29166666666667,1499.3000000000002,644.0999999999999,90.0,Leuchars,16.95536256357279,19.051311188811187,-0.8607430069930118,1482.3529108391608,670.2986625874123,61.28173076923076
23,1980,18.2,-0.3,16.716666666666665,1393.0,737.3,60.0,Leuchars,16.99277968716889,19.075410839160835,-0.8398994755244829,1482.6257736013986,671.8514117132868,61.050480769230774
24,1981,19.7,-3.2,16.28333333333333,1633.6999999999998,642.7,78.0,Leuchars,17.03019681076499,19.09951048951049,-0.8190559440559468,1482.8986363636363,673.4041608391608,60.81923076923073
25,1982,18.9,-2.2,17.091666666666665,1535.0,718.4000000000001,51.0,Leuchars,17.06761393436109,19.123610139860137,-0.7982124125874179,1483.171499125874,674.9569099650348,60.58798076923074
26,1983,20.5,-1.3,17.333333333333336,1369.5,594.9,56.0,Leuchars,17.10503105795719,19.147709790209785,-0.7773688811188819,1483.4443618881119,676.5096590909088,60.35673076923075
27,1984,20.4,-1.4,17.1,1520.8,723.0999999999999,59.0,Leuchars,17.14244818155329,19.17180944055944,-0.756525349650353,1483.7172246503496,678.0624082167828,60.12548076923076
28,1985,17.8,-1.2,15.666666666666666,1405.5,863.8,67.0,Leuchars,17.17986530514939,19.195909090909087,-0.7356818181818241,1483.9900874125874,679.6151573426573,59.894230769230774
29,1986,19.3,-2.0,15.574999999999998,1562.4,607.9000000000001,71.0,Leuchars,17.21728242874549,19.22000874125874,-0.7148382867132881,1484.2629501748252,681.1679064685313,59.66298076923073
30,1987,19.0,-1.4,16.099999999999998,1458.3999999999996,707.1999999999999,65.0,Leuchars,17.25469955234159,19.24410839160839,-0.6939947552447592,1484.535812937063,682.7206555944053,59.43173076923074
31,1988,18.7,0.5,17.575,1591.6000000000001,758.4,51.0,Leuchars,17.292116675937706,19.268208041958037,-0.6731512237762303,1484.8086756993007,684.2734047202794,59.20048076923075
32,1989,21.0,-1.0,18.35833333333333,1740.3,454.4,51.0,Leuchars,17.329533799533806,19.29230769230769,-0.6523076923076943,1485.0815384615385,685.8261538461538,58.96923076923076
33,1990,20.9,0.6,18.533333333333335,1652.9999999999998,658.3000000000001,41.0,Leuchars,17.366950923129906,19.31640734265734,-0.6314641608391653,1485.3544012237762,687.3789029720278,58.737980769230774
34,1991,20.6,-1.6,16.95,1494.8,609.3,71.0,Leuchars,17.404368046726006,19.340506993006993,-0.6106206293706364,1485.627263986014,688.9316520979019,58.50673076923073
35,1992,19.1,-0.7,16.725,1538.8000000000002,698.5,78.0,Leuchars,17.441785170322106,19.36460664335664,-0.5897770979021004,1485.9001267482518,690.4844012237759,58.27548076923074
36,1993,18.5,-0.4,16.216666666666665,1380.8000000000002,823.5999999999999,67.0,Leuchars,17.479202293918206,19.38870629370629,-0.5689335664335715,1486.1729895104895,692.0371503496503,58.04423076923075
37,1994,19.3,-0.6,17.083333333333332,1663.4,515.6999999999999,53.0,Leuchars,17.516619417514306,19.412805944055943,-0.5480900349650426,1486.4458522727273,693.5898994755244,57.81298076923076
38,1995,21.3,-0.9,17.833333333333332,1785.8999999999999,682.8000000000001,72.0,Leuchars,17.554036541110406,19.43690559440559,-0.5272465034965066,1486.718715034965,695.1426486013984,57.581730769230774
39,1996,20.0,-0.4,16.966666666666665,1540.4,606.0,61.0,Leuchars,17.591453664706506,19.461005244755246,-0.5064029720279777,1486.9915777972028,696.6953977272724,57.35048076923073
40,1997,20.5,0.1,18.866666666666664,1557.6,634.3000000000001,44.0,Leuchars,17.628870788302606,19.485104895104893,-0.48555944055944167,1487.2644405594406,698.2481468531469,57.11923076923074
41,1998,18.3,0.9,17.999999999999996,1378.8,737.7,59.0,Leuchars,17.666287911898706,19.50920454545454,-0.46471590909091276,1487.5373033216783,699.8008959790209,56.88798076923075
42,1999,19.2,-0.2,18.2,1601.3000000000002,603.6,52.0,Leuchars,17.703705035494806,19.533304195804195,-0.44387237762238385,1487.810166083916,701.3536451048949,56.65673076923076
43,2000,19.8,1.5,18.025,1599.5,787.6,46.0,Leuchars,17.741122159090907,19.557403846153843,-0.42302884615384784,1488.0830288461539,702.9063942307689,56.425480769230774
44,2001,19.0,-1.0,17.23333333333333,1553.9,629.9000000000001,73.0,Leuchars,17.778539282687007,19.58150349650349,-0.40218531468531893,1488.3558916083916,704.4591433566434,56.19423076923073
45,2002,19.1,1.0,18.583333333333332,1344.6000000000001,990.0,35.0,Leuchars,17.815956406283107,19.605603146853145,-0.38134178321679,1488.6287543706294,706.0118924825174,55.96298076923074
46,2003,20.5,-0.1,18.84166666666667,1756.3999999999999,496.29999999999995,54.0,Leuchars,17.853373529879207,19.629702797202793,-0.360498251748254,1488.9016171328672,707.5646416083914,55.73173076923075
47,2004,18.9,1.0,18.916666666666664,1518.3999999999999,831.1999999999998,45.0,Leuchars,17.890790653475307,19.653802447552447,-0.3396547202797251,1489.174479895105,709.1173907342654,55.50048076923076
48,2005,20.1,1.0,18.900000000000002,1554.4999999999998,706.6,44.0,Leuchars,17.92820777707142,19.677902097902095,-0.3188111888111962,1489.4473426573427,710.6701398601399,55.269230769230774
49,2006,21.9,1.0,18.900000000000002,1519.4,619.0,48.0,Leuchars,17.96562490066752,19.702001748251742,-0.2979676573426602,1489.7202054195805,712.2228889860139,55.03798076923073
50,2007,18.4,0.3,18.700000000000003,1429.6999999999998,704.5,46.0,Leuchars,18.00304202426362,19.726101398601397,-0.27712412587413127,1489.9930681818182,713.7756381118879,54.80673076923074
51,2008,18.5,0.2,17.60833333333333,1378.8999999999999,805.1999999999998,52.0,Leuchars,18.04045914785972,19.750201048951045,-0.25628059440559525,1490.265930944056,715.328387237762,54.57548076923075
52,2009,19.5,-2.5,17.883333333333333,1494.9999999999998,791.3000000000001,60.0,Leuchars,18.07787627145582,19.7743006993007,-0.23543706293706634,1490.5387937062937,716.8811363636364,54.34423076923076
53,2010,19.6,-4.1,16.158333333333335,1510.1999999999998,744.9,83.0,Leuchars,18.11529339505192,19.798400349650347,-0.21459353146853744,1490.8116564685315,718.4338854895104,54.112980769230774
54,2011,18.0,-0.4,18.65,1395.7,853.8000000000001,42.0,Leuchars,18.15271051864802,19.822499999999994,-0.19375000000000142,1491.0845192307693,719.9866346153844,53.88173076923073
55,2012,18.6,0.4,17.0,1400.9,895.9999999999999,62.0,Leuchars,18.19012764224412,19.84659965034965,-0.1729064685314725,1491.357381993007,721.5393837412585,53.65048076923074
