,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
201,1931,2,5.8,0.8,8.0,69.8,69.0,,1931-02-01,6.6
203,1931,4,10.5,4.4,0.0,70.6,150.8,,1931-04-01,14.9
204,1931,5,14.9,7.8,0.0,84.5,201.8,,1931-05-01,22.7
205,1931,6,17.9,10.8,0.0,30.0,213.8,,1931-06-01,28.7
206,1931,7,19.1,12.2,0.0,102.5,175.0,,1931-07-01,31.3
208,1931,9,15.2,8.5,0.0,59.3,122.9,,1931-09-01,23.7
209,1931,10,12.7,6.0,3.0,29.4,127.2,,1931-10-01,18.7
211,1931,12,7.0,2.7,5.0,37.1,38.5,,1931-12-01,9.7
214,1932,3,6.9,1.5,11.0,34.2,132.0,,1932-03-01,8.4
216,1932,5,13.3,7.0,0.0,69.3,125.9,,1932-05-01,20.3
217,1932,6,16.9,9.6,0.0,10.3,189.2,,1932-06-01,26.5
218,1932,7,20.5,12.9,0.0,94.9,148.4,,1932-07-01,33.4
219,1932,8,21.6,14.2,0.0,55.6,174.1,,1932-08-01,35.8
220,1932,9,18.5,10.8,0.0,44.6,115.6,,1932-09-01,29.3
222,1932,11,9.3,5.0,0.0,39.6,49.9,,1932-11-01,14.3
224,1933,1,5.2,0.8,13.0,22.5,74.6,,1933-01-01,6.0
225,1933,2,7.1,1.2,10.0,41.0,84.3,,1933-02-01,8.299999999999999
227,1933,4,13.3,4.8,3.0,24.4,164.4,,1933-04-01,18.1
229,1933,6,18.0,10.4,0.0,62.1,227.5,,1933-06-01,28.4
230,1933,7,22.2,13.0,0.0,23.7,260.4,,1933-07-01,35.2
231,1933,8,23.0,13.7,0.0,25.9,246.0,,1933-08-01,36.7
232,1933,9,19.6,12.9,0.0,84.6,191.2,,1933-09-01,32.5
233,1933,10,14.6,8.3,0.0,93.0,115.8,,1933-10-01,22.9
235,1933,12,4.0,0.3,12.0,17.3,49.5,,1933-12-01,4.3
236,1934,1,7.0,2.1,3.0,32.6,69.8,,1934-01-01,9.1
238,1934,3,7.9,1.7,4.0,40.1,132.3,,1934-03-01,9.6
