,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1931,19.1,0.8,19.5375,1099.0,483.2,16.0,Lowestoft
1,1932,21.6,1.5,24.0,935.1,348.50000000000006,11.0,Lowestoft
2,1933,23.0,0.3,21.37777777777778,1413.6999999999998,394.5,38.0,Lowestoft
3,1934,21.0,1.7,22.566666666666663,1483.6999999999998,348.2,12.0,Lowestoft
4,1935,21.9,0.8,21.16,1666.8999999999999,525.5,25.0,Lowestoft
5,1936,20.7,3.3,24.54285714285714,1177.6,294.1,6.0,Lowestoft
6,1937,20.5,1.1,20.936363636363634,1251.1000000000004,584.5,22.0,Lowestoft
7,1938,20.9,2.4,21.87272727272727,1612.5000000000002,422.99999999999994,6.0,Lowestoft
8,1939,20.1,1.1,20.944444444444443,1274.9999999999998,655.9,20.0,Lowestoft
9,1940,20.2,2.0,20.466666666666665,955.7,417.7,9.0,Lowestoft
10,1941,22.3,-1.3,17.419999999999998,645.8,281.8,32.0,Lowestoft
11,1942,21.1,0.5,21.371428571428574,1098.4,291.1,11.0,Lowestoft
12,1943,22.0,1.9,23.587500000000002,1282.1,313.0,8.0,Lowestoft
13,1944,19.9,0.8,22.0,895.7,319.5,13.0,Lowestoft
14,1945,21.6,-2.4,21.099999999999998,1157.8,515.3,33.0,Lowestoft
15,1946,20.6,2.0,23.200000000000003,1228.1999999999998,560.5,7.0,Lowestoft
16,1947,21.7,-0.7,23.400000000000006,1076.1,158.6,25.0,Lowestoft
17,1948,18.9,2.7,21.063636363636366,1592.5,523.5999999999999,13.0,Lowestoft
18,1949,21.3,1.7,20.9,1857.3,420.4,23.0,Lowestoft
19,1950,20.7,-0.8,19.708333333333336,1694.2,606.2,34.0,Lowestoft
20,1951,20.5,1.6,19.28333333333333,1746.5000000000002,708.3,24.0,Lowestoft
21,1952,20.8,-0.2,18.224999999999998,1738.1999999999998,682.1,50.0,Lowestoft
22,1953,20.7,0.4,19.724999999999998,1608.4999999999998,439.1,33.0,Lowestoft
23,1954,19.0,-0.1,18.7,1516.4999999999998,630.0,33.0,Lowestoft
24,1955,20.5,-0.7,18.48333333333333,1705.2000000000003,467.9,52.0,Lowestoft
25,1956,19.8,-3.3,17.7,1529.4,555.6,52.0,Lowestoft
26,1957,20.4,2.4,21.063636363636363,1523.5,497.70000000000005,15.0,Lowestoft
27,1958,20.0,0.6,19.2,1493.3999999999999,669.6999999999999,32.0,Lowestoft
28,1961,20.2,1.7,20.85833333333333,1690.0,694.6,17.0,Lowestoft
29,1962,19.1,-0.2,17.566666666666666,1570.5999999999997,563.4,56.0,Lowestoft
30,1963,18.9,-3.0,17.133333333333333,1510.7,547.3000000000001,73.0,Lowestoft
31,1964,20.6,0.3,19.15833333333333,1587.7,527.7,51.0,Lowestoft
32,1965,19.3,0.1,18.208333333333332,1443.0000000000002,751.4999999999999,48.0,Lowestoft
33,1966,19.2,1.3,19.466666666666665,1454.9,712.1999999999999,30.0,Lowestoft
34,1967,22.0,1.1,20.016666666666662,1679.8999999999999,571.9,33.0,Lowestoft
35,1968,18.4,1.1,19.208333333333332,1328.0,692.9,37.0,Lowestoft
36,1969,21.0,-1.1,18.966666666666665,1590.7,627.7,38.0,Lowestoft
37,1970,20.3,-0.1,19.250000000000004,1605.1,559.2,49.0,Lowestoft
38,1971,20.0,2.2,20.008333333333336,1546.8999999999999,540.8000000000001,23.0,Lowestoft
39,1972,19.4,1.5,19.075,1449.3999999999999,374.50000000000006,17.0,Lowestoft
40,1973,19.8,0.9,19.166666666666664,1661.8,503.4000000000001,39.0,Lowestoft
41,1974,19.9,2.9,19.141666666666666,1489.5000000000002,667.6999999999999,10.0,Lowestoft
42,1975,21.8,1.5,19.575,1644.8999999999999,587.3,26.0,Lowestoft
43,1976,21.6,0.2,20.15,1818.7,522.2,35.0,Lowestoft
44,1977,18.8,0.7,19.425,1416.6,474.3,24.0,Lowestoft
45,1978,18.9,0.1,18.516666666666666,1345.1000000000001,536.1,36.0,Lowestoft
46,1979,20.1,-2.4,18.191666666666666,1543.9,611.3,55.0,Lowestoft
47,1980,20.1,0.7,18.95,1474.1,563.5999999999999,24.0,Lowestoft
48,1981,19.9,-0.7,18.76666666666667,1388.6,629.0,46.0,Lowestoft
49,1982,20.8,0.7,19.975,1622.1999999999998,621.3,36.0,Lowestoft
50,1983,21.3,0.4,20.008333333333333,1465.8,533.0,21.0,Lowestoft
51,1984,20.4,0.7,19.241666666666667,1384.5,616.9000000000001,22.0,Lowestoft
52,1985,20.7,-2.0,18.099999999999998,1308.4,654.5,57.0,Lowestoft
53,1986,20.8,-2.0,18.645454545454548,1359.3999999999999,527.7,43.0,Lowestoft
54,1987,20.3,-0.8,19.141666666666666,1259.3,646.5999999999999,39.0,Lowestoft
