,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
8,1931,1,5.0,0.6,11.0,78.4,43.4,,1931-01-01,5.6
9,1931,2,6.7,0.7,7.0,48.9,63.6,,1931-02-01,7.4
10,1931,3,6.2,-1.5,19.0,37.6,145.4,,1931-03-01,4.7
11,1931,4,10.4,3.1,3.0,44.6,110.1,,1931-04-01,13.5
12,1931,5,13.2,6.1,1.0,63.7,167.4,,1931-05-01,19.299999999999997
13,1931,6,15.4,8.0,0.0,87.8,150.3,,1931-06-01,23.4
14,1931,7,17.3,10.6,0.0,121.4,111.2,,1931-07-01,27.9
15,1931,8,15.6,9.1,0.0,57.2,127.5,,1931-08-01,24.7
16,1931,9,15.0,8.4,0.0,38.1,122.3,,1931-09-01,23.4
17,1931,10,12.1,5.5,2.0,59.4,95.8,,1931-10-01,17.6
18,1931,11,10.3,3.9,3.0,43.7,61.5,,1931-11-01,14.200000000000001
19,1931,12,8.9,3.2,7.0,33.6,36.5,,1931-12-01,12.100000000000001
20,1932,1,9.8,2.9,3.0,76.1,82.4,,1932-01-01,12.700000000000001
21,1932,2,7.7,2.3,6.0,14.4,63.7,,1932-02-01,10.0
22,1932,3,7.7,1.6,9.0,66.1,69.2,,1932-03-01,9.3
23,1932,4,9.1,1.9,6.0,80.0,110.5,,1932-04-01,11.0
24,1932,5,11.9,5.9,1.0,73.8,132.2,,1932-05-01,17.8
25,1932,6,16.0,9.0,0.0,4.7,168.7,,1932-06-01,25.0
26,1932,7,17.9,10.4,0.0,73.0,124.6,,1932-07-01,28.299999999999997
27,1932,8,18.2,10.7,0.0,53.9,140.7,,1932-08-01,28.9
28,1932,9,15.0,8.0,0.0,66.3,84.0,,1932-09-01,23.0
29,1932,10,10.4,4.6,1.0,128.6,65.3,,1932-10-01,15.0
30,1932,11,8.7,2.2,2.0,73.7,68.7,,1932-11-01,10.899999999999999
31,1932,12,8.1,1.9,7.0,50.5,44.1,,1932-12-01,10.0
32,1933,1,5.8,-1.2,16.0,33.9,62.1,,1933-01-01,4.6
33,1933,2,6.2,0.4,10.0,56.0,47.0,,1933-02-01,6.6000000000000005
34,1933,3,11.1,2.6,4.0,17.4,114.7,,1933-03-01,13.7
35,1933,4,11.8,4.6,1.0,53.4,109.0,,1933-04-01,16.4
36,1933,5,13.5,6.1,1.0,47.1,125.3,,1933-05-01,19.6
37,1933,6,18.6,9.5,0.0,49.1,191.0,,1933-06-01,28.1
38,1933,7,21.6,11.8,0.0,56.4,155.2,,1933-07-01,33.400000000000006
39,1933,8,19.9,12.0,0.0,49.9,170.7,,1933-08-01,31.9
40,1933,9,16.8,9.3,0.0,19.8,129.2,,1933-09-01,26.1
41,1933,10,12.6,6.9,0.0,84.5,49.2,,1933-10-01,19.5
42,1933,11,8.6,2.8,5.0,24.9,55.4,,1933-11-01,11.399999999999999
43,1933,12,6.5,0.9,12.0,9.8,46.1,,1933-12-01,7.4
44,1934,1,8.3,2.8,0.0,49.8,42.1,,1934-01-01,11.100000000000001
45,1934,2,9.5,4.2,2.0,16.5,61.8,,1934-02-01,13.7
46,1934,3,8.0,0.8,7.0,67.6,126.5,,1934-03-01,8.8
47,1934,4,9.5,3.8,1.0,108.5,111.9,,1934-04-01,13.3
48,1934,5,14.3,5.7,0.0,53.8,150.5,,1934-05-01,20.0
49,1934,6,16.7,8.6,0.0,36.3,226.4,,1934-06-01,25.299999999999997
50,1934,7,18.9,11.4,0.0,109.8,162.6,,1934-07-01,30.299999999999997
51,1934,8,18.0,10.3,0.0,48.1,114.6,,1934-08-01,28.3
52,1934,9,17.8,8.3,0.0,32.2,167.0,,1934-09-01,26.1
53,1934,10,12.5,5.6,3.0,72.9,94.9,,1934-10-01,18.1
54,1934,11,8.5,2.8,6.0,22.3,49.7,,1934-11-01,11.3
55,1934,12,9.1,3.5,0.0,55.4,37.1,,1934-12-01,12.6
56,1935,1,7.7,2.6,8.0,32.3,30.2,,1935-01-01,10.3
57,1935,2,7.5,1.3,6.0,55.9,70.5,,1935-02-01,8.8
58,1935,3,10.4,1.9,9.0,39.3,150.5,,1935-03-01,12.3
59,1935,4,9.6,3.0,5.0,62.8,109.5,,1935-04-01,12.6
60,1935,5,11.6,3.8,1.0,38.8,193.8,,1935-05-01,15.399999999999999
61,1935,6,16.3,9.0,0.0,75.1,151.1,,1935-06-01,25.3
62,1935,7,19.6,10.4,0.0,37.4,219.5,,1935-07-01,30.0
63,1935,8,19.3,11.0,0.0,79.4,132.0,,1935-08-01,30.3
64,1935,9,15.2,8.1,0.0,99.3,122.7,,1935-09-01,23.299999999999997
65,1935,10,10.9,5.1,0.0,129.5,60.9,,1935-10-01,16.0
66,1935,11,8.5,1.5,4.0,68.6,70.8,,1935-11-01,10.0
67,1935,12,4.5,-0.9,16.0,39.9,41.3,,1935-12-01,3.6
68,1936,1,4.5,-0.6,18.0,66.7,50.4,,1936-01-01,3.9
69,1936,2,5.8,-1.3,13.0,33.4,73.5,,1936-02-01,4.5
70,1936,3,9.6,2.8,5.0,22.8,77.4,,1936-03-01,12.399999999999999
71,1936,4,9.8,2.1,6.0,20.0,167.7,,1936-04-01,11.9
72,1936,5,13.7,6.2,1.0,31.0,152.1,,1936-05-01,19.9
73,1936,6,18.2,8.0,0.0,27.6,231.6,,1936-06-01,26.2
74,1936,7,18.1,11.0,0.0,117.8,150.3,,1936-07-01,29.1
75,1936,8,19.0,10.7,0.0,55.3,156.7,,1936-08-01,29.7
76,1936,9,16.3,9.4,0.0,56.9,117.1,,1936-09-01,25.700000000000003
77,1936,10,12.3,4.7,3.0,58.9,106.3,,1936-10-01,17.0
78,1936,11,8.5,1.9,5.0,36.1,54.4,,1936-11-01,10.4
79,1936,12,7.8,1.9,6.0,64.7,44.0,,1936-12-01,9.7
80,1937,1,7.4,1.8,7.0,67.8,45.2,,1937-01-01,9.200000000000001
81,1937,2,5.9,0.5,7.0,52.4,71.7,,1937-02-01,6.4
82,1937,3,5.0,-0.4,13.0,34.8,98.6,,1937-03-01,4.6
83,1937,4,11.9,4.5,2.0,16.6,100.2,,1937-04-01,16.4
84,1937,5,15.2,6.2,1.0,28.2,226.8,,1937-05-01,21.4
85,1937,6,16.4,9.3,0.0,54.0,162.0,,1937-06-01,25.7
86,1937,7,17.9,10.5,0.0,80.6,114.7,,1937-07-01,28.4
87,1937,8,18.0,10.3,0.0,132.2,154.6,,1937-08-01,28.3
88,1937,9,16.0,8.6,0.0,31.6,125.7,,1937-09-01,24.6
89,1937,10,12.4,6.1,1.0,61.4,105.8,,1937-10-01,18.5
90,1937,11,8.4,2.7,8.0,18.0,42.2,,1937-11-01,11.100000000000001
91,1937,12,4.9,-0.8,17.0,40.8,30.4,,1937-12-01,4.1000000000000005
92,1938,1,7.6,2.7,2.0,63.8,32.5,,1938-01-01,10.3
93,1938,2,7.8,1.7,5.0,28.3,52.2,,1938-02-01,9.5
94,1938,3,12.8,6.0,1.0,26.3,107.4,,1938-03-01,18.8
95,1938,4,11.3,4.3,3.0,14.3,113.8,,1938-04-01,15.600000000000001
96,1938,5,13.0,5.4,3.0,56.6,140.3,,1938-05-01,18.4
97,1938,6,16.2,8.8,0.0,83.5,155.1,,1938-06-01,25.0
98,1938,7,17.2,10.2,0.0,122.3,100.2,,1938-07-01,27.4
99,1938,8,17.7,9.8,0.0,38.0,187.3,,1938-08-01,27.5
100,1938,9,16.0,8.0,0.0,98.9,113.8,,1938-09-01,24.0
101,1938,10,12.7,6.5,0.0,98.6,104.1,,1938-10-01,19.2
102,1938,11,10.1,4.2,4.0,83.3,58.2,,1938-11-01,14.3
103,1938,12,6.6,1.1,10.0,29.0,42.3,,1938-12-01,7.699999999999999
104,1939,1,4.9,-0.6,16.0,75.9,40.4,,1939-01-01,4.300000000000001
105,1939,2,8.7,2.7,5.0,41.8,61.6,,1939-02-01,11.399999999999999
106,1939,3,9.2,2.7,2.0,41.7,123.9,,1939-03-01,11.899999999999999
107,1939,4,11.0,3.5,3.0,29.4,143.6,,1939-04-01,14.5
108,1939,5,14.4,6.7,0.0,19.0,178.5,,1939-05-01,21.1
109,1939,6,17.6,8.5,0.0,42.2,169.7,,1939-06-01,26.1
110,1939,7,16.5,10.7,0.0,148.1,75.5,,1939-07-01,27.2
111,1939,8,17.8,10.9,0.0,33.9,162.3,,1939-08-01,28.700000000000003
112,1939,9,16.5,9.4,0.0,34.3,120.2,,1939-09-01,25.9
113,1939,10,10.9,4.2,4.0,69.7,121.1,,1939-10-01,15.100000000000001
114,1939,11,9.6,3.8,1.0,59.8,55.3,,1939-11-01,13.399999999999999
115,1939,12,6.4,1.6,8.0,53.2,26.1,,1939-12-01,8.0
116,1940,1,3.0,-2.8,22.0,19.7,55.3,,1940-01-01,0.20000000000000018
117,1940,2,5.9,-0.5,14.0,20.2,83.6,,1940-02-01,5.4
118,1940,3,8.4,2.1,6.0,54.9,113.7,,1940-03-01,10.5
119,1940,4,10.4,3.5,2.0,45.7,134.9,,1940-04-01,13.9
120,1940,5,15.3,7.4,0.0,42.5,189.5,,1940-05-01,22.700000000000003
121,1940,6,19.7,9.7,0.0,15.4,249.1,,1940-06-01,29.4
122,1940,7,16.0,10.4,0.0,215.2,99.0,,1940-07-01,26.4
123,1940,8,17.6,10.4,0.0,38.1,132.7,,1940-08-01,28.0
124,1940,9,14.5,7.9,0.0,42.2,104.7,,1940-09-01,22.4
125,1940,10,12.1,6.4,1.0,82.1,88.3,,1940-10-01,18.5
126,1940,11,8.6,3.2,3.0,108.0,47.5,,1940-11-01,11.8
127,1940,12,6.2,1.5,7.0,60.2,28.5,,1940-12-01,7.7
128,1941,1,2.7,-2.7,18.0,26.2,55.6,,1941-01-01,0.0
129,1941,2,5.0,-0.3,13.0,48.2,47.7,,1941-02-01,4.7
130,1941,3,6.2,0.0,14.0,48.2,121.8,,1941-03-01,6.2
131,1941,4,8.4,2.5,5.0,24.8,99.8,,1941-04-01,10.9
132,1941,5,11.5,5.2,2.0,65.2,151.0,,1941-05-01,16.7
133,1941,6,16.8,9.2,0.0,12.2,185.5,,1941-06-01,26.0
134,1941,7,18.1,11.6,0.0,60.0,118.4,,1941-07-01,29.700000000000003
135,1941,8,16.7,9.7,0.0,153.5,105.6,,1941-08-01,26.4
136,1941,9,17.4,10.2,0.0,22.1,123.3,,1941-09-01,27.599999999999998
137,1941,10,12.3,6.2,2.0,101.6,86.6,,1941-10-01,18.5
138,1941,11,8.7,2.4,6.0,57.3,40.6,,1941-11-01,11.1
139,1941,12,8.4,3.2,5.0,57.8,33.8,,1941-12-01,11.600000000000001
140,1942,1,5.0,-0.2,15.0,54.4,37.9,,1942-01-01,4.8
141,1942,2,4.7,-0.9,16.0,46.9,73.9,,1942-02-01,3.8000000000000003
142,1942,3,7.8,1.0,10.0,17.7,104.7,,1942-03-01,8.8
143,1942,4,12.7,2.7,4.0,43.4,233.8,,1942-04-01,15.399999999999999
144,1942,5,13.6,4.7,5.0,70.8,210.0,,1942-05-01,18.3
145,1942,6,15.5,8.5,0.0,24.6,129.5,,1942-06-01,24.0
146,1942,7,18.1,10.3,0.0,78.0,151.7,,1942-07-01,28.400000000000002
147,1942,8,17.2,11.7,0.0,84.4,83.1,,1942-08-01,28.9
148,1942,9,15.2,8.5,0.0,92.4,117.7,,1942-09-01,23.7
149,1942,10,11.9,6.1,0.0,101.1,85.9,,1942-10-01,18.0
150,1942,11,8.6,3.7,3.0,21.1,53.0,,1942-11-01,12.3
151,1942,12,9.5,3.3,4.0,61.0,32.9,,1942-12-01,12.8
152,1943,1,6.5,0.6,12.0,27.2,55.2,,1943-01-01,7.1
153,1943,2,9.2,3.5,1.0,54.5,65.4,,1943-02-01,12.7
154,1943,3,10.0,3.4,2.0,39.6,135.3,,1943-03-01,13.4
155,1943,4,12.6,5.6,0.0,35.0,140.0,,1943-04-01,18.2
156,1943,5,14.0,6.2,0.0,87.3,190.0,,1943-05-01,20.2
157,1943,6,16.4,8.5,0.0,45.4,170.1,,1943-06-01,24.9
158,1943,7,16.6,9.6,0.0,42.9,180.5,,1943-07-01,26.200000000000003
159,1943,8,16.4,9.7,0.0,98.8,106.4,,1943-08-01,26.099999999999998
160,1943,9,15.5,8.1,0.0,56.3,116.3,,1943-09-01,23.6
161,1943,10,13.8,7.4,0.0,61.0,73.9,,1943-10-01,21.200000000000003
162,1943,11,8.6,4.0,1.0,56.1,33.1,,1943-11-01,12.6
163,1943,12,7.1,1.3,9.0,14.2,50.1,,1943-12-01,8.4
164,1944,1,8.2,2.7,4.0,63.0,46.8,,1944-01-01,10.899999999999999
165,1944,2,6.7,1.7,7.0,44.9,53.1,,1944-02-01,8.4
166,1944,3,8.2,2.7,7.0,30.4,80.2,,1944-03-01,10.899999999999999
167,1944,4,12.3,5.6,1.0,42.7,118.8,,1944-04-01,17.9
168,1944,5,12.5,7.0,0.0,45.2,92.3,,1944-05-01,19.5
169,1944,6,15.2,8.4,0.0,81.0,136.9,,1944-06-01,23.6
170,1944,7,17.5,11.8,0.0,30.9,113.2,,1944-07-01,29.3
171,1944,8,19.0,11.4,0.0,40.7,177.0,,1944-08-01,30.4
172,1944,9,14.8,7.4,0.0,70.2,126.3,,1944-09-01,22.200000000000003
173,1944,10,11.5,5.5,0.0,76.3,82.4,,1944-10-01,17.0
174,1944,11,7.0,1.0,7.0,91.1,48.9,,1944-11-01,8.0
175,1944,12,6.8,1.4,7.0,64.2,31.7,,1944-12-01,8.2
176,1945,1,3.2,-3.0,21.0,65.6,45.4,,1945-01-01,0.20000000000000018
177,1945,2,9.2,2.9,7.0,43.4,97.5,,1945-02-01,12.1
178,1945,3,11.9,5.0,0.0,18.0,99.3,,1945-03-01,16.9
179,1945,4,12.1,4.5,0.0,31.5,152.8,,1945-04-01,16.6
180,1945,5,13.6,5.7,1.0,62.4,192.6,,1945-05-01,19.3
181,1945,6,16.9,8.6,0.0,71.0,175.0,,1945-06-01,25.5
182,1945,7,19.5,12.1,0.0,57.3,121.1,,1945-07-01,31.6
183,1945,8,17.9,11.1,0.0,73.0,159.0,,1945-08-01,29.0
184,1945,9,16.8,10.0,0.0,47.7,101.9,,1945-09-01,26.8
185,1945,10,14.4,7.4,0.0,83.3,98.9,,1945-10-01,21.8
186,1945,11,9.8,3.5,7.0,5.0,57.4,,1945-11-01,13.3
187,1945,12,7.9,2.9,7.0,56.5,28.9,,1945-12-01,10.8
188,1946,1,6.7,-0.3,14.0,22.1,66.2,,1946-01-01,6.4
189,1946,2,8.0,1.8,5.0,39.6,78.8,,1946-02-01,9.8
190,1946,3,8.9,1.8,10.0,19.6,87.0,,1946-03-01,10.700000000000001
191,1946,4,12.6,4.6,0.0,23.1,142.2,,1946-04-01,17.2
192,1946,5,13.8,5.1,0.0,41.2,223.5,,1946-05-01,18.9
193,1946,6,16.3,8.2,0.0,64.4,139.0,,1946-06-01,24.5
194,1946,7,17.9,10.9,0.0,130.7,116.2,,1946-07-01,28.799999999999997
195,1946,8,16.8,8.8,0.0,78.4,133.4,,1946-08-01,25.6
196,1946,9,16.2,9.5,0.0,89.0,120.6,,1946-09-01,25.7
197,1946,10,12.0,3.7,5.0,5.6,107.0,,1946-10-01,15.7
198,1946,11,9.9,2.9,5.0,73.5,40.6,,1946-11-01,12.8
199,1946,12,6.4,-0.4,15.0,20.5,41.3,,1946-12-01,6.0
200,1947,1,5.5,-0.6,14.0,19.8,58.2,,1947-01-01,4.9
201,1947,2,2.2,-4.3,26.0,16.4,83.5,,1947-02-01,-2.0999999999999996
202,1947,3,4.7,-1.8,16.0,29.9,123.9,,1947-03-01,2.9000000000000004
203,1947,4,11.2,3.7,4.0,36.7,125.6,,1947-04-01,14.899999999999999
204,1947,5,14.8,6.8,0.0,38.6,155.7,,1947-05-01,21.6
205,1947,6,16.9,9.7,0.0,77.8,109.9,,1947-06-01,26.599999999999998
206,1947,7,18.9,11.2,0.0,46.3,183.8,,1947-07-01,30.099999999999998
207,1947,8,20.2,11.1,0.0,8.2,242.8,,1947-08-01,31.299999999999997
208,1947,9,16.3,8.9,0.0,82.9,104.0,,1947-09-01,25.200000000000003
209,1947,10,13.8,6.4,2.0,29.5,109.8,,1947-10-01,20.200000000000003
210,1947,11,8.3,2.8,6.0,98.0,42.3,,1947-11-01,11.100000000000001
211,1947,12,6.6,2.0,9.0,36.4,29.6,,1947-12-01,8.6
212,1948,1,4.8,-1.0,17.0,53.3,48.5,,1948-01-01,3.8
213,1948,2,7.0,1.2,8.0,45.3,68.5,,1948-02-01,8.2
214,1948,3,12.1,2.9,7.0,27.5,159.1,,1948-03-01,15.0
215,1948,4,12.1,3.8,5.0,60.4,160.5,,1948-04-01,15.899999999999999
216,1948,5,13.3,4.9,2.0,60.4,211.2,,1948-05-01,18.200000000000003
217,1948,6,15.2,8.7,0.0,102.3,145.4,,1948-06-01,23.9
218,1948,7,17.0,10.8,0.0,62.6,137.4,,1948-07-01,27.8
219,1948,8,15.9,9.8,0.0,121.3,66.6,,1948-08-01,25.700000000000003
220,1948,9,15.7,8.6,1.0,61.1,136.1,,1948-09-01,24.299999999999997
221,1948,10,11.8,5.2,5.0,59.4,115.6,,1948-10-01,17.0
222,1948,11,10.9,3.3,6.0,44.3,58.5,,1948-11-01,14.2
223,1948,12,8.0,2.8,5.0,46.5,43.0,,1948-12-01,10.8
224,1949,1,8.0,1.8,7.0,72.9,37.2,,1949-01-01,9.8
225,1949,2,8.7,2.0,5.0,32.0,99.5,,1949-02-01,10.7
226,1949,3,7.9,1.4,10.0,48.9,107.2,,1949-03-01,9.3
227,1949,4,12.9,4.6,1.0,53.2,166.1,,1949-04-01,17.5
228,1949,5,14.1,5.7,0.0,44.4,188.9,,1949-05-01,19.8
229,1949,6,15.7,7.3,0.0,27.8,227.5,,1949-06-01,23.0
230,1949,7,18.7,11.2,0.0,45.3,132.9,,1949-07-01,29.9
231,1949,8,18.0,11.0,0.0,114.8,103.6,,1949-08-01,29.0
232,1949,9,17.7,9.6,0.0,25.8,142.9,,1949-09-01,27.299999999999997
233,1949,10,13.9,7.3,4.0,46.0,80.7,,1949-10-01,21.2
234,1949,11,9.5,3.4,4.0,65.9,53.9,,1949-11-01,12.9
235,1949,12,6.6,1.0,8.0,118.2,30.3,,1949-12-01,7.6
236,1950,1,7.6,2.5,9.0,46.3,66.0,,1950-01-01,10.1
237,1950,2,6.5,0.2,11.0,46.3,99.0,,1950-02-01,6.7
238,1950,3,10.6,3.9,4.0,30.6,104.9,,1950-03-01,14.5
239,1950,4,10.1,2.6,4.0,67.9,134.0,,1950-04-01,12.7
240,1950,5,12.2,5.8,1.0,55.2,167.0,,1950-05-01,18.0
241,1950,6,18.3,9.9,0.0,48.6,154.5,,1950-06-01,28.200000000000003
242,1950,7,18.7,10.4,0.0,55.3,169.1,,1950-07-01,29.1
243,1950,8,18.3,10.4,0.0,50.3,175.5,,1950-08-01,28.700000000000003
244,1950,9,14.6,8.2,0.0,106.2,101.4,,1950-09-01,22.799999999999997
245,1950,10,12.1,5.1,4.0,28.3,124.6,,1950-10-01,17.2
246,1950,11,7.1,1.7,6.0,82.0,59.2,,1950-11-01,8.799999999999999
247,1950,12,3.9,-0.9,17.0,46.8,15.6,,1950-12-01,3.0
248,1951,1,5.1,-0.3,15.0,57.6,55.9,,1951-01-01,4.8
249,1951,2,5.5,-0.1,14.0,49.0,55.5,,1951-02-01,5.4
250,1951,3,6.5,0.5,13.0,36.7,97.7,,1951-03-01,7.0
251,1951,4,8.3,1.7,5.0,86.1,137.3,,1951-04-01,10.0
252,1951,5,11.9,4.9,0.0,15.0,186.6,,1951-05-01,16.8
253,1951,6,14.6,7.4,0.0,42.4,193.7,,1951-06-01,22.0
254,1951,7,18.4,10.8,0.0,75.0,169.1,,1951-07-01,29.2
255,1951,8,16.6,9.9,0.0,103.5,113.2,,1951-08-01,26.5
256,1951,9,16.5,8.5,0.0,16.0,146.3,,1951-09-01,25.0
257,1951,10,13.7,6.7,0.0,34.1,112.3,,1951-10-01,20.4
258,1951,11,9.7,4.6,0.0,91.1,43.4,,1951-11-01,14.299999999999999
