,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1931,17.3,-1.5,16.149999999999995,1235.0,714.4000000000001,53.0,Nairn,16.69950996937658,18.468760757314975,-1.1088640275387274,1344.5395869191052,659.0411359724612,53.52667814113599
1,1932,18.2,1.6,16.825,1154.1,761.1,35.0,Nairn,16.697634569379986,18.465526216363713,-1.100889971033963,1341.1024768061798,657.3510641870621,53.448301918475295
2,1933,21.6,-1.2,18.225,1254.9,502.2,49.0,Nairn,16.69575916938339,18.46229167541245,-1.0929159145291987,1337.6653666932543,655.6609924016625,53.36992569581463
3,1934,18.9,0.8,18.241666666666667,1345.1,673.1999999999999,19.0,Nairn,16.693883769386794,18.45905713446119,-1.0849418580244343,1334.228256580328,653.9709206162629,53.291549473153935
4,1935,19.6,-0.9,16.491666666666667,1352.8,758.3,49.0,Nairn,16.692008369390198,18.45582259350993,-1.07696780151967,1330.7911464674025,652.2808488308638,53.21317325049327
5,1936,19.0,-1.3,16.7,1381.5,591.1999999999999,57.0,Nairn,16.690132969393602,18.452588052558667,-1.0689937450149039,1327.354036354477,650.5907770454642,53.134797027832604
6,1937,18.0,-0.8,16.558333333333334,1277.9,618.4,56.0,Nairn,16.68825756939701,18.449353511607406,-1.0610196885101395,1323.9169262415517,648.9007052600646,53.05642080517191
7,1938,17.7,1.1,18.141666666666666,1207.1999999999998,742.9,28.0,Nairn,16.686382169400414,18.446118970656144,-1.0530456320053752,1320.4798161286262,647.2106334746654,52.978044582511245
8,1939,17.8,-0.6,17.3,1278.1999999999998,649.0,39.0,Nairn,16.684506769403818,18.442884429704883,-1.0450715755006108,1317.0427060157008,645.5205616892658,52.89966835985055
9,1940,19.7,-2.8,16.408333333333335,1326.8,744.2,55.0,Nairn,16.682631369407222,18.43964988875362,-1.0370975189958465,1313.6055959027753,643.8304899038662,52.821292137189886
10,1941,18.1,-2.7,15.783333333333333,1169.6999999999998,677.0999999999999,65.0,Nairn,16.680755969410626,18.43641534780236,-1.0291234624910803,1310.168485789849,642.1404181184671,52.74291591452922
11,1942,18.1,-0.9,16.599999999999998,1314.1000000000001,695.8000000000001,57.0,Nairn,16.67888056941403,18.433180806851098,-1.021149405986316,1306.7313756769236,640.4503463330675,52.66453969186853
12,1943,16.6,0.6,17.88333333333333,1316.3,618.3000000000001,25.0,Nairn,16.677005169417434,18.429946265899837,-1.0131753494815516,1303.2942655639981,638.7602745476679,52.58616346920786
13,1944,19.0,1.0,17.191666666666666,1107.6000000000001,680.6,33.0,Nairn,16.67512976942084,18.426711724948575,-1.0052012929767873,1299.8571554510727,637.0702027622688,52.50778724654717
