,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
919,1929,1,3.7,-1.1,21.0,29.8,43.8,,1929-01-01,2.6
920,1929,2,3.3,-3.0,19.0,14.1,60.5,,1929-02-01,0.2999999999999998
921,1929,3,12.9,-0.1,17.0,1.4,190.2,,1929-03-01,12.8
922,1929,4,11.8,2.5,6.0,34.3,144.7,,1929-04-01,14.3
923,1929,5,17.1,6.4,2.0,28.4,240.9,,1929-05-01,23.5
924,1929,6,18.9,8.9,0.0,24.3,210.3,,1929-06-01,27.799999999999997
925,1929,7,22.7,11.2,0.0,34.8,219.7,,1929-07-01,33.9
926,1929,8,21.2,11.6,0.0,25.4,176.3,,1929-08-01,32.8
927,1929,9,23.2,10.7,0.0,2.6,199.1,,1929-09-01,33.9
928,1929,10,14.1,6.3,2.0,77.7,109.2,,1929-10-01,20.4
929,1929,11,11.0,3.3,9.0,165.9,78.7,,1929-11-01,14.3
930,1929,12,9.2,3.4,5.0,131.7,67.0,,1929-12-01,12.6
931,1930,1,9.0,3.4,1.0,73.0,49.9,,1930-01-01,12.4
932,1930,2,5.4,0.3,13.0,13.7,54.3,,1930-02-01,5.7
933,1930,3,9.8,1.8,10.0,31.0,109.7,,1930-03-01,11.600000000000001
934,1930,4,12.5,5.0,1.0,55.1,102.0,,1930-04-01,17.5
935,1930,5,15.6,7.0,0.0,54.9,134.5,,1930-05-01,22.6
936,1930,6,21.1,10.8,0.0,20.1,211.2,,1930-06-01,31.900000000000002
937,1930,7,20.1,11.7,0.0,79.5,174.1,,1930-07-01,31.8
938,1930,8,21.2,12.0,0.0,51.9,207.5,,1930-08-01,33.2
939,1930,9,18.0,10.5,0.0,90.8,108.2,,1930-09-01,28.5
940,1930,10,14.6,7.5,0.0,32.0,113.5,,1930-10-01,22.1
941,1930,11,10.2,2.8,8.0,106.1,68.7,,1930-11-01,13.0
942,1930,12,7.0,1.9,9.0,76.8,23.3,,1930-12-01,8.9
943,1931,1,6.5,0.8,14.0,36.2,63.7,,1931-01-01,7.3
944,1931,2,7.4,1.3,6.0,43.7,72.0,,1931-02-01,8.700000000000001
945,1931,3,9.2,0.3,16.0,3.7,142.3,,1931-03-01,9.5
946,1931,4,11.8,4.7,0.0,75.8,93.5,,1931-04-01,16.5
947,1931,5,16.1,7.8,0.0,72.8,150.1,,1931-05-01,23.900000000000002
948,1931,6,19.5,11.0,0.0,89.7,158.7,,1931-06-01,30.5
949,1931,7,19.6,12.1,0.0,80.6,127.9,,1931-07-01,31.700000000000003
950,1931,8,19.1,11.2,0.0,90.4,135.5,,1931-08-01,30.3
951,1931,9,15.7,8.3,0.0,62.9,92.3,,1931-09-01,24.0
952,1931,10,13.4,5.2,8.0,18.1,102.5,,1931-10-01,18.6
953,1931,11,11.0,5.1,1.0,90.6,62.4,,1931-11-01,16.1
954,1931,12,7.8,2.8,6.0,28.8,38.5,,1931-12-01,10.6
955,1932,1,9.4,3.5,5.0,38.3,51.0,,1932-01-01,12.9
956,1932,2,5.8,-0.4,17.0,3.5,57.9,,1932-02-01,5.3999999999999995
957,1932,3,9.6,0.4,15.0,54.4,133.4,,1932-03-01,10.0
958,1932,4,11.3,3.8,1.0,62.1,110.9,,1932-04-01,15.100000000000001
959,1932,5,14.8,7.5,0.0,139.1,112.4,,1932-05-01,22.3
960,1932,6,19.2,9.5,0.0,14.6,199.3,,1932-06-01,28.7
961,1932,7,20.6,12.7,0.0,61.6,124.0,,1932-07-01,33.3
962,1932,8,22.9,13.6,0.0,64.7,178.3,,1932-08-01,36.5
963,1932,9,17.7,9.7,0.0,66.0,102.1,,1932-09-01,27.4
964,1932,10,13.1,5.9,1.0,120.8,100.7,,1932-10-01,19.0
965,1932,11,9.6,4.0,1.0,31.5,55.7,,1932-11-01,13.6
966,1932,12,8.2,3.5,4.0,17.7,58.0,,1932-12-01,11.7
967,1933,1,5.3,-0.7,19.0,44.5,69.5,,1933-01-01,4.6
968,1933,2,7.9,1.4,14.0,88.6,94.3,,1933-02-01,9.3
969,1933,3,12.9,3.3,4.0,60.6,187.6,,1933-03-01,16.2
970,1933,4,14.4,4.5,2.0,25.3,152.5,,1933-04-01,18.9
971,1933,5,17.7,8.1,0.0,44.9,170.2,,1933-05-01,25.799999999999997
972,1933,6,21.4,10.6,0.0,34.1,226.9,,1933-06-01,32.0
973,1933,7,23.9,13.6,0.0,47.5,237.6,,1933-07-01,37.5
974,1933,8,24.6,12.7,0.0,20.5,242.7,,1933-08-01,37.3
975,1933,9,20.6,10.7,0.0,52.8,177.3,,1933-09-01,31.3
976,1933,10,14.0,6.7,1.0,36.3,101.3,,1933-10-01,20.7
977,1933,11,8.8,2.8,6.0,28.5,53.9,,1933-11-01,11.600000000000001
978,1933,12,3.5,-0.7,16.0,7.8,59.0,,1933-12-01,2.8
979,1934,1,7.5,0.6,12.0,47.8,65.9,,1934-01-01,8.1
980,1934,2,7.5,-0.5,14.0,7.7,96.6,,1934-02-01,7.0
981,1934,3,9.6,1.3,8.0,45.2,122.5,,1934-03-01,10.9
982,1934,4,12.7,4.5,3.0,53.0,124.9,,1934-04-01,17.2
983,1934,5,17.6,6.9,0.0,18.0,216.3,,1934-05-01,24.5
984,1934,6,21.1,10.6,0.0,36.6,192.7,,1934-06-01,31.700000000000003
985,1934,7,25.3,12.9,0.0,24.0,269.3,,1934-07-01,38.2
986,1934,8,21.1,11.4,0.0,46.2,184.9,,1934-08-01,32.5
987,1934,9,20.2,10.7,0.0,61.4,149.1,,1934-09-01,30.9
988,1934,10,14.5,7.6,1.0,34.9,81.5,,1934-10-01,22.1
989,1934,11,9.3,3.9,3.0,41.4,48.7,,1934-11-01,13.200000000000001
990,1934,12,10.5,5.9,0.0,142.2,31.3,,1934-12-01,16.4
