,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1929,23.2,-3.0,19.1,1740.4,570.4000000000001,81.0,Oxford,19.642977706601584,22.31596888583848,-0.8561427590940269,1519.4026309768929,665.7608327613816,50.72820864790668
1,1930,21.2,0.3,19.933333333333334,1356.8999999999999,684.9,42.0,Oxford,19.664535876555725,22.319291675370277,-0.8304482110351827,1518.4618771945527,665.0480563596029,50.473247590343476
2,1931,19.6,0.3,18.974999999999998,1239.4,693.3,51.0,Oxford,19.686094046509872,22.322614464902074,-0.8047536629763385,1517.5211234122125,664.3352799578245,50.218286532780326
3,1932,22.9,-0.4,19.65833333333333,1283.7,674.3000000000001,44.0,Oxford,19.70765221646402,22.325937254433867,-0.7790591149174872,1516.5803696298724,663.622503556046,49.96332547521712
4,1933,24.6,-0.7,20.666666666666668,1772.8,491.40000000000003,62.0,Oxford,19.72921038641816,22.32926004396566,-0.7533645668586431,1515.6396158475322,662.9097271542676,49.70836441765391
5,1934,25.3,-0.5,21.058333333333334,1583.6999999999998,558.3999999999999,41.0,Oxford,19.750768556372307,22.332582833497458,-0.7276700187997989,1514.698862065192,662.1969507524889,49.45340336009076
6,1935,23.9,0.9,20.575,1579.5000000000002,770.9,37.0,Oxford,19.772326726326447,22.335905623029255,-0.7019754707409476,1513.758108282852,661.4841743507104,49.19844230252755
7,1936,22.2,-0.3,19.53333333333333,1280.3999999999999,654.3000000000001,53.0,Oxford,19.793884896280595,22.33922841256105,-0.6762809226821034,1512.8173545005118,660.771397948932,48.943481244964346
8,1937,23.6,0.7,20.383333333333333,1358.2,700.9,46.0,Oxford,19.815443066234742,22.342551202092846,-0.6505863746232592,1511.8766007181716,660.0586215471533,48.688520187401195
9,1938,21.9,1.5,21.483333333333334,1433.0,577.4,28.0,Oxford,19.837001236188883,22.34587399162464,-0.624891826564415,1510.9358469358317,659.3458451453748,48.43355912983799
10,1939,21.5,0.6,20.4,1443.8,773.5999999999999,26.0,Oxford,19.85855940614303,22.349196781156436,-0.5991972785055637,1509.9950931534916,658.6330687435964,48.17859807227478
11,1940,22.6,-4.6,19.158333333333335,1604.0,655.1,65.0,Oxford,19.88011757609717,22.35251957068823,-0.5735027304467195,1509.0543393711514,657.9202923418179,47.92363701471163
12,1941,23.6,-1.2,19.125,1416.5000000000002,649.3,54.0,Oxford,19.901675746051318,22.355842360220027,-0.5478081823878753,1508.1135855888112,657.2075159400392,47.66867595714842
13,1942,21.8,-2.6,19.1,1414.9999999999998,668.1999999999999,62.0,Oxford,19.923233916005458,22.359165149751824,-0.522113634329024,1507.172831806471,656.4947395382608,47.413714899585216
14,1943,23.0,0.7,21.275,1594.7,514.9000000000001,35.0,Oxford,19.944792085959605,22.362487939283618,-0.49641908627017983,1506.232078024131,655.7819631364823,47.158753842022065
15,1944,23.2,0.8,20.300000000000004,1441.0999999999997,559.6,42.0,Oxford,19.966350255913753,22.365810728815415,-0.47072453821133564,1505.2913242417908,655.0691867347039,46.90379278445886
16,1945,22.1,-2.0,21.64166666666667,1375.3999999999999,569.7,37.0,Oxford,19.987908425867893,22.36913351834721,-0.44502999015248434,1504.3505704594506,654.3564103329252,46.64883172689565
17,1946,22.3,-0.1,20.05,1379.6000000000001,684.9,45.0,Oxford,20.00946659582204,22.372456307879006,-0.41933544209364015,1503.4098166771105,653.6436339311467,46.3938706693325
18,1947,25.8,-4.4,20.291666666666668,1440.3000000000002,508.0,71.0,Oxford,20.03102476577618,22.3757790974108,-0.39364089403479596,1502.4690628947706,652.9308575293683,46.13890961176929
19,1948,21.1,2.2,21.2,1547.8000000000002,729.0999999999999,36.0,Oxford,20.052582935730328,22.379101886942596,-0.36794634597595177,1501.5283091124304,652.2180811275896,45.883948554206086
20,1949,24.7,1.6,22.416666666666668,1827.0000000000002,578.5000000000001,34.0,Oxford,20.07414110568447,22.382424676474393,-0.3422517979171005,1500.5875553300903,651.5053047258111,45.628987496642935
21,1950,22.1,-0.7,19.958333333333332,1495.8000000000002,733.9999999999999,48.0,Oxford,20.095699275638616,22.385747466006187,-0.3165572498582563,1499.64680154775,650.7925283240327,45.37402643907973
22,1951,22.3,1.4,19.683333333333334,1557.1999999999998,857.6,32.0,Oxford,20.117257445592763,22.38907025553798,-0.2908627017994121,1498.70604776541,650.0797519222542,45.11906538151652
23,1952,23.0,-0.6,19.400000000000002,1668.1999999999998,659.1,59.0,Oxford,20.138815615546903,22.392393045069777,-0.2651681537405608,1497.7652939830698,649.3669755204755,44.86410432395337
24,1953,21.7,0.3,20.316666666666666,1564.5000000000002,532.9,42.0,Oxford,20.16037378550105,22.395715834601575,-0.2394736056817166,1496.8245402007296,648.6541991186971,44.60914326639016
25,1954,19.2,0.2,19.474999999999998,1427.2,733.5,44.0,Oxford,20.18193195545519,22.399038624133368,-0.21377905762287241,1495.8837864183895,647.9414227169186,44.354182208826956
26,1955,24.3,-1.1,19.583333333333332,1682.1999999999998,584.8,66.0,Oxford,20.20349012540934,22.402361413665165,-0.18808450956402112,1494.9430326360493,647.2286463151399,44.099221151263805
27,1956,20.9,-3.5,18.525,1465.5,630.7000000000002,58.0,Oxford,20.225048295363486,22.40568420319696,-0.16238996150517693,1494.0022788537094,646.5158699133615,43.8442600937006
28,1957,22.2,1.6,21.2,1577.4,714.0999999999999,25.0,Oxford,20.246606465317626,22.409006992728756,-0.13669541344633274,1493.0615250713693,645.803093511583,43.58929903613739
29,1958,20.8,0.9,20.049999999999997,1308.3,800.2,44.0,Oxford,20.268164635271773,22.41232978226055,-0.11100086538748144,1492.120771289029,645.0903171098046,43.33433797857424
30,1959,23.9,-0.6,21.900000000000002,1853.3999999999999,618.4,41.0,Oxford,20.289722805225914,22.415652571792346,-0.08530631732863725,1491.180017506689,644.3775407080259,43.07937692101103
31,1960,21.8,1.6,20.566666666666666,1408.6000000000001,964.7,25.0,Oxford,20.31128097518006,22.418975361324144,-0.05961176926979306,1490.2392637243488,643.6647643062474,42.824415863447825
32,1961,21.1,-0.3,21.225,1601.3,654.5,33.0,Oxford,20.3328391451342,22.422298150855937,-0.03391722121094887,1489.2985099420086,642.951987904469,42.569454805884675
33,1962,20.2,-1.6,18.083333333333332,1516.2,633.0,55.0,Oxford,20.35439731508835,22.425620940387734,-0.00822267315209757,1488.3577561596685,642.2392115026903,42.31449374832147
34,1963,20.4,-5.8,17.716666666666665,1372.5,639.9,74.0,Oxford,20.375955485042496,22.428943729919528,0.01747187490674662,1487.4170023773283,641.5264351009118,42.05953269075826
35,1964,22.0,0.7,20.083333333333332,1519.1999999999998,418.5,40.0,Oxford,20.397513654996636,22.432266519451325,0.04316642296559081,1486.4762485949882,640.8136586991334,41.80457163319511
36,1965,20.1,0.5,18.916666666666668,1448.5000000000002,658.4,55.0,Oxford,20.419071824950784,22.43558930898312,0.06886097102444211,1485.5354948126483,640.1008822973549,41.5496105756319
37,1966,20.8,0.8,20.141666666666666,1420.3,751.1999999999999,28.0,Oxford,20.440629994904924,22.438912098514916,0.0945555190832863,1484.5947410303081,639.3881058955762,41.294649518068695
38,1967,22.7,2.0,20.625,1626.8999999999999,700.0,32.0,Oxford,20.46218816485907,22.442234888046713,0.12025006714213049,1483.653987247968,638.6753294937978,41.039688460505545
39,1968,19.9,-0.1,19.733333333333334,1324.0000000000002,813.1,49.0,Oxford,20.48374633481322,22.445557677578506,0.1459446152009818,1482.7132334656278,637.9625530920193,40.78472740294234
40,1969,23.2,-0.9,20.00833333333333,1579.6,609.1999999999999,49.0,Oxford,20.50530450476736,22.4488804671103,0.17163916325982598,1481.7724796832877,637.2497766902407,40.52976634537913
41,1970,22.4,0.6,20.375,1649.6,641.6,50.0,Oxford,20.526862674721507,22.452203256642097,0.19733371131867017,1480.8317259009475,636.5370002884622,40.27480528781598
42,1971,23.2,1.5,20.416666666666668,1539.9,740.6,34.0,Oxford,20.548420844675647,22.455526046173894,0.22302825937752147,1479.8909721186074,635.8242238866837,40.01984423025277
43,1972,21.0,2.0,19.633333333333336,1301.4999999999998,575.7,20.0,Oxford,20.569979014629794,22.458848835705687,0.24872280743636566,1478.9502183362672,635.1114474849053,39.764883172689565
44,1973,22.5,1.3,20.35833333333333,1612.9,494.59999999999997,46.0,Oxford,20.591537184583935,22.462171625237485,0.27441735549520985,1478.0094645539273,634.3986710831266,39.509922115126415
45,1974,20.6,2.4,20.216666666666665,1506.1000000000001,783.8,14.0,Oxford,20.613095354538082,22.465494414769278,0.30011190355405404,1477.0687107715871,633.6858946813481,39.25496105756321
46,1975,25.1,1.7,20.941666666666666,1614.9,538.4000000000001,33.0,Oxford,20.63465352449223,22.468817204301075,0.32580645161290533,1476.127956989247,632.9731182795697,39.0
47,1976,25.9,-0.4,21.266666666666666,1588.8999999999999,509.2,49.0,Oxford,20.65621169444637,22.47213999383287,0.3515009996717495,1475.1872032069068,632.260341877791,38.74503894243685
48,1977,21.0,0.7,19.85,1369.3000000000002,710.5999999999999,32.0,Oxford,20.677769864400517,22.475462783364666,0.3771955477305937,1474.2464494245667,631.5475654760126,38.49007788487364
49,1978,20.2,0.4,19.725,1390.8999999999999,576.8,51.0,Oxford,20.699328034354657,22.478785572896463,0.402890095789445,1473.3056956422265,630.8347890742341,38.235116827310435
50,1979,22.5,-3.1,19.05,1493.4,751.9,55.0,Oxford,20.720886204308805,22.482108362428256,0.4285846438482892,1472.3649418598864,630.1220126724556,37.980155769747284
51,1980,21.2,-0.3,19.991666666666667,1522.2000000000003,634.3,38.0,Oxford,20.742444374262945,22.485431151960054,0.4542791919071334,1471.4241880775462,629.409236270677,37.72519471218408
52,1981,22.2,-2.0,19.75,1204.7,682.9,46.0,Oxford,20.764002544217092,22.488753941491847,0.4799737399659847,1470.483434295206,628.6964598688985,37.47023365462087
53,1982,22.0,-0.1,21.175,1380.9,654.4999999999999,34.0,Oxford,20.78556071417124,22.492076731023644,0.5056682880248289,1469.5426805128661,627.98368346712,37.21527259705772
54,1983,26.8,-0.7,21.54166666666666,1467.3000000000002,577.6999999999999,40.0,Oxford,20.80711888412538,22.495399520555438,0.5313628360836731,1468.601926730526,627.2709070653414,36.96031153949451
55,1984,23.9,1.0,20.891666666666666,1574.1999999999998,608.7,29.0,Oxford,20.828677054079527,22.498722310087235,0.5570573841425173,1467.6611729481858,626.5581306635629,36.705350481931305
56,1985,21.6,-1.9,19.781818181818185,1392.3,620.9,55.0,Oxford,20.850235224033668,22.502045099619032,0.5827519322013686,1466.7204191658457,625.8453542617845,36.450389424368154
57,1986,21.5,-4.1,18.733333333333334,1625.0,704.1,40.0,Oxford,20.871793393987815,22.505367889150826,0.6084464802602128,1465.7796653835055,625.132577860006,36.19542836680495
58,1987,21.2,-1.4,19.474999999999998,1371.1000000000001,595.6,56.0,Oxford,20.893351563941962,22.50869067868262,0.6341410283190569,1464.8389116011654,624.4198014582273,35.9404673092418
59,1988,20.4,1.6,20.558333333333334,1401.6000000000001,571.1,33.0,Oxford,20.914909733896103,22.512013468214416,0.6598355763779082,1463.8981578188252,623.7070250564489,35.68550625167859
60,1989,24.9,3.0,22.683333333333334,1868.0999999999997,598.8,22.0,Oxford,20.93646790385025,22.515336257746213,0.6855301244367524,1462.957404036485,622.9942486546704,35.43054519411538
61,1990,24.7,1.7,22.691666666666666,1875.3000000000002,473.0,19.0,Oxford,20.95802607380439,22.518659047278007,0.7112246724955966,1462.016650254145,622.2814722528917,35.17558413655223
62,1991,23.2,-1.6,19.958333333333332,1482.9000000000005,526.8,42.0,Oxford,20.979584243758538,22.521981836809804,0.7369192205544479,1461.075896471805,621.5686958511133,34.920623078989024
63,1992,21.4,1.3,20.891666666666666,1469.3,795.6000000000001,36.0,Oxford,21.001142413712678,22.525304626341597,0.7626137686132921,1460.1351426894648,620.8559194493348,34.66566202142582
64,1993,20.8,2.4,20.45,1555.0,723.6,27.0,Oxford,21.022700583666825,22.528627415873395,0.7883083166721363,1459.1943889071247,620.1431430475564,34.410700963862666
65,1994,24.8,1.3,22.01666666666667,1692.5,703.5000000000001,15.0,Oxford,21.044258753620973,22.531950205405188,0.8140028647309876,1458.2536351247845,619.4303666457777,34.15573990629946
66,1995,26.4,0.2,22.541666666666668,1880.3,683.4,37.0,Oxford,21.065816923575113,22.535272994936985,0.8396974127898318,1457.3128813424444,618.7175902439992,33.90077884873625
67,1996,14.1,4.8,19.15,334.0,85.0,6.0,Oxford,21.08737509352926,22.538595784468782,0.865391960848676,1456.3721275601042,618.0048138422208,33.6458177911731
68,1997,19.7,-0.2,16.966666666666665,541.9,317.40000000000003,32.0,Oxford,21.1089332634834,22.541918574000576,0.8910865089075202,1455.431373777764,617.2920374404421,33.390856733609894
69,1998,22.4,2.2,21.254545454545454,1254.9999999999998,645.9000000000001,30.0,Oxford,21.130491433437548,22.545241363532373,0.9167810569663715,1454.490619995424,616.5792610386636,33.13589567604669
70,1999,24.2,1.7,22.65833333333333,1569.6999999999998,736.6999999999999,21.0,Oxford,21.152049603391696,22.548564153064167,0.9424756050252157,1453.5498662130838,615.8664846368852,32.880934618483536
71,2000,22.7,2.0,22.23333333333333,1499.1000000000001,826.6999999999999,23.0,Oxford,21.173607773345836,22.551886942595964,0.9681701530840598,1452.6091124307438,615.1537082351067,32.62597356092033
72,2001,23.4,0.2,21.40833333333333,1595.9000000000003,677.0,50.0,Oxford,21.195165943299983,22.555209732127757,0.9938647011429111,1451.6683586484037,614.440931833328,32.37101250335712
73,2002,22.8,3.4,22.8,1487.2999999999997,813.5,16.0,Oxford,21.216724113254124,22.558532521659554,1.0195592492017553,1450.7276048660635,613.7281554315496,32.11605144579397
74,2003,25.5,0.6,23.2,1720.9,459.79999999999995,45.0,Oxford,21.23828228320827,22.56185531119135,1.0452537972605995,1449.7868510837234,613.0153790297711,31.861090388230764
75,2004,23.4,2.7,22.808333333333334,1563.8000000000004,727.4000000000001,29.0,Oxford,21.25984045316241,22.565178100723145,1.0709483453194508,1448.8460973013832,612.3026026279924,31.606129330667557
76,2005,23.1,1.8,22.599999999999998,1570.1000000000001,504.7,41.0,Oxford,21.28139862311656,22.56850089025494,1.096642893378295,1447.905343519043,611.589826226214,31.351168273104406
77,2006,27.1,0.8,23.325,1668.2,765.1,42.0,Oxford,21.302956793070706,22.571823679786736,1.1223374414371392,1446.964589736703,610.8770498244355,31.0962072155412
78,2007,21.7,2.4,22.45,1631.5,753.9000000000001,28.0,Oxford,21.324514963024846,22.575146469318533,1.1480319894959834,1446.0238359543628,610.1642734226571,30.84124615797799
79,2008,22.0,1.3,20.599999999999998,1138.5,593.9,28.0,Oxford,21.346073132978994,22.578469258850326,1.1737265375548347,1445.0830821720226,609.4514970208784,30.58628510041484
80,2009,22.7,0.2,22.241666666666664,1704.3000000000002,620.5,41.0,Oxford,21.367631302933134,22.581792048382123,1.1994210856136789,1444.1423283896827,608.7387206190999,30.331324042851634
81,2010,23.9,-1.0,21.818181818181817,1527.9999999999998,571.0,44.0,Oxford,21.38918947288728,22.58511483791392,1.225115633672523,1443.2015746073425,608.0259442173215,30.076362985288483
82,2011,21.4,1.9,24.67777777777778,1245.8,374.09999999999997,14.0,Oxford,21.41074764284143,22.588437627445714,1.2508101817313744,1442.2608208250024,607.3131678155428,29.82140192772522
83,2012,14.0,1.2,14.25,542.9000000000001,391.0,30.0,Oxford,21.43230581279557,22.591760416977507,1.2765047297902186,1441.3200670426622,606.6003914137643,29.56644087016207
84,2013,25.5,0.2,20.73333333333333,1610.1,635.8000000000001,43.0,Oxford,21.453863982749716,22.595083206509305,1.3021992778490628,1440.379313260322,605.8876150119859,29.311479812598918
85,2014,24.9,2.4,23.470000000000002,1420.5000000000002,656.5,16.0,Oxford,21.475422152703857,22.5984059960411,1.327893825907914,1439.438559477982,605.1748386102074,29.056518755035654
86,2015,22.6,1.0,22.600000000000005,1581.7999999999997,547.4,23.0,Oxford,21.496980322658004,22.601728785572895,1.3535883739667582,1438.4978056956418,604.4620622084287,28.801557697472504
87,2016,23.5,2.2,22.358333333333334,1570.9,658.2,29.0,Oxford,21.518538492612144,22.605051575104692,1.3792829220256024,1437.5570519133016,603.7492858066503,28.546596639909353
88,2017,23.3,0.8,22.763636363636365,1425.7,559.7,30.0,Oxford,21.54009666256629,22.608374364636486,1.4049774700844537,1436.6162981309615,603.0365094048718,28.29163558234609
89,2018,27.4,0.3,21.981818181818184,1576.6,544.0,31.0,Oxford,21.56165483252044,22.611697154168283,1.430672018143298,1435.6755443486215,602.3237330030934,28.03667452478294
90,2019,24.5,1.0,22.55,1649.3,726.1,37.0,Oxford,21.58321300247458,22.615019943700077,1.456366566202142,1434.7347905662814,601.6109566013147,27.781713467219788
91,2020,23.5,3.0,23.491666666666664,1824.1000000000004,813.5999999999999,24.0,Oxford,21.604771172428727,22.618342733231874,1.4820611142609863,1433.7940367839412,600.8981801995362,27.526752409656524
92,2021,16.2,1.3,16.150000000000002,663.9,409.0,30.0,Oxford,21.626329342382867,22.62166552276367,1.5077556623198376,1432.853283001601,600.1854037977578,27.271791352093373
