,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1959,1,4.0,-2.0,25.0,40.9,54.1,,1959-01-01,2.0
8,1959,2,6.6,2.1,10.0,41.8,17.8,,1959-02-01,8.7
9,1959,3,10.6,4.2,0.0,50.9,85.7,,1959-03-01,14.8
10,1959,4,13.0,5.2,0.0,76.3,125.1,,1959-04-01,18.2
11,1959,5,18.1,7.9,0.0,24.0,222.0,,1959-05-01,26.0
12,1959,6,18.1,10.3,0.0,81.6,187.3,,1959-06-01,28.400000000000002
13,1959,7,19.6,12.3,0.0,113.7,157.3,,1959-07-01,31.900000000000002
14,1959,8,20.3,12.6,0.0,14.7,165.2,,1959-08-01,32.9
15,1959,9,18.3,9.7,0.0,26.5,137.5,,1959-09-01,28.0
16,1959,10,15.2,8.7,0.0,140.7,105.5,,1959-10-01,23.9
17,1959,11,9.3,4.9,2.0,129.7,37.4,,1959-11-01,14.200000000000001
18,1959,12,7.4,2.9,3.0,199.8,13.5,,1959-12-01,10.3
19,1960,1,6.1,0.8,11.0,101.1,43.5,,1960-01-01,6.8999999999999995
20,1960,2,5.8,0.0,16.0,107.2,84.4,,1960-02-01,5.8
21,1960,3,8.9,3.5,1.0,57.0,77.8,,1960-03-01,12.4
22,1960,4,14.0,6.0,0.0,107.7,154.1,,1960-04-01,20.0
23,1960,5,17.8,8.2,0.0,66.6,189.5,,1960-05-01,26.0
24,1960,6,21.0,11.3,0.0,63.9,244.2,,1960-06-01,32.3
25,1960,7,18.8,11.5,0.0,90.5,148.8,,1960-07-01,30.3
26,1960,8,19.4,11.0,0.0,86.5,180.2,,1960-08-01,30.4
27,1960,9,16.7,8.7,0.0,79.0,152.1,,1960-09-01,25.4
28,1960,10,12.6,7.7,0.0,78.7,54.9,,1960-10-01,20.3
29,1960,11,8.9,3.5,3.0,145.6,62.6,,1960-11-01,12.4
30,1960,12,5.6,0.8,12.0,142.7,29.1,,1960-12-01,6.3999999999999995
31,1961,1,5.9,0.3,12.0,100.1,35.5,,1961-01-01,6.2
32,1961,2,9.0,4.4,1.0,127.6,52.6,,1961-02-01,13.4
33,1961,3,11.6,5.7,0.0,60.8,95.4,,1961-03-01,17.3
34,1961,4,12.4,5.8,2.0,95.7,96.5,,1961-04-01,18.2
35,1961,5,15.9,7.3,0.0,52.3,185.3,,1961-05-01,23.2
36,1961,6,17.3,9.7,0.0,37.0,153.5,,1961-06-01,27.0
37,1961,7,18.1,10.4,0.0,69.3,150.3,,1961-07-01,28.5
38,1961,8,18.4,11.2,0.0,146.2,160.4,,1961-08-01,29.599999999999998
39,1961,9,17.4,10.7,0.0,155.2,108.4,,1961-09-01,28.099999999999998
40,1961,10,13.5,7.5,0.0,149.9,103.3,,1961-10-01,21.0
41,1961,11,8.1,2.9,7.0,113.8,48.6,,1961-11-01,11.0
42,1961,12,4.2,-0.5,17.0,121.5,19.1,,1961-12-01,3.7
43,1962,1,6.7,1.6,6.0,220.1,37.4,,1962-01-01,8.3
44,1962,2,7.2,2.4,2.0,103.6,64.2,,1962-02-01,9.6
45,1962,3,7.5,0.0,14.0,38.4,104.7,,1962-03-01,7.5
46,1962,4,12.8,3.2,4.0,72.4,197.1,,1962-04-01,16.0
47,1962,5,15.8,7.0,2.0,62.4,198.8,,1962-05-01,22.8
48,1962,6,18.3,8.5,0.0,53.2,192.8,,1962-06-01,26.8
49,1962,7,17.9,9.9,0.0,76.7,137.8,,1962-07-01,27.799999999999997
50,1962,8,17.2,10.1,0.0,136.5,142.0,,1962-08-01,27.299999999999997
51,1962,9,14.8,9.1,0.0,181.8,74.1,,1962-09-01,23.9
52,1962,10,13.3,8.2,0.0,60.5,83.3,,1962-10-01,21.5
53,1962,11,7.8,3.2,7.0,68.3,27.0,,1962-11-01,11.0
54,1962,12,5.9,0.5,12.0,114.0,34.4,,1962-12-01,6.4
55,1963,1,2.5,-2.7,22.0,18.1,46.9,,1963-01-01,-0.20000000000000018
56,1963,2,3.9,-2.9,22.0,13.2,70.5,,1963-02-01,1.0
57,1963,3,9.8,2.8,6.0,153.0,85.7,,1963-03-01,12.600000000000001
58,1963,4,11.6,4.8,1.0,61.5,110.6,,1963-04-01,16.4
59,1963,5,14.0,6.4,0.0,95.7,193.5,,1963-05-01,20.4
60,1963,6,18.5,10.8,0.0,62.0,172.9,,1963-06-01,29.3
61,1963,7,18.0,10.7,0.0,80.2,151.2,,1963-07-01,28.7
62,1963,8,17.1,10.7,0.0,86.5,88.1,,1963-08-01,27.8
63,1963,9,15.8,9.2,0.0,90.0,128.4,,1963-09-01,25.0
64,1963,10,13.2,7.5,0.0,127.1,76.8,,1963-10-01,20.7
65,1963,11,8.5,3.7,6.0,191.6,34.9,,1963-11-01,12.2
66,1963,12,5.8,1.3,12.0,50.9,25.8,,1963-12-01,7.1
67,1964,1,6.8,2.5,7.0,61.9,21.8,,1964-01-01,9.3
68,1964,2,7.2,2.3,5.0,30.4,59.7,,1964-02-01,9.5
69,1964,3,7.4,2.2,3.0,55.4,57.7,,1964-03-01,9.600000000000001
70,1964,4,12.1,5.4,0.0,77.3,101.3,,1964-04-01,17.5
71,1964,5,16.0,8.7,0.0,85.8,167.7,,1964-05-01,24.7
72,1964,6,17.5,9.6,0.0,68.0,163.5,,1964-06-01,27.1
73,1964,7,17.9,11.5,0.0,58.0,126.7,,1964-07-01,29.4
74,1964,8,17.6,10.9,0.0,146.3,121.9,,1964-08-01,28.5
75,1964,9,16.4,9.4,0.0,131.5,132.9,,1964-09-01,25.799999999999997
76,1964,10,11.8,5.7,0.0,67.4,74.0,,1964-10-01,17.5
77,1964,11,8.8,3.8,3.0,95.6,31.3,,1964-11-01,12.600000000000001
78,1964,12,6.0,1.2,7.0,154.3,34.8,,1964-12-01,7.2
79,1965,1,5.1,0.6,13.0,127.2,54.2,,1965-01-01,5.699999999999999
80,1965,2,6.7,0.4,11.0,24.0,61.7,,1965-02-01,7.1000000000000005
81,1965,3,8.0,1.2,9.0,68.5,99.5,,1965-03-01,9.2
82,1965,4,12.0,4.3,1.0,74.8,145.9,,1965-04-01,16.3
83,1965,5,14.8,7.6,0.0,86.3,134.5,,1965-05-01,22.4
84,1965,6,17.9,10.4,0.0,102.6,160.2,,1965-06-01,28.299999999999997
85,1965,7,16.8,9.6,0.0,98.2,147.3,,1965-07-01,26.4
86,1965,8,17.5,10.0,0.0,107.7,136.6,,1965-08-01,27.5
