,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1959,20.3,-2.0,19.941666666666666,1308.4,940.5999999999999,40.0,Paisley
1,1960,21.0,0.0,19.05,1421.1999999999998,1126.5,43.0,Paisley
2,1961,18.4,-0.5,18.933333333333334,1208.8999999999999,1229.4,39.0,Paisley
3,1962,18.3,0.0,17.408333333333335,1293.6000000000001,1187.8999999999999,47.0,Paisley
4,1963,18.5,-2.9,16.749999999999996,1185.3,1029.8000000000002,69.0,Paisley
5,1964,17.9,1.2,18.224999999999998,1093.2999999999997,1031.9,25.0,Paisley
6,1965,17.9,0.4,16.749999999999996,1179.2999999999997,1153.6000000000001,54.0,Paisley
7,1966,18.5,1.1,17.366666666666667,1178.6000000000001,1186.3000000000002,39.0,Paisley
8,1967,18.4,2.6,18.391666666666666,1325.3999999999999,1222.0,27.0,Paisley
9,1968,19.3,-0.8,17.858333333333334,1157.4999999999998,1083.6000000000001,51.0,Paisley
10,1969,20.1,-1.1,17.599999999999998,1202.7,882.0999999999999,59.0,Paisley
11,1970,20.1,-0.9,17.90833333333333,1175.6999999999998,1112.2,45.0,Paisley
12,1971,19.8,2.5,19.566666666666666,1205.3999999999999,887.5000000000001,27.0,Paisley
13,1972,19.7,2.1,18.358333333333334,1188.8,958.1,21.0,Paisley
14,1973,20.0,1.3,18.475000000000005,1217.0,960.6,40.0,Paisley
15,1974,18.4,2.7,18.825000000000003,1306.7,1053.8,11.0,Paisley
16,1975,21.7,1.7,19.458333333333336,1365.3,1024.8,24.0,Paisley
17,1976,22.1,-0.7,19.175,1234.9999999999998,1006.8000000000001,31.0,Paisley
18,1977,21.1,-0.2,18.349999999999998,1390.8999999999999,1200.2,40.0,Paisley
19,1978,18.3,-0.9,18.283333333333335,1164.6000000000001,1161.8999999999999,44.0,Paisley
20,1979,17.9,-2.6,16.391666666666666,1213.5,1238.1000000000001,67.0,Paisley
21,1980,18.0,-0.1,18.183333333333334,1126.7,1158.4,36.0,Paisley
22,1981,19.3,-3.5,17.575,1234.7,1236.5000000000002,56.0,Paisley
23,1982,21.3,-0.3,18.98333333333333,1234.8,1342.6999999999998,33.0,Paisley
24,1983,21.9,-0.4,19.175,1064.1000000000001,1173.6,33.0,Paisley
25,1984,22.1,-0.3,19.450000000000003,1277.5,1103.1,30.0,Paisley
26,1985,18.0,-1.2,17.016666666666666,1128.1999999999998,1339.6,63.0,Paisley
27,1986,18.6,-1.8,16.9,1212.6,1438.3999999999999,51.0,Paisley
28,1987,19.3,-0.7,17.366666666666664,1261.4,1120.2,53.0,Paisley
29,1988,20.0,1.8,18.866666666666664,1212.6,1283.4999999999998,27.0,Paisley
30,1989,22.2,-0.1,18.900000000000002,1387.6,1192.3999999999999,36.0,Paisley
31,1990,20.0,1.3,19.46666666666667,1256.3,1532.6000000000001,23.0,Paisley
32,1991,20.8,-0.3,18.624999999999996,1252.6,1224.6000000000001,40.0,Paisley
33,1992,19.7,1.1,18.350000000000005,1106.3999999999999,1394.1,41.0,Paisley
34,1993,18.0,1.1,15.300000000000002,831.0999999999999,1149.5,47.0,Paisley
35,1994,20.0,0.5,18.508333333333336,1188.6000000000001,1423.9,22.0,Paisley
36,1995,22.7,-1.1,19.50833333333333,1515.6999999999998,1241.2,42.0,Paisley
37,1996,20.2,0.4,18.483333333333334,1346.4,958.8000000000001,42.0,Paisley
38,1997,21.5,1.3,20.433333333333337,1253.5,1056.2999999999997,25.0,Paisley
39,1998,18.2,2.5,19.666666666666668,1145.7000000000003,1425.8,26.0,Paisley
40,1999,20.2,0.9,19.791666666666668,1310.7,1453.6999999999998,28.0,Paisley
41,2000,20.5,2.7,19.98333333333333,1346.5,1313.1,23.0,Paisley
42,2001,19.3,0.6,19.208333333333332,1347.3999999999999,843.1999999999999,48.0,Paisley
43,2002,20.5,2.5,20.083333333333332,1136.6,1345.5,23.0,Paisley
44,2003,21.1,0.7,20.283333333333335,1499.3,871.1999999999999,41.0,Paisley
45,2004,20.6,1.9,20.750000000000004,1249.5,1300.2,35.0,Paisley
46,2005,20.1,2.5,20.625000000000004,1293.8999999999999,1150.8,29.0,Paisley
47,2006,22.7,2.1,21.01666666666667,1372.8,1440.0,29.0,Paisley
48,2007,18.8,2.3,20.849999999999998,1306.9,1215.1,21.0,Paisley
49,2008,19.5,0.8,18.958333333333332,1229.3999999999999,1493.3999999999999,36.0,Paisley
50,2009,20.0,-0.9,19.683333333333334,1355.6999999999998,1237.1,36.0,Paisley
51,2010,20.2,-4.4,17.2,1379.8999999999999,947.2,75.0,Paisley
