,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
187,1961,1,5.9,0.4,11.0,101.2,35.6,,1961-01-01,6.300000000000001
188,1961,2,9.7,3.8,2.0,60.2,61.2,,1961-02-01,13.5
189,1961,3,12.2,4.9,1.0,32.1,125.4,,1961-03-01,17.1
190,1961,4,13.6,6.6,0.0,62.4,94.3,,1961-04-01,20.2
191,1961,5,15.2,6.5,0.0,64.4,166.8,,1961-05-01,21.7
192,1961,6,18.6,9.7,0.0,49.8,197.1,,1961-06-01,28.3
193,1961,7,18.2,11.2,0.0,86.9,157.2,,1961-07-01,29.4
194,1961,8,18.7,11.4,0.0,106.9,161.7,,1961-08-01,30.1
195,1961,9,19.1,11.1,0.0,86.9,144.5,,1961-09-01,30.200000000000003
196,1961,10,13.8,7.7,0.0,97.3,118.3,,1961-10-01,21.5
197,1961,11,8.9,3.3,3.0,50.0,73.5,,1961-11-01,12.2
198,1961,12,4.6,-0.8,17.0,57.2,55.2,,1961-12-01,3.8
199,1962,1,7.1,0.9,8.0,66.7,63.0,,1962-01-01,8.0
200,1962,2,7.2,1.6,5.0,48.6,62.0,,1962-02-01,8.8
201,1962,3,6.1,-1.1,18.0,42.5,120.0,,1962-03-01,5.0
202,1962,4,11.2,4.0,2.0,57.9,169.3,,1962-04-01,15.2
203,1962,5,13.7,6.6,0.0,80.7,160.6,,1962-05-01,20.299999999999997
204,1962,6,17.9,9.4,0.0,19.9,207.6,,1962-06-01,27.299999999999997
205,1962,7,17.9,11.3,0.0,61.5,101.9,,1962-07-01,29.2
206,1962,8,17.4,10.6,0.0,137.5,146.7,,1962-08-01,28.0
207,1962,9,15.8,9.6,0.0,81.4,90.6,,1962-09-01,25.4
208,1962,10,13.9,7.2,2.0,47.4,89.3,,1962-10-01,21.1
209,1962,11,8.1,2.6,6.0,37.2,47.6,,1962-11-01,10.7
210,1962,12,4.9,-0.7,16.0,78.7,60.6,,1962-12-01,4.2
211,1963,1,0.9,-4.1,27.0,11.3,66.3,,1963-01-01,-3.1999999999999997
212,1963,2,2.8,-2.9,27.0,5.7,87.8,,1963-02-01,-0.10000000000000009
213,1963,3,9.5,2.8,6.0,51.0,102.0,,1963-03-01,12.3
214,1963,4,11.8,5.1,0.0,49.7,103.7,,1963-04-01,16.9
215,1963,5,14.3,6.6,0.0,41.0,172.0,,1963-05-01,20.9
216,1963,6,19.4,10.8,0.0,98.5,212.6,,1963-06-01,30.2
217,1963,7,19.2,11.2,0.0,58.1,165.8,,1963-07-01,30.4
218,1963,8,17.1,10.9,0.0,76.3,122.1,,1963-08-01,28.0
219,1963,9,16.7,9.2,0.0,107.8,155.1,,1963-09-01,25.9
220,1963,10,13.8,7.6,0.0,63.2,82.9,,1963-10-01,21.4
221,1963,11,10.1,5.0,1.0,108.0,41.5,,1963-11-01,15.1
222,1963,12,5.5,0.4,11.0,11.2,51.6,,1963-12-01,5.9
223,1964,1,6.1,1.1,10.0,22.6,44.7,,1964-01-01,7.199999999999999
224,1964,2,7.1,1.9,8.0,15.8,61.4,,1964-02-01,9.0
225,1964,3,6.8,1.7,10.0,76.5,67.0,,1964-03-01,8.5
226,1964,4,12.2,5.5,1.0,51.9,109.0,,1964-04-01,17.7
227,1964,5,17.6,9.5,0.0,60.3,194.7,,1964-05-01,27.1
228,1964,6,16.8,10.2,0.0,69.4,116.5,,1964-06-01,27.0
229,1964,7,18.9,12.0,0.0,81.9,143.1,,1964-07-01,30.9
230,1964,8,19.3,11.3,0.0,71.9,180.3,,1964-08-01,30.6
231,1964,9,18.0,9.6,0.0,43.4,156.0,,1964-09-01,27.6
232,1964,10,12.6,5.4,2.0,75.1,122.0,,1964-10-01,18.0
233,1964,11,9.8,4.0,4.0,56.2,49.6,,1964-11-01,13.8
234,1964,12,6.4,-0.3,15.0,107.4,61.2,,1964-12-01,6.1000000000000005
235,1965,1,5.7,0.6,14.0,77.3,48.2,,1965-01-01,6.3
236,1965,2,5.9,0.8,11.0,6.0,38.4,,1965-02-01,6.7
237,1965,3,9.5,1.4,9.0,38.2,130.7,,1965-03-01,10.9
238,1965,4,11.8,3.9,0.0,57.6,140.5,,1965-04-01,15.700000000000001
239,1965,5,15.3,7.9,0.0,72.1,154.2,,1965-05-01,23.200000000000003
240,1965,6,18.9,10.5,0.0,57.0,174.7,,1965-06-01,29.4
241,1965,7,17.1,10.8,0.0,72.1,102.7,,1965-07-01,27.900000000000002
242,1965,8,18.7,11.0,0.0,49.6,171.7,,1965-08-01,29.7
243,1965,9,15.3,9.2,0.0,170.6,93.6,,1965-09-01,24.5
244,1965,10,15.1,7.4,1.0,41.2,131.2,,1965-10-01,22.5
245,1965,11,7.0,1.6,11.0,55.1,70.2,,1965-11-01,8.6
246,1965,12,6.9,1.4,7.0,179.9,51.7,,1965-12-01,8.3
247,1966,1,5.4,1.0,10.0,29.0,35.3,,1966-01-01,6.4
248,1966,2,8.0,3.3,6.0,100.4,49.6,,1966-02-01,11.3
249,1966,3,9.5,3.4,2.0,38.3,93.8,,1966-03-01,12.9
250,1966,4,10.1,4.3,2.0,80.1,92.5,,1966-04-01,14.399999999999999
251,1966,5,15.4,7.2,0.0,75.9,219.1,,1966-05-01,22.6
252,1966,6,19.2,11.9,0.0,122.8,167.6,,1966-06-01,31.1
253,1966,7,18.1,11.2,0.0,122.0,147.1,,1966-07-01,29.3
254,1966,8,18.6,10.6,0.0,89.8,153.3,,1966-08-01,29.200000000000003
255,1966,9,17.5,10.0,0.0,60.3,131.4,,1966-09-01,27.5
256,1966,10,12.9,6.9,2.0,75.7,80.9,,1966-10-01,19.8
257,1966,11,8.2,3.0,2.0,73.7,29.7,,1966-11-01,11.2
258,1966,12,7.8,2.5,5.0,123.7,41.4,,1966-12-01,10.3
259,1967,1,6.7,1.6,9.0,41.4,56.5,,1967-01-01,8.3
260,1967,2,7.9,2.4,4.0,51.9,67.9,,1967-02-01,10.3
261,1967,3,9.9,3.8,1.0,34.7,137.4,,1967-03-01,13.7
262,1967,4,10.9,4.3,1.0,25.7,99.6,,1967-04-01,15.2
263,1967,5,14.1,6.6,2.0,144.4,157.0,,1967-05-01,20.7
264,1967,6,19.3,9.8,0.0,62.2,236.5,,1967-06-01,29.1
265,1967,7,20.6,12.3,0.0,58.2,193.6,,1967-07-01,32.900000000000006
