,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1961,19.1,-0.8,19.525000000000002,1390.8,855.3,34.0,Ringway
1,1962,17.9,-1.1,16.933333333333334,1319.1999999999996,760.0000000000001,57.0,Ringway
2,1963,19.4,-4.1,16.975,1363.3999999999999,681.8000000000001,72.0,Ringway
3,1964,19.3,-0.3,18.625,1305.4999999999998,732.4,50.0,Ringway
4,1965,18.9,0.6,17.808333333333334,1307.8,876.7,53.0,Ringway
5,1966,19.2,1.0,18.833333333333332,1241.7000000000003,991.7,29.0,Ringway
6,1967,20.6,1.3,18.966666666666665,1410.6,815.0000000000001,39.0,Ringway
7,1968,19.5,-0.8,18.741666666666667,1296.1,813.8,54.0,Ringway
8,1969,20.8,-2.5,18.34166666666667,1384.8000000000002,829.5999999999999,60.0,Ringway
9,1970,21.9,-0.1,19.241666666666664,1450.7,818.8000000000001,49.0,Ringway
10,1971,21.5,2.0,19.7,1401.3,667.0,36.0,Ringway
11,1972,19.7,1.9,18.533333333333335,1280.7000000000003,834.3000000000001,24.0,Ringway
12,1973,20.6,1.7,19.325,1433.5,865.7,42.0,Ringway
13,1974,19.0,2.6,19.225,1364.5,830.6,12.0,Ringway
14,1975,23.2,1.1,19.800000000000004,1632.9,646.2,33.0,Ringway
15,1976,23.2,0.1,20.091666666666665,1535.6999999999998,671.6999999999999,39.0,Ringway
16,1977,19.6,0.3,18.858333333333334,1464.0,835.7999999999998,31.0,Ringway
17,1978,17.8,0.4,18.700000000000003,1199.6000000000001,753.1,46.0,Ringway
18,1979,19.4,-2.9,17.53333333333333,1290.8000000000002,823.9999999999999,59.0,Ringway
19,1980,19.1,-0.2,19.041666666666668,1334.9,873.2,40.0,Ringway
20,1981,20.0,-2.0,18.408333333333335,1259.9,1032.6000000000001,51.0,Ringway
21,1982,20.9,0.2,19.933333333333334,1428.0,770.4,33.0,Ringway
22,1983,24.3,-0.5,19.991666666666667,1301.3,892.5,34.0,Ringway
23,1984,22.9,0.9,19.708333333333332,1515.6,741.6999999999999,28.0,Ringway
24,1985,19.9,-1.7,18.03333333333333,1323.7,700.0,66.0,Ringway
25,1986,19.4,-2.3,17.558333333333334,1402.1,833.7,48.0,Ringway
26,1987,19.1,-1.0,18.333333333333332,1329.0,897.1999999999999,54.0,Ringway
27,1988,19.2,1.7,19.358333333333334,1336.8,885.6999999999999,27.0,Ringway
28,1989,22.2,1.2,20.46666666666667,1621.8999999999999,714.8999999999999,43.0,Ringway
29,1990,21.9,1.1,20.84166666666667,1438.3,800.0,24.0,Ringway
30,1991,21.6,-1.5,19.158333333333335,1335.6999999999998,578.9,50.0,Ringway
31,1992,20.8,0.0,19.408333333333335,1392.6999999999998,856.3,44.0,Ringway
32,1993,19.1,1.1,18.55,1273.7,785.2,39.0,Ringway
33,1994,22.7,0.3,19.9,1406.9,922.1,31.0,Ringway
34,1995,24.6,-0.1,20.958333333333332,1742.0,645.2,43.0,Ringway
35,1996,21.1,-0.9,18.508333333333336,1377.4000000000003,676.8000000000001,60.0,Ringway
36,1997,23.5,0.4,21.166666666666668,1434.4,765.0999999999999,31.0,Ringway
37,1998,19.5,1.9,20.616666666666667,1207.3,917.4,29.0,Ringway
38,1999,22.4,1.8,21.458333333333332,1459.8,857.7,29.0,Ringway
39,2000,20.5,2.3,20.650000000000002,1305.0000000000002,1110.8,22.0,Ringway
40,2001,21.3,-0.3,19.783333333333335,1384.4,813.6,53.0,Ringway
41,2002,20.5,2.3,21.291666666666668,1402.0,1025.7,16.0,Ringway
42,2003,22.1,0.8,21.183333333333334,1660.5,668.7,41.0,Ringway
