,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1930,7.4,2.0,9.4,30.5,83.8,7.0,Ross-on-Wye
1,1931,19.0,-0.5,18.391666666666666,1308.8,778.0000000000001,55.0,Ross-on-Wye
2,1932,22.2,0.1,18.966666666666665,1335.5,786.8999999999999,51.0,Ross-on-Wye
3,1933,23.4,-1.2,19.458333333333332,1722.8000000000002,587.7,78.0,Ross-on-Wye
4,1934,24.8,-0.8,20.325,1555.2,568.6,50.0,Ross-on-Wye
5,1935,23.0,1.3,20.075,1572.1,736.8,36.0,Ross-on-Wye
6,1936,21.3,-1.3,18.71666666666667,1265.2,841.8000000000001,49.0,Ross-on-Wye
7,1937,22.3,0.2,19.108333333333334,1350.1999999999998,770.5000000000001,46.0,Ross-on-Wye
8,1938,20.0,1.9,20.466666666666665,1441.3,569.0,32.0,Ross-on-Wye
9,1939,21.1,0.4,19.433333333333334,1436.3,701.5999999999999,32.0,Ross-on-Wye
10,1940,22.3,-5.3,18.35,1573.6,734.8,69.0,Ross-on-Wye
11,1941,22.3,-1.5,18.5,1358.0000000000002,707.9,58.0,Ross-on-Wye
12,1942,20.4,-2.8,18.591666666666665,1428.2,608.3,61.0,Ross-on-Wye
13,1943,22.0,1.0,20.458333333333332,1557.4000000000003,645.8,39.0,Ross-on-Wye
14,1944,22.1,0.5,19.558333333333334,1370.4,563.7,44.0,Ross-on-Wye
15,1945,20.8,-2.0,21.016666666666666,1335.1999999999998,662.0,43.0,Ross-on-Wye
16,1946,20.9,-0.1,19.48333333333333,1307.5,785.0999999999999,49.0,Ross-on-Wye
17,1947,24.5,-4.3,19.483333333333334,1394.0,709.9,69.0,Ross-on-Wye
18,1948,20.5,2.4,20.791666666666668,1626.1999999999996,783.0999999999999,32.0,Ross-on-Wye
19,1949,23.7,1.8,22.075000000000003,1751.6,578.0,34.0,Ross-on-Wye
20,1950,21.1,-0.7,19.45,1474.4000000000003,721.8000000000001,50.0,Ross-on-Wye
21,1951,21.6,1.3,19.208333333333332,1412.8,882.5,33.0,Ross-on-Wye
22,1952,21.5,-0.2,18.84166666666667,1561.4,716.8,55.0,Ross-on-Wye
23,1953,20.9,0.2,19.900000000000002,1464.8999999999999,583.3,44.0,Ross-on-Wye
24,1954,18.6,0.2,19.333333333333332,1335.3,801.5,36.0,Ross-on-Wye
25,1955,23.6,-1.1,19.216666666666665,1617.3,683.0,75.0,Ross-on-Wye
26,1956,20.5,-3.4,18.458333333333332,1441.9,672.5,64.0,Ross-on-Wye
27,1957,22.0,1.1,20.81666666666667,1455.1000000000001,572.4,33.0,Ross-on-Wye
28,1958,20.7,0.7,19.691666666666666,1256.8999999999999,878.7,49.0,Ross-on-Wye
29,1959,22.5,-0.5,21.391666666666666,1687.7,768.4,38.0,Ross-on-Wye
30,1960,21.5,1.8,20.133333333333333,1340.7000000000003,995.8,33.0,Ross-on-Wye
