,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
139,1957,1,8.6,1.6,11.0,30.9,43.4,,1957-01-01,10.2
140,1957,2,8.4,0.3,13.0,50.2,80.3,,1957-02-01,8.700000000000001
141,1957,3,12.6,4.6,4.0,41.3,78.9,,1957-03-01,17.2
142,1957,4,12.9,3.1,4.0,6.3,143.6,,1957-04-01,16.0
143,1957,5,14.8,4.8,1.0,32.9,196.7,,1957-05-01,19.6
144,1957,6,20.9,7.6,0.0,34.8,292.9,,1957-06-01,28.5
145,1957,7,19.6,12.4,0.0,93.3,107.1,,1957-07-01,32.0
146,1957,8,18.8,10.9,0.0,127.5,117.2,,1957-08-01,29.700000000000003
147,1957,9,15.5,8.5,0.0,131.8,93.5,,1957-09-01,24.0
148,1957,10,14.0,6.1,2.0,40.0,60.1,,1957-10-01,20.1
149,1957,11,8.7,2.8,5.0,38.1,50.3,,1957-11-01,11.5
150,1957,12,7.4,0.0,12.0,22.9,36.5,,1957-12-01,7.4
151,1958,1,6.3,-1.0,15.0,63.3,46.2,,1958-01-01,5.3
152,1958,2,8.2,0.7,12.0,88.0,53.8,,1958-02-01,8.899999999999999
153,1958,3,7.1,-0.5,17.0,24.7,85.2,,1958-03-01,6.6
154,1958,4,11.8,2.1,6.0,12.0,144.6,,1958-04-01,13.9
155,1958,5,15.6,6.4,0.0,51.8,165.5,,1958-05-01,22.0
157,1958,7,19.6,11.1,0.0,158.9,163.9,,1958-07-01,30.700000000000003
158,1958,8,19.7,10.5,0.0,62.1,132.7,,1958-08-01,30.2
159,1958,9,18.3,10.1,0.0,145.2,89.6,,1958-09-01,28.4
160,1958,10,13.6,7.0,0.0,49.6,73.0,,1958-10-01,20.6
161,1958,11,9.1,3.0,6.0,45.1,36.6,,1958-11-01,12.1
162,1958,12,6.8,1.2,6.0,63.2,25.4,,1958-12-01,8.0
163,1959,1,4.2,-3.2,24.0,93.9,77.2,,1959-01-01,1.0
164,1959,2,7.5,1.3,12.0,4.8,49.3,,1959-02-01,8.8
165,1959,3,10.4,3.6,2.0,45.4,80.7,,1959-03-01,14.0
166,1959,4,13.1,4.5,1.0,76.4,151.9,,1959-04-01,17.6
167,1959,5,17.7,6.6,1.0,47.4,214.7,,1959-05-01,24.299999999999997
168,1959,6,19.2,9.3,0.0,61.8,236.7,,1959-06-01,28.5
169,1959,7,21.3,11.6,0.0,37.9,221.0,,1959-07-01,32.9
170,1959,8,21.8,11.5,0.0,19.5,199.3,,1959-08-01,33.3
171,1959,9,20.6,7.7,2.0,7.4,175.3,,1959-09-01,28.3
172,1959,10,16.9,6.8,0.0,56.5,127.0,,1959-10-01,23.7
173,1959,11,9.8,2.7,10.0,58.5,51.7,,1959-11-01,12.5
174,1959,12,8.5,2.2,3.0,110.5,41.5,,1959-12-01,10.7
175,1960,1,6.6,1.1,12.0,101.3,27.7,,1960-01-01,7.699999999999999
176,1960,2,6.9,0.2,13.0,49.4,75.4,,1960-02-01,7.1000000000000005
177,1960,3,9.1,3.0,3.0,34.7,56.6,,1960-03-01,12.1
178,1960,4,13.0,3.5,5.0,36.0,163.1,,1960-04-01,16.5
179,1960,5,17.4,7.6,0.0,41.8,164.0,,1960-05-01,25.0
180,1960,6,21.2,10.4,0.0,55.4,277.6,,1960-06-01,31.6
181,1960,7,19.2,10.7,0.0,84.6,180.0,,1960-07-01,29.9
182,1960,8,18.6,10.2,0.0,97.4,142.5,,1960-08-01,28.8
183,1960,9,16.7,8.4,0.0,116.8,126.1,,1960-09-01,25.1
184,1960,10,12.6,6.7,0.0,106.1,50.6,,1960-10-01,19.3
185,1960,11,9.8,3.2,7.0,100.0,61.6,,1960-11-01,13.0
186,1960,12,6.3,0.2,14.0,66.0,68.2,,1960-12-01,6.5
187,1961,1,6.2,0.1,16.0,65.0,26.9,,1961-01-01,6.3
188,1961,2,10.0,3.7,1.0,38.1,59.6,,1961-02-01,13.7
189,1961,3,12.6,2.7,6.0,7.2,145.5,,1961-03-01,15.3
190,1961,4,13.3,5.4,2.0,82.9,75.1,,1961-04-01,18.700000000000003
191,1961,5,14.9,5.6,1.0,42.9,210.7,,1961-05-01,20.5
192,1961,6,19.0,8.0,0.0,29.1,216.2,,1961-06-01,27.0
193,1961,7,19.0,10.3,0.0,80.1,171.8,,1961-07-01,29.3
194,1961,8,19.2,10.8,0.0,48.8,185.3,,1961-08-01,30.0
195,1961,9,19.1,9.4,0.0,67.9,139.3,,1961-09-01,28.5
196,1961,10,14.1,6.2,1.0,85.6,103.2,,1961-10-01,20.3
197,1961,11,9.2,2.1,9.0,31.0,76.9,,1961-11-01,11.299999999999999
198,1961,12,4.4,-1.9,20.0,72.7,49.2,,1961-12-01,2.5000000000000004
199,1962,1,7.4,0.2,8.0,66.2,66.9,,1962-01-01,7.6000000000000005
200,1962,2,7.7,1.4,10.0,25.6,72.3,,1962-02-01,9.1
201,1962,3,6.8,-2.2,22.0,25.6,134.6,,1962-03-01,4.6
202,1962,4,11.6,2.7,3.0,61.9,161.1,,1962-04-01,14.3
203,1962,5,14.0,5.4,0.0,71.4,163.2,,1962-05-01,19.4
204,1962,6,18.4,8.1,0.0,17.0,232.2,,1962-06-01,26.5
205,1962,7,18.5,10.2,0.0,48.1,141.0,,1962-07-01,28.7
206,1962,8,17.7,9.8,0.0,79.7,160.1,,1962-08-01,27.5
207,1962,9,16.0,8.6,0.0,82.7,106.8,,1962-09-01,24.6
208,1962,10,13.9,5.4,1.0,17.3,88.0,,1962-10-01,19.3
209,1962,11,8.0,1.5,10.0,52.2,40.3,,1962-11-01,9.5
210,1962,12,4.7,-2.1,21.0,47.1,54.6,,1962-12-01,2.6
211,1963,1,-0.1,-6.9,30.0,21.0,73.6,,1963-01-01,-7.0
212,1963,2,1.8,-4.7,27.0,9.8,87.5,,1963-02-01,-2.9000000000000004
213,1963,3,9.7,1.9,8.0,56.8,104.5,,1963-03-01,11.6
214,1963,4,12.2,4.8,0.0,50.8,118.2,,1963-04-01,17.0
215,1963,5,14.7,5.8,0.0,31.0,184.0,,1963-05-01,20.5
216,1963,6,19.5,9.4,0.0,71.0,213.0,,1963-06-01,28.9
217,1963,7,19.5,9.6,0.0,24.8,169.3,,1963-07-01,29.1
218,1963,8,18.2,9.9,0.0,41.0,138.1,,1963-08-01,28.1
219,1963,9,17.2,7.3,0.0,62.9,142.6,,1963-09-01,24.5
220,1963,10,14.3,6.5,0.0,45.3,94.3,,1963-10-01,20.8
221,1963,11,10.6,3.9,6.0,90.8,58.0,,1963-11-01,14.5
222,1963,12,5.5,-0.9,15.0,9.2,55.6,,1963-12-01,4.6
223,1964,1,5.8,-0.6,15.0,10.6,53.1,,1964-01-01,5.2
224,1964,2,7.3,1.1,10.0,19.5,50.1,,1964-02-01,8.4
225,1964,3,6.8,1.0,9.0,63.2,62.3,,1964-03-01,7.8
