,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1957,20.9,0.0,18.741666666666667,1300.4999999999998,650.0,52.0,Shawbury,17.41102140283958,20.27664335664337,-1.737202797202798,1347.2735664335664,657.4613986013987,66.00000000000006
1,1958,19.7,-1.0,16.972727272727273,1016.5,763.9000000000001,62.0,Shawbury,17.454576313837677,20.30636363636365,-1.7042613636363626,1348.0302097902097,657.8853452797205,65.79903846153849
2,1959,21.8,-3.2,19.63333333333333,1626.3000000000002,620.0,55.0,Shawbury,17.49813122483576,20.33608391608393,-1.6713199300699273,1348.7868531468532,658.3092919580421,65.59807692307697
3,1960,21.2,0.2,18.55,1393.3999999999999,889.5,54.0,Shawbury,17.541686135833856,20.36580419580421,-1.638378496503492,1349.5434965034965,658.7332386363638,65.3971153846154
4,1961,19.2,-1.9,18.61666666666667,1459.7,651.3000000000001,56.0,Shawbury,17.585241046831953,20.39552447552449,-1.6054370629370567,1350.3001398601398,659.1571853146854,65.19615384615389
5,1962,18.5,-2.2,16.141666666666666,1421.1,594.8000000000001,75.0,Shawbury,17.628795957830036,20.425244755244762,-1.5724956293706356,1351.0567832167833,659.5811319930071,64.99519230769232
6,1963,19.5,-6.9,15.808333333333335,1438.6999999999996,514.4000000000001,86.0,Shawbury,17.672350868828133,20.454965034965042,-1.5395541958042003,1351.8134265734266,660.0050786713288,64.79423076923081
7,1964,20.0,-1.6,17.658333333333335,1317.1,478.70000000000005,72.0,Shawbury,17.71590577982623,20.484685314685322,-1.506612762237765,1352.5700699300698,660.4290253496505,64.59326923076924
8,1965,19.4,-0.5,16.841666666666665,1243.1,827.4,68.0,Shawbury,17.759460690824326,20.514405594405602,-1.4736713286713297,1353.3267132867134,660.8529720279722,64.39230769230772
9,1966,19.0,0.3,18.091666666666665,1168.3,831.1999999999998,40.0,Shawbury,17.80301560182241,20.544125874125882,-1.4407298951048944,1354.0833566433566,661.2769187062938,64.19134615384621
