,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
559,1929,1,3.8,0.3,12.0,40.5,23.7,,1929-01-01,4.1
560,1929,2,2.6,-2.5,17.0,17.1,16.9,,1929-02-01,0.10000000000000009
562,1929,4,10.1,2.9,3.0,25.9,108.0,,1929-04-01,13.0
563,1929,5,15.9,6.7,0.0,52.1,188.3,,1929-05-01,22.6
564,1929,6,17.3,9.3,0.0,38.0,192.0,,1929-06-01,26.6
565,1929,7,20.9,11.9,0.0,25.3,193.8,,1929-07-01,32.8
566,1929,8,19.1,11.2,0.0,47.7,154.2,,1929-08-01,30.3
567,1929,9,20.1,10.9,0.0,37.3,178.9,,1929-09-01,31.0
568,1929,10,12.7,6.4,0.0,85.9,106.8,,1929-10-01,19.1
569,1929,11,9.4,3.9,4.0,153.2,57.5,,1929-11-01,13.3
570,1929,12,7.8,3.1,2.0,186.2,56.0,,1929-12-01,10.9
571,1930,1,8.1,2.4,6.0,120.5,54.2,,1930-01-01,10.5
572,1930,2,4.4,0.6,12.0,22.2,29.1,,1930-02-01,5.0
573,1930,3,8.1,2.1,9.0,76.2,88.2,,1930-03-01,10.2
574,1930,4,11.0,4.8,0.0,64.5,75.1,,1930-04-01,15.8
575,1930,5,14.1,6.6,0.0,38.3,119.9,,1930-05-01,20.7
576,1930,6,19.7,10.5,0.0,27.1,187.7,,1930-06-01,30.2
577,1930,7,18.6,11.4,0.0,149.4,162.1,,1930-07-01,30.0
578,1930,8,19.9,11.9,0.0,62.3,179.2,,1930-08-01,31.799999999999997
579,1930,9,16.7,10.5,0.0,127.9,111.5,,1930-09-01,27.2
580,1930,10,13.4,7.6,0.0,79.1,123.7,,1930-10-01,21.0
581,1930,11,9.3,3.5,4.0,83.4,67.9,,1930-11-01,12.8
582,1930,12,6.5,1.8,7.0,68.3,16.5,,1930-12-01,8.3
583,1931,1,6.1,1.2,7.0,61.0,48.0,,1931-01-01,7.3
584,1931,2,5.8,1.6,5.0,83.4,44.8,,1931-02-01,7.4
585,1931,3,7.3,-0.3,17.0,5.4,114.1,,1931-03-01,7.0
586,1931,4,10.8,4.7,1.0,83.8,101.2,,1931-04-01,15.5
587,1931,5,15.3,7.2,0.0,78.3,147.9,,1931-05-01,22.5
588,1931,6,17.8,10.5,0.0,111.8,133.9,,1931-06-01,28.3
