,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1929,20.9,-2.5,18.527272727272727,1276.1000000000001,709.2,38.0,Sheffield,18.512135897986962,20.53813772592084,-0.33514070006862795,1185.1801189659118,795.2305879661404,36.70098375657744
1,1930,19.9,0.6,18.625,1215.1000000000001,919.1999999999999,38.0,Sheffield,18.535381761926107,20.55121701331901,-0.31516218555101005,1188.1371897784802,795.4842240856235,36.607671112967864
2,1931,19.2,-0.3,18.058333333333334,1138.2999999999997,927.9,44.0,Sheffield,18.558627625865252,20.564296300717178,-0.29518367103339216,1191.0942605910495,795.7378602051067,36.514358469358314
3,1932,21.0,1.6,18.866666666666667,1060.2,809.4,29.0,Sheffield,18.58187348980439,20.577375588115345,-0.27520515651576716,1194.0513314036189,795.9914963245899,36.42104582574876
4,1933,23.0,0.2,20.35,1368.4,633.8,33.0,Sheffield,18.605119353743536,20.59045487551351,-0.25522664199814926,1197.0084022161873,796.2451324440731,36.327733182139184
5,1934,23.8,1.8,20.325000000000003,1296.5,626.8000000000001,19.0,Sheffield,18.62836521768268,20.603534162911682,-0.23524812748052426,1199.9654730287566,796.4987685635563,36.23442053852963
6,1935,22.4,0.9,19.51666666666667,1418.1999999999998,871.3000000000001,21.0,Sheffield,18.651611081621827,20.61661345030985,-0.21526961296290636,1202.922543841326,796.7524046830393,36.141107894920054
7,1936,20.3,-0.8,18.45,1107.9,774.2999999999998,42.0,Sheffield,18.674856945560965,20.629692737708016,-0.19529109844528136,1205.8796146538944,797.0060408025225,36.047795251310504
8,1937,21.3,0.2,18.833333333333332,1104.3,898.8000000000001,37.0,Sheffield,18.69810280950011,20.642772025106183,-0.17531258392766347,1208.8366854664637,797.2596769220056,35.95448260770095
9,1938,19.7,1.7,20.35,1213.6,789.5999999999999,7.0,Sheffield,18.721348673439255,20.655851312504353,-0.15533406941003847,1211.793756279033,797.5133130414888,35.861169964091374
10,1939,19.9,1.9,19.2,1135.4,936.3000000000001,13.0,Sheffield,18.7445945373784,20.66893059990252,-0.13535555489242057,1214.7508270916014,797.766949160972,35.76785732048182
11,1940,22.4,-3.5,18.200000000000003,1349.6999999999998,765.4,53.0,Sheffield,18.767840401317546,20.682009887300687,-0.11537704037479557,1217.7078979041707,798.0205852804552,35.67454467687227
12,1941,22.4,-1.4,18.075,1142.1,882.0999999999999,46.0,Sheffield,18.791086265256684,20.695089174698854,-0.09539852585717767,1220.66496871674,798.2742213999384,35.581232033262694
13,1942,19.9,-2.4,18.258333333333333,1194.1000000000001,681.1,54.0,Sheffield,18.81433212919583,20.708168462097024,-0.07542001133955978,1223.6220395293085,798.5278575194214,35.48791938965314
14,1943,21.0,2.2,20.291666666666668,1427.1000000000001,661.3,16.0,Sheffield,18.837577993134975,20.72124774949519,-0.05544149682193478,1226.5791103418778,798.7814936389046,35.39460674604359
15,1944,20.8,1.1,19.066666666666666,1088.6999999999998,847.9,26.0,Sheffield,18.86082385707412,20.734327036893358,-0.03546298230431688,1229.5361811544471,799.0351297583877,35.301294102434014
16,1945,20.9,-1.0,21.00833333333333,1243.8999999999999,683.9,23.0,Sheffield,18.884069721013258,20.747406324291525,-0.01548446778669188,1232.4932519670156,799.2887658778709,35.20798145882446
17,1946,20.3,0.6,19.008333333333333,1192.4999999999998,985.6999999999999,37.0,Sheffield,18.907315584952403,20.760485611689695,0.004494046730926016,1235.450322779585,799.5424019973541,35.114668815214884
18,1947,23.9,-3.5,19.150000000000002,1269.9999999999998,771.1,69.0,Sheffield,18.93056144889155,20.773564899087862,0.024472561248551017,1238.4073935921542,799.7960381168373,35.02135617160533
19,1948,19.7,2.3,19.808333333333334,1276.5,736.6,19.0,Sheffield,18.953807312830694,20.78664418648603,0.04445107576616891,1241.3644644047226,800.0496742363205,34.92804352799578
20,1949,21.6,1.9,20.883333333333336,1487.7,713.2,18.0,Sheffield,18.97705317676984,20.799723473884196,0.06442959028379391,1244.321535217292,800.3033103558035,34.834730884386204
21,1950,21.1,-0.3,18.708333333333336,1311.1,774.5,34.0,Sheffield,19.000299040708978,20.812802761282367,0.08440810480141181,1247.2786060298604,800.5569464752866,34.74141824077665
22,1951,20.6,0.9,18.308333333333334,1257.7,937.6999999999999,21.0,Sheffield,19.023544904648123,20.825882048680533,0.1043866193190297,1250.2356768424297,800.8105825947698,34.6481055971671
23,1952,19.9,0.7,18.391666666666666,1246.8000000000002,694.5,35.0,Sheffield,19.046790768587268,20.8389613360787,0.1243651338366547,1253.192747654999,801.064218714253,34.554792953557524
24,1953,20.2,2.0,20.29166666666667,1206.7,598.1999999999999,17.0,Sheffield,19.070036632526413,20.852040623476867,0.1443436483542726,1256.1498184675675,801.3178548337362,34.46148030994797
25,1954,17.7,-0.2,18.25833333333333,1047.8000000000002,983.8,27.0,Sheffield,19.09328249646556,20.865119910875038,0.1643221628718976,1259.1068892801368,801.5714909532194,34.368167666338394
26,1955,22.9,-0.9,18.758333333333336,1348.5,700.1999999999999,54.0,Sheffield,19.116528360404697,20.878199198273204,0.1843006773895155,1262.063960092706,801.8251270727025,34.27485502272884
27,1956,18.7,-1.8,17.86666666666667,1134.9,901.3,43.0,Sheffield,19.139774224343842,20.89127848567137,0.2042791919071405,1265.0210309052745,802.0787631921856,34.18154237911929
28,1957,20.5,2.0,19.991666666666667,1194.4000000000003,733.4999999999999,19.0,Sheffield,19.163020088282988,20.90435777306954,0.2242577064247584,1267.9781017178439,802.3323993116687,34.088229735509714
29,1958,19.6,0.8,18.866666666666664,1088.2,964.4,45.0,Sheffield,19.186265952222133,20.91743706046771,0.2442362209423834,1270.9351725304132,802.5860354311519,33.99491709190016
30,1959,22.4,-0.2,21.333333333333332,1478.5,609.3,25.0,Sheffield,19.20951181616127,20.930516347865876,0.2642147354600013,1273.8922433429816,802.8396715506351,33.90160444829061
31,1960,21.7,1.2,19.675000000000004,1225.1999999999998,1035.2,22.0,Sheffield,19.232757680100416,20.943595635264042,0.2841932499776263,1276.849314155551,803.0933076701183,33.80829180468103
32,1961,19.3,-0.2,19.983333333333334,1389.5,717.9999999999999,22.0,Sheffield,19.25600354403956,20.95667492266221,0.3041717644952442,1279.8063849681203,803.3469437896015,33.71497916107148
33,1962,18.3,-0.6,17.108333333333334,1243.1,688.6,51.0,Sheffield,19.279249407978707,20.96975421006038,0.3241502790128621,1282.7634557806887,803.6005799090846,33.62166651746193
34,1963,19.7,-3.5,16.73333333333333,1129.8,736.8,74.0,Sheffield,19.302495271917852,20.982833497458547,0.3441287935304871,1285.720526593258,803.8542160285676,33.52835387385235
35,1964,19.8,0.4,18.666666666666664,1290.2,643.3000000000001,45.0,Sheffield,19.32574113585699,20.995912784856714,0.364107308048105,1288.6775974058273,804.1078521480508,33.4350412302428
36,1965,19.0,1.0,17.866666666666667,1122.3999999999999,1038.5,43.0,Sheffield,19.348986999796136,21.00899207225488,0.38408582256573,1291.6346682183957,804.361488267534,33.341728586633224
37,1966,19.4,0.6,18.491666666666664,1090.9999999999998,969.0,38.0,Sheffield,19.37223286373528,21.02207135965305,0.4040643370833479,1294.591739030965,804.6151243870172,33.24841594302367
38,1967,21.5,1.8,19.375,1322.4000000000003,802.7,34.0,Sheffield,19.395478727674426,21.035150647051218,0.4240428516009729,1297.5488098435335,804.8687605065004,33.15510329941412
39,1968,19.5,-0.4,18.633333333333336,987.7,876.6,52.0,Sheffield,19.418724591613564,21.048229934449385,0.4440213661185908,1300.5058806561028,805.1223966259835,33.06179065580454
40,1969,21.5,-1.5,18.208333333333332,1241.1000000000001,944.7,65.0,Sheffield,19.44197045555271,21.06130922184755,0.4639998806362158,1303.4629514686721,805.3760327454667,32.96847801219499
41,1970,21.8,0.1,19.249999999999996,1384.8,786.5999999999999,43.0,Sheffield,19.465216319491855,21.074388509245722,0.4839783951538337,1306.4200222812406,805.6296688649497,32.87516536858544
42,1971,22.1,2.3,19.833333333333336,1334.1,770.4000000000001,20.0,Sheffield,19.488462183431,21.08746779664389,0.5039569096714516,1309.37709309381,805.8833049844329,32.78185272497586
43,1972,19.5,1.8,19.336363636363636,1067.9,715.9,10.0,Sheffield,19.511708047370146,21.100547084042056,0.5239354241890766,1312.3341639063792,806.1369411039161,32.68854008136631
44,1973,20.7,2.1,19.516666666666662,1342.6,761.3,31.0,Sheffield,19.534953911309284,21.113626371440223,0.5439139387066945,1315.2912347189476,806.3905772233993,32.59522743775676
45,1974,19.5,2.2,18.89166666666667,1362.9,774.1999999999999,7.0,Sheffield,19.55819977524843,21.126705658838393,0.5638924532243195,1318.248305531517,806.6442133428825,32.50191479414718
46,1975,24.6,1.6,20.0,1477.6,559.3000000000001,27.0,Sheffield,19.581445639187574,21.13978494623656,0.5838709677419374,1321.2053763440863,806.8978494623656,32.40860215053763
47,1976,24.0,0.3,19.775000000000002,1469.0,674.1999999999999,37.0,Sheffield,19.60469150312672,21.152864233634727,0.6038494822595624,1324.1624471566547,807.1514855818488,32.31528950692805
48,1977,19.6,0.4,18.291666666666668,1371.1000000000004,883.6,29.0,Sheffield,19.627937367065858,21.165943521032894,0.6238279967771803,1327.119517969224,807.4051217013318,32.2219768633185
