,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
488,1895,1,4.4,-1.2,21.0,89.6,70.8,,1895-01-01,3.2
489,1895,2,3.1,-4.5,25.0,3.0,109.4,,1895-02-01,-1.4
490,1895,3,10.8,2.6,6.0,52.0,120.8,,1895-03-01,13.4
491,1895,4,13.8,5.5,1.0,66.7,132.3,,1895-04-01,19.3
492,1895,5,19.7,8.1,0.0,8.0,271.8,,1895-05-01,27.799999999999997
493,1895,6,22.5,10.3,0.0,49.0,234.4,,1895-06-01,32.8
494,1895,7,21.3,12.4,0.0,98.0,196.3,,1895-07-01,33.7
495,1895,8,21.6,12.6,0.0,68.4,235.4,,1895-08-01,34.2
496,1895,9,23.6,11.5,0.0,7.2,243.1,,1895-09-01,35.1
497,1895,10,13.4,4.6,7.0,78.6,109.0,,1895-10-01,18.0
498,1895,11,12.4,6.4,0.0,135.0,52.5,,1895-11-01,18.8
499,1895,12,8.2,2.7,4.0,64.4,33.9,,1895-12-01,10.899999999999999
500,1896,1,7.7,2.8,8.0,28.1,35.3,,1896-01-01,10.5
501,1896,2,8.5,1.9,9.0,9.5,80.3,,1896-02-01,10.4
502,1896,3,12.1,5.0,2.0,90.2,107.0,,1896-03-01,17.1
503,1896,4,15.2,5.9,0.0,13.7,135.6,,1896-04-01,21.1
504,1896,5,20.0,7.6,0.0,8.5,267.8,,1896-05-01,27.6
505,1896,6,22.7,12.0,0.0,45.6,244.9,,1896-06-01,34.7
506,1896,7,23.6,12.8,0.0,17.5,242.9,,1896-07-01,36.400000000000006
507,1896,8,21.1,11.4,0.0,65.1,164.3,,1896-08-01,32.5
508,1896,9,17.8,11.0,0.0,170.2,102.1,,1896-09-01,28.8
509,1896,10,12.8,4.8,3.0,77.6,126.9,,1896-10-01,17.6
510,1896,11,8.6,1.7,9.0,21.6,85.0,,1896-11-01,10.299999999999999
511,1896,12,7.6,2.2,9.0,121.2,36.0,,1896-12-01,9.8
512,1897,1,5.4,0.5,14.0,69.1,40.2,,1897-01-01,5.9
513,1897,2,10.1,4.8,2.0,95.9,36.8,,1897-02-01,14.899999999999999
514,1897,3,11.8,4.4,1.0,133.5,120.8,,1897-03-01,16.200000000000003
515,1897,4,12.9,5.0,1.0,53.4,155.4,,1897-04-01,17.9
516,1897,5,17.4,6.5,1.0,36.6,250.0,,1897-05-01,23.9
517,1897,6,21.6,12.1,0.0,50.8,198.7,,1897-06-01,33.7
518,1897,7,24.2,13.0,0.0,28.6,266.7,,1897-07-01,37.2
519,1897,8,21.9,13.2,0.0,111.8,227.7,,1897-08-01,35.099999999999994
520,1897,9,18.4,9.6,0.0,67.9,155.4,,1897-09-01,28.0
521,1897,10,16.2,8.1,0.0,21.6,141.3,,1897-10-01,24.299999999999997
522,1897,11,11.6,5.3,2.0,32.9,52.0,,1897-11-01,16.9
523,1897,12,9.1,3.1,8.0,125.3,75.0,,1897-12-01,12.2
524,1898,1,9.5,5.1,2.0,14.1,22.7,,1898-01-01,14.6
525,1898,2,9.8,2.3,8.0,57.4,88.6,,1898-02-01,12.100000000000001
526,1898,3,9.5,1.5,9.0,17.3,95.3,,1898-03-01,11.0
527,1898,4,14.0,4.4,2.0,42.1,168.8,,1898-04-01,18.4
528,1898,5,15.8,8.0,0.0,113.8,155.6,,1898-05-01,23.8
529,1898,6,19.6,10.4,0.0,24.8,207.5,,1898-06-01,30.0
530,1898,7,23.3,11.9,0.0,14.8,241.2,,1898-07-01,35.2
531,1898,8,23.0,13.0,0.0,31.3,205.4,,1898-08-01,36.0
532,1898,9,22.8,10.5,0.0,24.9,220.0,,1898-09-01,33.3
533,1898,10,16.3,9.6,0.0,126.8,77.5,,1898-10-01,25.9
534,1898,11,11.7,5.0,3.0,117.6,61.8,,1898-11-01,16.7
535,1898,12,11.1,5.5,1.0,91.9,48.1,,1898-12-01,16.6
536,1899,1,9.3,3.4,5.0,101.7,60.3,,1899-01-01,12.700000000000001
537,1899,2,10.0,3.2,7.0,79.6,105.0,,1899-02-01,13.2
538,1899,3,11.3,1.0,16.0,22.4,169.3,,1899-03-01,12.3
539,1899,4,13.2,5.5,0.0,73.7,135.9,,1899-04-01,18.7
540,1899,5,16.6,6.9,0.0,30.0,220.5,,1899-05-01,23.5
541,1899,6,23.1,11.1,0.0,34.9,293.2,,1899-06-01,34.2
542,1899,7,25.0,14.0,0.0,33.8,291.0,,1899-07-01,39.0
543,1899,8,25.7,14.0,0.0,14.6,293.9,,1899-08-01,39.7
544,1899,9,20.3,10.6,0.0,80.5,182.0,,1899-09-01,30.9
545,1899,10,15.8,6.0,1.0,55.6,147.0,,1899-10-01,21.8
546,1899,11,12.5,6.3,1.0,134.7,62.9,,1899-11-01,18.8
547,1899,12,6.8,0.8,13.0,40.2,38.6,,1899-12-01,7.6
548,1900,1,8.4,2.7,4.0,94.8,49.4,,1900-01-01,11.100000000000001
549,1900,2,7.5,1.4,15.0,140.8,73.0,,1900-02-01,8.9
550,1900,3,8.5,1.4,7.0,29.9,80.6,,1900-03-01,9.9
551,1900,4,14.3,4.7,2.0,35.2,185.3,,1900-04-01,19.0
552,1900,5,16.4,7.4,0.0,42.4,196.0,,1900-05-01,23.799999999999997
553,1900,6,20.7,11.2,0.0,72.7,202.3,,1900-06-01,31.9
554,1900,7,24.6,14.2,0.0,27.3,280.1,,1900-07-01,38.8
555,1900,8,21.9,12.4,0.0,88.7,223.8,,1900-08-01,34.3
556,1900,9,21.2,9.6,0.0,26.8,200.1,,1900-09-01,30.799999999999997
557,1900,10,15.4,7.3,0.0,60.4,118.8,,1900-10-01,22.7
558,1900,11,11.6,5.6,2.0,83.6,61.0,,1900-11-01,17.2
559,1900,12,10.8,5.7,1.0,99.6,25.8,,1900-12-01,16.5
560,1901,1,7.4,1.5,11.0,36.1,58.7,,1901-01-01,8.9
