,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1895,23.6,-4.5,20.483333333333334,1809.7,719.9,64.0,Southampton
1,1896,23.6,1.7,21.400000000000002,1628.1000000000001,668.8000000000001,40.0,Southampton
2,1897,24.2,0.5,22.183333333333337,1720.0,827.4,29.0,Southampton
3,1898,23.3,1.5,22.8,1592.5,676.8,25.0,Southampton
4,1899,25.7,0.8,22.700000000000003,1999.6,701.7,43.0,Southampton
5,1900,24.6,1.4,22.075,1696.1999999999998,802.2,31.0,Southampton
6,1901,24.3,0.1,20.84166666666667,1806.4999999999998,718.0999999999999,57.0,Southampton
7,1902,22.2,0.3,20.625,1506.8999999999999,697.5,37.0,Southampton
8,1903,21.6,2.0,21.649999999999995,1625.6,1097.6,28.0,Southampton
9,1904,23.3,2.0,21.23333333333333,1670.7,787.7,36.0,Southampton
10,1905,24.7,1.1,21.233333333333334,1654.7,665.1,36.0,Southampton
11,1906,23.1,1.2,21.691666666666666,1891.5000000000002,840.5000000000001,36.0,Southampton
12,1907,20.7,0.6,20.86666666666667,1708.5,782.7,32.0,Southampton
13,1908,21.8,0.6,21.183333333333334,1787.4000000000003,707.4000000000001,30.0,Southampton
14,1909,22.3,0.2,19.491666666666667,1747.5,917.0,54.0,Southampton
15,1910,20.0,1.5,20.98333333333333,1516.9,854.4,35.0,Southampton
16,1911,25.6,1.6,22.333333333333332,1913.9000000000003,772.6000000000001,29.0,Southampton
17,1912,21.3,3.0,21.125,1373.6999999999998,947.5,18.0,Southampton
18,1913,20.8,2.6,21.899999999999995,1418.4,812.6000000000001,22.0,Southampton
19,1914,22.3,1.2,21.89166666666667,1748.8000000000002,939.5,33.0,Southampton
20,1915,21.5,1.0,20.45833333333333,1629.2,1058.0,38.0,Southampton
21,1916,22.2,0.3,20.845454545454547,1350.1000000000001,881.8000000000001,32.0,Southampton
22,1917,21.7,-0.8,18.95,1591.4999999999998,763.1,72.0,Southampton
23,1918,21.2,1.9,21.25,1743.8000000000002,815.3,32.0,Southampton
24,1919,22.6,0.5,18.163636363636364,1504.3,782.1000000000001,56.0,Southampton
25,1920,19.5,2.3,21.008333333333333,1436.6000000000001,802.5999999999999,28.0,Southampton
26,1921,25.3,1.4,22.229999999999997,1444.6999999999998,348.4,25.0,Southampton
27,1922,20.2,2.1,19.75,1640.5000000000005,874.3000000000002,38.0,Southampton
28,1923,23.2,-0.1,20.51,1438.8000000000002,584.3,42.0,Southampton
29,1924,20.1,0.1,19.845454545454544,1551.6000000000001,914.8000000000001,47.0,Southampton
30,1925,22.7,1.6,20.433333333333334,1832.1999999999998,923.4,40.0,Southampton
31,1926,22.1,2.0,22.13636363636364,1469.1999999999996,691.3000000000001,19.0,Southampton
32,1927,20.2,1.0,20.499999999999996,1537.6000000000001,957.7,37.0,Southampton
33,1928,23.3,0.9,21.450000000000003,1765.7,910.9,25.0,Southampton
34,1929,23.1,-2.5,20.175,1870.6999999999998,841.7,56.0,Southampton
35,1930,21.2,0.8,21.39090909090909,1436.5000000000002,831.5,32.0,Southampton
36,1931,19.5,1.1,19.833333333333332,1356.1000000000001,793.2999999999998,42.0,Southampton
37,1932,22.7,0.6,20.400000000000002,1279.0,834.7000000000002,38.0,Southampton
38,1933,23.8,-1.0,21.28333333333333,1841.8999999999999,600.1,51.0,Southampton
39,1934,23.2,-0.8,21.47272727272727,1567.6000000000001,560.6,44.0,Southampton
40,1935,23.7,2.4,21.383333333333336,1579.4,1047.1,21.0,Southampton
41,1936,21.5,0.7,20.5,1321.6000000000001,832.0,27.0,Southampton
42,1937,23.0,1.5,21.283333333333335,1516.0999999999997,983.7,33.0,Southampton
43,1938,21.8,2.3,21.816666666666666,1489.2,690.4999999999999,17.0,Southampton
44,1939,21.6,0.9,21.09090909090909,1518.0,789.0,20.0,Southampton
45,1940,23.1,-2.7,21.554545454545455,1739.9,739.9,45.0,Southampton
46,1941,19.9,3.1,22.64,595.4000000000001,271.5,9.0,Southampton
