,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
673,1929,1,5.4,0.1,14.0,46.8,47.8,,1929-01-01,5.5
674,1929,2,5.8,1.2,12.0,36.6,66.2,,1929-02-01,7.0
675,1929,3,10.6,2.2,11.0,22.3,130.9,,1929-03-01,12.8
676,1929,4,9.0,2.1,3.0,40.5,196.4,,1929-04-01,11.1
677,1929,5,12.8,5.5,1.0,56.5,236.4,,1929-05-01,18.3
678,1929,6,13.2,7.4,0.0,82.8,136.8,,1929-06-01,20.6
679,1929,7,15.9,9.9,0.0,74.0,102.5,,1929-07-01,25.8
680,1929,8,15.3,9.2,0.0,148.2,121.1,,1929-08-01,24.5
681,1929,9,14.1,8.9,0.0,157.2,85.0,,1929-09-01,23.0
682,1929,10,10.3,5.1,1.0,193.3,78.0,,1929-10-01,15.4
683,1929,11,8.5,4.2,3.0,156.0,55.2,,1929-11-01,12.7
684,1929,12,7.4,2.8,0.0,196.3,22.0,,1929-12-01,10.2
685,1930,1,6.5,2.0,5.0,168.2,29.7,,1930-01-01,8.5
686,1930,2,6.1,0.8,6.0,18.8,75.2,,1930-02-01,6.8999999999999995
687,1930,3,6.7,-0.2,19.0,77.9,122.4,,1930-03-01,6.5
688,1930,4,10.2,3.7,3.0,50.6,184.8,,1930-04-01,13.899999999999999
689,1930,5,11.9,5.3,2.0,63.1,218.0,,1930-05-01,17.2
690,1930,6,16.0,9.0,0.0,66.1,231.0,,1930-06-01,25.0
691,1930,7,15.5,10.0,0.0,37.3,115.8,,1930-07-01,25.5
692,1930,8,15.8,10.8,0.0,121.9,99.9,,1930-08-01,26.6
693,1930,9,14.6,8.5,0.0,64.0,91.5,,1930-09-01,23.1
694,1930,10,11.1,6.3,0.0,182.1,66.6,,1930-10-01,17.4
695,1930,11,8.2,2.3,4.0,136.0,45.5,,1930-11-01,10.5
696,1930,12,8.0,3.4,2.0,123.6,24.7,,1930-12-01,11.4
697,1931,1,6.9,1.9,4.0,194.0,32.4,,1931-01-01,8.8
698,1931,2,6.5,1.4,5.0,177.0,63.7,,1931-02-01,7.9
699,1931,3,6.6,0.8,9.0,38.9,147.5,,1931-03-01,7.3999999999999995
700,1931,4,9.4,3.8,1.0,85.1,133.8,,1931-04-01,13.2
701,1931,5,11.8,6.4,0.0,93.5,170.8,,1931-05-01,18.200000000000003
702,1931,6,13.3,8.3,0.0,80.2,154.3,,1931-06-01,21.6
703,1931,7,15.3,10.4,0.0,52.6,104.1,,1931-07-01,25.700000000000003
704,1931,8,16.1,9.5,0.0,35.1,177.9,,1931-08-01,25.6
705,1931,9,14.0,7.9,0.0,42.1,92.9,,1931-09-01,21.9
706,1931,10,11.7,5.9,1.0,126.8,69.1,,1931-10-01,17.6
707,1931,11,10.6,6.1,0.0,123.9,44.8,,1931-11-01,16.7
708,1931,12,9.4,4.5,2.0,144.5,10.6,,1931-12-01,13.9
709,1932,1,9.3,3.5,4.0,265.5,20.0,,1932-01-01,12.8
710,1932,2,8.4,3.6,1.0,15.0,67.8,,1932-02-01,12.0
711,1932,3,8.2,2.5,5.0,74.9,74.8,,1932-03-01,10.7
712,1932,4,8.8,2.0,2.0,98.4,142.6,,1932-04-01,10.8
713,1932,5,11.4,5.7,0.0,38.2,173.8,,1932-05-01,17.1
714,1932,6,14.8,8.2,0.0,39.6,166.4,,1932-06-01,23.0
715,1932,7,15.9,10.5,0.0,71.5,143.5,,1932-07-01,26.4
716,1932,8,16.1,10.5,0.0,116.2,131.6,,1932-08-01,26.6
717,1932,9,13.6,7.8,0.0,120.9,93.4,,1932-09-01,21.4
718,1932,10,10.6,5.1,0.0,136.6,56.1,,1932-10-01,15.7
719,1932,11,9.5,4.1,0.0,116.4,46.3,,1932-11-01,13.6
720,1932,12,8.4,3.0,5.0,97.6,31.6,,1932-12-01,11.4
721,1933,1,7.2,2.4,5.0,144.1,38.3,,1933-01-01,9.6
722,1933,2,6.4,1.5,7.0,87.0,58.4,,1933-02-01,7.9
723,1933,3,9.6,4.3,1.0,55.4,88.4,,1933-03-01,13.899999999999999
724,1933,4,10.0,5.0,0.0,72.3,104.7,,1933-04-01,15.0
725,1933,5,12.5,6.8,0.0,23.4,196.6,,1933-05-01,19.3
726,1933,6,16.1,9.8,0.0,52.1,201.9,,1933-06-01,25.900000000000002
727,1933,7,18.1,12.3,0.0,63.3,126.9,,1933-07-01,30.400000000000002
728,1933,8,16.8,11.2,0.0,154.5,158.8,,1933-08-01,28.0
729,1933,9,15.6,10.3,0.0,22.8,155.3,,1933-09-01,25.9
730,1933,10,11.6,7.0,0.0,121.9,41.8,,1933-10-01,18.6
731,1933,11,9.2,4.7,0.0,45.3,50.8,,1933-11-01,13.899999999999999
732,1933,12,7.8,4.0,0.0,40.3,30.7,,1933-12-01,11.8
733,1934,1,8.5,3.7,0.0,162.5,28.1,,1934-01-01,12.2
734,1934,2,8.6,4.8,3.0,65.9,43.7,,1934-02-01,13.399999999999999
735,1934,3,7.2,1.8,3.0,76.8,145.6,,1934-03-01,9.0
736,1934,4,8.2,3.3,1.0,94.7,117.3,,1934-04-01,11.5
737,1934,5,11.4,5.5,0.0,66.2,150.5,,1934-05-01,16.9
738,1934,6,14.0,8.6,0.0,48.1,228.3,,1934-06-01,22.6
739,1934,7,17.0,11.3,0.0,132.4,167.4,,1934-07-01,28.3
740,1934,8,15.5,11.4,0.0,119.6,99.5,,1934-08-01,26.9
741,1934,9,14.6,9.5,0.0,139.9,125.3,,1934-09-01,24.1
742,1934,10,11.1,6.0,1.0,169.0,70.8,,1934-10-01,17.1
743,1934,11,8.6,4.0,0.0,59.8,52.3,,1934-11-01,12.6
744,1934,12,9.1,6.1,0.0,88.7,16.8,,1934-12-01,15.2
745,1935,1,8.1,3.8,1.0,127.8,23.0,,1935-01-01,11.899999999999999
746,1935,2,7.3,2.4,4.0,116.3,51.9,,1935-02-01,9.7
747,1935,3,9.1,3.8,0.0,95.7,149.8,,1935-03-01,12.899999999999999
748,1935,4,8.9,3.5,2.0,58.6,137.4,,1935-04-01,12.4
749,1935,5,11.9,5.9,1.0,42.1,274.3,,1935-05-01,17.8
750,1935,6,14.2,8.9,0.0,67.5,174.7,,1935-06-01,23.1
751,1935,7,16.0,10.6,0.0,62.0,147.8,,1935-07-01,26.6
752,1935,8,16.3,11.0,0.0,92.2,82.9,,1935-08-01,27.3
753,1935,9,14.2,9.2,0.0,171.7,117.3,,1935-09-01,23.4
754,1935,10,10.5,5.7,0.0,191.2,55.7,,1935-10-01,16.2
755,1935,11,9.0,4.7,0.0,84.4,53.2,,1935-11-01,13.7
756,1935,12,5.7,2.1,2.0,70.3,53.6,,1935-12-01,7.800000000000001
757,1936,1,5.3,1.2,7.0,72.5,43.1,,1936-01-01,6.5
758,1936,2,6.3,1.5,4.0,57.0,80.9,,1936-02-01,7.8
759,1936,3,8.5,3.6,2.0,39.8,91.5,,1936-03-01,12.1
760,1936,4,8.6,2.7,4.0,49.8,162.4,,1936-04-01,11.3
761,1936,5,12.7,6.8,0.0,29.9,212.2,,1936-05-01,19.5
762,1936,6,15.3,8.5,0.0,23.2,241.1,,1936-06-01,23.8
763,1936,7,16.4,11.0,0.0,86.6,163.1,,1936-07-01,27.4
764,1936,8,16.2,11.4,0.0,81.3,98.0,,1936-08-01,27.6
765,1936,9,15.0,9.9,0.0,112.1,104.3,,1936-09-01,24.9
766,1936,10,12.2,6.6,0.0,127.6,97.6,,1936-10-01,18.799999999999997
