,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1929,15.9,0.1,15.574999999999998,1278.3000000000002,1210.5,45.0,Stornoway_Airport,16.25330795948504,16.142896362388466,0.34225577671013596,1268.6962708762303,1068.6529855868216,35.535804163806915
1,1930,16.0,-0.2,16.041666666666668,1305.1000000000001,1109.6,41.0,Stornoway_Airport,16.266714095688165,16.148976455492225,0.35573642485551815,1267.3589279142175,1070.7297439646677,35.43042085683308
2,1931,16.1,0.8,16.541666666666668,1201.8999999999999,1193.7,22.0,Stornoway_Airport,16.280120231891296,16.15505654859598,0.3692170730009039,1266.021584952205,1072.8065023425138,35.325037549859246
3,1932,16.1,2.0,16.791666666666664,1147.8999999999999,1190.8,17.0,Stornoway_Airport,16.293526368094422,16.161136641699738,0.38269772114628964,1264.6842419901927,1074.8832607203599,35.21965424288541
4,1933,18.1,1.5,18.35,1252.6,882.3999999999997,13.0,Stornoway_Airport,16.30693250429755,16.167216734803496,0.3961783692916754,1263.3468990281804,1076.960019098206,35.11427093591158
5,1934,17.0,1.8,17.48333333333333,1245.6,1223.6,8.0,Stornoway_Airport,16.32033864050068,16.17329682790725,0.4096590174370611,1262.0095560661675,1079.036777476052,35.00888762893777
6,1935,16.3,2.1,16.9,1321.6000000000001,1179.8,10.0,Stornoway_Airport,16.333744776703806,16.179376921011006,0.42313966558244687,1260.6722131041552,1081.1135358538982,34.903504321963936
7,1936,16.4,1.2,17.066666666666666,1331.4999999999998,987.5999999999999,19.0,Stornoway_Airport,16.347150912906937,16.185457014114764,0.43662031372782906,1259.3348701421428,1083.1902942317442,34.7981210149901
8,1937,15.8,0.6,16.808333333333334,1197.6000000000001,907.2,23.0,Stornoway_Airport,16.360557049110064,16.191537107218522,0.4501009618732148,1257.9975271801304,1085.2670526095903,34.69273770801627
9,1938,16.8,2.6,17.61666666666667,1160.2,1358.5000000000002,8.0,Stornoway_Airport,16.37396318531319,16.197617200322277,0.46358161001860054,1256.660184218118,1087.3438109874364,34.58735440104243
10,1939,17.0,1.6,17.575,1300.3,1091.6,11.0,Stornoway_Airport,16.38736932151632,16.203697293426035,0.4770622581639863,1255.3228412561052,1089.4205693652825,34.4819710940686
11,1940,16.7,1.8,16.791666666666668,1170.6000000000001,1021.5999999999999,21.0,Stornoway_Airport,16.400775457719448,16.209777386529794,0.49054290630937203,1253.9854982940928,1091.4973277431286,34.37658778709479
12,1941,15.9,0.8,16.325,1220.4,884.7,28.0,Stornoway_Airport,16.414181593922578,16.21585747963355,0.5040235544547542,1252.6481553320805,1093.5740861209747,34.27120448012096
13,1942,15.3,1.2,16.599999999999998,1114.7,1141.0,23.0,Stornoway_Airport,16.427587730125705,16.221937572737307,0.51750420260014,1251.310812370068,1095.6508444988208,34.16582117314712
14,1943,15.7,2.5,17.3,1067.7,1281.2999999999997,12.0,Stornoway_Airport,16.44099386632883,16.228017665841065,0.5309848507455257,1249.9734694080553,1097.7276028766669,34.06043786617329
15,1944,17.6,1.4,16.566666666666666,1039.7,1085.3000000000002,34.0,Stornoway_Airport,16.454400002531962,16.23409775894482,0.5444654988909114,1248.636126446043,1099.804361254513,33.95505455919945
16,1945,17.0,-2.3,18.083333333333332,1128.1999999999998,963.5,35.0,Stornoway_Airport,16.46780613873509,16.24017785204858,0.5579461470362972,1247.2987834840305,1101.881119632359,33.84967125222565
17,1946,15.6,1.3,16.675,1321.6000000000001,1077.1000000000001,33.0,Stornoway_Airport,16.48121227493822,16.246257945152337,0.5714267951816829,1245.9614405220182,1103.9578780102051,33.74428794525181
18,1947,19.4,-2.1,16.05,1281.9,1014.6000000000001,57.0,Stornoway_Airport,16.494618411141346,16.25233803825609,0.5849074433270651,1244.6240975600058,1106.0346363880512,33.63890463827798
19,1948,15.9,0.2,16.974999999999998,1240.3999999999999,1242.8,41.0,Stornoway_Airport,16.508024547344473,16.258418131359846,0.5983880914724509,1243.286754597993,1108.1113947658973,33.533521331304144
20,1949,17.3,1.3,17.750000000000004,1277.5,1245.6999999999998,28.0,Stornoway_Airport,16.521430683547603,16.264498224463605,0.6118687396178366,1241.9494116359806,1110.1881531437434,33.42813802433031
21,1950,17.0,-0.7,16.441666666666666,1295.6000000000001,1227.7,42.0,Stornoway_Airport,16.53483681975073,16.270578317567363,0.6253493877632224,1240.6120686739682,1112.2649115215895,33.322754717356474
22,1951,15.4,-0.2,15.491666666666667,1292.2,1056.0,52.0,Stornoway_Airport,16.54824295595386,16.276658410671118,0.6388300359086081,1239.2747257119559,1114.3416698994356,33.21737141038267
23,1952,15.9,-0.3,15.816666666666665,1156.5,1133.8,42.0,Stornoway_Airport,16.561649092156987,16.282738503774876,0.6523106840539903,1237.937382749943,1116.4184282772817,33.111988103408834
24,1953,16.3,2.3,18.366666666666667,1190.6000000000001,1050.3,22.0,Stornoway_Airport,16.575055228360114,16.288818596878635,0.665791332199376,1236.6000397879307,1118.4951866551278,33.006604796435
25,1954,15.0,1.6,16.2,1249.1000000000001,1190.4,30.0,Stornoway_Airport,16.588461364563244,16.29489868998239,0.6792719803447618,1235.2626968259183,1120.5719450329739,32.901221489461165
26,1955,18.2,-2.1,16.266666666666662,1407.8999999999999,876.0,54.0,Stornoway_Airport,16.60186750076637,16.300978783086148,0.6927526284901475,1233.925353863906,1122.64870341082,32.79583818248733
27,1956,15.8,0.3,16.091666666666665,1243.2999999999997,1081.9,35.0,Stornoway_Airport,16.6152736369695,16.307058876189906,0.7062332766355333,1232.5880109018935,1124.725461788666,32.690454875513524
28,1957,15.6,1.2,16.833333333333336,1213.3999999999999,1202.0,30.0,Stornoway_Airport,16.628679773172628,16.31313896929366,0.719713924780919,1231.2506679398807,1126.8022201665121,32.58507156853969
29,1958,16.3,-0.1,16.400000000000002,1266.4999999999998,962.0,42.0,Stornoway_Airport,16.64208590937576,16.319219062397416,0.7331945729263012,1229.9133249778683,1128.8789785443582,32.479688261565855
30,1959,16.5,-0.8,18.0,1311.6000000000001,1240.8,33.0,Stornoway_Airport,16.655492045578885,16.325299155501177,0.7466752210716869,1228.575982015856,1130.9557369222043,32.37430495459202
31,1960,16.3,0.1,17.10833333333333,1387.2999999999997,954.3000000000001,44.0,Stornoway_Airport,16.668898181782012,16.331379248604932,0.7601558692170727,1227.2386390538436,1133.0324953000504,32.268921647618185
32,1961,15.5,-1.1,16.525,1254.6999999999998,1192.8999999999999,52.0,Stornoway_Airport,16.682304317985142,16.337459341708687,0.7736365173624584,1225.9012960918308,1135.1092536778965,32.16353834064435
33,1962,14.9,-0.6,15.441666666666665,1330.3999999999996,1144.5,53.0,Stornoway_Airport,16.69571045418827,16.343539434812445,0.7871171655078442,1224.5639531298184,1137.1860120557426,32.058155033670545
34,1963,15.3,-0.5,15.450000000000001,1341.3,899.4000000000001,52.0,Stornoway_Airport,16.7091165903914,16.349619527916204,0.8005978136532264,1223.226610167806,1139.2627704335887,31.95277172669671
35,1964,15.2,0.6,16.55,1149.0,1143.7,35.0,Stornoway_Airport,16.722522726594526,16.35569962101996,0.8140784617986121,1221.8892672057937,1141.3395288114348,31.847388419722876
36,1965,15.2,0.4,15.341666666666669,1123.0,1111.4,52.0,Stornoway_Airport,16.735928862797653,16.361779714123717,0.8275591099439978,1220.5519242437813,1143.4162871892809,31.74200511274904
37,1966,15.9,0.6,15.700000000000001,1219.7,1097.6,49.0,Stornoway_Airport,16.749334999000784,16.367859807227475,0.8410397580893836,1219.2145812817685,1145.493045567127,31.636621805775206
38,1967,16.1,1.7,16.375,1234.4,1317.9,36.0,Stornoway_Airport,16.76274113520391,16.37393990033123,0.8545204062347693,1217.877238319756,1147.569803944973,31.531238498801372
39,1968,16.2,-1.1,16.025,1420.3,800.0000000000001,59.0,Stornoway_Airport,16.77614727140704,16.38001999343499,0.8680010543801551,1216.5398953577437,1149.6465623228191,31.425855191827566
40,1969,16.7,-1.2,15.525,1271.9,1034.0,68.0,Stornoway_Airport,16.789553407610168,16.386100086538747,0.8814817025255373,1215.2025523957313,1151.7233207006652,31.32047188485373
41,1970,17.3,-1.8,15.383333333333333,1248.9,1150.3000000000002,63.0,Stornoway_Airport,16.802959543813294,16.3921801796425,0.894962350670923,1213.8652094337185,1153.8000790785113,31.215088577879897
42,1971,15.6,2.1,16.991666666666667,1213.9,1126.3,35.0,Stornoway_Airport,16.816365680016425,16.398260272746256,0.9084429988163087,1212.5278664717061,1155.8768374563574,31.109705270906062
43,1972,15.5,1.8,15.925000000000002,1166.0,907.7,45.0,Stornoway_Airport,16.82977181621955,16.404340365850018,0.9219236469616945,1211.1905235096938,1157.9535958342035,31.004321963932227
44,1973,16.5,0.6,15.816666666666665,1138.3999999999999,1186.1000000000001,52.0,Stornoway_Airport,16.843177952422682,16.410420458953773,0.9354042951070802,1209.8531805476814,1160.0303542120496,30.89893865695842
45,1974,15.9,2.7,16.575,1341.1000000000001,1208.2,13.0,Stornoway_Airport,16.85658408862581,16.416500552057528,0.9488849432524624,1208.515837585669,1162.1071125898957,30.793555349984587
46,1975,17.2,1.5,16.525000000000002,1371.7,1020.5,27.0,Stornoway_Airport,16.869990224828936,16.422580645161286,0.9623655913978482,1207.1784946236562,1164.1838709677418,30.688172043010752
47,1976,18.1,0.9,16.94166666666667,1324.0,1093.7,36.0,Stornoway_Airport,16.883396361032066,16.428660738265044,0.9758462395432339,1205.8411516616438,1166.2606293455879,30.582788736036917
48,1977,16.2,1.0,15.899999999999999,1419.0,1103.1000000000001,40.0,Stornoway_Airport,16.896802497235193,16.4347408313688,0.9893268876886196,1204.5038086996315,1168.337387723434,30.477405429063083
49,1978,14.7,0.0,15.950000000000003,1124.5,1154.8,47.0,Stornoway_Airport,16.910208633438323,16.440820924472558,1.0028075358340054,1203.166465737619,1170.41414610128,30.37202212208925
50,1979,14.6,-1.5,14.375000000000002,1131.0,1210.5,62.0,Stornoway_Airport,16.92361476964145,16.446901017576316,1.0162881839793911,1201.8291227756063,1172.4909044791261,30.266638815115442
51,1980,15.5,1.9,16.516666666666662,1133.4999999999998,1222.8,24.0,Stornoway_Airport,16.937020905844577,16.45298111068007,1.0297688321247733,1200.491779813594,1174.5676628569722,30.161255508141608
52,1981,15.8,0.2,15.608333333333333,1137.0,1346.9,42.0,Stornoway_Airport,16.950427042047707,16.45906120378383,1.043249480270159,1199.1544368515815,1176.6444212348183,30.055872201167773
53,1982,17.0,1.8,16.650000000000002,1280.7000000000003,1413.0,28.0,Stornoway_Airport,16.963833178250834,16.465141296887587,1.0567301284155448,1197.8170938895692,1178.7211796126644,29.95048889419394
54,1983,17.2,0.0,16.433333333333334,1158.9999999999998,1259.2,34.0,Stornoway_Airport,16.977239314453964,16.471221389991342,1.0702107765609306,1196.4797509275568,1180.7979379905105,29.845105587220104
55,1984,17.4,-0.4,16.7,1170.0000000000002,1072.3000000000002,29.0,Stornoway_Airport,16.99064545065709,16.477301483095097,1.0836914247063163,1195.142407965544,1182.8746963683566,29.739722280246298
56,1985,15.6,0.7,15.516666666666667,1243.2,1241.2,41.0,Stornoway_Airport,17.004051586860218,16.48338157619886,1.0971720728516985,1193.8050650035316,1184.9514547462027,29.634338973272463
57,1986,15.2,-0.8,15.233333333333334,1277.1,1303.0,31.0,Stornoway_Airport,17.017457723063348,16.489461669302614,1.1106527209970842,1192.4677220415192,1187.0282131240488,29.52895566629863
58,1987,15.3,0.8,15.741666666666667,1209.7999999999997,1050.8999999999999,40.0,Stornoway_Airport,17.030863859266475,16.49554176240637,1.12413336914247,1191.1303790795068,1189.1049715018949,29.423572359324794
59,1988,15.2,2.0,17.058333333333334,1042.6,1295.2,21.0,Stornoway_Airport,17.044269995469605,16.501621855510127,1.1376140172878557,1189.793036117494,1191.181729879741,29.31818905235096
60,1989,17.0,1.7,16.908333333333335,1211.1999999999998,1478.7,18.0,Stornoway_Airport,17.057676131672732,16.507701948613885,1.1510946654332415,1188.4556931554816,1193.258488257587,29.212805745377125
61,1990,16.7,2.0,17.275,1180.0000000000002,1543.5,19.0,Stornoway_Airport,17.07108226787586,16.51378204171764,1.1645753135786272,1187.1183501934693,1195.3352466354331,29.10742243840332
62,1991,17.3,1.1,17.166666666666668,1122.2,1072.8,16.0,Stornoway_Airport,17.08448840407899,16.5198621348214,1.1780559617240094,1185.781007231457,1197.4120050132792,29.002039131429484
63,1992,15.9,2.2,16.966666666666665,1102.1999999999998,1447.1999999999998,16.0,Stornoway_Airport,17.097894540282116,16.525942227925157,1.1915366098693951,1184.443664269444,1199.4887633911253,28.89665582445565
64,1993,14.6,1.5,16.150000000000002,1013.3,1118.1000000000001,23.0,Stornoway_Airport,17.111300676485246,16.53202232102891,1.2050172580147809,1183.1063213074317,1201.5655217689714,28.791272517481815
65,1994,16.4,1.8,16.416666666666668,1297.8999999999999,1287.8000000000002,21.0,Stornoway_Airport,17.124706812688373,16.53810241413267,1.2184979061601666,1181.7689783454193,1203.6422801468175,28.68588921050798
66,1995,17.9,0.9,16.625,1288.8999999999999,1232.8,43.0,Stornoway_Airport,17.138112948891504,16.544182507236428,1.2319785543055524,1180.431635383407,1205.7190385246636,28.580505903534174
67,1996,16.0,1.1,16.491666666666667,1193.7,1099.5,37.0,Stornoway_Airport,17.15151908509463,16.550262600340183,1.2454592024509346,1179.0942924213946,1207.7957969025097,28.47512259656034
68,1997,18.7,2.0,18.433333333333334,1313.6,1170.8000000000002,13.0,Stornoway_Airport,17.164925221297757,16.556342693443938,1.2589398505963203,1177.7569494593818,1209.8725552803558,28.369739289586505
69,1998,15.7,3.2,17.325,1242.3,1380.3999999999999,25.0,Stornoway_Airport,17.178331357500888,16.5624227865477,1.272420498741706,1176.4196064973694,1211.9493136582018,28.26435598261267
70,1999,16.4,1.3,17.333333333333332,1297.5,1547.0,25.0,Stornoway_Airport,17.191737493704014,16.568502879651454,1.2859011468870918,1175.082263535357,1214.026072036048,28.158972675638836
71,2000,16.5,2.3,17.34166666666667,1338.0,1377.5999999999997,17.0,Stornoway_Airport,17.205143629907145,16.57458297275521,1.2993817950324775,1173.7449205733446,1216.1028304138931,28.053589368665
72,2001,16.8,1.0,16.95,1361.9,978.1,29.0,Stornoway_Airport,17.21854976611027,16.580663065858968,1.3128624431778633,1172.4075776113318,1218.1795887917392,27.948206061691195
73,2002,16.4,1.9,18.425,1174.4000000000003,1091.3999999999999,16.0,Stornoway_Airport,17.2319559023134,16.586743158962726,1.3263430913232455,1171.0702346493194,1220.2563471695853,27.84282275471736
74,2003,17.8,2.3,18.418181818181814,1007.1,912.8000000000001,25.0,Stornoway_Airport,17.24536203851653,16.59282325206648,1.3398237394686312,1169.732891687307,1222.3331055474314,27.737439447743526
75,2004,17.3,1.6,18.054545454545455,890.6000000000001,1157.0,22.0,Stornoway_Airport,17.258768174719656,16.59890334517024,1.353304387614017,1168.3955487252947,1224.4098639252775,27.63205614076969
76,2005,16.2,2.1,18.025000000000002,997.9,1273.8,12.0,Stornoway_Airport,17.272174310922786,16.604983438273997,1.3667850357594027,1167.0582057632823,1226.4866223031236,27.526672833795857
77,2006,18.2,2.0,19.008333333333333,998.6000000000001,1256.8999999999999,13.0,Stornoway_Airport,17.285580447125913,16.611063531377752,1.3802656839047884,1165.7208628012695,1228.5633806809697,27.421289526822022
78,2007,15.9,3.4,19.12727272727273,1120.0,1104.8,9.0,Stornoway_Airport,17.29898658332904,16.61714362448151,1.3937463320501706,1164.3835198392571,1230.6401390588157,27.315906219848216
79,2008,17.0,2.0,17.491666666666667,1240.1,1229.1999999999998,22.0,Stornoway_Airport,17.31239271953217,16.62322371758527,1.4072269801955564,1163.0461768772448,1232.7168974366618,27.21052291287438
