,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
31,1961,1,6.1,0.5,13.0,58.3,29.2,,1961-01-01,6.6
32,1961,2,9.9,3.8,1.0,41.3,55.7,,1961-02-01,13.7
33,1961,3,13.1,3.3,2.0,7.0,139.6,,1961-03-01,16.4
34,1961,4,13.9,5.8,0.0,74.5,77.2,,1961-04-01,19.7
35,1961,5,15.1,5.4,3.0,17.1,188.9,,1961-05-01,20.5
36,1961,6,19.8,8.7,0.0,20.0,223.6,,1961-06-01,28.5
37,1961,7,19.3,10.3,0.0,51.4,157.4,,1961-07-01,29.6
38,1961,8,19.9,10.8,0.0,74.9,184.0,,1961-08-01,30.7
39,1961,9,19.7,10.2,0.0,31.7,129.5,,1961-09-01,29.9
40,1961,10,14.5,6.6,1.0,47.8,110.8,,1961-10-01,21.1
41,1961,11,9.2,2.7,6.0,44.8,60.0,,1961-11-01,11.899999999999999
44,1962,2,7.4,1.1,10.0,16.6,63.1,,1962-02-01,8.5
45,1962,3,6.4,-1.7,21.0,28.5,98.5,,1962-03-01,4.7
46,1962,4,11.5,3.1,3.0,41.8,130.4,,1962-04-01,14.6
47,1962,5,14.0,5.7,2.0,30.1,132.3,,1962-05-01,19.7
48,1962,6,18.5,7.8,2.0,7.5,194.6,,1962-06-01,26.3
49,1962,7,18.9,10.3,0.0,24.6,114.9,,1962-07-01,29.2
50,1962,8,18.3,10.0,0.0,90.8,130.0,,1962-08-01,28.3
51,1962,9,16.4,8.6,0.0,97.7,108.9,,1962-09-01,25.0
52,1962,10,14.1,5.8,2.0,9.7,90.2,,1962-10-01,19.9
53,1962,11,8.3,2.1,7.0,25.2,37.4,,1962-11-01,10.4
54,1962,12,4.5,-2.6,20.0,37.4,43.7,,1962-12-01,1.9
55,1963,1,0.3,-5.5,27.0,19.9,50.1,,1963-01-01,-5.2
56,1963,2,1.8,-3.5,28.0,8.9,60.9,,1963-02-01,-1.7
57,1963,3,9.1,1.8,8.0,65.0,89.8,,1963-03-01,10.9
58,1963,4,12.2,4.4,0.0,43.9,114.5,,1963-04-01,16.6
59,1963,5,15.0,5.9,1.0,20.4,185.2,,1963-05-01,20.9
60,1963,6,19.2,9.7,0.0,60.7,197.0,,1963-06-01,28.9
61,1963,7,19.7,9.4,0.0,42.8,175.0,,1963-07-01,29.1
62,1963,8,17.7,9.8,0.0,68.0,113.1,,1963-08-01,27.5
63,1963,9,16.8,8.1,0.0,56.3,120.9,,1963-09-01,24.9
64,1963,10,14.2,6.9,0.0,29.0,69.6,,1963-10-01,21.1
65,1963,11,10.6,4.6,3.0,97.2,48.3,,1963-11-01,15.2
66,1963,12,5.4,-0.5,12.0,10.1,45.9,,1963-12-01,4.9
67,1964,1,5.3,-0.3,15.0,15.9,31.2,,1964-01-01,5.0
68,1964,2,7.2,1.3,10.0,12.3,59.7,,1964-02-01,8.5
69,1964,3,6.5,0.9,11.0,68.0,50.0,,1964-03-01,7.4
70,1964,4,12.6,4.6,0.0,33.0,94.3,,1964-04-01,17.2
71,1964,5,18.4,7.9,0.0,30.6,193.1,,1964-05-01,26.299999999999997
72,1964,6,17.5,9.1,0.0,73.0,133.0,,1964-06-01,26.6
73,1964,7,20.2,11.3,0.0,57.1,196.2,,1964-07-01,31.5
74,1964,8,20.1,10.3,0.0,40.5,208.2,,1964-08-01,30.400000000000002
75,1964,9,19.2,7.4,2.0,8.4,177.9,,1964-09-01,26.6
76,1964,10,12.6,3.6,4.0,26.2,108.0,,1964-10-01,16.2
77,1964,11,10.3,4.1,4.0,24.1,52.9,,1964-11-01,14.4
78,1964,12,6.4,-0.7,16.0,57.0,49.7,,1964-12-01,5.7
79,1965,1,5.9,0.2,18.0,70.2,63.6,,1965-01-01,6.1000000000000005
80,1965,2,5.9,0.7,12.0,13.8,31.8,,1965-02-01,6.6000000000000005
81,1965,3,9.5,0.6,12.0,60.2,129.7,,1965-03-01,10.1
82,1965,4,12.3,3.7,3.0,39.5,142.0,,1965-04-01,16.0
83,1965,5,15.6,6.4,2.0,37.2,160.1,,1965-05-01,22.0
84,1965,6,19.3,9.5,0.0,60.6,202.2,,1965-06-01,28.8
