,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
42,1930,12,8.2,3.9,3.0,161.0,33.9,,1930-12-01,12.1
43,1931,1,7.5,3.4,1.0,140.4,38.1,,1931-01-01,10.9
44,1931,2,7.0,2.4,3.0,117.3,86.2,,1931-02-01,9.4
45,1931,3,6.9,2.7,4.0,36.9,121.7,,1931-03-01,9.600000000000001
46,1931,4,9.3,4.7,1.0,58.0,168.4,,1931-04-01,14.0
47,1931,5,12.5,7.6,0.0,87.5,208.3,,1931-05-01,20.1
48,1931,6,13.3,9.2,0.0,99.0,137.7,,1931-06-01,22.5
49,1931,7,15.0,10.8,0.0,91.1,122.6,,1931-07-01,25.8
50,1931,8,15.6,10.6,0.0,26.3,213.7,,1931-08-01,26.2
51,1931,9,13.6,9.6,0.0,58.3,114.9,,1931-09-01,23.2
52,1931,10,11.7,7.1,0.0,99.7,86.4,,1931-10-01,18.799999999999997
53,1931,11,10.4,6.1,0.0,167.2,37.4,,1931-11-01,16.5
54,1931,12,9.6,5.9,1.0,87.7,13.4,,1931-12-01,15.5
55,1932,1,9.4,5.3,0.0,143.4,25.3,,1932-01-01,14.7
56,1932,2,8.3,3.1,4.0,6.5,113.2,,1932-02-01,11.4
57,1932,3,8.4,2.5,7.0,67.2,133.5,,1932-03-01,10.9
58,1932,4,9.0,3.8,0.0,86.7,187.8,,1932-04-01,12.8
59,1932,5,12.3,7.1,0.0,30.4,261.9,,1932-05-01,19.4
60,1932,6,15.8,10.3,0.0,48.2,251.8,,1932-06-01,26.1
61,1932,7,15.7,11.6,0.0,110.3,149.1,,1932-07-01,27.299999999999997
62,1932,8,16.3,11.4,0.0,88.5,164.1,,1932-08-01,27.700000000000003
63,1932,9,13.7,9.9,0.0,92.5,114.2,,1932-09-01,23.6
64,1932,10,11.3,6.3,0.0,130.3,90.7,,1932-10-01,17.6
65,1932,11,9.6,5.2,0.0,127.2,55.2,,1932-11-01,14.8
66,1932,12,8.3,4.1,3.0,111.6,55.3,,1932-12-01,12.4
67,1933,1,6.6,2.5,5.0,107.6,42.2,,1933-01-01,9.1
68,1933,2,7.1,3.1,2.0,90.4,72.3,,1933-02-01,10.2
69,1933,3,9.2,4.4,0.0,66.6,110.1,,1933-03-01,13.6
70,1933,4,10.7,5.9,0.0,80.7,130.8,,1933-04-01,16.6
71,1933,5,12.8,7.8,0.0,60.6,213.6,,1933-05-01,20.6
72,1933,6,15.6,10.8,0.0,53.6,225.8,,1933-06-01,26.4
73,1933,7,17.2,12.4,0.0,113.4,119.5,,1933-07-01,29.6
74,1933,8,16.6,11.7,0.0,154.1,156.9,,1933-08-01,28.3
75,1933,9,16.4,10.5,0.0,34.7,176.0,,1933-09-01,26.9
76,1933,10,12.7,8.7,0.0,150.5,69.4,,1933-10-01,21.4
77,1933,11,9.1,4.7,0.0,91.8,49.3,,1933-11-01,13.8
78,1933,12,7.3,3.1,4.0,64.5,23.7,,1933-12-01,10.4
79,1934,1,8.5,4.0,0.0,117.4,22.5,,1934-01-01,12.5
80,1934,2,8.7,5.3,2.0,17.5,56.1,,1934-02-01,14.0
81,1934,3,7.7,2.5,2.0,64.9,122.5,,1934-03-01,10.2
82,1934,4,9.0,4.7,0.0,85.0,180.7,,1934-04-01,13.7
83,1934,5,11.6,6.6,0.0,72.4,192.3,,1934-05-01,18.2
84,1934,6,15.1,9.7,0.0,88.6,229.2,,1934-06-01,24.799999999999997
85,1934,7,17.5,12.4,0.0,84.3,183.7,,1934-07-01,29.9
86,1934,8,15.7,11.9,0.0,112.5,130.5,,1934-08-01,27.6
87,1934,9,14.8,10.3,0.0,203.4,119.0,,1934-09-01,25.1
88,1934,10,11.5,7.5,0.0,142.7,63.5,,1934-10-01,19.0
89,1934,11,9.2,4.7,1.0,42.3,53.8,,1934-11-01,13.899999999999999
