,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
0,1930,8.6,5.5,14.1,31.5,130.3,0.0,Valley
1,1931,16.9,2.4,19.958333333333332,1414.8,851.7,6.0,Valley
2,1932,18.4,3.5,20.641666666666666,1501.3,841.1,3.0,Valley
3,1933,19.7,2.9,21.116666666666667,1675.2,593.5,8.0,Valley
4,1934,19.6,3.7,21.108333333333334,1578.4999999999998,921.4,0.0,Valley
5,1935,18.0,3.8,20.625,1664.9,898.8,3.0,Valley
6,1936,17.7,2.9,20.091666666666665,1561.3999999999999,963.4,3.0,Valley
7,1937,18.5,2.2,20.266666666666666,1450.2,845.5999999999999,4.0,Valley
8,1938,17.4,4.2,21.05,1525.0,962.8,4.0,Valley
9,1939,18.4,3.8,20.583333333333332,1625.1,854.5,4.0,Valley
10,1940,17.9,0.5,19.658333333333335,1587.6999999999998,898.9,22.0,Valley
11,1941,18.9,0.7,18.490909090909092,1302.9,686.3,15.0,Valley
12,1942,18.4,-0.7,19.275000000000002,1521.5000000000002,877.8,31.0,Valley
13,1943,19.4,2.4,20.425,1674.3999999999999,829.0,23.0,Valley
14,1944,19.8,2.5,19.95,1427.4,817.1,18.0,Valley
15,1945,19.5,-0.8,20.825,1547.5,592.2,22.0,Valley
16,1946,17.3,1.8,19.683333333333334,1567.9,934.4999999999999,26.0,Valley
17,1947,23.7,-3.0,19.275000000000002,1599.9,845.2,53.0,Valley
18,1948,17.8,2.8,20.50833333333333,1641.2,878.7,18.0,Valley
19,1949,20.0,2.7,21.833333333333332,1833.9,698.1,12.0,Valley
20,1950,18.2,1.5,19.783333333333335,1612.4,910.1,26.0,Valley
21,1951,17.9,2.1,19.341666666666665,1662.1999999999998,995.2,14.0,Valley
22,1952,19.1,2.3,19.158333333333335,1566.2,777.2,27.0,Valley
23,1953,18.6,2.2,20.866666666666664,1633.6999999999998,769.6,18.0,Valley
24,1954,16.4,0.7,19.466666666666665,1509.3999999999999,1045.5,21.0,Valley
25,1955,21.8,0.0,19.625000000000004,1896.0,644.3,39.0,Valley
26,1956,18.0,-1.6,19.283333333333335,1665.5999999999997,874.3,31.0,Valley
27,1957,18.7,2.6,21.066666666666666,1622.4,1029.2,12.0,Valley
28,1958,18.1,1.1,19.816666666666666,1379.3999999999999,1045.0,27.0,Valley
29,1959,20.3,1.6,22.041666666666668,1819.8999999999999,834.2,17.0,Valley
30,1960,18.9,2.1,20.591666666666665,1729.5,1045.2,22.0,Valley
31,1961,17.9,1.5,20.425,1601.3000000000002,1056.6000000000001,23.0,Valley
32,1962,17.4,0.3,18.45,1657.8999999999999,729.7,32.0,Valley
