,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
31,1949,1,7.6,1.4,9.0,23.7,61.0,,1949-01-01,9.0
32,1949,2,9.4,1.2,7.0,9.7,119.0,,1949-02-01,10.6
33,1949,3,7.6,0.9,11.0,24.4,87.7,,1949-03-01,8.5
34,1949,4,14.8,5.3,1.0,50.4,178.8,,1949-04-01,20.1
35,1949,5,15.5,5.8,0.0,50.3,233.4,,1949-05-01,21.3
36,1949,6,19.9,8.9,0.0,15.1,246.0,,1949-06-01,28.799999999999997
37,1949,7,22.3,11.9,0.0,57.0,203.6,,1949-07-01,34.2
38,1949,8,22.0,11.8,0.0,50.1,228.8,,1949-08-01,33.8
39,1949,9,20.7,12.2,0.0,29.1,157.3,,1949-09-01,32.9
40,1949,10,14.8,7.3,3.0,82.7,119.7,,1949-10-01,22.1
41,1949,11,8.9,2.9,2.0,62.0,68.3,,1949-11-01,11.8
42,1949,12,8.0,2.5,3.0,39.0,58.2,,1949-12-01,10.5
43,1950,1,6.5,0.7,13.0,25.0,42.9,,1950-01-01,7.2
44,1950,2,8.5,1.3,7.0,99.4,82.5,,1950-02-01,9.8
45,1950,3,11.2,2.7,4.0,20.9,123.7,,1950-03-01,13.899999999999999
46,1950,4,11.0,2.7,2.0,54.5,164.6,,1950-04-01,13.7
47,1950,5,14.3,6.5,0.0,59.7,153.1,,1950-05-01,20.8
48,1950,6,21.4,10.6,0.0,31.5,248.7,,1950-06-01,32.0
49,1950,7,20.8,11.6,0.0,62.4,194.7,,1950-07-01,32.4
50,1950,8,20.8,11.2,0.0,41.4,172.8,,1950-08-01,32.0
51,1950,9,16.7,8.7,0.0,85.2,109.8,,1950-09-01,25.4
52,1950,10,13.1,5.7,3.0,18.0,123.5,,1950-10-01,18.8
53,1950,11,8.1,2.7,3.0,112.1,53.3,,1950-11-01,10.8
54,1950,12,2.9,-1.8,20.0,38.7,40.7,,1950-12-01,1.0999999999999999
55,1951,1,5.8,0.5,10.0,47.9,53.4,,1951-01-01,6.3
56,1951,2,6.0,0.2,9.0,68.6,57.1,,1951-02-01,6.2
57,1951,3,7.2,0.3,14.0,81.7,98.2,,1951-03-01,7.5
58,1951,4,10.7,2.4,3.0,37.5,201.0,,1951-04-01,13.1
59,1951,5,13.5,5.6,0.0,90.7,167.0,,1951-05-01,19.1
60,1951,6,18.0,8.7,0.0,25.9,221.6,,1951-06-01,26.7
61,1951,7,21.2,11.6,0.0,20.1,194.3,,1951-07-01,32.8
62,1951,8,19.4,10.7,0.0,131.3,175.6,,1951-08-01,30.099999999999998
63,1951,9,18.4,10.0,0.0,21.0,129.4,,1951-09-01,28.4
64,1951,10,13.5,5.4,2.0,22.1,120.8,,1951-10-01,18.9
65,1951,11,10.9,4.7,1.0,121.9,59.4,,1951-11-01,15.600000000000001
66,1951,12,8.1,1.4,8.0,32.5,61.3,,1951-12-01,9.5
67,1952,1,4.8,-0.7,18.0,30.1,87.1,,1952-01-01,4.1
68,1952,2,6.2,-0.6,17.0,7.9,82.8,,1952-02-01,5.6000000000000005
69,1952,3,9.4,2.5,7.0,60.2,97.0,,1952-03-01,11.9
70,1952,4,14.1,4.4,3.0,22.7,177.1,,1952-04-01,18.5
71,1952,5,18.0,7.7,0.0,39.2,211.2,,1952-05-01,25.7
72,1952,6,18.8,9.9,0.0,69.2,186.1,,1952-06-01,28.700000000000003
73,1952,7,21.1,11.8,0.0,7.2,188.9,,1952-07-01,32.900000000000006
74,1952,8,21.1,11.9,0.0,50.5,200.4,,1952-08-01,33.0
75,1952,9,14.8,7.5,0.0,51.5,117.1,,1952-09-01,22.3
76,1952,10,12.1,5.1,0.0,65.0,120.4,,1952-10-01,17.2
77,1952,11,6.5,0.9,9.0,56.6,77.5,,1952-11-01,7.4
78,1952,12,5.4,0.0,14.0,37.3,56.7,,1952-12-01,5.4
79,1953,1,5.4,0.8,10.0,22.8,44.7,,1953-01-01,6.2
80,1953,2,7.2,1.0,12.0,34.9,65.1,,1953-02-01,8.2
81,1953,3,10.2,0.7,15.0,24.9,124.5,,1953-03-01,10.899999999999999
82,1953,4,11.1,2.7,0.0,139.6,179.8,,1953-04-01,13.8
83,1953,5,17.3,7.5,0.0,75.6,232.5,,1953-05-01,24.8
84,1953,6,17.2,10.0,0.0,49.9,137.5,,1953-06-01,27.2
85,1953,7,19.8,11.0,0.0,39.3,199.9,,1953-07-01,30.8
86,1953,8,21.2,11.0,0.0,48.5,212.8,,1953-08-01,32.2
87,1953,9,18.2,9.3,0.0,30.0,158.8,,1953-09-01,27.5
88,1953,10,13.1,5.1,3.0,46.9,76.5,,1953-10-01,18.2
89,1953,11,10.6,4.5,2.0,32.9,52.8,,1953-11-01,15.1
90,1953,12,8.2,4.0,2.0,26.9,30.9,,1953-12-01,12.2
91,1954,1,5.0,-1.0,19.0,30.7,55.4,,1954-01-01,4.0
92,1954,2,4.0,-2.2,16.0,57.9,50.1,,1954-02-01,1.7999999999999998
93,1954,3,8.5,1.3,7.0,42.3,91.5,,1954-03-01,9.8
94,1954,4,11.7,2.5,5.0,7.8,147.6,,1954-04-01,14.2
95,1954,5,15.8,6.5,0.0,69.6,144.6,,1954-05-01,22.3
96,1954,6,16.7,9.4,0.0,68.9,149.8,,1954-06-01,26.1
97,1954,7,17.9,9.8,0.0,60.1,125.1,,1954-07-01,27.7
98,1954,8,18.1,10.5,0.0,100.8,108.6,,1954-08-01,28.6
99,1954,9,16.5,8.3,0.0,52.2,172.5,,1954-09-01,24.8
100,1954,10,14.8,8.3,1.0,82.1,87.9,,1954-10-01,23.1
101,1954,11,9.4,2.9,3.0,110.3,61.9,,1954-11-01,12.3
102,1954,12,8.5,3.0,7.0,68.5,50.1,,1954-12-01,11.5
103,1955,1,4.3,-1.0,13.0,39.0,42.9,,1955-01-01,3.3
104,1955,2,3.6,-3.5,21.0,65.0,82.6,,1955-02-01,0.10000000000000009
105,1955,3,6.8,-1.9,22.0,58.3,141.0,,1955-03-01,4.9
