,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1949,22.3,0.9,20.3,1761.8,493.5,36.0,Waddington,17.476234110823142,20.353980007404665,-1.2894853757867395,1486.878748611625,595.3730470196223,57.48167345427612
1,1950,21.4,-1.8,18.158333333333335,1510.3,648.8000000000001,52.0,Waddington,17.525432453000946,20.384900654078734,-1.2561397013451767,1488.1369492780448,595.777829199062,57.09805010489936
2,1951,21.2,0.2,17.849999999999998,1539.1000000000001,701.2,47.0,Waddington,17.574630795178734,20.415821300752803,-1.222794026903614,1489.395149944465,596.1826113785017,56.714426755522595
3,1952,21.1,-0.7,17.725,1602.3,497.40000000000003,68.0,Waddington,17.623829137356537,20.44674194742688,-1.1894483524620512,1490.6533506108847,596.5873935579415,56.33080340614583
4,1953,21.2,0.7,18.924999999999997,1515.8000000000002,572.1999999999999,44.0,Waddington,17.673027479534326,20.47766259410095,-1.1561026780204884,1491.9115512773044,596.9921757373812,55.94718005676907
5,1954,18.1,-2.2,17.183333333333334,1245.1,751.1999999999999,58.0,Waddington,17.722225821712115,20.508583240775017,-1.1227570035789256,1493.1697519437241,597.396957916821,55.56355670739231
6,1955,22.6,-3.5,17.616666666666667,1591.2000000000003,529.5999999999999,73.0,Waddington,17.771424163889918,20.539503887449094,-1.0894113291373628,1494.4279526101443,597.8017400962606,55.179933358015546
7,1956,19.2,-4.0,16.816666666666666,1424.5,721.3000000000001,65.0,Waddington,17.820622506067707,20.570424534123163,-1.0560656546957858,1495.686153276564,598.2065222757003,54.796310008638784
8,1957,20.1,1.3,19.099999999999998,1486.8000000000002,557.9,33.0,Waddington,17.869820848245496,20.60134518079723,-1.022719980254223,1496.9443539429838,598.61130445514,54.41268665926191
9,1958,19.9,-0.2,17.975,1430.8000000000002,741.6,62.0,Waddington,17.9190191904233,20.632265827471308,-0.9893743058126603,1498.2025546094035,599.0160866345798,54.029063309885146
10,1959,22.9,-1.9,20.516666666666666,1799.1000000000001,397.9,42.0,Waddington,17.968217532601088,20.663186474145377,-0.9560286313710975,1499.4607552758237,599.4208688140195,53.645439960508384
11,1960,21.5,0.3,18.825,1386.8000000000002,800.5999999999999,41.0,Waddington,18.01741587477889,20.694107120819446,-0.9226829569295347,1500.7189559422434,599.8256509934591,53.26181661113162
12,1961,19.7,-1.4,19.183333333333334,1429.7,548.6,42.0,Waddington,18.06661421695668,20.725027767493522,-0.889337282487972,1501.977156608663,600.2304331728989,52.87819326175486
13,1962,18.6,-2.2,16.366666666666664,1420.5000000000002,496.6,72.0,Waddington,18.11581255913447,20.75594841416759,-0.8559916080464092,1503.2353572750828,600.6352153523386,52.4945699123781
