,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,2000,20.1,3.1,20.98,1392.9999999999998,700.9,20.0,Whitby,20.087294286740928,20.28300395256918,1.8225296442687764,1627.8415019762851,722.8664031620538,29.640316205533622
1,2001,20.0,0.7,19.141666666666666,1655.1,689.9,44.0,Whitby,20.100312697842345,20.320553359683792,1.7996047430830018,1630.480406549972,718.2990400903436,29.4754376058724
2,2002,19.8,2.7,20.466666666666665,1593.0,762.1,19.0,Whitby,20.11333110894376,20.358102766798417,1.7766798418972343,1633.119311123659,713.7316770186317,29.31055900621118
3,2003,21.3,0.6,20.658333333333335,1904.1000000000001,568.4000000000001,37.0,Whitby,20.126349520045174,20.395652173913042,1.7537549407114668,1635.7582156973467,709.1643139469215,29.145680406549957
4,2004,19.4,2.7,20.483333333333334,1585.6,810.9,19.0,Whitby,20.13936793114659,20.433201581027667,1.7308300395256921,1638.3971202710336,704.5969508752096,28.980801806888792
5,2005,19.8,2.4,20.6,1629.8,678.8999999999999,18.0,Whitby,20.152386342248004,20.470750988142292,1.7079051383399246,1641.0360248447205,700.0295878034995,28.81592320722757
6,2006,23.4,2.0,20.974999999999998,1769.8000000000002,650.5,27.0,Whitby,20.16540475334942,20.508300395256917,1.68498023715415,1643.6749294184074,695.4622247317893,28.651044607566348
7,2007,19.7,2.6,20.591666666666665,1610.6000000000001,656.9,16.0,Whitby,20.178423164450834,20.545849802371542,1.6620553359683825,1646.3138339920952,690.8948616600774,28.486166007905126
8,2008,19.9,1.6,19.666666666666668,1647.7999999999997,781.7,33.0,Whitby,20.19144157555225,20.583399209486167,1.639130434782608,1648.952738565782,686.3274985883672,28.321287408243904
9,2009,21.1,1.2,20.05,1732.0,656.0,34.0,Whitby,20.204459986653664,20.620948616600792,1.6162055335968404,1651.591643139469,681.7601355166553,28.15640880858274
10,2010,21.4,-2.2,18.0,1567.8999999999999,838.8,62.0,Whitby,20.21747839775508,20.658498023715417,1.5932806324110658,1654.2305477131567,677.1927724449451,27.991530208921517
11,2011,19.4,1.3,20.933333333333334,1716.8999999999999,561.3000000000001,28.0,Whitby,20.230496808856497,20.696047430830042,1.5703557312252983,1656.8694522868436,672.625409373235,27.826651609260296
12,2012,20.4,1.8,18.85833333333333,1602.7000000000003,882.9000000000001,32.0,Whitby,20.24351521995791,20.733596837944667,1.5474308300395236,1659.5083568605305,668.0580463015231,27.661773009599074
13,2013,22.4,0.5,18.775000000000002,1672.4,546.4,36.0,Whitby,20.256533631059327,20.771146245059292,1.5245059288537561,1662.1472614342183,663.4906832298129,27.49689440993791
14,2014,20.8,2.2,20.849999999999998,1676.1999999999998,734.7,26.0,Whitby,20.26955204216074,20.808695652173917,1.5015810276679815,1664.7861660079052,658.923320158101,27.332015810276687
15,2015,20.4,1.6,19.974999999999998,1827.6999999999998,568.4,21.0,Whitby,20.282570453262156,20.84624505928854,1.478656126482214,1667.425070581592,654.3559570863908,27.167137210615465
16,2016,21.2,1.5,19.958333333333332,1575.3000000000002,736.5000000000002,22.0,Whitby,20.29558886436357,20.883794466403167,1.4557312252964465,1670.0639751552799,649.7885940146789,27.002258610954243
17,2017,20.0,2.0,20.733333333333334,1387.3,433.69999999999993,21.0,Whitby,20.308607275464986,20.92134387351779,1.4328063241106719,1672.7028797289668,645.2212309429688,26.837380011293078
18,2018,22.3,0.8,20.433333333333334,1733.4999999999998,618.8,29.0,Whitby,20.3216256865664,20.958893280632417,1.4098814229249044,1675.3417843026537,640.6538678712586,26.672501411631856
19,2019,21.8,2.1,20.683333333333334,1783.3999999999999,675.9,22.0,Whitby,20.334644097667816,20.99644268774704,1.3869565217391298,1677.9806888763414,636.0865047995467,26.507622811970634
20,2020,19.5,2.5,20.64166666666667,1754.7,748.5999999999999,18.0,Whitby,20.347662508769233,21.033992094861667,1.3640316205533622,1680.6195934500283,631.5191417278365,26.342744212309412
21,2021,20.8,1.1,21.472727272727273,1603.2999999999997,545.8000000000001,30.0,Whitby,20.360680919870646,21.07154150197629,1.3411067193675876,1683.2584980237152,626.9517786561246,26.177865612648247
