,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
381,1945,3,10.4,4.4,0.0,29.2,88.1,,1945-03-01,14.8
382,1945,4,10.7,4.1,2.0,44.7,136.6,,1945-04-01,14.799999999999999
383,1945,5,11.5,5.8,0.0,64.3,165.3,,1945-05-01,17.3
384,1945,6,14.5,8.2,0.0,72.9,183.8,,1945-06-01,22.7
385,1945,7,16.7,10.9,0.0,73.9,108.0,,1945-07-01,27.6
386,1945,8,16.1,9.5,0.0,59.3,132.5,,1945-08-01,25.6
387,1945,9,15.2,8.4,0.0,63.5,131.7,,1945-09-01,23.6
388,1945,10,13.2,7.3,1.0,95.1,68.1,,1945-10-01,20.5
389,1945,11,10.3,6.0,0.0,31.7,41.2,,1945-11-01,16.3
390,1945,12,8.1,2.5,3.0,137.4,23.1,,1945-12-01,10.6
391,1946,1,6.5,1.6,6.0,34.1,65.1,,1946-01-01,8.1
392,1946,2,6.4,0.4,10.0,82.8,68.2,,1946-02-01,6.800000000000001
393,1946,3,8.0,1.9,6.0,40.8,89.5,,1946-03-01,9.9
394,1946,4,11.4,3.6,2.0,31.6,151.8,,1946-04-01,15.0
395,1946,5,11.5,5.0,1.0,35.6,200.8,,1946-05-01,16.5
396,1946,6,14.7,7.4,0.0,69.3,183.4,,1946-06-01,22.1
397,1946,7,16.6,10.5,0.0,87.8,138.0,,1946-07-01,27.1
398,1946,8,16.1,8.7,0.0,50.4,197.8,,1946-08-01,24.8
399,1946,9,15.0,8.8,0.0,54.7,129.3,,1946-09-01,23.8
400,1946,10,11.3,6.1,1.0,9.7,78.3,,1946-10-01,17.4
401,1946,11,9.3,3.9,6.0,107.0,33.1,,1946-11-01,13.200000000000001
402,1946,12,6.9,1.3,7.0,48.2,45.4,,1946-12-01,8.200000000000001
403,1947,1,5.9,1.6,4.0,75.1,46.1,,1947-01-01,7.5
404,1947,2,2.2,-2.9,24.0,36.4,62.7,,1947-02-01,-0.6999999999999997
410,1947,8,18.3,11.0,0.0,1.4,248.4,,1947-08-01,29.3
411,1947,9,15.0,8.3,0.0,98.9,118.1,,1947-09-01,23.3
412,1947,10,12.5,7.4,0.0,41.1,74.7,,1947-10-01,19.9
413,1947,11,7.6,2.3,8.0,128.3,49.3,,1947-11-01,9.899999999999999
414,1947,12,7.1,2.3,8.0,89.7,28.7,,1947-12-01,9.399999999999999
415,1948,1,5.2,0.6,10.0,100.3,47.9,,1948-01-01,5.8
416,1948,2,6.4,1.8,2.0,58.2,79.0,,1948-02-01,8.200000000000001
417,1948,3,10.4,3.4,2.0,27.2,171.3,,1948-03-01,13.8
418,1948,4,10.2,3.5,5.0,41.2,163.6,,1948-04-01,13.7
419,1948,5,11.6,4.5,4.0,42.8,252.9,,1948-05-01,16.1
420,1948,6,13.8,8.1,0.0,72.9,184.4,,1948-06-01,21.9
421,1948,7,15.5,9.5,0.0,44.1,147.7,,1948-07-01,25.0
422,1948,8,14.2,9.9,0.0,74.6,83.6,,1948-08-01,24.1
423,1948,9,14.4,8.0,1.0,78.7,133.2,,1948-09-01,22.4
424,1948,10,10.6,4.7,5.0,110.0,81.6,,1948-10-01,15.3
425,1948,11,9.8,3.9,6.0,55.8,59.3,,1948-11-01,13.700000000000001
