,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
237,1983,11,11.5,4.5,6.0,19.7,44.3,,1983-11-01,16.0
238,1983,12,9.9,2.3,9.0,69.8,64.9,,1983-12-01,12.2
239,1984,1,8.8,1.1,11.0,118.6,64.8,,1984-01-01,9.9
240,1984,2,7.8,1.0,7.0,35.7,64.1,,1984-02-01,8.8
241,1984,3,8.8,1.3,6.0,44.2,78.2,,1984-03-01,10.100000000000001
242,1984,4,14.7,2.5,9.0,1.6,241.8,,1984-04-01,17.2
243,1984,5,15.2,5.9,1.0,62.6,178.8,,1984-05-01,21.1
244,1984,6,21.0,9.9,0.0,22.6,271.7,,1984-06-01,30.9
245,1984,7,23.3,11.1,0.0,23.1,268.5,,1984-07-01,34.4
246,1984,8,23.1,12.7,0.0,30.2,179.3,,1984-08-01,35.8
247,1984,9,18.4,10.4,0.0,55.1,128.5,,1984-09-01,28.799999999999997
248,1984,10,15.4,8.0,1.0,41.0,85.9,,1984-10-01,23.4
249,1984,11,11.6,4.7,4.0,110.9,63.1,,1984-11-01,16.3
250,1984,12,9.6,1.8,10.0,66.6,55.9,,1984-12-01,11.4
251,1985,1,4.1,-3.2,24.0,53.6,50.1,,1985-01-01,0.8999999999999995
252,1985,2,7.0,-0.7,16.0,47.3,79.5,,1985-02-01,6.3
253,1985,3,9.4,0.6,12.0,38.8,118.6,,1985-03-01,10.0
254,1985,4,13.4,4.1,3.0,45.1,139.6,,1985-04-01,17.5
255,1985,5,16.1,6.4,0.0,43.2,197.2,,1985-05-01,22.5
256,1985,6,18.0,8.8,0.0,64.0,172.8,,1985-06-01,26.8
257,1985,7,21.4,11.1,0.0,41.5,208.1,,1985-07-01,32.5
258,1985,8,18.8,11.3,0.0,76.1,166.6,,1985-08-01,30.1
259,1985,9,19.5,10.0,0.0,21.3,134.1,,1985-09-01,29.5
260,1985,10,14.8,7.0,2.0,31.7,94.2,,1985-10-01,21.8
261,1985,11,8.4,1.2,11.0,39.5,83.7,,1985-11-01,9.6
262,1985,12,10.3,4.5,4.0,129.1,40.2,,1985-12-01,14.8
263,1986,1,8.0,1.3,11.0,98.6,51.3,,1986-01-01,9.3
264,1986,2,2.5,-3.3,24.0,2.1,76.0,,1986-02-01,-0.7999999999999998
265,1986,3,9.8,1.5,7.0,50.3,110.7,,1986-03-01,11.3
266,1986,4,10.2,1.6,9.0,73.6,144.6,,1986-04-01,11.799999999999999
267,1986,5,15.1,6.7,0.0,81.1,180.3,,1986-05-01,21.8
268,1986,6,20.5,10.0,0.0,34.7,217.8,,1986-06-01,30.5
269,1986,7,20.7,11.4,0.0,42.4,200.2,,1986-07-01,32.1
270,1986,8,18.1,10.2,0.0,92.6,151.0,,1986-08-01,28.3
271,1986,9,16.2,6.5,0.0,33.5,150.8,,1986-09-01,22.7
272,1986,10,15.9,7.4,1.0,60.8,102.6,,1986-10-01,23.3
273,1986,11,12.3,4.3,1.0,84.5,73.7,,1986-11-01,16.6
274,1986,12,10.4,3.0,11.0,111.3,55.3,,1986-12-01,13.4
275,1987,1,4.0,-1.9,19.0,12.7,65.7,,1987-01-01,2.1
276,1987,2,7.9,0.3,12.0,55.1,63.5,,1987-02-01,8.200000000000001
277,1987,3,8.8,1.3,13.0,57.2,114.6,,1987-03-01,10.100000000000001
278,1987,4,15.1,5.2,2.0,63.7,185.0,,1987-04-01,20.3
279,1987,5,15.8,5.9,0.0,28.9,207.2,,1987-05-01,21.700000000000003
280,1987,6,17.4,9.2,0.0,67.2,140.4,,1987-06-01,26.599999999999998
281,1987,7,21.2,11.6,0.0,32.5,202.5,,1987-07-01,32.8
282,1987,8,21.3,11.0,0.0,29.4,198.9,,1987-08-01,32.3
283,1987,9,18.6,10.1,0.0,42.7,123.8,,1987-09-01,28.700000000000003
284,1987,10,14.5,6.0,4.0,133.3,105.6,,1987-10-01,20.5
285,1987,11,10.5,3.9,4.0,60.1,62.6,,1987-11-01,14.4
286,1987,12,8.8,3.1,8.0,37.1,38.0,,1987-12-01,11.9
287,1988,1,9.2,2.8,6.0,107.7,54.2,,1988-01-01,12.0
288,1988,2,9.0,0.5,13.0,56.0,114.2,,1988-02-01,9.5
289,1988,3,10.4,3.6,5.0,69.0,96.5,,1988-03-01,14.0
290,1988,4,13.3,3.5,6.0,22.2,167.8,,1988-04-01,16.8
291,1988,5,17.4,7.1,0.0,38.3,219.6,,1988-05-01,24.5
292,1988,6,20.0,10.3,0.0,31.9,168.6,,1988-06-01,30.3
293,1988,7,18.3,11.2,0.0,132.7,144.2,,1988-07-01,29.5
294,1988,8,19.6,10.8,0.0,64.8,170.0,,1988-08-01,30.400000000000002
295,1988,9,17.7,10.2,0.0,25.4,156.4,,1988-09-01,27.9
296,1988,10,15.0,7.9,1.0,77.6,106.7,,1988-10-01,22.9
297,1988,11,10.3,0.9,19.0,24.8,89.5,,1988-11-01,11.200000000000001
298,1988,12,10.7,4.5,4.0,17.5,34.7,,1988-12-01,15.2
299,1989,1,9.9,2.8,8.0,38.0,59.1,,1989-01-01,12.7
300,1989,2,10.4,2.7,9.0,78.5,98.7,,1989-02-01,13.100000000000001
301,1989,3,12.0,4.4,3.0,58.7,98.1,,1989-03-01,16.4
302,1989,4,11.1,2.4,7.0,60.9,154.2,,1989-04-01,13.5
303,1989,5,19.9,8.5,0.0,25.2,245.4,,1989-05-01,28.4
304,1989,6,20.8,9.4,0.0,22.3,213.4,,1989-06-01,30.200000000000003
305,1989,7,24.4,13.2,0.0,73.7,266.2,,1989-07-01,37.599999999999994
306,1989,8,22.4,11.4,0.0,40.5,264.0,,1989-08-01,33.8
307,1989,9,19.7,10.9,0.0,52.7,124.3,,1989-09-01,30.6
308,1989,10,16.2,8.5,0.0,75.6,88.4,,1989-10-01,24.7
309,1989,11,10.8,3.3,8.0,48.0,73.3,,1989-11-01,14.100000000000001
310,1989,12,9.1,2.5,5.0,166.1,34.6,,1989-12-01,11.6
311,1990,1,10.7,4.3,4.0,103.9,52.0,,1990-01-01,15.0
312,1990,2,11.5,5.4,0.0,133.0,95.1,,1990-02-01,16.9
313,1990,3,12.6,4.5,4.0,25.6,150.3,,1990-03-01,17.1
314,1990,4,13.7,3.0,5.0,30.5,229.2,,1990-04-01,16.7
315,1990,5,19.5,7.1,0.0,5.7,273.6,,1990-05-01,26.6
316,1990,6,17.9,10.0,0.0,49.3,115.7,,1990-06-01,27.9
317,1990,7,23.8,12.2,0.0,22.1,268.6,,1990-07-01,36.0
318,1990,8,23.7,12.0,0.0,46.8,191.8,,1990-08-01,35.7
319,1990,9,18.7,8.4,0.0,49.4,183.5,,1990-09-01,27.1
320,1990,10,15.9,9.5,0.0,43.0,98.3,,1990-10-01,25.4
321,1990,11,10.7,4.0,9.0,41.7,59.0,,1990-11-01,14.7
322,1990,12,7.8,1.0,14.0,63.3,40.7,,1990-12-01,8.8
323,1991,1,7.2,0.8,12.0,86.0,74.4,,1991-01-01,8.0
324,1991,2,5.4,-3.0,20.0,31.1,65.3,,1991-02-01,2.4000000000000004
325,1991,3,11.9,4.3,6.0,58.0,89.2,,1991-03-01,16.2
326,1991,4,12.0,4.0,4.0,80.8,125.9,,1991-04-01,16.0
327,1991,5,15.8,7.2,0.0,12.3,129.4,,1991-05-01,23.0
328,1991,6,16.4,8.7,0.0,98.1,119.6,,1991-06-01,25.099999999999998
329,1991,7,20.8,12.7,0.0,77.4,159.7,,1991-07-01,33.5
330,1991,8,22.2,12.4,0.0,37.7,213.4,,1991-08-01,34.6
331,1991,9,20.3,10.4,0.0,69.2,181.7,,1991-09-01,30.700000000000003
332,1991,10,13.8,6.9,1.0,71.2,72.7,,1991-10-01,20.700000000000003
333,1991,11,10.6,3.4,6.0,47.3,59.1,,1991-11-01,14.0
334,1991,12,8.4,1.8,10.0,23.1,43.5,,1991-12-01,10.200000000000001
335,1992,1,6.6,0.7,16.0,31.8,46.2,,1992-01-01,7.3
336,1992,2,9.4,1.5,9.0,24.6,51.0,,1992-02-01,10.9
337,1992,3,11.3,4.2,2.0,46.7,78.7,,1992-03-01,15.5
338,1992,4,12.7,4.7,3.0,48.8,128.8,,1992-04-01,17.4
339,1992,5,19.2,8.4,0.0,11.5,246.9,,1992-05-01,27.6
340,1992,6,21.6,10.1,0.0,92.5,230.7,,1992-06-01,31.700000000000003
341,1992,7,20.8,12.7,0.0,54.7,149.2,,1992-07-01,33.5
342,1992,8,19.8,11.9,0.0,106.1,126.3,,1992-08-01,31.700000000000003
343,1992,9,17.5,10.7,0.0,104.7,105.9,,1992-09-01,28.2
344,1992,10,12.1,3.9,6.0,39.0,97.5,,1992-10-01,16.0
