,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1983,11.5,2.3,14.1,109.2,89.5,15.0,Yeovilton,19.27932886557889,21.087692307692308,-0.150641025641022,1418.1901282051285,642.0034615384611,52.29615384615386
1,1984,23.3,1.0,20.675,1680.6,612.2,49.0,Yeovilton,19.370204371651766,21.147854251012134,-0.11896086369770131,1421.28363022942,644.1972064777328,52.07813765182186
2,1985,21.4,-3.2,18.525000000000002,1484.7,631.2,72.0,Yeovilton,19.461079877724643,21.208016194331975,-0.08728070175438774,1424.3771322537114,646.3909514170036,51.86012145748987
3,1986,20.7,-3.3,18.358333333333334,1514.3,765.4999999999999,64.0,Yeovilton,19.55195538379749,21.268178137651816,-0.05560053981106705,1427.4706342780028,648.5846963562753,51.64210526315787
4,1987,21.3,-1.9,19.133333333333336,1507.7999999999997,619.9000000000001,62.0,Yeovilton,19.642830889870368,21.328340080971657,-0.023920377867746367,1430.5641363022942,650.7784412955461,51.424089068825936
5,1988,20.0,0.5,20.349999999999998,1522.4,667.8999999999999,54.0,Yeovilton,19.733706395943244,21.388502024291498,0.007759784075574316,1433.6576383265856,652.9721862348179,51.20607287449394
6,1989,24.4,2.4,22.224999999999998,1719.6999999999998,740.1999999999999,40.0,Yeovilton,19.82458190201612,21.448663967611324,0.039439946018895,1436.751140350878,655.1659311740887,50.98805668016195
7,1990,23.8,1.0,22.325,1757.8000000000002,614.3,36.0,Yeovilton,19.915457408088997,21.508825910931165,0.07112010796221568,1439.8446423751693,657.3596761133604,50.77004048582995
8,1991,22.2,-3.0,19.53333333333333,1333.9,692.2,59.0,Yeovilton,20.006332914161874,21.568987854251006,0.10280026990553637,1442.9381443994607,659.5534210526312,50.55202429149796
9,1992,21.6,0.7,20.458333333333332,1349.6000000000001,722.1000000000001,52.0,Yeovilton,20.09720842023475,21.629149797570847,0.13448043184885705,1446.0316464237521,661.7471659919029,50.33400809716602
10,1993,20.6,1.8,20.233333333333334,1367.6000000000001,765.8000000000001,42.0,Yeovilton,20.188083926307627,21.689311740890687,0.16616059379217063,1449.1251484480435,663.9409109311737,50.115991902834025
11,1994,23.4,0.6,21.741666666666664,1500.0000000000002,819.6999999999999,37.0,Yeovilton,20.278959432380503,21.749473684210514,0.1978407557354913,1452.218650472335,666.1346558704454,49.89797570850203
12,1995,26.9,0.4,21.825,1750.1000000000001,674.5000000000001,48.0,Yeovilton,20.36983493845338,21.809635627530355,0.229520917678812,1455.3121524966264,668.3284008097162,49.67995951417004
13,1996,22.4,-0.6,19.28333333333333,1588.8999999999999,561.5,66.0,Yeovilton,20.460710444526256,21.869797570850196,0.2612010796221327,1458.4056545209178,670.5221457489879,49.46194331983804
14,1997,23.4,-0.8,21.558333333333337,1533.3,681.4000000000001,63.0,Yeovilton,20.551585950599133,21.929959514170037,0.29288124156545337,1461.4991565452092,672.7158906882587,49.24392712550605
15,1998,21.4,2.2,21.258333333333336,1439.1999999999998,794.4000000000001,47.0,Yeovilton,20.64246145667201,21.990121457489877,0.32456140350877405,1464.5926585695006,674.9096356275304,49.02591093117411
16,1999,23.3,2.1,21.650000000000002,1583.9,861.1,44.0,Yeovilton,20.733336962744886,22.050283400809704,0.35624156545209473,1467.686160593792,677.1033805668012,48.807894736842115
17,2000,21.8,0.8,21.191666666666666,1506.4999999999998,935.7,40.0,Yeovilton,20.824212468817734,22.110445344129545,0.3879217273954154,1470.7796626180843,679.2971255060729,48.58987854251012
18,2001,21.8,-0.5,20.55,1557.1,705.8000000000001,71.0,Yeovilton,20.91508797489061,22.170607287449386,0.4196018893387361,1473.8731646423757,681.4908704453437,48.37186234817813
19,2002,21.3,3.1,22.536363636363635,1431.0,882.5999999999999,20.0,Yeovilton,21.005963480963487,22.230769230769226,0.4512820512820497,1476.9666666666672,683.6846153846154,48.15384615384613
20,2003,24.6,1.3,20.427272727272726,1565.9,472.9000000000001,59.0,Yeovilton,21.096838987036364,22.290931174089067,0.48296221322537036,1480.0601686909586,685.8783603238862,47.935829959514194
21,2004,22.3,2.1,21.46666666666667,1483.0,646.5999999999999,41.0,Yeovilton,21.18771449310924,22.351093117408908,0.514642375168691,1483.15367071525,688.0721052631579,47.7178137651822
22,2005,21.9,-0.3,20.281818181818185,1377.0000000000002,590.2,63.0,Yeovilton,21.278589999182117,22.411255060728735,0.5463225371120117,1486.2471727395414,690.2658502024287,47.499797570850205
