Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
1957,18.2,3.2,20.6,1647.5000000000002,958.7,8.0,Aberporth,18.69410468319559,17.904475524475526,1.1602797202797248,1537.5875524475523,871.0818181818182,24.618181818181824
1958,17.6,1.7,19.45833333333333,1405.8,1079.1,22.0,Aberporth,18.72426195963128,17.9213548951049,1.1860882867132858,1536.8708260489511,871.8917132867133,24.418575174825207
1959,19.6,2.1,21.59166666666667,1847.1,1005.8,11.0,Aberporth,18.754419236066965,17.93823426573427,1.211896853146854,1536.1540996503495,872.7016083916084,24.218968531468533
1960,18.0,2.3,19.791666666666664,1537.6,1292.1,15.0,Aberporth,18.78457651250265,17.955113636363638,1.237705419580422,1535.4373732517483,873.5115034965035,24.01936188811192
1961,17.7,1.7,20.10833333333333,1528.8999999999996,971.4,22.0,Aberporth,18.814733788938334,17.971993006993014,1.26351398601399,1534.720646853147,874.3213986013985,23.819755244755243
1962,17.0,0.5,17.73333333333333,1498.3,811.1,33.0,Aberporth,18.84489106537402,17.988872377622382,1.2893225524475511,1534.0039204545456,875.1312937062938,23.620148601398625
1963,17.3,-3.5,17.2,1441.3000000000002,796.2,62.0,Aberporth,18.875048341809705,18.00575174825175,1.3151311188811192,1533.287194055944,875.9411888111889,23.42054195804195
1964,17.7,2.4,19.366666666666664,1434.1999999999998,680.9000000000001,22.0,Aberporth,18.90520561824539,18.02263111888113,1.340939685314687,1532.5704676573423,876.751083916084,23.22093531468533
1965,17.7,1.4,18.525,1605.8,901.7,32.0,Aberporth,18.93536289468108,18.03951048951049,1.3667482517482554,1531.8537412587411,877.5609790209791,23.02132867132866
1966,17.0,2.2,19.341666666666665,1461.8000000000002,966.5999999999998,16.0,Aberporth,18.965520171116765,18.056389860139863,1.3925568181818164,1531.1370148601395,878.3708741258741,22.821722027972044
1967,18.2,3.3,19.041666666666668,1505.3,965.6,12.0,Aberporth,18.995677447552445,18.07326923076924,1.4183653846153843,1530.4202884615383,879.1807692307692,22.62211538461537
1968,18.0,0.2,18.625,1547.9,809.4,32.0,Aberporth,19.025834723988133,18.090148601398607,1.4441739510489526,1529.703562062937,879.9906643356643,22.422508741258756
1969,18.5,0.1,18.716666666666665,1477.9000000000003,800.3,30.0,Aberporth,19.05599200042382,18.10702797202797,1.4699825174825207,1528.9868356643356,880.8005594405594,22.222902097902136
1970,18.5,1.9,19.125000000000004,1337.2000000000005,877.1999999999998,30.0,Aberporth,19.0861492768595,18.123907342657343,1.4957910839160815,1528.2701092657342,881.6104545454544,22.023295454545465
1971,18.4,2.7,19.691666666666663,1509.9,880.5,17.0,Aberporth,19.11630655329519,18.14078671328672,1.5215996503496498,1527.5533828671328,882.4203496503497,21.823688811188845
1972,17.0,2.7,18.3,1513.8,911.0,7.0,Aberporth,19.14646382973088,18.157666083916087,1.547408216783218,1526.8366564685314,883.2302447552448,21.62408216783217
1973,19.5,3.2,19.491666666666667,1522.3,755.8000000000001,16.0,Aberporth,19.17662110616656,18.174545454545456,1.573216783216786,1526.11993006993,884.0401398601399,21.424475524475557
1974,17.1,3.0,18.825,1472.6,996.5,4.0,Aberporth,19.206778382602245,18.19142482517483,1.599025349650347,1525.4032036713286,884.850034965035,21.22486888111888
1975,19.3,2.8,19.766666666666666,1708.7999999999995,655.2,7.0,Aberporth,19.236935659037933,18.2083041958042,1.6248339160839151,1524.6864772727272,885.65993006993,21.025262237762263
1976,20.4,1.6,19.5,1569.4,729.0000000000001,18.0,Aberporth,19.26709293547362,18.225183566433568,1.6506424825174832,1523.9697508741258,886.4698251748251,20.82565559440559
1977,18.1,1.8,19.09166666666667,1593.4,892.6,15.0,Aberporth,19.2972502119093,18.242062937062943,1.6764510489510511,1523.2530244755244,887.2797202797202,20.62604895104897
1978,16.3,1.5,18.73333333333333,1408.2000000000005,734.6,28.0,Aberporth,19.32740748834499,18.258942307692312,1.7022596153846197,1522.536298076923,888.0896153846153,20.426442307692295
1979,17.6,-0.4,17.508333333333333,1472.5000000000002,975.6,37.0,Aberporth,19.35756476478068,18.27582167832168,1.7280681818181804,1521.8195716783216,888.8995104895106,20.22683566433568
1980,17.7,1.0,18.83333333333333,1387.7,827.2999999999998,18.0,Aberporth,19.38772204121636,18.292701048951056,1.7538767482517486,1521.1028452797202,889.7094055944057,20.027229020979007
1981,18.4,0.6,18.716666666666665,1324.6,942.5,26.0,Aberporth,19.417879317652044,18.309580419580424,1.7796853146853169,1520.3861188811188,890.5193006993007,19.82762237762239
1982,17.9,2.5,19.500000000000004,1475.3000000000002,917.6,17.0,Aberporth,19.44803659408773,18.326459790209796,1.8054938811188848,1519.6693924825174,891.3291958041958,19.628015734265773
1983,20.7,0.5,19.716666666666665,1484.8,821.7,22.0,Aberporth,19.478193870523413,18.343339160839168,1.8313024475524455,1518.952666083916,892.1390909090909,19.4284090909091
1984,19.9,2.2,19.291666666666668,1660.1,852.6999999999999,14.0,Aberporth,19.5083511469591,18.360218531468536,1.8571110139860136,1518.2359396853146,892.948986013986,19.22880244755248
1985,17.4,-0.3,17.7,1550.2000000000005,870.9999999999999,39.0,Aberporth,19.538508423394788,18.377097902097905,1.882919580419582,1517.5192132867132,893.758881118881,19.02919580419581
1986,17.6,-2.7,17.233333333333338,1452.1,884.9,33.0,Aberporth,19.56866569983048,18.39397727272728,1.90872814685315,1516.8024868881118,894.5687762237761,18.82958916083919
1987,17.5,0.0,18.175,1538.2,851.7,43.0,Aberporth,19.59882297626616,18.41085664335665,1.934536713286711,1516.0857604895104,895.3786713286714,18.62998251748252
1988,16.9,2.8,19.36666666666667,1553.0999999999997,898.0999999999999,6.0,Aberporth,19.628980252701844,18.427736013986017,1.9603452797202792,1515.369034090909,896.1885664335665,18.4303758741259
1989,19.7,2.9,20.40833333333333,1746.6,784.3000000000001,13.0,Aberporth,19.65913752913753,18.444615384615386,1.9861538461538475,1514.6523076923077,896.9984615384616,18.230769230769223
1990,20.1,2.8,21.000000000000004,1678.9999999999998,751.7,6.0,Aberporth,19.68929480557321,18.46149475524476,2.011962412587416,1513.9355812937065,897.8083566433567,18.03116258741261
1991,19.5,-0.1,19.025,1500.2000000000005,769.5000000000001,29.0,Aberporth,19.7194520820089,18.47837412587413,2.0377709790209764,1513.2188548951049,898.6182517482517,17.831555944055935
1992,17.8,2.1,19.575000000000003,1446.5,913.5,18.0,Aberporth,19.749609358444587,18.495253496503494,2.0635795454545445,1512.5021284965037,899.4281468531468,17.63194930069932
1993,16.6,3.1,18.766666666666666,1459.7999999999995,987.2,9.0,Aberporth,19.779766634880268,18.512132867132877,2.089388111888113,1511.785402097902,900.2380419580419,17.432342657342645
1994,18.8,1.7,19.98333333333333,1504.1,1051.0,9.0,Aberporth,19.80992391131596,18.52901223776224,2.1151966783216807,1511.068675699301,901.047937062937,17.232736013986028
