Entity,Year,CO2 concentrations,CH4 concentrations,N2O concentrations,February,September,Mass U.S. glaciers,CSIRO,IAP,MRIJMA,NOAA,Snow cover,Sea surface temp,Sea surface temp (lower-bound),Sea surface temp (upper-bound),IAP,NOAA,MRIJMA,Arctic sea ice
Antarctica,1979,,,,1.212360779,7.027059294,,,,,,,,,,,,,
Antarctica,1980,,,,1.088808088,7.266442632,,,,,,,,,,,,,
Antarctica,1981,,,,1.108113196,7.181500157,,,,,,,,,,,,,
Antarctica,1982,,,,1.208499758,7.084974618,,,,,,,,,,,,,
Antarctica,1983,,,,1.185333628,7.177639136,,,,,,,,,,,,,
Antarctica,1984,,,,1.034753786,7.015476229,,,,,,,,,,,,,
Antarctica,1985,,,,1.096530132,7.220110373,,,,,,,,,,,,,
Antarctica,1986,,,,1.231665887,6.826286171,,,,,,,,,,,,,
Antarctica,1987,,,,1.254832017,7.046364402,,,,,,,,,,,,,
Antarctica,1988,,,,1.11583524,7.069530531,,,,,,,,,,,,,
Antarctica,1989,,,,1.150584434,6.996171121,,,,,,,,,,,,,
Antarctica,1990,,,,1.173750563,7.023198272,,,,,,,,,,,,,
Antarctica,1991,,,,1.220082822,7.069530531,,,,,,,,,,,,,
Antarctica,1992,,,,1.096530132,7.007754186,,,,,,,,,,,,,
Antarctica,1993,,,,0.957533354,7.158334028,,,,,,,,,,,,,
Antarctica,1994,,,,1.235526909,7.185361179,,,,,,,,,,,,,
Antarctica,1995,,,,1.374523686,7.092696661,,,,,,,,,,,,,
Antarctica,1996,,,,1.150584434,7.193083222,,,,,,,,,,,,,
Antarctica,1997,,,,0.961394376,7.181500157,,,,,,,,,,,,,
Antarctica,1998,,,,1.154445455,7.297330805,,,,,,,,,,,,,
Antarctica,1999,,,,1.146723412,7.220110373,,,,,,,,,,,,,
Antarctica,2000,,,,1.123557283,7.293469784,,,,,,,,,,,,,
Antarctica,2001,,,,1.40927288,7.015476229,,,,,,,,,,,,,
Antarctica,2002,,,,1.142862391,6.907367625,,,,,,,,,,,,,
Antarctica,2003,,,,1.463327183,7.06566951,,,,,,,,,,,,,
Antarctica,2004,,,,1.382245729,7.305052848,,,,,,,,,,,,,
