Subject,Gender,Year,Age,Cumulative,Candidates,Grades,Percent
All subjects,All,2008,All ages,Cumulative percentages,760880,A and above,25.6
All subjects,All,2008,All ages,Cumulative percentages,760880,B and above,50.2
All subjects,All,2008,All ages,Cumulative percentages,760880,C and above,73.4
All subjects,All,2008,All ages,Cumulative percentages,760880,D and above,89.3
All subjects,All,2008,All ages,Cumulative percentages,760880,E and above,97.2
All subjects,All,2008,All ages,Non-cumulative percentages,760880,A,25.6
All subjects,All,2008,All ages,Non-cumulative percentages,760880,B,24.6
All subjects,All,2008,All ages,Non-cumulative percentages,760880,C,23.2
All subjects,All,2008,All ages,Non-cumulative percentages,760880,D,15.9
All subjects,All,2008,All ages,Non-cumulative percentages,760880,E,7.9
All subjects,All,2009,All ages,Cumulative percentages,777170,A and above,26.5
All subjects,All,2009,All ages,Cumulative percentages,777170,B and above,51.5
All subjects,All,2009,All ages,Cumulative percentages,777170,C and above,74.6
All subjects,All,2009,All ages,Cumulative percentages,777170,D and above,90.1
All subjects,All,2009,All ages,Cumulative percentages,777170,E and above,97.5
All subjects,All,2009,All ages,Non-cumulative percentages,777170,A,26.5
All subjects,All,2009,All ages,Non-cumulative percentages,777170,B,25
All subjects,All,2009,All ages,Non-cumulative percentages,777170,C,23.1
All subjects,All,2009,All ages,Non-cumulative percentages,777170,D,15.5
All subjects,All,2009,All ages,Non-cumulative percentages,777170,E,7.4
All subjects,All,2010,All ages,Cumulative percentages,784875,A and above,26.8
All subjects,All,2010,All ages,Cumulative percentages,784875,A*,8.1
All subjects,All,2010,All ages,Cumulative percentages,784875,B and above,51.8
All subjects,All,2010,All ages,Cumulative percentages,784875,C and above,75.1
All subjects,All,2010,All ages,Cumulative percentages,784875,D and above,90.5
All subjects,All,2010,All ages,Cumulative percentages,784875,E and above,97.6
All subjects,All,2010,All ages,Non-cumulative percentages,784875,A,18.7
All subjects,All,2010,All ages,Non-cumulative percentages,784875,A*,8.1
All subjects,All,2010,All ages,Non-cumulative percentages,784875,B,25
All subjects,All,2010,All ages,Non-cumulative percentages,784875,C,23.3
All subjects,All,2010,All ages,Non-cumulative percentages,784875,D,15.4
All subjects,All,2010,All ages,Non-cumulative percentages,784875,E,7.1
All subjects,All,2011,All ages,Cumulative percentages,796860,A and above,26.8
All subjects,All,2011,All ages,Cumulative percentages,796860,A*,8.3
All subjects,All,2011,All ages,Cumulative percentages,796860,B and above,52.3
All subjects,All,2011,All ages,Cumulative percentages,796860,C and above,76
All subjects,All,2011,All ages,Cumulative percentages,796860,D and above,91.2
All subjects,All,2011,All ages,Cumulative percentages,796860,E and above,97.9
All subjects,All,2011,All ages,Non-cumulative percentages,796860,A,18.5
All subjects,All,2011,All ages,Non-cumulative percentages,796860,A*,8.3
All subjects,All,2011,All ages,Non-cumulative percentages,796860,B,25.5
All subjects,All,2011,All ages,Non-cumulative percentages,796860,C,23.7
All subjects,All,2011,All ages,Non-cumulative percentages,796860,D,15.2
All subjects,All,2011,All ages,Non-cumulative percentages,796860,E,6.7
All subjects,All,2012,All ages,Cumulative percentages,791760,A and above,26.5
All subjects,All,2012,All ages,Cumulative percentages,791760,A*,8
All subjects,All,2012,All ages,Cumulative percentages,791760,B and above,52.4
All subjects,All,2012,All ages,Cumulative percentages,791760,C and above,76.4
All subjects,All,2012,All ages,Cumulative percentages,791760,D and above,91.5
All subjects,All,2012,All ages,Cumulative percentages,791760,E and above,98
All subjects,All,2012,All ages,Non-cumulative percentages,791760,A,18.5
