"Country","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"United Kingdom","Boys",1985,5,111.480237,110.6916845,112.2622385,0.407018487
"United Kingdom","Boys",1985,6,118.0731654,117.3104555,118.8352376,0.388564427
"United Kingdom","Boys",1985,7,124.1579024,123.4077932,124.8975305,0.381922605
"United Kingdom","Boys",1985,8,129.8778652,129.1370631,130.6094783,0.376697105
"United Kingdom","Boys",1985,9,135.3643357,134.6341314,136.0816619,0.372013303
"United Kingdom","Boys",1985,10,140.737162,140.0235579,141.4421457,0.36610833
"United Kingdom","Boys",1985,11,146.2028177,145.5077692,146.9079976,0.362316916
"United Kingdom","Boys",1985,12,152.3054816,151.6051012,152.999526,0.359751627
"United Kingdom","Boys",1985,13,159.287143,158.6039199,159.9751842,0.354567453
"United Kingdom","Boys",1985,14,165.8038278,165.1193329,166.5010482,0.351787512
"United Kingdom","Boys",1985,15,170.4981564,169.7940703,171.2098811,0.361904106
"United Kingdom","Boys",1985,16,173.4627208,172.6822171,174.2527325,0.39866355
"United Kingdom","Boys",1985,17,175.1384975,174.2431508,176.060932,0.462209427
"United Kingdom","Boys",1985,18,175.9699818,174.9329925,177.0220014,0.537169598
"United Kingdom","Boys",1985,19,176.3830323,175.1793274,177.5954359,0.612188674
"United Kingdom","Boys",1986,5,111.550866,110.7947767,112.3213579,0.397838327
"United Kingdom","Boys",1986,6,118.1551057,117.4165442,118.8944722,0.380614166
"United Kingdom","Boys",1986,7,124.2327658,123.497941,124.9603594,0.37493844
"United Kingdom","Boys",1986,8,129.9360924,129.2121761,130.6395228,0.369848188
"United Kingdom","Boys",1986,9,135.4085026,134.6887589,136.1135472,0.365400967
"United Kingdom","Boys",1986,10,140.7812784,140.069264,141.4755001,0.361467945
"United Kingdom","Boys",1986,11,146.2586312,145.5564168,146.9436926,0.358041661
"United Kingdom","Boys",1986,12,152.3844871,151.6887974,153.0698144,0.35740957
"United Kingdom","Boys",1986,13,159.3871569,158.7034079,160.0795757,0.352508162
"United Kingdom","Boys",1986,14,165.9077042,165.2376851,166.579902,0.345842642
"United Kingdom","Boys",1986,15,170.5715728,169.9138906,171.2573141,0.343754221
"United Kingdom","Boys",1986,16,173.4999803,172.7835491,174.2193621,0.360168048
"United Kingdom","Boys",1986,17,175.1522922,174.3753595,175.9491287,0.399904383
"United Kingdom","Boys",1986,18,175.9574246,175.0739762,176.8394602,0.450176644
"United Kingdom","Boys",1986,19,176.3597818,175.3882882,177.3420472,0.496891895
"United Kingdom","Boys",1987,5,111.5909905,110.8512967,112.3371473,0.386529365
"United Kingdom","Boys",1987,6,118.2257346,117.5094814,118.9450303,0.371336011
"United Kingdom","Boys",1987,7,124.314706,123.601714,125.0304462,0.366917092
"United Kingdom","Boys",1987,8,130.0109557,129.2991284,130.709437,0.362690899
"United Kingdom","Boys",1987,9,135.4667298,134.7668611,136.1534488,0.358175494
"United Kingdom","Boys",1987,10,140.8254453,140.1234337,141.5097984,0.354419901
"United Kingdom","Boys",1987,11,146.3027476,145.5986391,146.9789492,0.353061407
"United Kingdom","Boys",1987,12,152.4403006,151.7426972,153.1198806,0.3529116
"United Kingdom","Boys",1987,13,159.4661624,158.7906791,160.1448637,0.34987403
"United Kingdom","Boys",1987,14,166.0077181,165.3522713,166.6776716,0.343153773
"United Kingdom","Boys",1987,15,170.6754492,170.0357438,171.3395976,0.33637946
"United Kingdom","Boys",1987,16,173.5733968,172.9128961,174.2449947,0.340674453
"United Kingdom","Boys",1987,17,175.1895517,174.4851103,175.9054092,0.360091088
"United Kingdom","Boys",1987,18,175.9712193,175.2131604,176.7333629,0.387440473
"United Kingdom","Boys",1987,19,176.3472246,175.5568949,177.1383186,0.40610304
"United Kingdom","Boys",1988,5,111.5996197,110.8767671,112.3274227,0.373505057
"United Kingdom","Boys",1988,6,118.2658591,117.5723958,118.9728182,0.359832684
"United Kingdom","Boys",1988,7,124.385335,123.687577,125.0815698,0.357637733
"United Kingdom","Boys",1988,8,130.092896,129.3946396,130.7791725,0.35445116
"United Kingdom","Boys",1988,9,135.5415931,134.8559023,136.2204178,0.350646865
"United Kingdom","Boys",1988,10,140.8836725,140.2028656,141.5627491,0.34669443
"United Kingdom","Boys",1988,11,146.3469145,145.6703843,147.0106549,0.345588839
"United Kingdom","Boys",1988,12,152.484417,151.7923976,153.1527732,0.347541793
"United Kingdom","Boys",1988,13,159.5219759,158.8441027,160.1847253,0.345055666
"United Kingdom","Boys",1988,14,166.0867237,165.4361563,166.7556887,0.339892691
"United Kingdom","Boys",1988,15,170.7754631,170.1381075,171.4321495,0.332551256
"United Kingdom","Boys",1988,16,173.6772732,173.0304947,174.3324506,0.331444055
"United Kingdom","Boys",1988,17,175.2629681,174.6001669,175.930175,0.338978076
"United Kingdom","Boys",1988,18,176.0084788,175.3297665,176.6944489,0.34675781
"United Kingdom","Boys",1988,19,176.3610193,175.6851523,177.0293611,0.341153406
"United Kingdom","Boys",1989,5,111.5990941,110.8767768,112.3049004,0.360901537
"United Kingdom","Boys",1989,6,118.2744884,117.5960122,118.9577098,0.345997775
"United Kingdom","Boys",1989,7,124.4254595,123.7483386,125.1037751,0.34609215
"United Kingdom","Boys",1989,8,130.1635249,129.4930062,130.8261611,0.345019454
"United Kingdom","Boys",1989,9,135.6235334,134.9605523,136.2773034,0.342037353
"United Kingdom","Boys",1989,10,140.9585359,140.3017008,141.6248599,0.338621135
"United Kingdom","Boys",1989,11,146.4051417,145.7402671,147.0641551,0.337264734
"United Kingdom","Boys",1989,12,152.5285839,151.8543664,153.1914423,0.339653511
"United Kingdom","Boys",1989,13,159.5660923,158.8969995,160.2115861,0.33916827
"United Kingdom","Boys",1989,14,166.1425371,165.4942589,166.7852825,0.334476703
"United Kingdom","Boys",1989,15,170.8544687,170.219683,171.4970994,0.328240372
"United Kingdom","Boys",1989,16,173.7772871,173.1526322,174.4232797,0.325982428
"United Kingdom","Boys",1989,17,175.3668445,174.7267767,176.0161029,0.327947704
"United Kingdom","Boys",1989,18,176.0818952,175.4374977,176.7181625,0.325041357
"United Kingdom","Boys",1989,19,176.3982788,175.8194156,176.9867925,0.300808721
"United Kingdom","Boys",1990,5,111.6092078,110.9231529,112.2956254,0.348672046
"United Kingdom","Boys",1990,6,118.2739628,117.6174573,118.9366863,0.332496401
"United Kingdom","Boys",1990,7,124.4340887,123.7762912,125.0954357,0.331995973
"United Kingdom","Boys",1990,8,130.2036494,129.5485084,130.8442345,0.333273527
"United Kingdom","Boys",1990,9,135.6941623,135.0413215,136.3337355,0.332299636
"United Kingdom","Boys",1990,10,141.0404761,140.4005579,141.6778651,0.329509346
"United Kingdom","Boys",1990,11,146.480005,145.8439679,147.1250649,0.32856306
"United Kingdom","Boys",1990,12,152.5868111,151.9313954,153.2281862,0.330793497
"United Kingdom","Boys",1990,13,159.6102592,158.9494645,160.243338,0.330702546
"United Kingdom","Boys",1990,14,166.1866535,165.5314324,166.8182555,0.327880913
"United Kingdom","Boys",1990,15,170.9102821,170.2815616,171.541413,0.321771608
"United Kingdom","Boys",1990,16,173.8562926,173.2388782,174.4829695,0.320203797
"United Kingdom","Boys",1990,17,175.4668584,174.8294656,176.0948949,0.320722993
"United Kingdom","Boys",1990,18,176.1857716,175.5711498,176.7969538,0.313775597
"United Kingdom","Boys",1990,19,176.4716952,175.9201217,177.0334211,0.281402859
"United Kingdom","Boys",1991,5,111.6352737,110.9728548,112.2868912,0.335279133
"United Kingdom","Boys",1991,6,118.2840765,117.651457,118.9117559,0.319505471
"United Kingdom","Boys",1991,7,124.4335631,123.7976795,125.0593019,0.318290289
"United Kingdom","Boys",1991,8,130.2122787,129.578084,130.848647,0.31899663
"United Kingdom","Boys",1991,9,135.7342868,135.0987215,136.3531921,0.320204702
"United Kingdom","Boys",1991,10,141.1111051,140.490056,141.7275725,0.319337898
"United Kingdom","Boys",1991,11,146.5619453,145.9435034,147.1834203,0.318916828
"United Kingdom","Boys",1991,12,152.6616744,152.0366671,153.2890277,0.321496836
"United Kingdom","Boys",1991,13,159.6684864,159.0365655,160.2998764,0.321341257
"United Kingdom","Boys",1991,14,166.2308204,165.5930328,166.8392826,0.318602652
"United Kingdom","Boys",1991,15,170.9543985,170.3403655,171.5635708,0.314218711
"United Kingdom","Boys",1991,16,173.9121061,173.3057536,174.5253995,0.312407068
"United Kingdom","Boys",1991,17,175.545864,174.9334799,176.1567516,0.313381923
"United Kingdom","Boys",1991,18,176.2857855,175.6806048,176.8849016,0.306397603
"United Kingdom","Boys",1991,19,176.5755716,176.0292811,177.1189094,0.273669844
"United Kingdom","Boys",1992,5,111.6737192,111.0451998,112.2938415,0.321225131
"United Kingdom","Boys",1992,6,118.3101423,117.7063296,118.9083862,0.304971344
"United Kingdom","Boys",1992,7,124.4436769,123.8390593,125.0397005,0.305056848
"United Kingdom","Boys",1992,8,130.2117531,129.5876317,130.8072366,0.305257243
"United Kingdom","Boys",1992,9,135.7429161,135.1287754,136.3449949,0.305729781
"United Kingdom","Boys",1992,10,141.1512296,140.5459355,141.7417644,0.306794349
"United Kingdom","Boys",1992,11,146.6325742,146.0332514,147.2353229,0.308300563
"United Kingdom","Boys",1992,12,152.7436147,152.1381519,153.3560204,0.311441499
"United Kingdom","Boys",1992,13,159.7433497,159.138463,160.3525734,0.311425644
"United Kingdom","Boys",1992,14,166.2890476,165.6892229,166.8880969,0.308662969
"United Kingdom","Boys",1992,15,170.9985654,170.3947358,171.5911795,0.303874095
"United Kingdom","Boys",1992,16,173.9562225,173.3619997,174.5499887,0.303809471
"United Kingdom","Boys",1992,17,175.6016774,175.0095481,176.1867225,0.30441558
"United Kingdom","Boys",1992,18,176.3647911,175.7746073,176.9460464,0.299157168
"United Kingdom","Boys",1992,19,176.6755855,176.1522412,177.1987512,0.27028216
"United Kingdom","Boys",1993,5,111.7274067,111.1276793,112.3231604,0.307853862
"United Kingdom","Boys",1993,6,118.3485879,117.7779758,118.9025126,0.289714398
"United Kingdom","Boys",1993,7,124.4697427,123.8926697,125.0321769,0.290337588
"United Kingdom","Boys",1993,8,130.2218668,129.6412956,130.7882163,0.291845144
"United Kingdom","Boys",1993,9,135.7423905,135.1504487,136.3074351,0.291980552
"United Kingdom","Boys",1993,10,141.1598588,140.5728636,141.7244527,0.292039426
"United Kingdom","Boys",1993,11,146.6726987,146.0936421,147.2436947,0.295381491
"United Kingdom","Boys",1993,12,152.8142436,152.2283432,153.4035645,0.300527243
"United Kingdom","Boys",1993,13,159.82529,159.2427677,160.4152739,0.301042493
"United Kingdom","Boys",1993,14,166.363911,165.7841158,166.948064,0.298254911
"United Kingdom","Boys",1993,15,171.0567927,170.4930763,171.6355634,0.293197365
"United Kingdom","Boys",1993,16,174.0003894,173.4349475,174.5705752,0.292568457
"United Kingdom","Boys",1993,17,175.6457938,175.0699005,176.2239285,0.295009485
"United Kingdom","Boys",1993,18,176.4206045,175.8394517,176.9836234,0.290682154
"United Kingdom","Boys",1993,19,176.7545911,176.2386799,177.2802172,0.267427872
"United Kingdom","Boys",1994,5,111.783577,111.2115238,112.3526153,0.294737194
"United Kingdom","Boys",1994,6,118.4022753,117.8635295,118.926322,0.275204995
"United Kingdom","Boys",1994,7,124.5081882,123.9715497,125.0309874,0.274793848
"United Kingdom","Boys",1994,8,130.2479326,129.6997185,130.7844704,0.277284736
"United Kingdom","Boys",1994,9,135.7525042,135.1961085,136.2908231,0.278407078
"United Kingdom","Boys",1994,10,141.1593332,140.5997993,141.7002262,0.278183613
"United Kingdom","Boys",1994,11,146.681328,146.1225383,147.2155801,0.280373529
"United Kingdom","Boys",1994,12,152.8543682,152.2974954,153.4124259,0.287536165
"United Kingdom","Boys",1994,13,159.8959189,159.3362798,160.4685399,0.28991251
"United Kingdom","Boys",1994,14,166.4458512,165.9036763,167.0148266,0.287783613
"United Kingdom","Boys",1994,15,171.131656,170.5866129,171.6754872,0.282641195
"United Kingdom","Boys",1994,16,174.0586166,173.5150868,174.6120004,0.281494508
"United Kingdom","Boys",1994,17,175.6899607,175.1422485,176.2451168,0.283521833
"United Kingdom","Boys",1994,18,176.4647209,175.9123529,177.0160938,0.282084726
"United Kingdom","Boys",1994,19,176.8104045,176.3084574,177.3259929,0.263332351
"United Kingdom","Boys",1995,5,111.8424906,111.2936454,112.3882876,0.28331551
"United Kingdom","Boys",1995,6,118.4584457,117.946476,118.963719,0.261836887
"United Kingdom","Boys",1995,7,124.5618757,124.0491779,125.055899,0.260151027
"United Kingdom","Boys",1995,8,130.2863782,129.7670382,130.7813249,0.26175716
"United Kingdom","Boys",1995,9,135.77857,135.2525369,136.282969,0.264199238
"United Kingdom","Boys",1995,10,141.1694469,140.6325424,141.6750339,0.264465381
"United Kingdom","Boys",1995,11,146.6808024,146.1447935,147.1934173,0.266406026
"United Kingdom","Boys",1995,12,152.8629974,152.3199475,153.3865892,0.272622855
"United Kingdom","Boys",1995,13,159.9360435,159.3997886,160.4802305,0.277071564
"United Kingdom","Boys",1995,14,166.5164801,165.9884497,167.0648335,0.276770938
"United Kingdom","Boys",1995,15,171.2135962,170.689096,171.7531957,0.272514057
"United Kingdom","Boys",1995,16,174.1334799,173.6028957,174.6598405,0.271620201
"United Kingdom","Boys",1995,17,175.748188,175.2188745,176.2955987,0.272852684
"United Kingdom","Boys",1995,18,176.5088878,175.9744924,177.047675,0.272090126
"United Kingdom","Boys",1995,19,176.8545209,176.353896,177.3658715,0.259084469
"United Kingdom","Boys",1996,5,111.8906215,111.3636446,112.4206783,0.272911618
"United Kingdom","Boys",1996,6,118.5173593,118.0324663,118.99571,0.25042171
"United Kingdom","Boys",1996,7,124.618046,124.1377132,125.0950074,0.247415687
"United Kingdom","Boys",1996,8,130.3400656,129.8521922,130.8167879,0.247336073
