family	father	mother	gender	height	kids	male	female
1	78.5	67	M	73.2	4	1	0
1	78.5	67	F	69.2	4	0	1
1	78.5	67	F	69	4	0	1
1	78.5	67	F	69	4	0	1
2	75.5	66.5	M	73.5	4	1	0
2	75.5	66.5	M	72.5	4	1	0
2	75.5	66.5	F	65.5	4	0	1
2	75.5	66.5	F	65.5	4	0	1
3	75	64	M	71	2	1	0
3	75	64	F	68	2	0	1
4	75	64	M	70.5	5	1	0
4	75	64	M	68.5	5	1	0
4	75	64	F	67	5	0	1
4	75	64	F	64.5	5	0	1
4	75	64	F	63	5	0	1
5	75	58.5	M	72	6	1	0
5	75	58.5	M	69	6	1	0
5	75	58.5	M	68	6	1	0
5	75	58.5	F	66.5	6	0	1
5	75	58.5	F	62.5	6	0	1
5	75	58.5	F	62.5	6	0	1
6	74	68	F	69.5	1	0	1
7	74	68	M	76.5	6	1	0
7	74	68	M	74	6	1	0
7	74	68	M	73	6	1	0
7	74	68	M	73	6	1	0
7	74	68	F	70.5	6	0	1
7	74	68	F	64	6	0	1
8	74	66.5	F	70.5	3	0	1
8	74	66.5	F	68	3	0	1
8	74	66.5	F	66	3	0	1
9	74.5	66	F	66	1	0	1
10	74	65.5	F	65.5	1	0	1
11	74	62	M	74	8	1	0
11	74	62	M	70	8	1	0
11	74	62	F	68	8	0	1
11	74	62	F	67	8	0	1
11	74	62	F	67	8	0	1
11	74	62	F	66	8	0	1
11	74	62	F	63.5	8	0	1
11	74	62	F	63	8	0	1
12	74	61	F	65	1	0	1
14	73	67	M	68	2	1	0
14	73	67	M	67	2	1	0
15	73	66.5	M	71	3	1	0
15	73	66.5	M	70.5	3	1	0
15	73	66.5	F	66.7	3	0	1
16	73	65	M	72	9	1	0
16	73	65	M	70.5	9	1	0
16	73	65	M	70.2	9	1	0
16	73	65	M	70.2	9	1	0
16	73	65	M	69.2	9	1	0
16	73	65	F	68.7	9	0	1
16	73	65	F	66.5	9	0	1
16	73	65	F	64.5	9	0	1
16	73	65	F	63.5	9	0	1
17	73	64.5	M	74	6	1	0
17	73	64.5	M	73	6	1	0
17	73	64.5	M	71.5	6	1	0
17	73	64.5	M	62.5	6	1	0
17	73	64.5	F	66.5	6	0	1
17	73	64.5	F	62.3	6	0	1
18	73	64	F	66	3	0	1
18	73	64	F	64.5	3	0	1
18	73	64	F	64	3	0	1
19	73.2	63	F	62.7	1	0	1
20	72.7	69	M	73.2	8	1	0
20	72.7	69	M	73	8	1	0
20	72.7	69	M	72.7	8	1	0
20	72.7	69	F	70	8	0	1
20	72.7	69	F	69	8	0	1
20	72.7	69	F	68.5	8	0	1
20	72.7	69	F	68	8	0	1
20	72.7	69	F	66	8	0	1
21	72	68	M	73	3	1	0
21	72	68	F	68.5	3	0	1
21	72	68	F	68	3	0	1
22	72	67	M	73	3	1	0
22	72	67	M	71	3	1	0
22	72	67	F	67	3	0	1
23	72	65	M	74.2	7	1	0
23	72	65	M	70.5	7	1	0
23	72	65	M	69.5	7	1	0
23	72	65	F	66	7	0	1
23	72	65	F	65.5	7	0	1
23	72	65	F	65	7	0	1
23	72	65	F	65	7	0	1
24	72	65.5	F	65.5	1	0	1
25	72	64	F	66	2	0	1
25	72	64	F	63	2	0	1
26	72	63	M	70.5	5	1	0
26	72	63	M	70.5	5	1	0
26	72	63	M	69	5	1	0
26	72	63	F	65	5	0	1
26	72	63	F	63	5	0	1
27	72	63	M	69	3	1	0
27	72	63	M	67	3	1	0
27	72	63	F	63	3	0	1
28	72	63	M	73	6	1	0
28	72	63	M	67	6	1	0
28	72	63	F	70.5	6	0	1
28	72	63	F	70	6	0	1
28	72	63	F	66.5	6	0	1
28	72	63	F	63	6	0	1
29	72.5	63.5	F	67.5	3	0	1
29	72.5	63.5	F	67.2	3	0	1
29	72.5	63.5	F	66.7	3	0	1
