Player Name,Weekly Wage,Yearly Salary,Age,Position,Nationality
José Campaña,33000,1716000,28,"DM, AM C",Spain
José Morales,28000,1456000,33,"AM RL, ST",Spain
Aitor Fernández,25000,1300000,30,GK,Spain
Enis Bardhi,25000,1300000,26,AM LC,North Macedonia
Coke,24000,1248000,34,"D RC, M R",Spain
Shkodran Mustafi,19000,988000,29,D C,Germany
Nikola Vukčević,19000,988000,29,DM,Montenegro
Carlos Clerc,18000,936000,29,D/WB L,Spain
Rúben Vezo,18000,936000,27,D C,Portugal
Dani Gómez,18000,936000,22,ST,Spain
Gonzalo Melero,17000,884000,27,"DM, AM C",Spain
Nemanja Radoja,16000,832000,28,DM,Serbia
Hernâni,15000,780000,29,AM RL,Portugal
Roger Martí,15000,780000,30,ST,Spain
Dani Cárdenas,14000,728000,24,GK,Spain
Jorge De Frutos,14000,728000,24,AM RL,Spain
Roberto Soldado,14000,728000,36,ST,Spain
Enric Franquesa,13000,676000,24,D/WB/M L,Spain
Jorge Miramón,11000,572000,32,D/WB/AM R,Spain
Oscar Duarte,10000,520000,32,D C,Costa Rica
Mickaël Malsa,10000,520000,25,DM,Martinique
Son,9000,468000,27,D/WB/AM R,Spain
Pablo Martínez,9000,468000,23,AM LC,Spain
Róber Pier,8700,452400,26,"D C, DM",Spain
Sergio Postigo,8000,416000,32,D RC,Spain
Pepelu,7800,405600,22,DM,Spain
Álex Blesa,2000,104000,19,"DM, AM C",Spain
Álex Cantero,2000,104000,21,"AM RL, ST",Spain
Messi,1000000,52000000,,,
