Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change
Africa,,1850,0.0,185654880.0,406300960.0
Africa,,1851,0.0,249518400.0,468332480.0
Africa,,1852,0.0,287990400.0,506694560.0
Africa,,1853,0.0,319464160.0,539011100.0
Africa,,1854,0.0,333167520.0,552494600.0
Africa,,1855,0.0,346357920.0,572646500.0
Africa,,1856,0.0,354638560.0,579205100.0
Africa,,1857,0.0,363395520.0,590416960.0
Africa,,1858,0.0,370613600.0,599173900.0
Africa,,1859,0.0,378747680.0,607820900.0
Africa,,1860,0.0,210936480.0,415864000.0
Africa,,1861,0.0,146633280.0,341997760.0
Africa,,1862,0.0,110506240.0,297846560.0
Africa,,1863,0.0,88302400.0,272564960.0
Africa,,1864,0.0,72657120.0,252266400.0
Africa,,1865,0.0,62068160.0,244828480.0
Africa,,1866,0.0,54666880.0,236291360.0
Africa,,1867,0.0,47522080.0,228010720.0
Africa,,1868,0.0,42465760.0,221159040.0
Africa,,1869,0.0,38728480.0,217421760.0
Africa,,1870,0.0,36236960.0,222844480.0
Africa,,1871,0.0,33782080.0,225152800.0
Africa,,1872,0.0,31400480.0,228926720.0
Africa,,1873,0.0,29385280.0,228633600.0
Africa,,1874,0.0,28176160.0,225848960.0
Africa,,1875,0.0,26270880.0,227864160.0
Africa,,1876,0.0,25318240.0,229696160.0
Africa,,1877,0.0,24622080.0,228670240.0
Africa,,1878,0.0,23229760.0,225739040.0
Africa,,1879,0.0,22606880.0,229842720.0
Africa,,1880,0.0,24145760.0,230538880.0
Africa,,1881,0.0,24475520.0,234459360.0
Africa,,1882,0.0,24988480.0,236254720.0
Africa,,1883,0.0,24292320.0,234019680.0
Africa,,1884,21984.0,40838944.0,237244000.0
Africa,,1885,36640.0,41220000.0,234642560.0
Africa,,1886,47632.0,39435630.0,236804320.0
Africa,,1887,47632.0,38995950.0,234899040.0
Africa,,1888,80608.0,39212130.0,236657760.0
Africa,,1889,131904.0,38457344.0,236840960.0
Africa,,1890,296784.0,46353264.0,255197600.0
Africa,,1891,296784.0,49687504.0,262818720.0
Africa,,1892,479984.0,52142384.0,269963520.0
Africa,,1893,1799024.0,55000304.0,277108320.0
Africa,,1894,2432896.0,56073856.0,276778560.0
Africa,,1895,3337904.0,58004784.0,280589120.0
Africa,,1896,4257568.0,59437410.0,276448800.0
Africa,,1897,4777856.0,61020256.0,280772320.0
Africa,,1898,6049264.0,62364944.0,279489920.0
Africa,,1899,5517984.0,63006144.0,281981440.0
Africa,,1900,2330304.0,64618304.0,302133440.0
Africa,,1901,3909488.0,69348530.0,314664320.0
Africa,,1902,5825760.0,73243360.0,324483840.0
Africa,,1903,7895920.0,77658480.0,331005760.0
Africa,,1904,8910848.0,81274850.0,335292640.0
Africa,,1905,10262864.0,82736780.0,337051360.0
Africa,,1906,11717472.0,84228030.0,337234560.0
Africa,,1907,12930256.0,85990420.0,340202400.0
Africa,,1908,13402912.0,87012670.0,340935200.0
Africa,,1909,15385136.0,89251380.0,342767200.0
Africa,,1910,17411328.0,96040770.0,375266880.0
Africa,,1911,16865392.0,97619950.0,395748640.0
Africa,,1912,17953600.0,102775200.0,408939040.0
Africa,,1913,19606064.0,103914700.0,416303680.0
Africa,,1914,19551104.0,103896380.0,424767520.0
Africa,,1915,19606064.0,132127500.0,425866720.0
Africa,,1916,23255408.0,141199570.0,427259040.0
Africa,,1917,25343888.0,145816210.0,432022240.0
Africa,,1918,24724672.0,144427550.0,439826560.0
Africa,,1919,25442816.0,145072420.0,442464640.0
Africa,,1920,28051584.0,201432060.0,495665920.0
Africa,,1921,27985632.0,216132030.0,529704480.0
Africa,,1922,23969888.0,220360290.0,557514240.0
Africa,,1923,29044528.0,230967570.0,574185500.0
Africa,,1924,30631040.0,239515680.0,591113100.0
Africa,,1925,32184576.0,246162180.0,604853100.0
Africa,,1926,34437936.0,249844500.0,609616300.0
Africa,,1927,33840704.0,300030300.0,621048000.0
Africa,,1928,34770320.0,308141380.0,626947100.0
Africa,,1929,35801616.0,319212030.0,637206300.0
Africa,,1930,33695670.0,364994560.0,764969900.0
Africa,,1931,29463712.0,396523230.0,855287550.0
Africa,,1932,26622752.0,416289150.0,905008000.0
Africa,,1933,28491132.0,510014000.0,938973300.0
Africa,,1934,32539280.0,523735140.0,962093100.0
Africa,,1935,35909544.0,535898980.0,980413100.0
Africa,,1936,39015950.0,470451940.0,998256800.0
Africa,,1937,41844264.0,473573380.0,1007270300.0
Africa,,1938,44013164.0,479955870.0,1007783200.0
Africa,,1939,46852930.0,489207650.0,1022842240.0
Africa,,1940,49649184.0,643913340.0,1494875400.0
Africa,,1941,54023456.0,788948600.0,1792868500.0
Africa,,1942,58822884.0,846985900.0,1957235500.0
Africa,,1943,60119628.0,885289100.0,2073384300.0
Africa,,1944,66632910.0,855162400.0,2127098600.0
Africa,,1945,67527180.0,1072672300.0,2197374000.0
Africa,,1946,68159370.0,884864960.0,2223168500.0
Africa,,1947,67934744.0,1087699200.0,2254679000.0
Africa,,1948,71733140.0,1152942800.0,2277102600.0
Africa,,1949,77323530.0,1172822900.0,2306817800.0
Africa,,1950,93452170.0,2465305900.0,2617928000.0
Africa,,1951,99862080.0,2282214000.0,2406368800.0
Africa,,1952,108882370.0,2226051600.0,2332649000.0
Africa,,1953,110796130.0,2220234200.0,2323892000.0
Africa,,1954,116156920.0,2263920400.0,2360678700.0
Africa,,1955,128058296.0,2328180500.0,2416334800.0
Africa,,1956,133509440.0,2392255500.0,2480784400.0
Africa,,1957,139953090.0,2479014100.0,2569966300.0
Africa,,1958,148304510.0,2633559000.0,2657645800.0
Africa,,1959,147910850.0,2863777500.0,2728947200.0
Africa,,1960,156640450.0,2742435000.0,2600450800.0
Africa,,1961,162078600.0,2102533000.0,1952692200.0
Africa,,1962,166426480.0,2073428600.0,1919789400.0
Africa,,1963,176448430.0,1896945700.0,1731679700.0
Africa,,1964,193763900.0,1863404700.0,1678808200.0
Africa,,1965,213784600.0,1512005800.0,1306802200.0
Africa,,1966,221261600.0,1489657900.0,1277160400.0
Africa,,1967,237257680.0,1412258600.0,1183875100.0
Africa,,1968,257600220.0,1776720300.0,1528071200.0
Africa,,1969,278139500.0,1558297100.0,1288445600.0
Africa,,1970,302942700.0,1512399700.0,1218133500.0
Africa,,1971,332203940.0,1282795800.0,959161900.0
Africa,,1972,352238850.0,1488767600.0,1141445900.0
Africa,,1973,378421020.0,1274880900.0,900867700.0
Africa,,1974,388864800.0,1275461200.0,891341300.0
Africa,,1975,387828830.0,1268522500.0,884892700.0
Africa,,1976,420856770.0,1104332000.0,686487040.0
Africa,,1977,433844580.0,1196018800.0,765153150.0
Africa,,1978,463266720.0,1074638100.0,614745900.0
Africa,,1979,499991800.0,1150157600.0,652998100.0
Africa,,1980,536490200.0,1136924500.0,603094400.0
Africa,,1981,549365200.0,1206910300.0,659666560.0
Africa,,1982,572576960.0,1172469000.0,602141760.0
Africa,,1983,595413200.0,1489802900.0,896654100.0
Africa,,1984,650254140.0,1768367700.0,1120341200.0
Africa,,1985,666655200.0,1928969200.0,1264153300.0
Africa,,1986,690670600.0,1646110000.0,958319200.0
Africa,,1987,690763200.0,1612237200.0,924317300.0
Africa,,1988,726006600.0,1612269600.0,888300160.0
Africa,,1989,699179460.0,1566572800.0,869870200.0
Africa,,1990,659297200.0,1629403500.0,970263800.0
Africa,,1991,688953700.0,1649328400.0,959418400.0
Africa,,1992,668606100.0,1860545500.0,1189847300.0
Africa,,1993,708741060.0,1973726100.0,1265179100.0
