Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change
High-income countries,,1850,196785540.0,1239853000.0,1181530100.0
High-income countries,,1851,198804980.0,1281260500.0,1241363200.0
High-income countries,,1852,207550940.0,1318915500.0,1270858500.0
High-income countries,,1853,217209250.0,1372834800.0,1315339400.0
High-income countries,,1854,255138980.0,1441212400.0,1345420800.0
High-income countries,,1855,259830910.0,1493243300.0,1356779100.0
High-income countries,,1856,277291520.0,1493043500.0,1377957100.0
High-income countries,,1857,279889280.0,1518541000.0,1401553300.0
High-income countries,,1858,283302620.0,1582740200.0,1421961700.0
High-income countries,,1859,300172480.0,1626980200.0,1447499900.0
High-income countries,,1860,329335040.0,1618183700.0,1352748800.0
High-income countries,,1861,346392300.0,1553350500.0,1271481200.0
High-income countries,,1862,352739700.0,1554825000.0,1266901200.0
High-income countries,,1863,376446800.0,1576406800.0,1265619000.0
High-income countries,,1864,405611260.0,1578714100.0,1240520400.0
High-income countries,,1865,430726880.0,1579867300.0,1215788500.0
High-income countries,,1866,442422200.0,1576430200.0,1202671400.0
High-income countries,,1867,474489600.0,1623776500.0,1207031600.0
High-income countries,,1868,487991680.0,1635629800.0,1189994000.0
High-income countries,,1869,517365800.0,1642506900.0,1168083200.0
High-income countries,,1870,528574900.0,1986737000.0,1498576000.0
High-income countries,,1871,560818300.0,2163598300.0,1643487200.0
High-income countries,,1872,620864000.0,2307293200.0,1727136300.0
High-income countries,,1873,660235800.0,2429215000.0,1810419100.0
High-income countries,,1874,616747650.0,2460326000.0,1885640800.0
High-income countries,,1875,668552400.0,2560862000.0,1934262300.0
High-income countries,,1876,676729000.0,2599046700.0,1978267000.0
High-income countries,,1877,689927940.0,2668488000.0,2035058800.0
High-income countries,,1878,690900000.0,2729732900.0,2086538100.0
High-income countries,,1879,741376100.0,2842680000.0,2135489000.0
High-income countries,,1880,837982600.0,2786607600.0,1999188400.0
High-income countries,,1881,865951940.0,2717407700.0,1902568600.0
High-income countries,,1882,914202600.0,2774378800.0,1908797400.0
High-income countries,,1883,970781950.0,2855323600.0,1918836900.0
High-income countries,,1884,981261000.0,2829346000.0,1897145900.0
High-income countries,,1885,987439200.0,2823433200.0,1874905500.0
High-income countries,,1886,1002474240.0,2820074500.0,1867614000.0
High-income countries,,1887,1051083400.0,2896054000.0,1895167500.0
High-income countries,,1888,1165392100.0,3011608600.0,1881244200.0
High-income countries,,1889,1161505300.0,2973609700.0,1862411300.0
High-income countries,,1890,1264670500.0,3175593000.0,1951849500.0
High-income countries,,1891,1321570400.0,3256602000.0,1977204400.0
High-income countries,,1892,1329535400.0,3281348000.0,1978596600.0
High-income countries,,1893,1305302500.0,3298445300.0,2020476000.0
High-income countries,,1894,1350902800.0,3354451200.0,2031541400.0
High-income countries,,1895,1427046900.0,3453825000.0,2031981200.0
High-income countries,,1896,1472646400.0,3516132400.0,2046783700.0
High-income countries,,1897,1537124100.0,3602118000.0,2068328000.0
High-income countries,,1898,1615414800.0,3701220000.0,2089176200.0
High-income countries,,1899,1761958800.0,3871543300.0,2112955400.0
High-income countries,,1900,1856610300.0,3971544600.0,2121456100.0
High-income countries,,1901,1912151800.0,4007227000.0,2102110000.0
High-income countries,,1902,1962485100.0,4067966000.0,2112809000.0
High-income countries,,1903,2145815200.0,4245726700.0,2107349500.0
High-income countries,,1904,2158155800.0,4291593000.0,2141424900.0
High-income countries,,1905,2310524000.0,4444584000.0,2143440100.0
High-income countries,,1906,2399556900.0,4530942500.0,2139886100.0
High-income countries,,1907,2716857000.0,4862935000.0,2154578700.0
High-income countries,,1908,2594358000.0,4754322400.0,2168685000.0
High-income countries,,1909,2700503300.0,4878934500.0,2185869300.0
High-income countries,,1910,2839294500.0,4930375700.0,2101157400.0
High-income countries,,1911,2872985900.0,4929625600.0,2069683700.0
High-income countries,,1912,3019179000.0,4976854000.0,1986730800.0
High-income countries,,1913,3260067000.0,5231959000.0,1982297200.0
High-income countries,,1914,2951339800.0,4903921700.0,1978450200.0
High-income countries,,1915,2913805300.0,4838614500.0,1950347300.0
High-income countries,,1916,3149503500.0,5049580500.0,1926787700.0
High-income countries,,1917,3300857900.0,5182248400.0,1917261200.0
High-income countries,,1918,3299043300.0,5203664000.0,1931147800.0
High-income countries,,1919,2815242800.0,4699894300.0,1895094000.0
High-income countries,,1920,3271252500.0,5177705000.0,1912974300.0
High-income countries,,1921,2819213800.0,4754502000.0,1945803800.0
High-income countries,,1922,2961919000.0,4891124700.0,1938915600.0
High-income countries,,1923,3385075200.0,5291638000.0,1912864500.0
High-income countries,,1924,3375085600.0,5259407400.0,1894947600.0
High-income countries,,1925,3421049300.0,5308559000.0,1898171900.0
High-income countries,,1926,3338628000.0,5188804600.0,1860909000.0
High-income countries,,1927,3654720500.0,5471479000.0,1827529900.0
High-income countries,,1928,3620581000.0,5418093600.0,1808257300.0
High-income countries,,1929,3892879400.0,5666848000.0,1784734300.0
High-income countries,,1930,3523644200.0,5159742000.0,1646638200.0
High-income countries,,1931,3088383500.0,4654741500.0,1576802400.0
High-income countries,,1932,2720745700.0,4213386800.0,1497806600.0
High-income countries,,1933,2852630300.0,4287079200.0,1439658900.0
High-income countries,,1934,3062255000.0,4464632000.0,1407635600.0
High-income countries,,1935,3179324400.0,4515403300.0,1341390300.0
High-income countries,,1936,3490790700.0,4793844700.0,1308780800.0
High-income countries,,1937,3748768300.0,5000866300.0,1257887900.0
High-income countries,,1938,3465463000.0,4692227000.0,1232496400.0
High-income countries,,1939,3680672500.0,4863445500.0,1188418400.0
High-income countries,,1940,3988422100.0,5179474400.0,1198604300.0
High-income countries,,1941,4147796200.0,5324050000.0,1202305000.0
High-income countries,,1942,4321463000.0,5492700000.0,1197468400.0
High-income countries,,1943,4404926000.0,5592805400.0,1196772400.0
High-income countries,,1944,4372484000.0,5554787000.0,1191459600.0
High-income countries,,1945,3533367300.0,4696326000.0,1172516600.0
High-income countries,,1946,3820644000.0,4975914500.0,1165078700.0
High-income countries,,1947,4274703000.0,5414437400.0,1149689900.0
High-income countries,,1948,4489645600.0,5621311500.0,1141775600.0
High-income countries,,1949,4198512400.0,5278696000.0,1090076700.0
High-income countries,,1950,4672120000.0,5829417000.0,1160791800.0
High-income countries,,1951,4983203300.0,6141092400.0,1160645200.0
High-income countries,,1952,4956136000.0,6154041000.0,1200033300.0
High-income countries,,1953,5070407000.0,6281385500.0,1212820600.0
High-income countries,,1954,5074983000.0,6305583600.0,1232642800.0
High-income countries,,1955,5480337400.0,6730354700.0,1252758300.0
High-income countries,,1956,5778798600.0,7042644500.0,1267377700.0
High-income countries,,1957,5821609500.0,7100792300.0,1282949600.0
High-income countries,,1958,5696417000.0,6956655000.0,1264519700.0
High-income countries,,1959,5824113700.0,6980343000.0,1165481700.0
High-income countries,,1960,6143721500.0,7142565000.0,1004119200.0
High-income countries,,1961,6298845000.0,7093262000.0,797249800.0
High-income countries,,1962,6602479600.0,7401266700.0,802928960.0
High-income countries,,1963,6953718300.0,7625288000.0,673369900.0
High-income countries,,1964,7302178000.0,7966035000.0,672307300.0
High-income countries,,1965,7547145000.0,8179292000.0,634788000.0
High-income countries,,1966,7839339500.0,8374128600.0,535823360.0
High-income countries,,1967,8122241500.0,9218755000.0,1097514500.0
High-income countries,,1968,8548460000.0,9755443000.0,1207507800.0
High-income countries,,1969,9098016000.0,9838065000.0,740494400.0
High-income countries,,1970,9774410000.0,10325906000.0,551651840.0
High-income countries,,1971,9975765000.0,10447940000.0,472143040.0
