Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change
World,OWID_WRL,1850,196896030.0,2621609000.0,2424713000.0
World,OWID_WRL,1851,198804980.0,2711942700.0,2513137700.0
World,OWID_WRL,1852,207550940.0,2758550000.0,2550999000.0
World,OWID_WRL,1853,217209250.0,2825733000.0,2608523800.0
World,OWID_WRL,1854,255138980.0,2886013200.0,2630874000.0
World,OWID_WRL,1855,260165980.0,2903986200.0,2643820300.0
World,OWID_WRL,1856,277291520.0,2953355000.0,2676063500.0
World,OWID_WRL,1857,279889280.0,2979768800.0,2699879400.0
World,OWID_WRL,1858,284171300.0,3015439000.0,2731267800.0
World,OWID_WRL,1859,301311650.0,3062135800.0,2760824000.0
World,OWID_WRL,1860,330641280.0,2980446200.0,2649804800.0
World,OWID_WRL,1861,347734530.0,2872475000.0,2524740400.0
World,OWID_WRL,1862,354056670.0,2858767000.0,2504710400.0
World,OWID_WRL,1863,377859070.0,2882691600.0,2504832500.0
World,OWID_WRL,1864,407090300.0,2879191000.0,2472100900.0
World,OWID_WRL,1865,432306980.0,2875462100.0,2443155200.0
World,OWID_WRL,1866,445969700.0,2878865700.0,2432896000.0
World,OWID_WRL,1867,477814900.0,2912054300.0,2434239500.0
World,OWID_WRL,1868,490752500.0,2909114600.0,2418362000.0
World,OWID_WRL,1869,521130750.0,2915677000.0,2394546200.0
World,OWID_WRL,1870,532536740.0,3105519900.0,2572983000.0
World,OWID_WRL,1871,566143000.0,3250755800.0,2684612900.0
World,OWID_WRL,1872,626371800.0,3366921700.0,2740550000.0
World,OWID_WRL,1873,665419100.0,3477050400.0,2811631400.0
World,OWID_WRL,1874,622997250.0,3485680400.0,2862683100.0
World,OWID_WRL,1875,675799100.0,3566328600.0,2890529500.0
World,OWID_WRL,1876,685552700.0,3615409200.0,2929856500.0
World,OWID_WRL,1877,699098500.0,3674999300.0,2975900700.0
World,OWID_WRL,1878,704379200.0,3730599000.0,3026219800.0
World,OWID_WRL,1879,754867200.0,3819925200.0,3065058000.0
World,OWID_WRL,1880,853704640.0,3954425900.0,3100721200.0
